# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.391
metadata : {}


# id : NWRW1800000040.391.1.1
민주 “선 국정원 국조-후 원본 공개” 제안에 새누리 “NLL 발언 논란도 국정조사” 맞받아

민주	민주/NNP
“선	“/SS+선/NNG
국정원	국정원/NNG
국조-후	국조/NNG+-/SO+후/NNG
원본	원본/NNG
공개”	공개/NNG+”/SS
제안에	제안/NNG+에/JKB
새누리	새누리/NNP
“NLL	“/SS+NLL/SL
발언	발언/NNG
논란도	논란/NNG+도/JX
국정조사”	국정/NNG+조사/NNG+”/SS
맞받아	맞받/VV+아/EF


# id : NWRW1800000040.391.2.1
야권 “물타기 공세” 비판 확산

야권	야권/NNG
“물타기	“/SS+물타기/NNG
공세”	공세/NNG+”/SS
비판	비판/NNG
확산	확산/NNG


# id : NWRW1800000040.391.3.1
정보위원장·국정원장 등 고발

정보위원장·국정원장	정보/NNG+위원장/NNG+·/SP+국정원장/NNG
등	등/NNB
고발	고발/NNG


# id : NWRW1800000040.391.4.1
민주당이 21일, 새누리당 소속 국회 정보위원들이 2007년 남북정상회담 당시 노무현 대통령이 서해 북방한계선(NLL)을 포기하는 취지의 발언을 했다며 국가정보원이 보관중인 대화록 일부를 공개한 데 대해, ‘선 국정원 대선개입 국정조사-후 대화록 전문 공개’를 새누리당에 제안했다.

민주당이	민주당/NNP+이/JKS
21일,	21/SN+일/NNB+,/SP
새누리당	새누리당/NNP
소속	소속/NNG
국회	국회/NNG
정보위원들이	정보위원/NNG+들/XSN+이/JKS
2007년	2007/SN+년/NNB
남북정상회담	남북/NNP+정상/NNG+회담/NNG
당시	당시/NNG
노무현	노무현/NNP
대통령이	대통령/NNG+이/JKS
서해	서해/NNP
북방한계선(NLL)을	북방/NNG+한계선/NNG+(/SS+NLL/SL+)/SS+을/JKO
포기하는	포기/NNG+하/XSV+는/ETM
취지의	취지/NNG+의/JKG
발언을	발언/NNG+을/JKO
했다며	하/VV+았/EP+다며/EC
국가정보원이	국가/NNG+정보원/NNG+이/JKS
보관중인	보관/NNG+중/NNB+이/VCP+ㄴ/ETM
대화록	대화록/NNG
일부를	일부/NNG+를/JKO
공개한	공개/NNG+하/XSV+ㄴ/ETM
데	데/NNB
대해,	대하/VV+아/EC+,/SP
‘선	‘/SS+선/NNG
국정원	국정원/NNG
대선개입	대선/NNG+개입/NNG
국정조사-후	국정/NNG+조사/NNG+-/SO+후/NNG
전문	전문/NNG
공개’를	공개/NNG+’/SS+를/JKO
새누리당에	새누리당/NNP+에/JKB
제안했다.	제안/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.391.4.2
회담 당시 대통령비서실장을 지낸 문재인 민주당 의원도 같은 제안을 내놨다.

회담	회담/NNG
당시	당시/NNG
대통령비서실장을	대통령/NNG+비서실장/NNG+을/JKO
지낸	지내/VV+ㄴ/ETM
문재인	문재인/NNP
민주당	민주당/NNP
의원도	의원/NNG+도/JX
같은	같/VA+은/ETM
제안을	제안/NNG+을/JKO
내놨다.	내놓/VV+았/EP+다/EF+./SF


# id : NWRW1800000040.391.4.3
그러나 새누리당이 ‘엔엘엘 발언 국정조사’를 새롭게 들고나오면서 야당의 반발이 거세지고 있다.

그러나	그러나/MAJ
새누리당이	새누리당/NNP+이/JKS
‘엔엘엘	‘/SS+엔엘엘/NNG
발언	발언/NNG
국정조사’를	국정/NNG+조사/NNG+’/SS+를/JKO
새롭게	새롭/VA+게/EC
들고나오면서	들고나오/VV+면서/EC
야당의	야당/NNG+의/JKG
반발이	반발/NNG+이/JKS
거세지고	거세지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000040.391.5.1
김한길 민주당 대표는 오전 최고위원회의에서 “국기문란·헌정파괴에 대한 국정조사를 회피하려고 새누리당이 해묵은 ‘엔엘엘 관련 발언’ 논쟁을 재점화하는 건 국익을 무시한 무책임한 시도”라며 “민주당은 국회법을 따라, 국회 재적의원 3분의 2 동의를 얻어 대화록 원본도 공개하고 정체불명의 사본도 공개할 수 있다”고 밝혔다.

김한길	김한길/NNP
민주당	민주당/NNP
대표는	대표/NNG+는/JX
오전	오전/NNG
최고위원회의에서	최고/NNG+위원/NNG+회의/NNG+에서/JKB
“국기문란·헌정파괴에	“/SS+국기/NNG+문란/NNG+·/SP+헌정/NNG+파괴/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
국정조사를	국정/NNG+조사/NNG+를/JKO
회피하려고	회피/NNG+하/XSV+려고/EC
새누리당이	새누리당/NNP+이/JKS
해묵은	해묵/VV+은/ETM
‘엔엘엘	‘/SS+엔엘엘/NNG
관련	관련/NNG
발언’	발언/NNG+’/SS
논쟁을	논쟁/NNG+을/JKO
재점화하는	재/XPN+점화/NNG+하/XSV+는/ETM
건	거/NNB+ㄴ/JX
국익을	국익/NNG+을/JKO
무시한	무시/NNG+하/XSV+ㄴ/ETM
무책임한	무/XPN+책임/NNG+하/XSA+ㄴ/ETM
시도”라며	시도/NNG+”/SS+이/VCP+라며/EC
“민주당은	“/SS+민주당/NNP+은/JX
국회법을	국회법/NNG+을/JKO
따라,	따르/VV+아/EC+,/SP
국회	국회/NNG
재적의원	재적/NNG+의원/NNG
3분의	3/SN+분/XSN+의/JKG
2	2/SN
동의를	동의/NNG+를/JKO
얻어	얻/VV+어/EC
대화록	대화록/NNG
원본도	원본/NNG+도/JX
공개하고	공개/NNG+하/XSV+고/EC
정체불명의	정체불명/NNG+의/JKG
사본도	사본/NNG+도/JX
공개할	공개/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다”고	있/VA+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.391.5.2
다만 그는 “국정원 대선개입에 대한 국정조사가 선행돼야 한다”고 말했다.

다만	다만/MAG
그는	그/NP+는/JX
“국정원	“/SS+국정원/NNG
대선개입에	대선/NNG+개입/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
국정조사가	국정/NNG+조사/NNG+가/JKS
선행돼야	선행/NNG+되/XSV+어야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.391.6.1
문재인 의원도 성명서를 내어 “북한이 앞으로 엔엘엘에 관해, 남측이 포기하기로 합의했었다고 주장하고 나서면 뭐라고 답할 것인지 묻고 싶다.

문재인	문재인/NNP
의원도	의원/NNG+도/JX
성명서를	성명서/NNG+를/JKO
내어	내/VV+어/EC
“북한이	“/SS+북한/NNP+이/JKS
앞으로	앞/NNG+으로/JKB
엔엘엘에	엔엘엘/NNG+에/JKB
관해,	관하/VV+아/EC+,/SP
남측이	남측/NNG+이/JKS
포기하기로	포기/NNG+하/XSV+기/ETN+로/JKB
합의했었다고	합의/NNG+하/XSV+았었/EP+다고/EC
주장하고	주장/NNG+하/XSV+고/EC
나서면	나서/VV+면/EC
뭐라고	뭐/NP+이/VCP+라고/EC
답할	답/NNG+하/XSV+ㄹ/ETM
것인지	것/NNB+이/VCP+ㄴ지/EC
묻고	묻/VV+고/EC
싶다.	싶/VX+다/EF+./SF


# id : NWRW1800000040.391.6.2
심각한 이적행위가 아닐 수 없다”며 회담 대화록 전문과 녹음테이프 등 녹취자료, 회담 전후 준비·보고 자료 등의 전면 공개를 제안했다.

심각한	심각하/VA+ㄴ/ETM
이적행위가	이적/NNG+행위/NNG+가/JKC
아닐	아니/VCN+ㄹ/ETM
수	수/NNB
없다”며	없/VA+다/EF+”/SS+며/EC
회담	회담/NNG
대화록	대화록/NNG
전문과	전문/NNG+과/JC
녹음테이프	녹음테이프/NNG
등	등/NNB
녹취자료,	녹취/NNG+자료/NNG+,/SP
전후	전후/NNG
준비·보고	준비/NNG+·/SP+보고/NNG
자료	자료/NNG
등의	등/NNB+의/JKG
전면	전면/NNG
공개를	공개/NNG+를/JKO
제안했다.	제안/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.391.7.1
그러나 새누리당은 ‘엔엘엘 국정조사 카드’로 맞섰다.

그러나	그러나/MAJ
새누리당은	새누리당/NNP+은/JX
‘엔엘엘	‘/SS+엔엘엘/NNG
국정조사	국정/NNG+조사/NNG
카드’로	카드/NNG+’/SS+로/JKB
맞섰다.	맞서/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.391.7.2
김재원 새누리당 전략기획위원장은 “(엔엘엘 포기 취지 발언에 대한) 국정조사를 통해 당시 정상회담이 어떻게 시작됐고, 어떤 경위에서 그 발언이 나왔는지, 그 결과는 어떠했는지에 대한 전반적인 조사가 필요하다”고 주장했다.

김재원	김재원/NNP
새누리당	새누리당/NNP
전략기획위원장은	전략/NNG+기획/NNG+위원장/NNG+은/JX
“(엔엘엘	“/SS+(/SS+엔엘엘/NNG
포기	포기/NNG
취지	취지/NNG
발언에	발언/NNG+에/JKB
대한)	대하/VV+ㄴ/ETM+)/SS
국정조사를	국정/NNG+조사/NNG+를/JKO
통해	통하/VV+아/EC
당시	당시/NNG
정상회담이	정상/NNG+회담/NNG+이/JKS
어떻게	어떻/VA+게/EC
시작됐고,	시작/NNG+되/XSV+었/EP+고/EC+,/SP
어떤	어떤/MMD
경위에서	경위/NNG+에서/JKB
그	그/MMD
발언이	발언/NNG+이/JKS
나왔는지,	나오/VV+았/EP+는지/EC+,/SP
결과는	결과/NNG+는/JX
어떠했는지에	어떠하/VA+았/EP+는지/EC+에/JKB
대한	대하/VV+ㄴ/ETM
전반적인	전반/NNG+적/XSN+이/VCP+ㄴ/ETM
조사가	조사/NNG+가/JKS
필요하다”고	필요/NNG+하/XSA+다/EF+”/SS+고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.391.8.1
이에 민주당 등 야당은 국정원과 야합한 새누리당이 ‘엔엘엘 발언 국정조사’를 새로운 조건으로 내걸어, 국정원 국정조사와 국정원 개혁을 무력화하려 한다고 일제히 비판하고 나섰다.

이에	이/NP+에/JKB
민주당	민주당/NNP
등	등/NNB
야당은	야당/NNG+은/JX
국정원과	국정원/NNG+과/JKB
야합한	야합/NNG+하/XSV+ㄴ/ETM
새누리당이	새누리당/NNP+이/JKS
‘엔엘엘	‘/SS+엔엘엘/NNG
발언	발언/NNG
국정조사’를	국정/NNG+조사/NNG+’/SS+를/JKO
새로운	새롭/VA+ㄴ/ETM
조건으로	조건/NNG+으로/JKB
