# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.427
metadata : {}


# id : NWRW1800000028.427.1.1
“무상급식 포퓰리즘 매도 참담”

“무상급식	“/SS+무상/NNG+급식/NNG
포퓰리즘	포퓰리즘/NNG
매도	매도/NNG
참담”	참담/NNG+”/SS


# id : NWRW1800000028.427.2.1
오세훈 서울시장이 최근 무상급식을 “복지의 탈을 쓴 망국적 포퓰리즘”이라고 비난한 데 대해, 곽노현 서울시교육감은 6일 “친환경 무상급식은 서울시의 여론조사에서조차 시민 82.7%가 찬성할 만큼 시민적 합의가 이뤄진 사항이자, 의무교육을 규정한 헌법 정신에 충실한 정책”이라고 반박했다.

오세훈	오세훈/NNP
서울시장이	서울시장/NNG+이/JKS
최근	최근/MAG
무상급식을	무상/NNG+급식/NNG+을/JKO
“복지의	“/SS+복지/NNG+의/JKG
탈을	탈/NNG+을/JKO
쓴	쓰/VV+ㄴ/ETM
망국적	망국/NNG+적/XSN
포퓰리즘”이라고	포퓰리즘/NNG+”/SS+이라고/JKQ
비난한	비난/NNG+하/XSV+ㄴ/ETM
데	데/NNB
대해,	대하/VV+아/EC+,/SP
곽노현	곽노현/NNP
서울시교육감은	서울시/NNP+교육감/NNG+은/JX
6일	6/SN+일/NNB
“친환경	“/SS+친/XPN+환경/NNG
무상급식은	무상/NNG+급식/NNG+은/JX
서울시의	서울시/NNP+의/JKG
여론조사에서조차	여론/NNG+조사/NNG+에서/JKB+조차/JX
시민	시민/NNG
82.7%가	82/SN+./SP+7/SN+%/SW+가/JKS
찬성할	찬성/NNG+하/XSV+ㄹ/ETM
만큼	만큼/NNB
시민적	시민/NNG+적/XSN
합의가	합의/NNG+가/JKS
이뤄진	이뤄지/VV+ㄴ/ETM
사항이자,	사항/NNG+이/VCP+자/EC+,/SP
의무교육을	의무/NNG+교육/NNG+을/JKO
규정한	규정/NNG+하/XSV+ㄴ/ETM
헌법	헌법/NNG
정신에	정신/NNG+에/JKB
충실한	충실/NNG+하/XSA+ㄴ/ETM
정책”이라고	정책/NNG+”/SS+이라고/JKQ
반박했다.	반박/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.427.3.1
곽 교육감은 이날 서울시교육청에서 기자간담회를 열어 “우리 아이들에게 질 좋고 맛있는 식사 한 끼를 세금으로 제공하는 것이 좋겠다는 대다수 시민의 소박한 선의가 이처럼 참담하게 매도당할 것이라고는 전혀 예상하지 못했다”며 이렇게 말했다.

곽	곽/NNP
