# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.245
metadata : {}


# id : NWRW1800000054.245.1.1
학폭 시달린 초등생, 8층서 투신… 목숨 건졌지만

학폭	학폭/NNG
시달린	시달리/VV+ㄴ/ETM
초등생,	초등/NNG+생/XSN+,/SP
8층서	8/SN+층/NNG+서/JKB
투신…	투신/NNG+…/SE
목숨	목숨/NNG
건졌지만	건지/VV+었/EP+지만/EC


# id : NWRW1800000054.245.2.1
학교서 가해자 전학 등 처벌, 피해자 엄마가 글 올려 알려져 "학교와 가해자측 은폐하려 해"

학교서	학교/NNG+서/JKB
가해자	가해자/NNG
전학	전학/NNG
등	등/NNB
처벌,	처벌/NNG+,/SP
피해자	피해자/NNG
엄마가	엄마/NNG+가/JKS
글	글/NNG
올려	올리/VV+어/EC
알려져	알려지/VV+어/EC
"학교와	"/SS+학교/NNG+와/JC
가해자측	가해자/NNG+측/NNB
은폐하려	은폐/NNG+하/XSV+려/EC
해"	하/VX+아/EF+"/SS


# id : NWRW1800000054.245.3.1
서울의 한 초등학생이 동급생들에게 지속적으로 괴롭힘을 당하다 투신해 중상을 입은 사실이 드러나 경찰이 수사에 나섰다.

서울의	서울/NNP+의/JKG
한	한/MMN
초등학생이	초등학생/NNG+이/JKS
동급생들에게	동급/NNG+생/XSN+들/XSN+에게/JKB
지속적으로	지속/NNG+적/XSN+으로/JKB
괴롭힘을	괴롭힘/NNG+을/JKO
당하다	당하/VV+다/EC
투신해	투신/NNG+하/XSV+아/EC
중상을	중상/NNG+을/JKO
입은	입/VV+은/ETM
사실이	사실/NNG+이/JKS
드러나	드러나/VV+아/EC
경찰이	경찰/NNG+이/JKS
수사에	수사/NNG+에/JKB
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.245.3.2
학교 측은 가해 학생들에게 전학 및 출석정지 등 처분을 내렸다.

학교	학교/NNG
측은	측/NNB+은/JX
가해	가해/NNG
학생들에게	학생/NNG+들/XSN+에게/JKB
전학	전학/NNG
및	및/MAG
출석정지	출석/NNG+정지/NNG
등	등/NNB
처분을	처분/NNG+을/JKO
내렸다.	내리/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.245.4.1
18일 서울시교육청과 성동경찰서에 따르면 성동구의 모 초등학교 6학년 A군은 같은 반 B, C, D군에게 몇 달 동안 지속적으로 괴롭힘을 당했다.

18일	18/SN+일/NNB
서울시교육청과	서울시교육청/NNP+과/JC
성동경찰서에	성동경찰서/NNP+에/JKB
따르면	따르/VV+면/EC
성동구의	성동구/NNP+의/JKG
모	모/MMD
초등학교	초등학교/NNG
6학년	6/SN+학년/NNG
A군은	A/SL+군/NNB+은/JX
같은	같/VA+은/ETM
반	반/NNG
B,	B/SL+,/SP
C,	C/SL+,/SP
D군에게	D/SL+군/NNB+에게/JKB
몇	몇/NR
달	달/NNB
동안	동안/NNG
지속적으로	지속/NNG+적/XSN+으로/JKB
괴롭힘을	괴롭힘/NNG+을/JKO
당했다.	당하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.245.4.2
A군은 지난달 19일 'B, C, D에게 괴롭힘을 당해 견디기 힘들다'는 내용이 담긴 편지를 품은 채 아파트 8층 자신의 방 창문에서 뛰어내렸다.

A군은	A/SL+군/NNB+은/JX
지난달	지난달/NNG
19일	19/SN+일/NNB
'B,	'/SS+B/SL+,/SP
C,	C/SL+,/SP
D에게	D/SL+에게/JKB
괴롭힘을	괴롭힘/NNG+을/JKO
당해	당하/VV+아/EC
견디기	견디/VV+기/ETN
힘들다'는	힘들/VA+다/EF+'/SS+는/ETM
내용이	내용/NNG+이/JKS
담긴	담기/VV+ㄴ/ETM
편지를	편지/NNG+를/JKO
품은	품/VV+은/ETM
채	채/NNB
아파트	아파트/NNG
8층	8/SN+층/NNG
자신의	자신/NNG+의/JKG
방	방/NNG
창문에서	창문/NNG+에서/JKB
뛰어내렸다.	뛰어내리/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.245.4.3
경찰 관계자는 "당시 집에 가족이 있었지만, 방문이 닫혀 있어 막지 못했던 것 같다"고 했다.

경찰	경찰/NNG
관계자는	관계자/NNG+는/JX
"당시	"/SS+당시/NNG
집에	집/NNG+에/JKB
가족이	가족/NNG+이/JKS
있었지만,	있/VA+었/EP+지만/EC+,/SP
방문이	방문/NNG+이/JKS
닫혀	닫히/VV+어/EC
있어	있/VX+어/EC
막지	막/VV+지/EC
못했던	못하/VX+았/EP+던/ETM
것	것/NNB
같다"고	같/VA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.245.4.4
나뭇가지에 걸려 목숨을 건진 A군은 곧바로 인근 대학병원 응급실로 옮겨져 두 차례 수술을 받았다.

나뭇가지에	나뭇가지/NNG+에/JKB
걸려	걸리/VV+어/EC
목숨을	목숨/NNG+을/JKO
건진	건지/VV+ㄴ/ETM
A군은	A/SL+군/NNB+은/JX
곧바로	곧바로/MAG
인근	인근/NNG
대학병원	대학/NNG+병원/NNG
응급실로	응급실/NNG+로/JKB
옮겨져	옮기/VV+어/EC+지/VX+어/EC
두	두/MMN
차례	차례/NNG
수술을	수술/NNG+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.245.4.5
A군은 중환자실과 일반 병동을 거쳐 최근 퇴원했다.

A군은	A/SL+군/NNB+은/JX
중환자실과	중환자실/NNG+과/JC
일반	일반/NNG
병동을	병동/NNG+을/JKO
거쳐	거치/VV+어/EC
최근	최근/MAG
퇴원했다.	퇴원/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.245.5.1
A군 측은 지난 4일 학교와 성동광진교육지원청에 피해 사실을 신고했다.

A군	A/SL+군/NNB
측은	측/NNB+은/JX
지난	지나/VV+ㄴ/ETM
4일	4/SN+일/NNB
학교와	학교/NNG+와/JC
성동광진교육지원청에	성동광진교육지원청/NNP+에/JKB
피해	피하/VV+아/EC
사실을	사실/NNG+을/JKO
신고했다.	신고/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.245.5.2
교육지원청은 이튿날 학교에 조사관을 보내 현장조사를 벌였다.

교육지원청은	교육/NNG+지원청/NNG+은/JX
이튿날	이튿날/NNG
학교에	학교/NNG+에/JKB
조사관을	조사관/NNG+을/JKO
보내	보내/VV+어/EC
현장조사를	현장/NNG+조사/NNG+를/JKO
벌였다.	벌이/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.245.5.3
학교는 11일 학교폭력대책자치위원회를 열고 B군에게 전학 처분을, C군과 D군에게는 출석 정지 처분을 내렸다.

학교는	학교/NNG+는/JX
11일	11/SN+일/NNB
학교폭력대책자치위원회를	학교/NNG+폭력/NNG+대책/NNG+자치/NNG+위원회/NNG+를/JKO
열고	열/VV+고/EC
B군에게	B/SL+군/NNB+에게/JKB
전학	전학/NNG
처분을,	처분/NNG+을/JKO+,/SP
C군과	C/SL+군/NNB+과/JC
D군에게는	D/SL+군/NNB+에게/JKB+는/JX
출석	출석/NNG
정지	정지/NNG
