# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.263
metadata : {}


# id : NWRW1800000033.263.1.1
달아오른 메시… 식어버린 경쟁

달아오른	달아오르/VV+ㄴ/ETM
메시…	메시/NNP+…/SE
식어버린	식/VV+어/EC+버리/VX+ㄴ/ETM
경쟁	경쟁/NNG


# id : NWRW1800000033.263.2.1
스페인 프리메라리가 전통의 라이벌 FC 바르셀로나(바르사)와 레알 마드리드(레알)의 희비가 양 팀 ‘에이스’의 활약에 따라 크게 엇갈렸다.

스페인	스페인/NNP
프리메라리가	프리메라리가/NNG
전통의	전통/NNG+의/JKG
라이벌	라이벌/NNG
FC	FC/SL
바르셀로나(바르사)와	바르셀로나/NNP+(/SS+바르사/NNP+)/SS+와/JC
레알	레알/NNP
마드리드(레알)의	마드리드/NNP+(/SS+레알/NNP+)/SS+의/JKG
희비가	희비/NNG+가/JKS
양	양/MMN
팀	팀/NNG
‘에이스’의	‘/SS+에이스/NNG+’/SS+의/JKG
활약에	활약/NNG+에/JKB
따라	따르/VV+아/EC
크게	크/VA+게/EC
엇갈렸다.	엇갈리/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.263.3.1
바르사의 ‘마법사’ 리오넬 메시(25)는 이번 시즌 리그 12경기에서 멀티골(2골 11경기·해트트릭 1경기)을 터뜨리며 팀의 무패 행진(16승 1무·승점 49·1위)을 이끌고 있다.

바르사의	바르사/NNP+의/JKG
‘마법사’	‘/SS+마법사/NNG+’/SS
리오넬	리오넬/NNP
메시(25)는	메시/NNP+(/SS+25/SN+)/SS+는/JX
이번	이번/NNG
시즌	시즌/NNG
리그	리그/NNG
12경기에서	12/SN+경기/NNG+에서/JKB
멀티골(2골	멀티골/NNG+(/SS+2/SN+골/NNG
11경기·해트트릭	11/SN+경기/NNG+·/SP+해트트릭/NNG
1경기)을	1/SN+경기/NNG+)/SS+을/JKO
터뜨리며	터뜨리/VV+며/EC
팀의	팀/NNG+의/JKG
무패	무패/NNG
행진(16승	행진/NNG+(/SS+16/SN+승/NNB
1무·승점	1/SN+무/NNB+·/SP+승점/NNG
49·1위)을	49/SN+·/SP+1/SN+위/NNB+)/SS+을/JKO
이끌고	이끌/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.263.4.1
반면 레알의 ‘득점 기계’ 크리스티아누 호날두(27)는 활약상이 들쭉날쭉하다.

반면	반면/NNG
레알의	레알/NNP+의/JKG
‘득점	‘/SS+득점/NNG
기계’	기계/NNG+’/SS
크리스티아누	크리스티아누/NNP
호날두(27)는	호날두/NNP+(/SS+27/SN+)/SS+는/JX
활약상이	활약상/NNG+이/JKS
들쭉날쭉하다.	들쭉날쭉/MAG+하/XSA+다/EF+./SF


# id : NWRW1800000033.263.4.2
호날두가 무득점에 그친 5경기에서 레알은 1무 4패를 거뒀고 현재 아틀레티코 마드리드(승점 40)에 밀려 3위(승점 33)에 머물고 있다.

호날두가	호날두/NNP+가/JKS
무득점에	무/XPN+득점/NNG+에/JKB
그친	그치/VV+ㄴ/ETM
5경기에서	5/SN+경기/NNG+에서/JKB
레알은	레알/NNP+은/JX
1무	1/SN+무/NNB
4패를	4/SN+패/NNB+를/JKO
거뒀고	거두/VV+었/EP+고/EC
현재	현재/MAG
아틀레티코	아틀레티코/NNP
마드리드(승점	마드리드/NNP+(/SS+승점/NNG
40)에	40/SN+)/SS+에/JKB
밀려	밀리/VV+어/EC
3위(승점	3/SN+위/NNB+(/SS+승점/NNG
33)에	33/SN+)/SS+에/JKB
머물고	머물/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.263.5.1
메시와 호날두는 지난 시즌까지 리그 득점왕을 양분했다.

메시와	메시/NNP+와/JC
호날두는	호날두/NNP+는/JX
지난	지나/VV+ㄴ/ETM
시즌까지	시즌/NNG+까지/JX
리그	리그/NNG
득점왕을	득점왕/NNG+을/JKO
양분했다.	양분/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.263.5.2
2009∼2010시즌은 메시가 34골, 2010∼2011시즌은 호날두가 40골, 2011∼2012시즌은 메시가 50골을 기록하며 득점왕에 올랐다.

2009∼2010시즌은	2009/SN+∼/SO+2010/SN+시즌/NNG+은/JX
메시가	메시/NNP+가/JKS
34골,	34/SN+골/NNG+,/SP
2010∼2011시즌은	2010/SN+∼/SO+2011/SN+시즌/NNG+은/JX
호날두가	호날두/NNP+가/JKS
40골,	40/SN+골/NNG+,/SP
2011∼2012시즌은	2011/SN+∼/SO+2012/SN+시즌/NNG+은/JX
50골을	50/SN+골/NNG+을/JKO
기록하며	기록/NNG+하/XSV+며/EC
득점왕에	득점왕/NNG+에/JKB
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.263.5.3
그러나 이번 시즌은 메시가 압도적인 우위를 점하고 있다.

그러나	그러나/MAJ
이번	이번/NNG
시즌은	시즌/NNG+은/JX
메시가	메시/NNP+가/JKS
압도적인	압도/NNG+적/XSN+이/VCP+ㄴ/ETM
우위를	우위/NNG+를/JKO
점하고	점하/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.263.5.4
그는 23일 현재 17경기에 출전해 26골(경기당 1.5골)로 득점 1위에 올라 있고, 2012년에만 91골을 터뜨려 ‘1년 개인 최다골 기록’을 새로 썼다.

그는	그/NP+는/JX
23일	23/SN+일/NNB
현재	현재/MAG
17경기에	17/SN+경기/NNG+에/JKB
출전해	출전/NNG+하/XSV+아/EC
26골(경기당	26/SN+골/NNG+(/SS+경기/NNG+당/XSN
1.5골)로	1/SN+./SP+5/SN+골/NNG+)/SS+로/JKB
득점	득점/NNG
1위에	1/SN+위/NNB+에/JKB
올라	오르/VV+아/EC
있고,	있/VX+고/EC+,/SP
2012년에만	2012/SN+년/NNB+에/JKB+만/JX
91골을	91/SN+골/NNG+을/JKO
터뜨려	터뜨리/VV+어/EC
‘1년	‘/SS+1/SN+년/NNB
개인	개인/NNG
최다골	최다/NNG+골/NNG
기록’을	기록/NNG+’/SS+을/JKO
새로	새로/MAG
썼다.	쓰/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.263.5.5
지난 시즌 37경기에서 50골(경기당 약 1.4골)을 넣었을 때보다 득점력이 더 좋아졌다.

지난	지나/VV+ㄴ/ETM
시즌	시즌/NNG
37경기에서	37/SN+경기/NNG+에서/JKB
50골(경기당	50/SN+골/NNG+(/SS+경기/NNG+당/XSN
약	약/MMA
1.4골)을	1/SN+./SP+4/SN+골/NNG+)/SS+을/JKO
넣었을	넣/VV+었/EP+을/ETM
때보다	때/NNG+보다/JKB
득점력이	득점력/NNG+이/JKS
더	더/MAG
좋아졌다.	좋/VA+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000033.263.5.6
