# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.249
metadata : {}


# id : NWRW1800000054.249.1.1
해상 케이블카 타고 돈이 들어온다

해상	해상/NNG
케이블카	케이블카/NNG
타고	타/VV+고/EC
돈이	돈/NNG+이/JKS
들어온다	들어오/VV+ㄴ다/EF


# id : NWRW1800000054.249.2.1
통영 성공 이후 지자체 설치 붐

통영	통영/NNP
성공	성공/NNG
이후	이후/NNG
지자체	지자체/NNG
설치	설치/NNG
붐	붐/NNG


# id : NWRW1800000054.249.3.1
요즘 송도해수욕장이 있는 부산 서구 암남동 일대가 들썩인다.

요즘	요즘/NNG
송도해수욕장이	송도해수욕장/NNP+이/JKS
있는	있/VA+는/ETM
부산	부산/NNP
서구	서구/NNP
암남동	암남동/NNP
일대가	일대/NNG+가/JKS
들썩인다.	들썩이/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.249.3.2
지난 6월 20일 해수욕장 동쪽 송림공원에서 앞바다를 가로질러 서쪽 암남공원까지 1.62㎞ 구간을 오가는 송도해상케이블카 개통 이후 벌어진 현상이다.

지난	지나/VV+ㄴ/ETM
6월	6/SN+월/NNB
20일	20/SN+일/NNB
해수욕장	해수욕장/NNG
동쪽	동쪽/NNG
송림공원에서	송림공원/NNP+에서/JKB
앞바다를	앞바다/NNG+를/JKO
가로질러	가로지르/VV+어/EC
서쪽	서쪽/NNG
암남공원까지	암남공원/NNP+까지/JX
1.62㎞	1/SN+./SP+62/SN+㎞/SW
구간을	구간/NNG+을/JKO
오가는	오가/VV+는/ETM
송도해상케이블카	송도/NNP+해상/NNG+케이블카/NNG
개통	개통/NNG
이후	이후/NNG
벌어진	벌어지/VV+ㄴ/ETM
현상이다.	현상/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.249.3.3
지난 7월 20층 규모의 호텔이 공사를 시작했고, 19층과 28층 규모의 호텔이 내년 상반기 잇따라 착공할 예정이다.

지난	지나/VV+ㄴ/ETM
7월	7/SN+월/NNB
20층	20/SN+층/NNG
규모의	규모/NNG+의/JKG
호텔이	호텔/NNG+이/JKS
공사를	공사/NNG+를/JKO
시작했고,	시작/NNG+하/XSV+았/EP+고/EC+,/SP
19층과	19/SN+층/NNG+과/JC
28층	28/SN+층/NNG
내년	내년/NNG
상반기	상반기/NNG
잇따라	잇따르/VV+아/EC
착공할	착공/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.249.3.4
지역의 한 부동산업자는 "평당 500만~600만원 하던 주변 땅값이 해상케이블카 운행 이후 2~5배씩 올랐다"고 말했다.

지역의	지역/NNG+의/JKG
한	한/MMN
부동산업자는	부동산업자/NNG+는/JX
"평당	"/SS+평/NNB+당/XSN
500만~600만원	500/SN+만/NR+~/SO+600/SN+만/NR+원/NNB
하던	하/VV+던/ETM
주변	주변/NNG
땅값이	땅값/NNG+이/JKS
해상케이블카	해상/NNG+케이블카/NNG
운행	운행/NNG
이후	이후/NNG
2~5배씩	2/SN+~/SO+5/SN+배/NNG+씩/XSN
올랐다"고	오르/VV+았/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.249.4.1
◇통영이 불붙인 해상케이블카 열풍

◇통영이	◇/SW+통영/NNP+이/JKS
불붙인	불붙이/VV+ㄴ/ETM
해상케이블카	해상/NNG+케이블카/NNG
열풍	열풍/NNG


# id : NWRW1800000054.249.5.1
부산 송도해상케이블카는 바다 위를 지나는 국내 케이블카 중 가장 노선이 길다.

부산	부산/NNP
송도해상케이블카는	송도/NNP+해상/NNG+케이블카/NNG+는/JX
바다	바다/NNG
위를	위/NNG+를/JKO
지나는	지나/VV+는/ETM
국내	국내/NNG
케이블카	케이블카/NNG
중	중/NNB
가장	가장/MAG
노선이	노선/NNG+이/JKS
길다.	길/VA+다/EF+./SF


# id : NWRW1800000054.249.5.2
㈜부산에어크루즈사가 665억원을 들여 설치했다.

㈜부산에어크루즈사가	㈜/SW+부산에어크루즈사/NNP+가/JKS
665억원을	665/SN+억/NR+원/NNB+을/JKO
들여	들이/VV+어/EC
설치했다.	설치/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.249.5.3
애초 지역에선 경제성이 떨어진다는 우려가 컸다.

애초	애초/NNG
지역에선	지역/NNG+에서/JKB+ㄴ/JX
경제성이	경제/NNG+성/XSN+이/JKS
떨어진다는	떨어지/VV+ㄴ다는/ETM
우려가	우려/NNG+가/JKS
컸다.	크/VA+었/EP+다/EF+./SF


# id : NWRW1800000054.249.5.4
뚜껑을 열어보니 정반대였다.

뚜껑을	뚜껑/NNG+을/JKO
열어보니	열/VV+어/EC+보/VX+니/EC
정반대였다.	정반대/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000054.249.5.5
많을 때는 하루 1만1000명이 케이블카를 타고 바다 풍광을 즐겼다.

많을	많/VA+을/ETM
때는	때/NNG+는/JX
하루	하루/NNG
1만1000명이	1/SN+만/NR+1000/SN+명/NNB+이/JKS
케이블카를	케이블카/NNG+를/JKO
타고	타/VV+고/EC
바다	바다/NNG
풍광을	풍광/NNG+을/JKO
즐겼다.	즐기/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.249.5.6
대기 줄이 1시간 이상 이어지기도 했다.

대기	대기/NNG
줄이	줄/NNG+이/JKS
1시간	1/SN+시간/NNB
이상	이상/NNG
이어지기도	이어지/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000054.249.5.7
겨울에도 주말이면 하루 6000명이 찾는다.

겨울에도	겨울/NNG+에/JKB+도/JX
주말이면	주말/NNG+이/VCP+면/EC
하루	하루/NNG
6000명이	6000/SN+명/NNB+이/JKS
찾는다.	찾/VV+는다/EF+./SF


# id : NWRW1800000054.249.5.8
개장 후 6개월간 티켓 판매 매출액은 174억원.

개장	개장/NNG
후	후/NNG
6개월간	6/SN+개월/NNB+간/XSN
티켓	티켓/NNG
판매	판매/NNG
매출액은	매출액/NNG+은/JX
174억원.	174/SN+억/NR+원/NNB+./SF


# id : NWRW1800000054.249.5.9
지난여름 송도해수욕장 이용객이 사상 첫 1000만명을 돌파한 1등 공신도 케이블카다.

지난여름	지난여름/NNG
송도해수욕장	송도해수욕장/NNP
이용객이	이용객/NNG+이/JKS
사상	사상/NNG
첫	첫/MMN
1000만명을	1000/SN+만/NR+명/NNB+을/JKO
돌파한	돌파/NNG+하/XSV+ㄴ/ETM
1등	1/SN+등/NNB
공신도	공신/NNG+도/JX
케이블카다.	케이블카/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.249.5.10
옥두성 서구 공보팀장은 "지역 관광과 상권 활성화에 기폭제가 됐다"고 말했다.

옥두성	옥두성/NNP
서구	서구/NNP
공보팀장은	공보/NNG+팀장/NNG+은/JX
"지역	"/SS+지역/NNG
관광과	관광/NNG+과/JC
상권	상권/NNG
활성화에	활성/NNG+화/XSN+에/JKB
기폭제가	기폭제/NNG+가/JKC
됐다"고	되/VV+었/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.249.5.11
송도는 최근 불고 있는 해상케이블카 열풍을 단적으로 보여준다.

송도는	송도/NNP+는/JX
최근	최근/NNG
불고	불/VV+고/EC
있는	있/VX+는/ETM
