# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.393
metadata : {}


# id : NWRW1800000038.393.1.1
[기자수첩] 軍기밀 대우 못받은 '합참 통제선'

[기자수첩]	[/SS+기자/NNG+수첩/NNG+]/SS
軍기밀	軍/SH+기밀/NNG
대우	대우/NNG
못받은	못/MAG+받/VV+은/ETM
'합참	'/SS+합참/NNG
통제선'	통제선/NNG+'/SS


# id : NWRW1800000038.393.2.1
"이 선(線)이 노출될 경우 우리 군의 NLL(북방한계선) 완충 구역 등이 드러나고 북한이 악용(惡用)할 수 있기 때문에 보도를 자제해 주시기 바랍니다."

"이	"/SS+이/MMD
선(線)이	선/NNG+(/SS+線/SH+)/SS+이/JKS
노출될	노출/NNG+되/XSV+ㄹ/ETM
경우	경우/NNG
우리	우리/NP
군의	군/NNG+의/JKG
NLL(북방한계선)	NLL/SL+(/SS+북방/NNG+한계선/NNG+)/SS
완충	완충/NNG
구역	구역/NNG
등이	등/NNB+이/JKS
드러나고	드러나/VV+고/EC
북한이	북한/NNP+이/JKS
악용(惡用)할	악용/NNG+(/SS+惡用/SH+)/SS+하/XSV+ㄹ/ETM
수	수/NNB
있기	있/VA+기/ETN
때문에	때문/NNB+에/JKB
보도를	보도/NNG+를/JKO
자제해	자제/NNG+하/XSV+아/EC
주시기	주/VX+시/EP+기/ETN
바랍니다."	바라/VV+ㅂ니다/EF+./SF+"/SS


# id : NWRW1800000038.393.3.1
2002년 6월 29일 제2 연평해전이 벌어졌을 당시 합동참모본부가 교전 상황을 브리핑한 뒤 각 언론에 당부했던 말이다.

2002년	2002/SN+년/NNB
6월	6/SN+월/NNB
29일	29/SN+일/NNB
제2	제/XPN+2/SN
연평해전이	연평/NNP+해전/NNG+이/JKS
벌어졌을	벌어지/VV+었/EP+을/ETM
당시	당시/NNG
합동참모본부가	합동/NNG+참모/NNG+본부/NNG+가/JKS
교전	교전/NNG
상황을	상황/NNG+을/JKO
브리핑한	브리핑/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
각	각/MMD
언론에	언론/NNG+에/JKB
당부했던	당부/NNG+하/XSV+았/EP+던/ETM
말이다.	말/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.393.3.2
당시 합참이 브리핑한 지도에 NLL 남쪽으로 어로 한계선과 합참 통제선 등이 표시돼 있었는데 언론에 보도 자제를 요청했던 것이다.

당시	당시/NNG
합참이	합참/NNG+이/JKS
브리핑한	브리핑/NNG+하/XSV+ㄴ/ETM
지도에	지도/NNG+에/JKB
NLL	NLL/SL
남쪽으로	남쪽/NNG+으로/JKB
어로	어로/NNG
한계선과	한계선/NNG+과/JC
합참	합참/NNG
통제선	통제선/NNG
등이	등/NNB+이/JKS
표시돼	표시/NNG+되/XSV+어/EC
있었는데	있/VX+었/EP+는데/EC
언론에	언론/NNG+에/JKB
보도	보도/NNG
자제를	자제/NNG+를/JKO
요청했던	요청/NNG+하/XSV+았/EP+던/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.393.4.1
합참 통제선은 평소 우리 함정들이 북한을 자극하지 않기 위해 NLL 남쪽 10㎞ 안쪽에 1996년 설정한 선이다.

합참	합참/NNG
통제선은	통제선/NNG+은/JX
평소	평소/NNG
우리	우리/NP
함정들이	함정/NNG+들/XSN+이/JKS
북한을	북한/NNP+을/JKO
자극하지	자극/NNG+하/XSV+지/EC
않기	않/VX+기/ETN
위해	위하/VV+아/EC
NLL	NLL/SL
남쪽	남쪽/NNG
10㎞	10/SN+㎞/SW
안쪽에	안쪽/NNG+에/JKB
