# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.334
metadata : {}


# id : NWRW1800000041.334.1.1
재보선… 홍철호 “300년 代이은 지역 일꾼”… 김두관 “국정경험 바탕 현안 해결”

재보선…	재보선/NNG+…/SE
홍철호	홍철호/NNP
“300년	“/SS+300/SN+년/NNB
代이은	代/SH+잇/VV+은/ETM
지역	지역/NNG
일꾼”…	일/NNG+꾼/XSN+”/SS+…/SE
김두관	김두관/NNP
“국정경험	“/SS+국정/NNG+경험/NNG
바탕	바탕/NNG
현안	현안/NNG
해결”	해결/NNG+”/SS


# id : NWRW1800000041.334.2.1
[7:30 여기!]⑤경기 김포

[7:30	[/SS+7/SN+:/SP+30/SN
여기!]⑤경기	여기/NP+!/SF+]/SS+⑤/SN+경기/NNP
김포	김포/NNP


# id : NWRW1800000041.334.3.1
“저는 김포의 미래를 위해서 나왔습니다.

“저는	“/SS+저/NP+는/JX
김포의	김포/NNP+의/JKG
미래를	미래/NNG+를/JKO
위해서	위하/VV+아서/EC
나왔습니다.	나오/VV+았/EP+습니다/EF+./SF


# id : NWRW1800000041.334.3.2
현재를 모르고서는 미래를 설계할 수 없습니다.”(새누리당 홍철호 후보)

현재를	현재/NNG+를/JKO
모르고서는	모르/VV+고서/EC+는/JX
미래를	미래/NNG+를/JKO
설계할	설계/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없습니다.”(새누리당	없/VA+습니다/EF+./SF+”/SS+(/SS+새누리당/NNP
홍철호	홍철호/NNP
후보)	후보/NNG+)/SS


# id : NWRW1800000041.334.4.1
“조상 대대로 살아오신 주민과 새 기회를 찾으러 오신 주민이 어우러지는 대한민국에서 가장 살기 좋은 김포를 만들겠습니다.”(새정치민주연합 김두관 후보)

“조상	“/SS+조상/NNG
대대로	대대로/MAG
살아오신	살아오/VV+시/EP+ㄴ/ETM
주민과	주민/NNG+과/JC
새	새/MMA
기회를	기회/NNG+를/JKO
찾으러	찾/VV+으러/EC
오신	오/VV+시/EP+ㄴ/ETM
주민이	주민/NNG+이/JKS
어우러지는	어우러지/VV+는/ETM
대한민국에서	대한민국/NNP+에서/JKB
가장	가장/MAG
살기	살/VV+기/ETN
좋은	좋/VA+은/ETM
김포를	김포/NNP+를/JKO
만들겠습니다.”(새정치민주연합	만들/VV+겠/EP+습니다/EF+./SF+”/SS+(/SS+새정치민주연합/NNP
김두관	김두관/NNP
후보)	후보/NNG+)/SS


# id : NWRW1800000041.334.5.1
7·30 재·보궐선거 선거운동이 공식적으로 시작된 다음 날인 18일 두 후보는 새벽부터 늦은 밤까지 지역 구석구석을 훑었다.

7·30	7/SN+·/SP+30/SN
재·보궐선거	재/XPN+·/SP+보궐/NNG+선거/NNG
선거운동이	선거/NNG+운동/NNG+이/JKS
공식적으로	공식/NNG+적/XSN+으로/JKB
시작된	시작/NNG+되/XSV+ㄴ/ETM
다음	다음/NNG
날인	날/NNG+이/VCP+ㄴ/ETM
18일	18/SN+일/NNB
두	두/MMN
후보는	후보/NNG+는/JX
새벽부터	새벽/NNG+부터/JX
늦은	늦/VA+은/ETM
밤까지	밤/NNG+까지/JX
지역	지역/NNG
구석구석을	구석구석/NNG+을/JKO
훑었다.	훑/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.334.5.2
홍 후보와 김 후보는 ‘튼튼한 기역기반’과 ‘풍부한 정치 경험’을 각각 장점으로 앞세우면서도 치열한 신경전을 벌였다.

홍	홍/NNP
후보와	후보/NNG+와/JC
김	김/NNP
후보는	후보/NNG+는/JX
‘튼튼한	‘/SS+튼튼하/VA+ㄴ/ETM
기역기반’과	기역/NNG+기반/NNG+’/SS+과/JC
‘풍부한	‘/SS+풍부하/VA+ㄴ/ETM
정치	정치/NNG
경험’을	경험/NNG+’/SS+을/JKO
각각	각각/MAG
장점으로	장점/NNG+으로/JKB
앞세우면서도	앞세우/VV+면서/EC+도/JX
치열한	치열/NNG+하/XSA+ㄴ/ETM
신경전을	신경전/NNG+을/JKO
벌였다.	벌이/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.334.5.3
선거 초반 판세에선 홍 후보가 김 후보를 다소 앞서는 것으로 나타났지만 ‘거물’인 김 후보가 맹추격을 벌이고 있어 막판 접전이 예상된다, 여야 지도부는 이날 최고위원회의를 각 후보의 캠프사무실에서 열면서 적극적인 지원에 나섰다.

선거	선거/NNG
초반	초반/NNG
판세에선	판세/NNG+에서/JKB+ㄴ/JX
홍	홍/NNP
후보가	후보/NNG+가/JKS
김	김/NNP
후보를	후보/NNG+를/JKO
다소	다소/MAG
앞서는	앞서/VV+는/ETM
것으로	것/NNB+으로/JKB
나타났지만	나타나/VV+았/EP+지만/EC
‘거물’인	‘/SS+거물/NNG+’/SS+이/VCP+ㄴ/ETM
