# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.87
metadata : {}


# id : NWRW1800000054.87.1.1
"하고 싶은 일 하는 게 이기적?

"하고	"/SS+하/VV+고/EC
싶은	싶/VX+은/ETM
일	일/NNG
하는	하/VV+는/ETM
게	거/NNB+이/JKS
이기적?	이기/NNG+적/XSN+?/SF


# id : NWRW1800000054.87.1.2
가장 나답게 사는 것"

가장	가장/MAG
나답게	나/NP+답/XSA+게/EC
사는	살/VV+는/ETM
것"	것/NNB+"/SS


# id : NWRW1800000054.87.2.1
'아무튼' 시리즈의 기발한 도전

'아무튼'	'/SS+아무튼/MAG+'/SS
시리즈의	시리즈/NNG+의/JKG
기발한	기발하/VA+ㄴ/ETM
도전	도전/NNG


# id : NWRW1800000054.87.3.1
"생각만 해도 좋은, 설레는, 피난처가 되는, 한 가지는 무엇입니까?"

"생각만	"/SS+생각/NNG+만/JX
해도	하/VV+아도/EC
좋은,	좋/VA+은/ETM+,/SP
설레는,	설레/VV+는/ETM+,/SP
피난처가	피난처/NNG+가/JKC
되는,	되/VV+는/ETM+,/SP
한	한/MMN
가지는	가지/NNB+는/JX
무엇입니까?"	무엇/NP+이/VCP+ㅂ니까/EF+?/SF+"/SS


# id : NWRW1800000054.87.4.1
최근 서점가에 나온 에세이 '아무튼' 시리즈는 화제작 한 편이 서점가를 강타하는 한국 시장에서 다품종 소량 생산으로 여러 독자 취향을 공략하겠다며 도전장을 냈다.

최근	최근/NNG
서점가에	서점가/NNG+에/JKB
나온	나오/VV+ㄴ/ETM
에세이	에세이/NNG
'아무튼'	'/SS+아무튼/MAG+'/SS
시리즈는	시리즈/NNG+는/JX
화제작	화제작/NNG
한	한/MMN
편이	편/NNB+이/JKS
서점가를	서점가/NNG+를/JKO
강타하는	강타/NNG+하/XSV+는/ETM
한국	한국/NNP
시장에서	시장/NNG+에서/JKB
다품종	다품종/NNG
소량	소량/NNG
생산으로	생산/NNG+으로/JKB
여러	여러/MMN
독자	독자/NNG
취향을	취향/NNG+을/JKO
공략하겠다며	공략/NNG+하/XSV+겠/EP+다며/EC
도전장을	도전장/NNG+을/JKO
냈다.	내/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.87.4.2
'생각만 해도 좋은 한 가지'라는 콘셉트로 저자들이 가장 개인적인 경험과 취향을 털어놓는다.

'생각만	'/SS+생각/NNG+만/JX
해도	하/VV+아도/EC
좋은	좋/VA+은/ETM
한	한/MMN
가지'라는	가지/NNB+'/SS+이/VCP+라는/ETM
콘셉트로	콘셉트/NNG+로/JKB
저자들이	저자/NNG+들/XSN+이/JKS
가장	가장/MAG
개인적인	개인/NNG+적/XSN+이/VCP+ㄴ/ETM
경험과	경험/NNG+과/JC
취향을	취향/NNG+을/JKO
털어놓는다.	털어놓/VV+는다/EF+./SF


# id : NWRW1800000054.87.4.3
1인 출판사 '코난북스', '제철소'와 부부가 운영하는 '위고' 3곳이 콘셉트, 문고본이라는 판형, 가격을 공유하는 독특한 기획 출판이기도 하다.

1인	1/SN+인/NNG
출판사	출판사/NNG
'코난북스',	'/SS+코난북스/NNP+'/SS+,/SP
'제철소'와	'/SS+제철소/NNP+'/SS+와/JC
부부가	부부/NNG+가/JKS
운영하는	운영/NNG+하/XSV+는/ETM
'위고'	'/SS+위고/NNP+'/SS
3곳이	3/SN+곳/NNG+이/JKS
콘셉트,	콘셉트/NNG+,/SP
문고본이라는	문고본/NNG+이/VCP+라는/ETM
판형,	판형/NNG+,/SP
가격을	가격/NNG+을/JKO
공유하는	공유/NNG+하/XSV+는/ETM
독특한	독특/NNG+하/XSA+ㄴ/ETM
기획	기획/NNG
출판이기도	출판/NNG+이/VCP+기/ETN+도/JX
하다.	하/VX+다/EF+./SF


# id : NWRW1800000054.87.5.1
독립서점과 소셜미디어 등에서 반응이 뜨겁다.

독립서점과	독립/NNG+서점/NNG+과/JC
소셜미디어	소셜/NNG+미디어/NNG
등에서	등/NNB+에서/JKB
반응이	반응/NNG+이/JKS
뜨겁다.	뜨겁/VA+다/EF+./SF


# id : NWRW1800000054.87.5.2
'아무튼, 망원동'을 읽은 독자는 "'아무튼, 옥수동' 같은 제목으로 내가 자란 곳 이야기를 쓰고 싶어졌다"고 하고, '아무튼, 쇼핑'을 읽은 독자는 "소개하는 물건마다 구매욕이 일어 검색해보느라 정작 책 진도가 안 나간다"고 한다.

'아무튼,	'/SS+아무튼/MAG+,/SP
망원동'을	망원동/NNP+'/SS+을/JKO
읽은	읽/VV+은/ETM
독자는	독자/NNG+는/JX
"'아무튼,	"/SS+'/SS+아무튼/MAG+,/SP
옥수동'	옥수동/NNP+'/SS
같은	같/VA+은/ETM
제목으로	제목/NNG+으로/JKB
내가	내/NP+가/JKS
자란	자라/VV+ㄴ/ETM
곳	곳/NNG
이야기를	이야기/NNG+를/JKO
쓰고	쓰/VV+고/EC
싶어졌다"고	싶/VX+어/EC+지/VX+었/EP+다/EF+"/SS+고/JKQ
하고,	하/VV+고/EC+,/SP
쇼핑'을	쇼핑/NNG+'/SS+을/JKO
"소개하는	"/SS+소개/NNG+하/XSV+는/ETM
물건마다	물건/NNG+마다/JX
구매욕이	구매욕/NNG+이/JKS
일어	일/VV+어/EC
검색해보느라	검색/NNG+하/XSV+아/EC+보/VX+느라/EC
정작	정작/MAG
책	책/NNG
진도가	진도/NNG+가/JKS
안	안/MAG
나간다"고	나가/VV+ㄴ다/EF+"/SS+고/JKQ
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.87.5.3
시리즈 첫 5권 중 '망원동' '서재' '게스트하우스' '쇼핑'을 주제로 쓴 작가 4명을 만났다.

시리즈	시리즈/NNG
첫	첫/MMN
5권	5/SN+권/NNB
중	중/NNB
'망원동'	'/SS+망원동/NNP+'/SS
'서재'	'/SS+서재/NNG+'/SS
'게스트하우스'	'/SS+게스트하우스/NNG+'/SS
'쇼핑'을	'/SS+쇼핑/NNG+'/SS+을/JKO
주제로	주제/NNG+로/JKB
쓴	쓰/VV+ㄴ/ETM
작가	작가/NNG
4명을	4/SN+명/NNB+을/JKO
만났다.	만나/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.87.5.4
책 좀 읽고 글 좀 썼던 대리기사, 목수, 약사, 일러스트레이터다.

책	책/NNG
좀	좀/MAG
읽고	읽/VV+고/EC
글	글/NNG
썼던	쓰/VV+었/EP+던/ETM
대리기사,	대리/NNG+기사/NNG+,/SP
목수,	목수/NNG+,/SP
약사,	약사/NNG+,/SP
일러스트레이터다.	일러스트레이터/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.87.6.1
나이도 직업도 제각각인 작가들은 입을 모아 "사람은 모두 각자의 '아무튼'을 갖고 있다"고 했다.

나이도	나이/NNG+도/JX
직업도	직업/NNG+도/JX
제각각인	제각각/NNG+이/VCP+ㄴ/ETM
작가들은	작가/NNG+들/XSN+은/JX
입을	입/NNG+을/JKO
모아	모으/VV+아/EC
"사람은	"/SS+사람/NNG+은/JX
모두	모두/MAG
각자의	각자/NNG+의/JKG
'아무튼'을	'/SS+아무튼/MAG+'/SS+을/JKO
갖고	갖/VV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.87.6.2
다만 부끄러워서 밝히지 않거나 깊이 파고들지 않아서 없다고 생각할 뿐이라는 것.

다만	다만/MAG
부끄러워서	부끄럽/VA+어서/EC
밝히지	밝히/VV+지/EC
않거나	않/VX+거나/EC
깊이	깊이/MAG
파고들지	파고들/VV+지/EC
않아서	않/VX+아서/EC
없다고	없/VA+다고/EC
생각할	생각/NNG+하/XSV+ㄹ/ETM
뿐이라는	뿐/NNB+이/VCP+라는/ETM
것.	것/NNB+./SF


# id : NWRW1800000054.87.6.3
'아무튼'은 '나답게 살아간다는 것'에 대한 이야기다.

'아무튼'은	'/SS+아무튼/MAG+'/SS+은/JX
'나답게	'/SS+나/NP+답/XSA+게/EC
살아간다는	살아가/VV+ㄴ다는/ETM
것'에	것/NNB+'/SS+에/JKB
대한	대하/VV+ㄴ/ETM
이야기다.	이야기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.87.7.1
김민섭(34)씨는 박사 수료생 시절이던 2014년 지방대 시간강사의 현실을 폭로한 '나는 지방대 시간강사다'를 펴내면서 학교와 학계에서 쫓기듯 떠났다.

김민섭(34)씨는	김민섭/NNP+(/SS+34/SN+)/SS+씨/NNB+는/JX
박사	박사/NNG
수료생	수료/NNG+생/XSN
시절이던	시절/NNG+이/VCP+던/ETM
2014년	2014/SN+년/NNB
지방대	지방대/NNG
시간강사의	시간/NNG+강사/NNG+의/JKG
현실을	현실/NNG+을/JKO
폭로한	폭로/NNG+하/XSV+ㄴ/ETM
'나는	'/SS+나/NP+는/JX
시간강사다'를	시간/NNG+강사/NNG+이/VCP+다/EF+'/SS+를/JKO
펴내면서	펴내/VV+면서/EC
학교와	학교/NNG+와/JC
학계에서	학계/NNG+에서/JKB
쫓기듯	쫓기/VV+듯/EC
떠났다.	떠나/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.87.7.2
육아를 위해 7년 동안 투수 겸 감독으로 뛰었던 사회인 야구단도 그만뒀다.

육아를	육아/NNG+를/JKO
위해	위하/VV+아/EC
7년	7/SN+년/NNB
동안	동안/NNG
투수	투수/NNG
겸	겸/NNB
감독으로	감독/NNG+으로/JKB
뛰었던	뛰/VV+었/EP+던/ETM
사회인	사회인/NNG
야구단도	야구단/NNG+도/JX
그만뒀다.	그만두/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.87.7.3
그래도 그에게는 '망원동'이 있었다.

그래도	그래도/MAJ
그에게는	그/NP+에게/JKB+는/JX
'망원동'이	'/SS+망원동/NNP+'/SS+이/JKS
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000054.87.7.4
태어나서 자랐고, 지금은 강원도 원주에 있는 처자식과 떨어져 1주일에 사흘, 글 쓰는 작업실이 있는 곳이다.

태어나서	태어나/VV+아서/EC
자랐고,	자라/VV+았/EP+고/EC+,/SP
지금은	지금/NNG+은/JX
강원도	강원도/NNP
원주에	원주/NNP+에/JKB
있는	있/VA+는/ETM
처자식과	처자식/NNG+과/JKB
떨어져	떨어지/VV+어/EC
1주일에	1/SN+주일/NNB+에/JKB
사흘,	사흘/NNG+,/SP
글	글/NNG
쓰는	쓰/VV+는/ETM
작업실이	작업실/NNG+이/JKS
곳이다.	곳/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.87.7.5
'아무튼, 망원동'은 1984년까지 망원동의 변천사를 거슬러 올라간다.

'아무튼,	'/SS+아무튼/MAG+,/SP
망원동'은	망원동/NNP+'/SS+은/JX
1984년까지	1984/SN+년/NNB+까지/JX
망원동의	망원동/NNP+의/JKG
변천사를	변천사/NNG+를/JKO
거슬러	거스르/VV+어/EC
올라간다.	올라가/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.87.7.6
'망리단길'로 유명해지면서 집값은 천정부지로 올랐고, 자주 가던 밥집은 사라졌다.

'망리단길'로	'/SS+망리단길/NNP+'/SS+로/JKB
