# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.113
metadata : {}


# id : NWRW1800000049.113.1.1
“‘언노운 걸’, 자신과 주변을 변화시키는 죄책감과 책무에 관한 영화”

“‘언노운	“/SS+‘/SS+언노운/NNP
걸’,	걸/NNP+’/SS+,/SP
자신과	자신/NNG+과/JC
주변을	주변/NNG+을/JKO
변화시키는	변화/NNG+시키/XSV+는/ETM
죄책감과	죄책감/NNG+과/JC
책무에	책무/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
영화”	영화/NNG+”/SS


# id : NWRW1800000049.113.2.1
칸에서 열 번째 장편 ‘언노운 걸’ 공개한 장피에르-뤼크 다르덴 형제 감독

칸에서	칸/NNP+에서/JKB
열	열/NR
번째	번/NNB+째/XSN
장편	장편/NNG
‘언노운	‘/SS+언노운/NNP
걸’	걸/NNP+’/SS
공개한	공개/NNG+하/XSV+ㄴ/ETM
장피에르-뤼크	장피에르/NNP+-/SO+뤼크/NNP
다르덴	다르덴/NNP
형제	형제/NNG
감독	감독/NNG


# id : NWRW1800000049.113.3.1
“오늘은 통역사가 혼자 말할 거예요.

“오늘은	“/SS+오늘/NNG+은/JX
통역사가	통역사/NNG+가/JKS
혼자	혼자/NNG
말할	말/NNG+하/XSV+ㄹ/ETM
거예요.	거/NNB+이/VCP+에요/EF+./SF


# id : NWRW1800000049.113.3.2
사실 우리가 말하는 프랑스어는 언어가 아니라 짖는 소리일 뿐이거든요.”(뤼크 다르덴)

사실	사실/MAG
우리가	우리/NP+가/JKS
말하는	말/NNG+하/XSV+는/ETM
프랑스어는	프랑스어/NNP+는/JX
언어가	언어/NNG+가/JKC
아니라	아니/VCN+라/EC
짖는	짖/VV+는/ETM
소리일	소리/NNG+이/VCP+ㄹ/ETM
뿐이거든요.”(뤼크	뿐/NNB+이/VCP+거든/EF+요/JX+./SF+”/SS+(/SS+뤼크/NNP
다르덴)	다르덴/NNP+)/SS


# id : NWRW1800000049.113.4.1
최근 프랑스 칸에서 만난 장피에르(65), 뤼크 다르덴(62) 형제는 유쾌했다.

최근	최근/NNG
프랑스	프랑스/NNP
칸에서	칸/NNP+에서/JKB
만난	만나/VV+ㄴ/ETM
장피에르(65),	장피에르/NNP+(/SS+65/SN+)/SS+,/SP
뤼크	뤼크/NNP
다르덴(62)	다르덴/NNP+(/SS+62/SN+)/SS
형제는	형제/NNG+는/JX
유쾌했다.	유쾌/NNG+하/XSA+았/EP+다/EF+./SF


# id : NWRW1800000049.113.4.2
기자의 질문에 시종일관 옅은 미소를 띤 채 답하는 형제는 냉철한 시선을 유지하면서도 인간에 대한 신뢰를 담고 있는 본인들의 영화와 닮아 있었다.

기자의	기자/NNG+의/JKG
질문에	질문/NNG+에/JKB
시종일관	시종일관/NNG
옅은	옅/VA+은/ETM
미소를	미소/NNG+를/JKO
띤	띠/VV+ㄴ/ETM
채	채/NNB
답하는	답/NNG+하/XSV+는/ETM
형제는	형제/NNG+는/JX
냉철한	냉철한/VA+ㄴ/ETM
시선을	시선/NNG+을/JKO
유지하면서도	유지/NNG+하/XSV+면서/EC+도/JX
인간에	인간/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
신뢰를	신뢰/NNG+를/JKO
담고	담/VV+고/EC
있는	있/VX+는/ETM
본인들의	본인/NNG+들/XSN+의/JKG
영화와	영화/NNG+와/JKB
닮아	닮/VV+아/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000049.113.5.1
“우리는 실은 한 몸인데 사람들이 믿어주지 않는다”라는 우스갯소리가 믿길 정도로 두 사람의 답변은 마치 한 사람처럼 때론 이어지고, 때론 서로를 보충했다.

“우리는	“/SS+우리/NP+는/JX
실은	실은/MAG
한	한/MMN
