# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.385
metadata : {}


# id : NWRW1800000052.385.1.1
미, 전략무기 상시배치 사실상 거부…국방부 과대포장에 “합의” 오보 소동

미,	미/NNP+,/SP
전략무기	전략/NNG+무기/NNG
상시배치	상시/NNG+배치/NNG
사실상	사실/NNG+상/XSN
거부…국방부	거부/NNG+…/SE+국방부/NNG
과대포장에	과대/NNG+포장/NNG+에/JKB
“합의”	“/SS+합의/NNG+”/SS
오보	오보/NNG
소동	소동/NNG


# id : NWRW1800000052.385.2.1
한민구 국방장관 “향후 검토”

한민구	한민구/NNP
국방장관	국방/NNG+장관/NNG
“향후	“/SS+향후/NNG
검토”	검토/NNG+”/SS


# id : NWRW1800000052.385.3.1
카터 미 국방, 전혀 언급안해

카터	카터/NNP
미	미/NNP
국방,	국방/NNG+,/SP
전혀	전혀/MAG
언급안해	언급/NNG+안/MAG+하/VV+아/EF


# id : NWRW1800000052.385.4.1
한-미 연례안보협의회의(SCM)에서 한·미 양국이 북한의 핵·미사일 위협과 관련해 미군 전략자산을 한반도에 상시 순환배치하는 방안에 합의하지 못한 것으로 나타났다.

한-미	한-미/NNP
연례안보협의회의(SCM)에서	연례/NNG+안보/NNG+협의/NNG+회의/NNG+(/SS+SCM/SL+)/SS+에서/JKB
한·미	한·미/NNP
양국이	양국/NNG+이/JKS
북한의	북한/NNP+의/JKG
핵·미사일	핵/NNG+·/SP+미사일/NNG
위협과	위협/NNG+과/JKB
관련해	관련/NNG+하/XSV+아/EC
미군	미군/NNG
전략자산을	전략/NNG+자산/NNG+을/JKO
한반도에	한반도/NNP+에/JKB
상시	상시/NNG
순환배치하는	순환/NNG+배치/NNG+하/XSV+는/ETM
방안에	방안/NNG+에/JKB
합의하지	합의/NNG+하/XSV+지/EC
못한	못하/VX+ㄴ/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000052.385.5.1
한민구 국방부 장관은 20일(현지시각) 미국 워싱턴에서 애슈턴 카터 미 국방장관과 제48차 한-미 연례안보협의회의를 한 뒤 기자회견에서 “(한-미 간) 미국 전략자산의 (한반도) 상시 순환배치를 포함해 앞으로 (추가 조처가) 검토될 것”이라고 말했다.

한민구	한민구/NNP
국방부	국방부/NNG
장관은	장관/NNG+은/JX
20일(현지시각)	20/SN+일/NNB+(/SS+현지/NNG+시각/NNG+)/SS
미국	미국/NNP
워싱턴에서	워싱턴/NNP+에서/JKB
애슈턴	애슈턴/NNP
카터	카터/NNP
미	미/NNP
국방장관과	국방/NNG+장관/NNG+과/JKB
제48차	제/XPN+48/SN+차/NNB
한-미	한-미/NNP
연례안보협의회의를	연례/NNG+안보/NNG+협의/NNG+회의/NNG+를/JKO
한	하/VV+ㄴ/ETM
뒤	뒤/NNG
기자회견에서	기자/NNG+회견/NNG+에서/JKB
“(한-미	“/SS+(/SS+한-미/NNP
간)	간/NNB+)/SS
전략자산의	전략/NNG+자산/NNG+의/JKG
(한반도)	(/SS+한반도/NNP+)/SS
상시	상시/NNG
순환배치를	순환/NNG+배치/NNG+를/JKO
포함해	포함/NNG+하/XSV+아/EC
앞으로	앞/NNG+으로/JKB
(추가	(/SS+추가/NNG
조처가)	조처/NNG+가/JKS+)/SS
검토될	검토/NNG+되/XSV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.385.5.2
이에 대해 국방부 당국자는 “한·미가 이번 회의에서 미군 전략자산의 순환배치 문제를 ‘검토’하기로 합의했다는 의미로 이해하면 될 것”이라고 말했다.

이에	이/NP+에/JKB
대해	대하/VV+아/EC
국방부	국방부/NNG
당국자는	당국자/NNG+는/JX
“한·미가	“/SS+한·미/NNP+가/JKS
이번	이번/NNG
회의에서	회의/NNG+에서/JKB
미군	미군/NNG
전략자산의	전략/NNG+자산/NNG+의/JKG
순환배치	순환/NNG+배치/NNG
문제를	문제/NNG+를/JKO
‘검토’하기로	‘/SS+검토/NNG+’/SS+하/XSV+기/ETN+로/JKB
합의했다는	합의/NNG+하/XSV+았/EP+다는/ETM
의미로	의미/NNG+로/JKB
이해하면	이해/NNG+하/XSV+면/EC
될	되/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.385.5.3
그러나 이런 설명은 국방부가 애초 이번 회의에 앞서 ‘미국 전략자산의 상시 배치’에 한·미가 합의할 것으로 전망했던 것과는 다른 것이어서, 사실상 한국의 전략자산 상시 배치 요구가 미국에 의해 거절된 것이라는 지적이 나온다.

그러나	그러나/MAJ
이런	이런/MMD
설명은	설명/NNG+은/JX
국방부가	국방부/NNG+가/JKS
애초	애초/NNG
이번	이번/NNG
회의에	회의/NNG+에/JKB
앞서	앞서/VV+어/EC
‘미국	‘/SS+미국/NNP
전략자산의	전략/NNG+자산/NNG+의/JKG
상시	상시/NNG
배치’에	배치/NNG+’/SS+에/JKB
한·미가	한·미/NNP+가/JKS
합의할	합의/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
전망했던	전망/NNG+하/XSV+았/EP+던/ETM
것과는	것/NNB+과/JKB+는/JX
다른	다르/VA+ㄴ/ETM
것이어서,	것/NNB+이/VCP+어서/EC+,/SP
사실상	사실/NNG+상/XSN
한국의	한국/NNP+의/JKG
전략자산	전략/NNG+자산/NNG
배치	배치/NNG
요구가	요구/NNG+가/JKS
미국에	미국/NNP+에/JKB
의해	의하/VV+아/EC
거절된	거절/NNG+되/XSV+ㄴ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
지적이	지적/NNG+이/JKS
