# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.192
metadata : {}


# id : NWRW1800000049.192.1.1
“서울메트로, 은성PSD에 사업비 수백억대 과다 지급”

“서울메트로,	“/SS+서울메트로/NNP+,/SP
은성PSD에	은성PSD/NNP+에/JKB
사업비	사업비/NNG
수백억대	수백억/NR+대/XSN
과다	과다/NNG
지급”	지급/NNG+”/SS


# id : NWRW1800000049.192.2.1
경찰, 2곳 포함 10곳 전격 압수수색

경찰,	경찰/NNG+,/SP
2곳	2/SN+곳/NNG
포함	포함/NNG
10곳	10/SN+곳/NNG
전격	전격/NNG
압수수색	압수/NNG+수색/NNG


# id : NWRW1800000049.192.3.1
서울지하철 1∼4호선을 운영하는 서울메트로가 스크린도어(안전문) 유지 보수를 맡고 있는 용역업체들과 특혜성 계약을 맺고 수백억 원의 사업비를 과다 지급한 정황을 경찰이 포착했다.

서울지하철	서울지하철/NNP
1∼4호선을	1/SN+∼/SO+4/SN+호선/NNB+을/JKO
운영하는	운영/NNG+하/XSV+는/ETM
서울메트로가	서울메트로/NNP+가/JKS
스크린도어(안전문)	스크린/NNG+도어/NNG+(/SS+안전문/NNG+)/SS
유지	유지/NNG
보수를	보수/NNG+를/JKO
맡고	맡/VV+고/EC
있는	있/VX+는/ETM
용역업체들과	용역업체/NNG+들/XSN+과/JKB
특혜성	특혜/NNG+성/XSN
계약을	계약/NNG+을/JKO
맺고	맺/VV+고/EC
수백억	수백억/NR
원의	원/NNB+의/JKG
사업비를	사업비/NNG+를/JKO
과다	과다/NNG
지급한	지급/NNG+하/XSV+ㄴ/ETM
정황을	정황/NNG+을/JKO
경찰이	경찰/NNG+이/JKS
포착했다.	포착/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.192.3.2
경찰은 서울메트로와 용역업체 간 구조적 비리를 파헤치기 위한 본격적인 수사에 착수했다.

경찰은	경찰/NNG+은/JX
서울메트로와	서울메트로/NNP+와/JC
용역업체	용역업체/NNG
간	간/NNB
구조적	구조/NNG+적/XSN
비리를	비리/NNG+를/JKO
파헤치기	파헤치/VV+기/ETN
위한	위하/VV+ㄴ/ETM
본격적인	본격/NNG+적/XSN+이/VCP+ㄴ/ETM
수사에	수사/NNG+에/JKB
착수했다.	착수/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.192.4.1
