# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.102
metadata : {}


# id : NWRW1800000038.102.1.1
딸깍발이 판사 "생활 간소화하면 無欲"

딸깍발이	딸깍발이/NNG
판사	판사/NNG
"생활	"/SS+생활/NNG
간소화하면	간소/NNG+화/XSN+하/XSV+면/EC
無欲"	無欲/SH+"/SS


# id : NWRW1800000038.102.2.1
부산지법 조정센터장 3연임… 조무제 前 대법관

부산지법	부산지법/NNP
조정센터장	조정/NNG+센터장/NNG
3연임…	3/SN+연임/NNG+…/SE
조무제	조무제/NNP
前	前/SH
대법관	대/XPN+법관/NNG


# id : NWRW1800000038.102.3.1
"분쟁의 출발점은 일상생활에서 규범 준수가 생활화되지 않는 데 있고, 일단 분쟁이 생기면 이해타산과 감정적 대응을 하면서 확산되지요."

"분쟁의	"/SS+분쟁/NNG+의/JKG
출발점은	출발점/NNG+은/JX
일상생활에서	일상생활/NNG+에서/JKB
규범	규범/NNG
준수가	준수/NNG+가/JKS
생활화되지	생활/NNG+화/XSN+되/XSV+지/EC
않는	않/VX+는/ETM
데	데/NNB
있고,	있/VA+고/EC+,/SP
일단	일단/MAG
분쟁이	분쟁/NNG+이/JKS
생기면	생기/VV+면/EC
이해타산과	이해타산/NNG+과/JC
감정적	감정/NNG+적/XSN
대응을	대응/NNG+을/JKO
하면서	하/VV+면서/EC
확산되지요."	확산/NNG+되/XSV+지요/EF+./SF+"/SS


# id : NWRW1800000038.102.4.1
현직 시절 '딸깍발이 판사' '청빈 대법관'으로 알려진 조무제(71) 부산지법 조정센터장은 '사람들이 분쟁에 휘말리는 이유에 대해 23일 이같이 밝혔다.

현직	현직/NNG
시절	시절/NNG
'딸깍발이	'/SS+딸깍발이/NNG
판사'	판사/NNG+'/SS
'청빈	'/SS+청빈/NNG
대법관'으로	대/XPN+법관/NNG+'/SS+으로/JKB
알려진	알려지/VV+ㄴ/ETM
조무제(71)	조무제/NNP+(/SS+71/SN+)/SS
부산지법	부산지법/NNP
조정센터장은	조정/NNG+센터장/NNG+은/JX
'사람들이	'/SS+사람/NNG+들/XSN+이/JKS
분쟁에	분쟁/NNG+에/JKB
휘말리는	휘말리/VV+는/ETM
이유에	이유/NNG+에/JKB
대해	대하/VV+아/EC
23일	23/SN+일/NNB
이같이	이/NP+같이/JKB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.102.5.1
그는 "사람들의 지나친 욕심 때문에 빚어지는 분쟁이 적지 않다"면서 "예컨대 피상속인 사망으로 상속이 개시되면 다수 상속인이 더 많은 재산을 차지하려고 다투기도 하고, 이혼 당사자 사이에서 자녀 양육권을 중시하기보다는 재산의 향배에 더 치중하는 예가 있었다"고 했다.

그는	그/NP+는/JX
"사람들의	"/SS+사람/NNG+들/XSN+의/JKG
지나친	지나치/VA+ㄴ/ETM
욕심	욕심/NNG
때문에	때문/NNB+에/JKB
빚어지는	빚어지/VV+는/ETM
분쟁이	분쟁/NNG+이/JKS
적지	적/VA+지/EC
않다"면서	않/VX+다/EF+"/SS+면서/EC
"예컨대	"/SS+예컨대/MAG
피상속인	피/XPN+상속인/NNG
사망으로	사망/NNG+으로/JKB
상속이	상속/NNG+이/JKS
개시되면	개시/NNG+되/XSV+면/EC
다수	다수/NNG
상속인이	상속인/NNG+이/JKS
더	더/MAG
많은	많/VA+은/ETM
재산을	재산/NNG+을/JKO
차지하려고	차지/NNG+하/XSV+려고/EC
다투기도	다투/VV+기/ETN+도/JX
하고,	하/VX+고/EC+,/SP
이혼	이혼/NNG
당사자	당사자/NNG
사이에서	사이/NNG+에서/JKB
자녀	자녀/NNG
양육권을	양육/NNG+권/XSN+을/JKO
중시하기보다는	중시/NNG+하/XSV+기/ETN+보다/JKB+는/JX
재산의	재산/NNG+의/JKG
향배에	향배/NNG+에/JKB
치중하는	치중/NNG+하/XSV+는/ETM
예가	예/NNG+가/JKS
있었다"고	있/VA+었/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.102.6.1
임기 2년의 조정위원직을 두번 연임한 조 센터장은 이번달 임기가 만료됐지만, 지난 13일 재위촉돼 조정센터장 직을 계속 수행하게 됐다.

임기	임기/NNG
2년의	2/SN+년/NNB+의/JKG
조정위원직을	조정/NNG+위원직/NNG+을/JKO
두번	두/MMN+번/NNB
연임한	연임/NNG+하/XSV+ㄴ/ETM
조	조/NNP
센터장은	센터장/NNG+은/JX
이번달	이번/NNG+달/NNG
임기가	임기/NNG+가/JKS
만료됐지만,	만료/NNG+되/XSV+었/EP+지만/EC+,/SP
지난	지나/VV+ㄴ/ETM
13일	13/SN+일/NNB
재위촉돼	재/XPN+위촉/NNG+되/XSV+어/EC
조정센터장	조정/NNG+센터장/NNG
직을	직/NNG+을/JKO
계속	계속/MAG
수행하게	수행/NNG+하/XSV+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.102.7.1
그는 욕심을 줄이는 방법에 대해선 "사실 적확한 답을 알지는 못하고 제대로 실천해 왔다고 자부할 순 없다"면서도 "생활을 간소화하는 게 한 방법일 수 있다"고 했다.

그는	그/NP+는/JX
욕심을	욕심/NNG+을/JKO
줄이는	줄이/VV+는/ETM
방법에	방법/NNG+에/JKB
대해선	대하/VV+아서/EC+ㄴ/JX
"사실	"/SS+사실/MAG
적확한	적확하/VA+ㄴ/ETM
답을	답/NNG+을/JKO
알지는	알/VV+지/EC+는/JX
못하고	못하/VX+고/EC
제대로	제대로/MAG
실천해	실천/NNG+하/XSV+아/EC
왔다고	오/VX+았/EP+다고/EC
자부할	자부/NNG+하/XSV+ㄹ/ETM
순	수/NNB+ㄴ/JX
없다"면서도	없/VA+다/EF+"/SS+면서/EC+도/JX
"생활을	"/SS+생활/NNG+을/JKO
간소화하는	간소/NNG+화/XSN+하/XSV+는/ETM
게	거/NNB+이/JKS
한	한/MMN
방법일	방법/NNG+이/VCP+ㄹ/ETM
수	수/NNB
있다"고	있/VA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.102.7.2
생활을 간소화하면 견물생심의 기회가 줄어들고 생활 만족도가 늘어날 수 있어 결과적으로 욕망의 절제가 쉬워진다는 것이다.

생활을	생활/NNG+을/JKO
간소화하면	간소/NNG+화/XSN+하/XSV+면/EC
견물생심의	견물생심/NNG+의/JKG
기회가	기회/NNG+가/JKS
줄어들고	줄어들/VV+고/EC
생활	생활/NNG
만족도가	만족도/NNG+가/JKS
늘어날	늘어나/VV+ㄹ/ETM
수	수/NNB
있어	있/VA+어/EC
결과적으로	결과/NNG+적/XSN+으로/JKB
욕망의	욕망/NNG+의/JKG
절제가	절제/NNG+가/JKS
쉬워진다는	쉬워지/VV+ㄴ다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.102.7.3
일종의 조무제식 무욕론(無慾論)인 셈이다.

일종의	일종/NNG+의/JKG
조무제식	조무제식/NNG
무욕론(無慾論)인	무욕/NNG+론/XSN+(/SS+無慾論/SH+)/SS+이/VCP+ㄴ/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.102.8.1
그는 자신의 조정 사례 중 기억나는 사건을 소개하기도 했다.

그는	그/NP+는/JX
자신의	자신/NNG+의/JKG
조정	조정/NNG
사례	사례/NNG
중	중/NNB
기억나는	기억나/VV+는/ETM
사건을	사건/NNG+을/JKO
소개하기도	소개/NNG+하/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000038.102.8.2
동업하던 두 친구가 적자가 나자 서로 상대방을 고소하고 구속될 정도로 관계가 악화했지만 여러 차례 조정을 시도한 끝에 손실을 서로 나누기로 하고 악수하는 사이가 됐다는 것이다.

동업하던	동업/NNG+하/XSV+던/ETM
두	두/MMN
친구가	친구/NNG+가/JKS
적자가	적자/NNG+가/JKS
나자	나/VV+자/EC
서로	서로/MAG
상대방을	상대방/NNG+을/JKO
고소하고	고소/NNG+하/XSV+고/EC
구속될	구속/NNG+되/XSV+ㄹ/ETM
정도로	정도/NNG+로/JKB
관계가	관계/NNG+가/JKS
악화했지만	악화/NNG+하/XSV+았/EP+지만/EC
여러	여러/MMN
차례	차례/NNG
조정을	조정/NNG+을/JKO
시도한	시도/NNG+하/XSV+ㄴ/ETM
끝에	끝/NNG+에/JKB
손실을	손실/NNG+을/JKO
나누기로	나누/VV+기/ETN+로/JKB
하고	하/VV+고/EC
악수하는	악수/NNG+하/XSV+는/ETM
사이가	사이/NNG+가/JKC
됐다는	되/VV+었/EP+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.102.9.1
조 센터장 인터뷰는 이메일로 진행됐다.

조	조/NNP
센터장	센터장/NNG
인터뷰는	인터뷰/NNG+는/JX
이메일로	이메일/NNG+로/JKB
진행됐다.	진행/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000038.102.9.2
그는 2004년 대법관 퇴임 이후 언론 인터뷰를 거절해왔다.

그는	그/NP+는/JX
2004년	2004/SN+년/NNB
대법관	대/XPN+법관/NNG
퇴임	퇴임/NNG
이후	이후/NNG
언론	언론/NNG
인터뷰를	인터뷰/NNG+를/JKO
거절해왔다.	거절/NNG+하/XSV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000038.102.9.3
이날도 마찬가지.

이날도	이날/NNG+도/JX
마찬가지.	마찬가지/NNG+./SF


# id : NWRW1800000038.102.9.4
오후 4시쯤 부산 연제구 거제동 조정센터 위원장실을 찾았으나 "이미 이메일로 견해를 밝혔다"고만 할 뿐 직접 인터뷰를 사양했다.

오후	오후/NNG
4시쯤	4/SN+시/NNB+쯤/XSN
부산	부산/NNP
연제구	연제구/NNP
거제동	거제동/NNP
조정센터	조정/NNG+센터/NNG
위원장실을	위원장실/NNG+을/JKO
찾았으나	찾/VV+았/EP+으나/EC
"이미	"/SS+이미/MAG
이메일로	이메일/NNG+로/JKB
견해를	견해/NNG+를/JKO
밝혔다"고만	밝히/VV+었/EP+다/EF+"/SS+고/JKQ+만/JX
할	하/VV+ㄹ/ETM
뿐	뿐/NNB
직접	직접/MAG
인터뷰를	인터뷰/NNG+를/JKO
사양했다.	사양/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.102.9.5
대신에 그는 매 조정 재판에 참여할 때마다 1분의 오차도 없을 정도로 정확한 시간에 위원장실을 나와 재판을 위해 온 원고와 피고를 만났다.

대신에	대신/NNG+에/JKB
그는	그/NP+는/JX
매	매/MMD
조정	조정/NNG
재판에	재판/NNG+에/JKB
참여할	참여/NNG+하/XSV+ㄹ/ETM
때마다	때/NNG+마다/JX
1분의	1/SN+분/XSN+의/JKG
오차도	오차/NNG+도/JX
없을	없/VA+을/ETM
정도로	정도/NNG+로/JKB
정확한	정확/NNG+하/XSA+ㄴ/ETM
시간에	시간/NNG+에/JKB
위원장실을	위원장실/NNG+을/JKO
나와	나오/VV+아/EC
재판을	재판/NNG+을/JKO
위해	위하/VV+아/EC
온	오/VV+ㄴ/ETM
원고와	원고/NNG+와/JC
피고를	피고/NNG+를/JKO
만났다.	만나/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.102.9.6
조 센터장은 조정 재판을 마치고 나오는 즉시 위원장실로 다시 돌아와 결정문을 쓰고, 결정문을 쓰다 시간이 되면 또다시 재판하러 가기를 반복하며 하루를 보냈다.

조	조/NNP
센터장은	센터장/NNG+은/JX
조정	조정/NNG
재판을	재판/NNG+을/JKO
마치고	마치/VV+고/EC
나오는	나오/VV+는/ETM
즉시	즉시/NNG
위원장실로	위원장실/NNG+로/JKB
다시	다시/MAG
돌아와	돌아오/VV+아/EC
결정문을	결정문/NNG+을/JKO
쓰고,	쓰/VV+고/EC+,/SP
쓰다	쓰/VV+다/EC
시간이	시간/NNG+이/JKC
되면	되/VV+면/EC
또다시	또다시/MAG
재판하러	재판/NNG+하/XSV+러/EC
가기를	가/VV+기/ETN+를/JKO
반복하며	반복/NNG+하/XSV+며/EC
하루를	하루/NNG+를/JKO
