# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.350
metadata : {}


# id : NWRW1800000054.350.1.1
"文은 뇌물먹고 자살한 사람의 비서실장" 홍준표 발언 논란

"文은	"/SS+文/SH+은/JX
뇌물먹고	뇌물/NNG+먹/VV+고/EC
자살한	자살/NNG+하/XSV+ㄴ/ETM
사람의	사람/NNG+의/JKG
비서실장"	비서실장/NNG+"/SS
홍준표	홍준표/NNP
발언	발언/NNG
논란	논란/NNG


# id : NWRW1800000054.350.2.1
문재인 공격하려 노무현 끄집어내… 안희정엔 "실형 살고 나온 사람"

문재인	문재인/NNP
공격하려	공격/NNG+하/XSV+려/EC
노무현	노무현/NNP
끄집어내…	끄집어내/VV+어/EF+…/SE
안희정엔	안희정/NNP+에/JKB+ㄴ/JX
"실형	"/SS+실형/NNG
살고	살/VV+고/EC
나온	나오/VV+ㄴ/ETM
사람"	사람/NNG+"/SS


# id : NWRW1800000054.350.3.1
홍준표 경남지사는 28일 여론조사 지지율 1위인 민주당 문재인 후보에 대해 "자기 대장이 뇌물 먹고 자살한 사람"이라며 "(문재인 당시) 비서실장이 그 내용을 몰랐다면 (대통령)감이 안 되는 것"이라고 말했다.

홍준표	홍준표/NNP
경남지사는	경남/NNP+지사/NNG+는/JX
28일	28/SN+일/NNB
여론조사	여론/NNG+조사/NNG
지지율	지지/NNG+율/XSN
1위인	1/SN+위/NNB+이/VCP+ㄴ/ETM
민주당	민주당/NNP
문재인	문재인/NNP
후보에	후보/NNG+에/JKB
대해	대하/VV+아/EC
"자기	"/SS+자기/NP
대장이	대장/NNG+이/JKS
뇌물	뇌물/NNG
먹고	먹/VV+고/EC
자살한	자살/NNG+하/XSV+ㄴ/ETM
사람"이라며	사람/NNG+"/SS+이/VCP+라며/EC
"(문재인	"/SS+(/SS+문재인/NNP
당시)	당시/NNG+)/SS
비서실장이	비서실장/NNG+이/JKS
그	그/MMD
내용을	내용/NNG+을/JKO
몰랐다면	모르/VV+았/EP+다면/EC
(대통령)감이	(/SS+대통령/NNG+)/SS+감/NNG+이/JKC
안	안/MAG
되는	되/VV+는/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.350.3.2
안희정 후보에 대해서도 "정치자금법 위반으로 실형을 살고 나온 사람"이라고 말해 논란을 예고했다.

안희정	안희정/NNP
후보에	후보/NNG+에/JKB
대해서도	대하/VV+아서/EC+도/JX
"정치자금법	"/SS+정치/NNG+자금법/NNG
위반으로	위반/NNG+으로/JKB
실형을	실형/NNG+을/JKO
살고	살/VV+고/EC
나온	나오/VV+ㄴ/ETM
사람"이라고	사람/NNG+"/SS+이라고/JKQ
말해	말/NNG+하/XSV+아/EC
논란을	논란/NNG+을/JKO
예고했다.	예고/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.350.3.3
민주당은 "인격 수양부터 하라" "인두겁 썼다고 다 같은 사람이 아니다"며 반박했다.

민주당은	민주당/NNP+은/JX
"인격	"/SS+인격/NNG
수양부터	수양/NNG+부터/JX
하라"	하/VV+라/EF+"/SS
"인두겁	"/SS+인두겁/NNG
썼다고	쓰/VV+었/EP+다고/EC
다	다/MAG
같은	같/VA+은/ETM
사람이	사람/NNG+이/JKC
아니다"며	아니/VCN+다/EF+"/SS+며/EC
반박했다.	반박/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.350.4.1
홍 지사는 이날 경남 창원의 한 식당에서 인명진 자유한국당 비대위원장과 오찬 회동을 한 뒤 기자들과 만나 "지금은 '좌파 광풍 시대'로 광적인 지지 계층만 답하는 여론조사인데 그게 무슨 의미가 있겠느냐"고 말했다.

홍	홍/NNP
지사는	지사/NNG+는/JX
이날	이날/NNG
경남	경남/NNP
창원의	창원/NNP+의/JKG
한	하/VV+ㄴ/ETM
식당에서	식당/NNG+에서/JKB
인명진	인명진/NNP
자유한국당	자유한국당/NNP
비대위원장과	비대위원장/NNG+과/JKB
오찬	오찬/NNG
회동을	회동/NNG+을/JKO
뒤	뒤/NNG
기자들과	기자/NNG+들/XSN+과/JKB
만나	만나/VV+아/EC
"지금은	"/SS+지금/NNG+은/JX
'좌파	'/SS+좌파/NNG
광풍	광풍/NNG
시대'로	시대/NNG+'/SS+로/JKB
광적인	광/NNG+적/XSN+이/VCP+ㄴ/ETM
지지	지지/NNG
계층만	계층/NNG+만/JX
답하는	답/NNG+하/XSV+는/ETM
여론조사인데	여론/NNG+조사/NNG+이/VCP+ㄴ데/EC
그게	그거/NP+이/JKS
무슨	무슨/MMD
의미가	의미/NNG+가/JKS
있겠느냐"고	있/VA+겠/EP+느냐/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.350.4.2
그는 "(현재) 국민 90%가 여론조사에 응하지 않는다"며 "지금의 여론조사는 경향성만 보는 것"이라고 했다.

그는	그/NP+는/JX
"(현재)	"/SS+(/SS+현재/MAG+)/SS
국민	국민/NNG
90%가	90/SN+%/SW+가/JKS
여론조사에	여론/NNG+조사/NNG+에/JKB
응하지	응하/VV+지/EC
않는다"며	않/VX+는다/EF+"/SS+며/EC
"지금의	"/SS+지금/NNG+의/JKG
여론조사는	여론/NNG+조사/NNG+는/JX
경향성만	경향/NNG+성/XSN+만/JX
보는	보/VV+는/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.350.4.3
이어 "각 진영의 후보가 세팅된 뒤에 하는 여론조사가 의미가 있을 것"이라며 3%대인 자신의 지지율에 대해서는 웃으면서 "그것도 지지율인가"라고 말했다.

이어	이어/MAG
"각	"/SS+각/MMD
진영의	진영/NNG+의/JKG
후보가	후보/NNG+가/JKS
세팅된	세팅/NNG+되/XSV+ㄴ/ETM
뒤에	뒤/NNG+에/JKB
하는	하/VV+는/ETM
여론조사가	여론/NNG+조사/NNG+가/JKS
의미가	의미/NNG+가/JKS
있을	있/VA+을/ETM
것"이라며	것/NNB+"/SS+이/VCP+라며/EC
3%대인	3/SN+%/SW+대/XSN+이/VCP+ㄴ/ETM
자신의	자신/NNG+의/JKG
지지율에	지지/NNG+율/XSN+에/JKB
대해서는	대하/VV+아서/EC+는/JX
웃으면서	웃/VV+으면서/EC
"그것도	"/SS+그것/NP+도/JX
지지율인가"라고	지지/NNG+율/XSN+이/VCP+ㄴ가/EF+"/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.350.5.1
민주당은 홍 지사가 노무현 전 대통령을 '뇌물 먹고 자살한 사람'이라고 언급한 것에 대해 박경민 대변인 논평을 통해 "노무현 전 대통령에 대한 최소한의 예의조차 잊은 것"이라고 비판했다.

민주당은	민주당/NNP+은/JX
홍	홍/NNP
지사가	지사/NNG+가/JKS
노무현	노무현/NNP
전	전/MMD
대통령을	대통령/NNG+을/JKO
'뇌물	'/SS+뇌물/NNG
먹고	먹/VV+고/EC
자살한	자살/NNG+하/XSV+ㄴ/ETM
사람'이라고	사람/NNG+'/SS+이라고/JKQ
언급한	언급/NNG+하/XSV+ㄴ/ETM
것에	것/NNB+에/JKB
대해	대하/VV+아/EC
박경민	박경민/NNP
대변인	대변인/NNG
논평을	논평/NNG+을/JKO
통해	통하/VV+아/EC
"노무현	"/SS+노무현/NNP
대통령에	대통령/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
최소한의	최소한/NNG+의/JKG
예의조차	예의/NNG+조차/JX
잊은	잊/VV+은/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
비판했다.	비판/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.350.5.2
박 대변인은 "홍 지사, 당신이 몸담은 정권의 보복·기획 수사에 의해 치욕을 당하다 돌아가신 분에게 어찌 이런 망언을 할 수 있다는 말인가"라고 했다.

박	박/NNP
대변인은	대변인/NNG+은/JX
"홍	"/SS+홍/NNP
지사,	지사/NNG+,/SP
당신이	당신/NP+이/JKS
몸담은	몸담/VV+은/ETM
정권의	정권/NNG+의/JKG
보복·기획	보복/NNG+·/SP+기획/NNG
수사에	수사/NNG+에/JKB
의해	의하/VV+아/EC
치욕을	치욕/NNG+을/JKO
당하다	당하/VV+다/EC
돌아가신	돌아가/VV+시/EP+ㄴ/ETM
분에게	분/NNB+에게/JKB
어찌	어찌/MAG
이런	이런/MMD
망언을	망언/NNG+을/JKO
할	하/VV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
말인가"라고	말/NNG+이/VCP+ㄴ가/EF+"/SS+라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.350.5.3
정진우 부대변인은 "노 대통령에 대한 부관참시에 대한 법적 책임을 묻겠다"고 했다.

정진우	정진우/NNP
부대변인은	부대변인/NNG+은/JX
"노	"/SS+노/NNP
대통령에	대통령/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
부관참시에	부관참시/NNG+에/JKB
법적	법/NNG+적/XSN
책임을	책임/NNG+을/JKO
묻겠다"고	묻/VV+겠/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.350.6.1
한편 이날 오찬은 창원에서 열린 한국당의 경남도당 당원 연수를 계기로 이뤄졌다.

한편	한편/MAG
이날	이날/NNG
오찬은	오찬/NNG+은/JX
창원에서	창원/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
한국당의	한국당/NNP+의/JKG
경남도당	경남도/NNP+당/NNG
당원	당원/NNG
연수를	연수/NNG+를/JKO
계기로	계기/NNG+로/JKB
이뤄졌다.	이뤄지/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.350.6.2
비공개 오찬에서 인 위원장과 홍 지사는 서로 덕담을 주고받았다고 한다.

비공개	비/XPN+공개/NNG
오찬에서	오찬/NNG+에서/JKB
인	인/NNP
위원장과	위원장/NNG+과/JC
홍	홍/NNP
지사는	지사/NNG+는/JX
서로	서로/MAG
덕담을	덕담/NNG+을/JKO
주고받았다고	주고받/VV+았/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.350.6.3
한 배석자는 "대선, 탄핵에 대한 이야기를 주고받았고 홍 지사가 '서울 가서 뵙겠다'고 말했다"고 전했다.

한	한/MMN
배석자는	배석자/NNG+는/JX
"대선,	"/SS+대선/NNG+,/SP
탄핵에	탄핵/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
이야기를	이야기/NNG+를/JKO
주고받았고	주고받/VV+았/EP+고/EC
홍	홍/NNP
지사가	지사/NNG+가/JKS
'서울	'/SS+서울/NNP
가서	가/VV+아서/EC
뵙겠다'고	뵙/VV+겠/EP+다/EF+'/SS+고/JKQ
말했다"고	말/NNG+하/XSV+았/EP+다/EF+"/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.350.6.4
이를 두고 대선 출마를 시사한 것이란 해석이 나왔다.

이를	이/NP+를/JKO
두고	두/VV+고/EC
대선	대선/NNG
출마를	출마/NNG+를/JKO
시사한	시사/NNG+하/XSV+ㄴ/ETM
것이란	것/NNB+이/VCP+란/ETM
해석이	해석/NNG+이/JKS
나왔다.	나오/VV+았/EP+다/EF+./SF


