# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.163
metadata : {}


# id : NWRW1800000030.163.1.1
고개 숙인 한예슬

고개	고개/NNG
숙인	숙이/VV+ㄴ/ETM
한예슬	한예슬/NNP


# id : NWRW1800000030.163.2.1
•'드라마 파업' 출국 하루 만에 "빨리 귀국해 촬영하겠다 많은 분께 죄송" 오늘 오후 도착 비행기 예약… 연예가선 결혼설도 흘러나와

•'드라마	•/SW+'/SS+드라마/NNG
파업'	파업/NNG+'/SS
출국	출국/NNG
하루	하루/NNG
만에	만/NNB+에/JKB
"빨리	"/SS+빨리/MAG
귀국해	귀국/NNG+하/XSV+아/EC
촬영하겠다	촬영/NNG+하/XSV+겠/EP+다/EF
많은	많/VA+은/ETM
분께	분/NNB+께/JKB
죄송"	죄송/XR+"/SS
오늘	오늘/NNG
오후	오후/NNG
도착	도착/NNG
비행기	비행기/NNG
예약…	예약/NNG+…/SE
연예가선	연예가/NNG+서/JKB+ㄴ/JX
결혼설도	결혼설/NNG+도/JX
흘러나와	흘러나오/VV+아/EF


# id : NWRW1800000030.163.3.1
KBS 드라마 '스파이명월' 촬영을 거부하고 15일 돌연 미국으로 출국했던 한예슬이 하루 만인 16일 드라마 복귀 의사를 밝혔다.

KBS	KBS/SL
드라마	드라마/NNG
'스파이명월'	'/SS+스파이명월/NNP+'/SS
촬영을	촬영/NNG+을/JKO
거부하고	거부/NNG+하/XSV+고/EC
15일	15/SN+일/NNB
돌연	돌연/MAG
미국으로	미국/NNP+으로/JKB
출국했던	출국/NNG+하/XSV+았/EP+던/ETM
한예슬이	한예슬/NNP+이/JKS
하루	하루/NNG
만인	만/NNB+이/VCP+ㄴ/ETM
16일	16/SN+일/NNB
복귀	복귀/NNG
의사를	의사/NNG+를/JKO
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.163.3.2
한예슬은 17일 오후 5시 10분 인천공항에 도착할 예정인 대한항공 KE 018편에 미국 이름 레슬리 킴으로 예약한 것으로 확인됐다.

한예슬은	한예슬/NNP+은/JX
17일	17/SN+일/NNB
오후	오후/NNG
5시	5/SN+시/NNB
10분	10/SN+분/NNB
인천공항에	인천공항/NNP+에/JKB
도착할	도착/NNG+하/XSV+ㄹ/ETM
예정인	예정/NNG+이/VCP+ㄴ/ETM
대한항공	대한항공/NNP
KE	KE/SL
018편에	018/SN+편/NNB+에/JKB
미국	미국/NNP
이름	이름/NNG
레슬리	레슬리/NNP
킴으로	킴/NNP+으로/JKB
예약한	예약/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
확인됐다.	확인/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000030.163.4.1
한예슬의 소속사 싸이더스HQ는 이날 보도자료를 통해 "한씨가 최대한 신속히 귀국해 끝까지 촬영에 임하도록 하겠다는 뜻을 밝혔다"고 했다.

한예슬의	한예슬/NNP+의/JKG
소속사	소속사/NNG
싸이더스HQ는	싸이더스HQ/NNP+는/JX
이날	이날/NNG
보도자료를	보도/NNG+자료/NNG+를/JKO
통해	통하/VV+아/EC
"한씨가	"/SS+한/NNP+씨/NNB+가/JKS
최대한	최대한/MAG
신속히	신속히/MAG
귀국해	귀국/NNG+하/XSV+아/EC
끝까지	끝/NNG+까지/JX
촬영에	촬영/NNG+에/JKB
임하도록	임하/VV+도록/EC
하겠다는	하/VV+겠/EP+다는/ETM
뜻을	뜻/NNG+을/JKO
밝혔다"고	밝히/VV+었/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.163.4.2
"한씨가 바쁜 촬영 스케줄로 지쳐 있는 상태였고 판단이 흐려져 많은 분께 피해를 끼치게 된 점을 진심으로 죄송하게 생각하고 있다"고도 했다.

"한씨가	"/SS+한/NNP+씨/NNB+가/JKS
바쁜	바쁘/VA+ㄴ/ETM
촬영	촬영/NNG
스케줄로	스케줄/NNG+로/JKB
지쳐	지치/VV+어/EC
있는	있/VX+는/ETM
상태였고	상태/NNG+이/VCP+었/EP+고/EC
판단이	판단/NNG+이/JKS
흐려져	흐려지/VV+어/EC
많은	많/VA+은/ETM
분께	분/NNB+께/JKB
피해를	피해/NNG+를/JKO
끼치게	끼치/VV+게/EC
된	되/VV+ㄴ/ETM
점을	점/NNG+을/JKO
진심으로	진심/NNG+으로/JKB
죄송하게	죄송하/VA+게/EC
생각하고	생각/NNG+하/XSV+고/EC
있다"고도	있/VX+다/EF+"/SS+고/JKQ+도/JX
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.163.4.3
한예슬의 이런 태도 변화와 입장 표명은 KBS가 이날 오후 기자회견을 열어 "한예슬의 행동은 무책임한 것이다. 남은 방송 분량에서 명월 역을 연기할 대체 연기자를 찾겠다"고 강경 대응 방침을 밝힌 직후에 나왔다.

한예슬의	한예슬/NNP+의/JKG
이런	이런/MMD
태도	태도/NNG
변화와	변화/NNG+와/JC
입장	입장/NNG
표명은	표명/NNG+은/JX
KBS가	KBS/SL+가/JKS
이날	이날/NNG
오후	오후/NNG
기자회견을	기자/NNG+회견/NNG+을/JKO
열어	열/VV+어/EC
"한예슬의	"/SS+한예슬/NNP+의/JKG
행동은	행동/NNG+은/JX
무책임한	무/XPN+책임/NNG+하/XSA+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF
남은	남/VV+은/ETM
방송	방송/NNG
분량에서	분량/NNG+에서/JKB
명월	명월/NNP
역을	역/NNG+을/JKO
연기할	연기/NNG+하/XSV+ㄹ/ETM
대체	대체/NNG
연기자를	연기자/NNG+를/JKO
찾겠다"고	찾/VV+겠/EP+다/EF+"/SS+고/JKQ
강경	강경/NNG
대응	대응/NNG
방침을	방침/NNG+을/JKO
밝힌	밝히/VV+ㄴ/ETM
직후에	직후/NNG+에/JKB
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.163.5.1
한예슬은 앞서 이날 새벽 3시 30분(현지 시각) LA에 도착, "모든 걸 내려놨다. 드라마 환경이 너무 힘들었다"고 말한 것으로 미주한국일보가 보도했다.

한예슬은	한예슬/NNP+은/JX
앞서	앞서/MAG
이날	이날/NNG
새벽	새벽/NNG
3시	3/SN+시/NNB
30분(현지	30/SN+분/NNB+(/SS+현지/NNG
시각)	시각/NNG+)/SS
LA에	LA/SL+에/JKB
도착,	도착/NNG+,/SP
"모든	"/SS+모든/MMN
걸	거/NNB+ㄹ/JKO
내려놨다.	내려놓/VV+았/EP+다/EF+./SF
드라마	드라마/NNG
환경이	환경/NNG+이/JKS
너무	너무/MAG
힘들었다"고	힘들/VA+었/EP+다/EF+"/SS+고/JKQ
말한	말/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
미주한국일보가	미주한국일보/NNP+가/JKS
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.163.5.2
한씨는 "제 후배들이 저 같은 피해자가 되지 않기를 바란다"고도 했다.

한씨는	한/NNP+씨/NNB+는/JX
"제	"/SS+저/NP+의/JKG
후배들이	후배/NNG+들/XSN+이/JKS
저	저/NP
같은	같/VA+은/ETM
피해자가	피해자/NNG+가/JKC
되지	되/VV+지/EC
않기를	않/VX+기/ETN+를/JKO
바란다"고도	바라/VV+ㄴ다/EF+"/SS+고/JKQ+도/JX
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.163.5.3
촬영을 펑크 내야 할 정도로 드라마 제작 환경이 좋지 않았으며, 자신이 '피해자'임을 주장하려는 의도로 해석됐다.

촬영을	촬영/NNG+을/JKO
펑크	펑크/NNG
내야	내/VV+어야/EC
할	하/VX+ㄹ/ETM
정도로	정도/NNG+로/JKB
드라마	드라마/NNG
제작	제작/NNG
환경이	환경/NNG+이/JKS
좋지	좋/VA+지/EC
않았으며,	않/VX+았/EP+으며/EC+,/SP
자신이	자신/NNG+이/JKS
'피해자'임을	'/SS+피해자/NNG+'/SS+이/VCP+ㅁ/ETN+을/JKO
주장하려는	주장/NNG+하/XSV+려는/ETM
의도로	의도/NNG+로/JKB
해석됐다.	해석/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000030.163.6.1
그러나 KBS 이강현 총괄프로듀서(EP)는 "한예슬의 광고 촬영 때문에 최대 이틀까지 시간을 줬다"며 "그 때문에 기다려야 했던 다른 연기자·스태프들을 감안한다면 한예슬의 스케줄이 살인적이었다는 지적은 타당하지 않다"고 했다.

그러나	그러나/MAJ
KBS	KBS/SL
이강현	이강현/NNP
총괄프로듀서(EP)는	총괄/NNG+프로듀서/NNG+(/SS+EP/SL+)/SS+는/JX
"한예슬의	"/SS+한예슬/NNP+의/JKG
광고	광고/NNG
촬영	촬영/NNG
때문에	때문/NNB+에/JKB
최대	최대/NNG
이틀까지	이틀/NNG+까지/JX
시간을	시간/NNG+을/JKO
줬다"며	주/VV+었/EP+다/EF+"/SS+며/EC
"그	"/SS+그/NP
기다려야	기다리/VV+어야/EC
했던	하/VX+았/EP+던/ETM
다른	다른/MMD
연기자·스태프들을	연기자/NNG+·/SP+스태프/NNG+들/XSN+을/JKO
감안한다면	감안/NNG+하/XSV+ㄴ다면/EC
한예슬의	한예슬/NNP+의/JKG
스케줄이	스케줄/NNG+이/JKS
살인적이었다는	살인/NNG+적/XSN+이/VCP+었/EP+다는/ETM
지적은	지적/NNG+은/JX
타당하지	타당하/VA+지/EC
않다"고	않/VX+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.163.6.2
그는 "한예슬이 정말 촬영에 복귀할 의사가 있다면 다음 주 방송분에 차질이 없도록 18일 오전까지는 촬영장에 도착해야 하며, 무책임한 행동에 대해 제작진과 동료 연기자들에게 사과해야 한다"고 했다.

그는	그/NP+는/JX
"한예슬이	"/SS+한예슬/NNP+이/JKS
정말	정말/MAG
촬영에	촬영/NNG+에/JKB
복귀할	복귀/NNG+하/XSV+ㄹ/ETM
의사가	의사/NNG+가/JKS
있다면	있/VA+다면/EC
다음	다음/NNG
주	주/NNG
방송분에	방송/NNG+분/XSN+에/JKB
차질이	차질/NNG+이/JKS
없도록	없/VA+도록/EC
18일	18/SN+일/NNB
오전까지는	오전/NNG+까지/JX+는/JX
촬영장에	촬영장/NNG+에/JKB
도착해야	도착/NNG+하/XSV+아야/EC
하며,	하/VX+며/EC+,/SP
무책임한	무/XPN+책임/NNG+하/XSA+ㄴ/ETM
행동에	행동/NNG+에/JKB
대해	대하/VV+아/EC
제작진과	제작진/NNG+과/JC
동료	동료/NNG
연기자들에게	연기자/NNG+들/XSN+에게/JKB
사과해야	사과/NNG+하/XSV+아야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.163.6.3
KBS 관계자는 "한예슬이 '몸 개그 연기는 하기 싫다' '특정 배우와는 연기하기 싫다'고 해 최대한 받아들여 대본을 고치기도 했다"고 밝혔다.

KBS	KBS/SL
관계자는	관계자/NNG+는/JX
"한예슬이	"/SS+한예슬/NNP+이/JKS
'몸	'/SS+몸/NNG
개그	개그/NNG
연기는	연기/NNG+는/JX
하기	하/VV+기/ETN
싫다'	싫/VA+다/EF+'/SS
'특정	'/SS+특정/NNG
배우와는	배우/NNG+와/JKB+는/JX
연기하기	연기/NNG+하/XSV+기/ETN
싫다'고	싫/VA+다/EF+'/SS+고/JKQ
해	하/VV+아/EC
최대한	최대한/MAG
받아들여	받아들이/VV+어/EC
대본을	대본/NNG+을/JKO
고치기도	고치/VV+기/ETN+도/JX
했다"고	하/VX+았/EP+다/EF+"/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.163.7.1
제작사인 이김프로덕션도 이날 보도자료를 통해 한씨에 대한 민·형사상 대응 방침을 거듭 확인하면서 한씨의 촬영 복귀를 압박했다.

제작사인	제작사/NNG+이/VCP+ㄴ/ETM
이김프로덕션도	이김프로덕션/NNP+도/JX
이날	이날/NNG
보도자료를	보도/NNG+자료/NNG+를/JKO
통해	통하/VV+아/EC
한씨에	한/NNP+씨/NNB+에/JKB
대한	대하/VV+ㄴ/ETM
민·형사상	민·형사/NNG+상/XSN
대응	대응/NNG
방침을	방침/NNG+을/JKO
거듭	거듭/MAG
확인하면서	확인/NNG+하/XSV+면서/EC
한씨의	한/NNP+씨/NNB+의/JKG
촬영	촬영/NNG
복귀를	복귀/NNG+를/JKO
압박했다.	압박/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.163.8.1
연예가에서는 한예슬의 돌발 행동 배경에 대해 '결혼설'이 나왔다.

연예가에서는	연예가/NNG+에서/JKB+는/JX
한예슬의	한예슬/NNP+의/JKG
돌발	돌발/NNG
행동	행동/NNG
배경에	배경/NNG+에/JKB
대해	대하/VV+아/EC
'결혼설'이	'/SS+결혼설/NNG+'/SS+이/JKS
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.163.8.2
"한예슬이 현재 연상 사업가와 결혼을 전제로 교제 중이며, 동료 연예인들에게도 이 사실을 말했다"는 내용이다.

"한예슬이	"/SS+한예슬/NNP+이/JKS
현재	현재/MAG
연상	연상/NNG
사업가와	사업가/NNG+와/JKB
결혼을	결혼/NNG+을/JKO
전제로	전제/NNG+로/JKB
교제	교제/NNG
중이며,	중/NNB+이/VCP+며/EC+,/SP
동료	동료/NNG
연예인들에게도	연예인/NNG+들/XSN+에게/JKB+도/JX
이	이/MMD
사실을	사실/NNG+을/JKO
말했다"는	말/NNG+하/XSV+았/EP+다/EF+"/SS+는/ETM
내용이다.	내용/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.163.8.3
따라서 "결혼과 은퇴를 결심한 한예슬이 연예계에 대한 미련이 많이 약해진 게 돌출 행동의 원인 아니냐"는 추측이다.

따라서	따라서/MAJ
"결혼과	"/SS+결혼/NNG+과/JC
은퇴를	은퇴/NNG+를/JKO
결심한	결심/NNG+하/XSV+ㄴ/ETM
한예슬이	한예슬/NNP+이/JKS
연예계에	연예/NNG+계/XSN+에/JKB
대한	대하/VV+ㄴ/ETM
미련이	미련/NNG+이/JKS
많이	많이/MAG
약해진	약하/VA+아/EC+지/VX+ㄴ/ETM
게	거/NNB+이/JKS
돌출	돌출/NNG
행동의	행동/NNG+의/JKG
원인	원인/NNG
아니냐"는	아니/VCN+냐/EF+"/SS+는/ETM
추측이다.	추측/NNG+이/VCP+다/EF+./SF


