# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.237
metadata : {}


# id : NWRW1800000024.237.1.1
부아소나드 타워와 중핵파

부아소나드	부아소나드/NNP
타워와	타워/NNG+와/JC
중핵파	중핵파/NNP


# id : NWRW1800000024.237.2.1
교문 곳곳에는 대학 쪽이 고용한 경비원들이 매서운 눈초리로 출입하는 학생들의 얼굴을 일일이 체크한다.

교문	교문/NNG
곳곳에는	곳곳/NNG+에/JKB+는/JX
대학	대학/NNG
쪽이	쪽/NNB+이/JKS
고용한	고용/NNG+하/XSV+ㄴ/ETM
경비원들이	경비원/NNG+들/XSN+이/JKS
매서운	매섭/VA+ㄴ/ETM
눈초리로	눈초리/NNG+로/JKB
출입하는	출입/NNG+하/XSV+는/ETM
학생들의	학생/NNG+들/XSN+의/JKG
얼굴을	얼굴/NNG+을/JKO
일일이	일일이/MAG
체크한다.	체크/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000024.237.2.2
대학으로부터 퇴학·무기정학 등 중징계를 당한 ‘블랙리스트’ 학생들의 학내 출입을 막기 위해서다.

대학으로부터	대학/NNG+으로부터/JKB
퇴학·무기정학	퇴학/NNG+·/SP+무기정학/NNG
등	등/NNB
중징계를	중징계/NNG+를/JKO
당한	당하/VV+ㄴ/ETM
‘블랙리스트’	‘/SS+블랙리스트/NNG+’/SS
학생들의	학생/NNG+들/XSN+의/JKG
학내	학내/NNG
출입을	출입/NNG+을/JKO
막기	막/VV+기/ETN
위해서다.	위하/VV+아서/EC+이/VCP+다/EF+./SF


# id : NWRW1800000024.237.2.3
교내에 들어가자 건물 곳곳에 감시카메라가 쉽게 눈에 띈다.

교내에	교내/NNG+에/JKB
들어가자	들어가/VV+자/EC
건물	건물/NNG
곳곳에	곳곳/NNG+에/JKB
감시카메라가	감시/NNG+카메라/NNG+가/JKS
쉽게	쉽/VA+게/EC
눈에	눈/NNG+에/JKB
띈다.	띄/VV+ㄴ다/EF+./SF


# id : NWRW1800000024.237.2.4
학내에 이런 감시카메라가 150개나 설치돼 있다고 한다.

학내에	학내/NNG+에/JKB
이런	이런/MMD
감시카메라가	감시/NNG+카메라/NNG+가/JKS
150개나	150/SN+개/NNB+나/JX
설치돼	설치/NNG+되/XSV+어/EC
있다고	있/VX+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000024.237.2.5
게시판 곳곳에는 징계자와 징계사유 등을 담은 학교 쪽의 경고 공지사항이 수십장 붙어 있다.

게시판	게시판/NNG
곳곳에는	곳곳/NNG+에/JKB+는/JX
징계자와	징계자/NNG+와/JC
징계사유	징계/NNG+사유/NNG
등을	등/NNB+을/JKO
담은	담/VV+은/ETM
학교	학교/NNG
쪽의	쪽/NNB+의/JKG
경고	경고/NNG
공지사항이	공지/NNG+사항/NNG+이/JKS
수십장	수십/NR+장/NNB
붙어	붙/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.237.2.6
지난달 24일 들여다본 일본 명문 사립대 호세이대학 이치가야 캠퍼스의 살벌한 풍경이다.

지난달	지난달/NNG
24일	24/SN+일/NNB
들여다본	들여다보/VV+ㄴ/ETM
일본	일본/NNP
명문	명문/NNG
사립대	사립대/NNG
호세이대학	호세이대학/NNP
이치가야	이치가야/NNP
캠퍼스의	캠퍼스/NNG+의/JKG
살벌한	살벌/NNG+하/XSA+ㄴ/ETM
풍경이다.	풍경/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000024.237.3.1
이 대학 캠퍼스의 상징적 건물인 초현대식 27층 ‘부아소나드 타워’의 화려한 외관에 가린 억압과 배제의 공기가 짙게 깔리기 시작한 것은 3년 전으로 거슬러 올라간다.

이	이/MMD
대학	대학/NNG
캠퍼스의	캠퍼스/NNG+의/JKG
상징적	상징/NNG+적/XSN
건물인	건물/NNG+이/VCP+ㄴ/ETM
초현대식	초/XPN+현대식/NNG
27층	27/SN+층/NNG
‘부아소나드	‘/SS+부아소나드/NNP
타워’의	타워/NNG+’/SS+의/JKG
화려한	화려하/VA+ㄴ/ETM
외관에	외관/NNG+에/JKB
가린	가리/VV+ㄴ/ETM
억압과	억압/NNG+과/JC
배제의	배제/NNG+의/JKG
공기가	공기/NNG+가/JKS
짙게	짙/VA+게/EC
깔리기	깔리/VV+기/ETN
시작한	시작/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
3년	3/SN+년/NNB
전으로	전/NNG+으로/JKB
거슬러	거스르/VV+어/EC
올라간다.	올라가/VV+ㄴ다/EF+./SF


# id : NWRW1800000024.237.3.2
