# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.376
metadata : {}


# id : NWRW1800000026.376.1.1
완전범죄를 꿈꾸는가?

완전범죄를	완전/NNG+범죄/NNG+를/JKO
꿈꾸는가?	꿈꾸/VV+는가/EF+?/SF


# id : NWRW1800000026.376.1.2
…포기하라, 당신이 한 짓은 결코 지워지지 않는다;'디지털 포렌식' 혁명(digital forensics: 디지털 기기의 '뇌'를 복구해 법적 증거로 활용하는 작업)

…포기하라,	…/SE+포기/NNG+하/XSV+라/EF+,/SP
당신이	당신/NP+이/JKS
한	하/VV+ㄴ/ETM
짓은	짓/NNG+은/JX
결코	결코/MAG
지워지지	지우/VV+어/EC+지/VX+지/EC
않는다;'디지털	않/VX+는다/EF+;/SP+'/SS+디지털/NNG
포렌식'	포렌식/NNG+'/SS
혁명(digital	혁명/NNG+(/SS+digital/SL
forensics:	forensics/SL+:/SP
디지털	디지털/NNG
기기의	기기/NNG+의/JKG
'뇌'를	'/SS+뇌/NNG+'/SS+를/JKO
복구해	복구/NNG+하/XSV+아/EC
법적	법/NNG+적/XSN
증거로	증거/NNG+로/JKB
활용하는	활용/NNG+하/XSV+는/ETM
작업)	작업/NNG+)/SS


# id : NWRW1800000026.376.2.1
#1. 작년 12월 충남에서는 초등학교 주변에서 성추행을 하던 남자가 붙잡혔다.

#1.	#/SW+1/SN+./SF
작년	작년/NNG
12월	12/SN+월/NNB
충남에서는	충남/NNP+에서/JKB+는/JX
초등학교	초등학교/NNG
주변에서	주변/NNG+에서/JKB
성추행을	성추행/NNG+을/JKO
하던	하/VV+던/ETM
남자가	남자/NNG+가/JKS
붙잡혔다.	붙잡히/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.376.2.2
경찰은 남자의 휴대폰을 분석해 사진을 지운 흔적을 발견했다.

경찰은	경찰/NNG+은/JX
남자의	남자/NNG+의/JKG
휴대폰을	휴대폰/NNG+을/JKO
분석해	분석/NNG+하/XSV+아/EC
사진을	사진/NNG+을/JKO
지운	지우/VV+ㄴ/ETM
흔적을	흔적/NNG+을/JKO
발견했다.	발견/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.376.2.3
이를 복구하자 놀라운 일이 생겼다.

이를	이/NP+를/JKO
복구하자	복구/NNG+하/XSV+자/EC
놀라운	놀랍/VA+ㄴ/ETM
일이	일/NNG+이/JKS
생겼다.	생기/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.376.2.4
무려 70여명에 달하는 초등학생의 나체 사진이 나타났다.

무려	무려/MAG
70여명에	70/SN+여/XSN+명/NNB+에/JKB
달하는	달하/VV+는/ETM
초등학생의	초등학생/NNG+의/JKG
나체	나체/NNG
사진이	사진/NNG+이/JKS
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.376.2.5
묻힐 뻔했던 70건 이상의 여죄가 낱낱이 드러났다.

묻힐	묻히/VV+ㄹ/ETM
뻔했던	뻔/NNB+하/XSA+았/EP+던/ETM
70건	70/SN+건/NNB
이상의	이상/NNG+의/JKG
여죄가	여죄/NNG+가/JKS
낱낱이	낱낱이/MAG
드러났다.	드러나/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.376.2.6
(경찰청 사이버테러대응센터)

(경찰청	(/SS+경찰청/NNG
사이버테러대응센터)	사이버/NNG+테러/NNG+대응/NNG+센터/NNG+)/SS


# id : NWRW1800000026.376.3.1
#2. 박연차 전 태광실업 회장으로부터 돈을 받았다는 혐의로 기소된 박진 의원은 최근 2심에서 현금 2만달러를 받았다는 부분에 대해서 무죄 판결을 받았다.

#2.	#/SW+2/SN+./SF
박연차	박연차/NNP
전	전/MMD
태광실업	태광실업/NNP
회장으로부터	회장/NNG+으로부터/JKB
돈을	돈/NNG+을/JKO
받았다는	받/VV+았/EP+다는/ETM
혐의로	혐의/NNG+로/JKB
기소된	기소/NNG+되/XSV+ㄴ/ETM
박진	박진/NNP
의원은	의원/NNG+은/JX
최근	최근/NNG
2심에서	2심/NNG+에서/JKB
현금	현금/NNG
2만달러를	2/SN+만/NR+달러/NNB+를/JKO
부분에	부분/NNG+에/JKB
대해서	대하/VV+아서/EC
무죄	무죄/NNG
판결을	판결/NNG+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.376.3.2
1심에서는 유죄였다.

1심에서는	1심/NNG+에서/JKB+는/JX
유죄였다.	유죄/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000026.376.3.3
이때 변호인단이 제출한 자료가 있다.

이때	이때/NNG
변호인단이	변호인단/NNG+이/JKS
제출한	제출/NNG+하/XSV+ㄴ/ETM
자료가	자료/NNG+가/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000026.376.3.4
박진 의원에게 돈을 줬다고 박 전 회장이 진술한 날 박 전 회장이 찍힌 사진들.

박진	박진/NNP
의원에게	의원/NNG+에게/JKB
돈을	돈/NNG+을/JKO
줬다고	주/VV+었/EP+다고/EC
박	박/NNP
전	전/MMD
회장이	회장/NNG+이/JKS
진술한	진술/NNG+하/XSV+ㄴ/ETM
날	날/NNG
찍힌	찍히/VV+ㄴ/ETM
