# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.1
metadata : {}


# id : NWRW1800000049.1.1.1
[新성장동력]모바일 메신저 ‘라인’·동영상 앱 ‘V’ 해외에서 각광

[新성장동력]모바일	[/SS+新/SH+성장/NNG+동력/NNG+]/SS+모바일/NNG
메신저	메신저/NNG
‘라인’·동영상	‘/SS+라인/NNP+’/SS+·/SP+동영상/NNG
앱	앱/NNG
‘V’	‘/SS+V/SL+’/SS
해외에서	해외/NNG+에서/JKB
각광	각광/NNG


# id : NWRW1800000049.1.2.1
네이버는 지난해 8월 미국 경제전문지 포브스가 발표한 ‘100대 혁신 기업’ 리스트에 2년 연속 이름을 올렸다.

네이버는	네이버/NNP+는/JX
지난해	지난해/NNG
8월	8/SN+월/NNB
미국	미국/NNP
경제전문지	경제/NNG+전문지/NNG
포브스가	포브스/NNP+가/JKS
발표한	발표/NNG+하/XSV+ㄴ/ETM
‘100대	‘/SS+100/SN+대/NNG
혁신	혁신/NNG
기업’	기업/NNG+’/SS
리스트에	리스트/NNG+에/JKB
2년	2/SN+년/NNB
연속	연속/NNG
이름을	이름/NNG+을/JKO
올렸다.	올리/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.1.2.2
‘새로운 기술이나 서비스를 얼마나 지속적으로 만들어 낼 수 있는지’를 선정 기준으로 하고 있는 이 리스트에서 네이버는 2014년에 비해 32단계 오른 21위에 선정됐다.

‘새로운	‘/SS+새롭/VA+ㄴ/ETM
기술이나	기술/NNG+이나/JC
서비스를	서비스/NNG+를/JKO
얼마나	얼마나/MAG
지속적으로	지속/NNG+적/XSN+으로/JKB
만들어	만들/VV+어/EC
낼	내/VX+ㄹ/ETM
수	수/NNB
있는지’를	있/VA+는지/EF+’/SS+를/JKO
선정	선정/NNG
기준으로	기준/NNG+으로/JKB
하고	하/VV+고/EC
있는	있/VX+는/ETM
이	이/MMD
리스트에서	리스트/NNG+에서/JKB
네이버는	네이버/NNP+는/JX
2014년에	2014/SN+년/NNB+에/JKB
비해	비/NNG+하/XSV+아/EC
32단계	32/SN+단계/NNG
오른	오르/VV+ㄴ/ETM
21위에	21/SN+위/NNB+에/JKB
선정됐다.	선정/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000049.1.3.1
2000년 11월 네이버 재팬을 설립하며 해외 진출을 시작한 네이버는 ‘글로벌’이라는 혁신 키워드 아래 해외 진출에 박차를 가하고 있다.

2000년	2000/SN+년/NNB
11월	11/SN+월/NNB
네이버	네이버/NNP
재팬을	재팬/NNP+을/JKO
설립하며	설립/NNG+하/XSV+며/EC
해외	해외/NNG
진출을	진출/NNG+을/JKO
시작한	시작/NNG+하/XSV+ㄴ/ETM
네이버는	네이버/NNP+는/JX
‘글로벌’이라는	‘/SS+글로벌/NNG+’/SS+이/VCP+라는/ETM
혁신	혁신/NNG
키워드	키워드/NNG
아래	아래/NNG
진출에	진출/NNG+에/JKB
박차를	박차/NNG+를/JKO
가하고	가하/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.1.3.2
국내 시장에 안주하지 않고 끊임없이 해외 시장 가능성을 찾는 과정이 네이버 혁신의 원천인 셈이다.

국내	국내/NNG
시장에	시장/NNG+에/JKB
안주하지	안주/NNG+하/XSV+지/EC
않고	않/VX+고/EC
끊임없이	끊임없이/MAG
해외	해외/NNG
시장	시장/NNG
가능성을	가능/NNG+성/XSN+을/JKO
찾는	찾/VV+는/ETM
과정이	과정/NNG+이/JKS
네이버	네이버/NNP
혁신의	혁신/NNG+의/JKG
원천인	원천/NNG+이/VCP+ㄴ/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000049.1.4.1
대표적으로 모바일 메신저 ‘라인’은 일본, 대만, 태국, 인도네시아 등 주요 4개국과 중동지역을 중심으로 2억 1200만 명의 월간 실사용자(MAU)를 확보해 글로벌 사업자들과 경쟁하고 있다.

대표적으로	대표/NNG+적/XSN+으로/JKB
모바일	모바일/NNG
메신저	메신저/NNG
‘라인’은	‘/SS+라인/NNP+’/SS+은/JX
일본,	일본/NNP+,/SP
대만,	대만/NNP+,/SP
태국,	태국/NNP+,/SP
인도네시아	인도네시아/NNP
등	등/NNB
주요	주요/NNG
4개국과	4/SN+개국/NNB+과/JC
중동지역을	중동/NNP+지역/NNG+을/JKO
중심으로	중심/NNG+으로/JKB
2억	2/SN+억/NR
1200만	1200/SN+만/NR
명의	명/NNB+의/JKG
월간	월간/NNG
실사용자(MAU)를	실사용자/NNG+(/SS+MAU/SL+)/SS+를/JKO
확보해	확보/NNG+하/XSV+아/EC
글로벌	글로벌/NNG
사업자들과	사업자/NNG+들/XSN+과/JKB
경쟁하고	경쟁/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


