# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.168
metadata : {}


# id : NWRW1800000048.168.1.1
아베가 사죄하든 말든 관심없다

아베가	아베/NNP+가/JKS
사죄하든	사죄/NNG+하/XSV+든/EC
말든	말/VV+든/EC
관심없다	관심/NNG+없/VA+다/EF


# id : NWRW1800000048.168.2.1
한승동의 독서무한

한승동의	한승동/NNP+의/JKG
독서무한	독서/NNG+무한/NNG


# id : NWRW1800000048.168.3.1
한국인은 미쳤다!

한국인은	한국인/NNG+은/JX
미쳤다!	미치/VV+었/EP+다/EF+!/SF


# id : NWRW1800000048.168.4.1
에리크 쉬르데주 지음, 권지현 옮김/북하우스(2015)

에리크	에리크/NNP
쉬르데주	쉬르데주/NNP
지음,	짓/VV+음/ETN+,/SP
권지현	권지현/NNP
옮김/북하우스(2015)	옮기/VV+ㅁ/ETN+//SP+북하우스/NNP+(/SS+2015/SN+)/SS


# id : NWRW1800000048.168.5.1
미쓰비시가 전쟁 때 강제노역을 시킨 미국과 중국, 영국 등의 전쟁포로들에게 사과하고 보상하겠다면서 한국인 강제징용 피해자들에겐 그것을 거부했다.

미쓰비시가	미쓰비시/NNP+가/JKS
전쟁	전쟁/NNG
때	때/NNG
강제노역을	강제/NNG+노역/NNG+을/JKO
시킨	시키/VV+ㄴ/ETM
미국과	미국/NNP+과/JC
중국,	중국/NNP+,/SP
영국	영국/NNP
등의	등/NNB+의/JKG
전쟁포로들에게	전쟁/NNG+포로/NNG+들/XSN+에게/JKB
사과하고	사과/NNG+하/XSV+고/EC
보상하겠다면서	보상/NNG+하/XSV+겠/EP+다면서/EC
한국인	한국인/NNG
강제징용	강제/NNG+징용/NNG
피해자들에겐	피해자/NNG+들/XSN+에게/JKB+ㄴ/JX
그것을	그것/NP+을/JKO
거부했다.	거부/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.168.5.2
‘법적 상황이 다르다’는 게 이유다.

‘법적	‘/SS+법/NNG+적/XSN
상황이	상황/NNG+이/JKS
