# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.233
metadata : {}


# id : NWRW1800000056.233.1.1
‘마을 만들기 학생공모전’ 매년 1~2개씩 사업화

‘마을	‘/SS+마을/NNG
만들기	만들/VV+기/ETN
학생공모전’	학생/NNG+공모전/NNG+’/SS
매년	매년/MAG
1~2개씩	1/SN+~/SO+2/SN+개/NNB+씩/XSN
사업화	사업/NNG+화/XSN


# id : NWRW1800000056.233.2.1
[한겨레] [커버스토리]구로구 개봉3동 ‘이심전심 마을’은 몇년 전만 해도 레이더기지가 있었던 개웅산 아래 작은 마을이었다.

[한겨레]	[/SS+한겨레/NNP+]/SS
[커버스토리]구로구	[/SS+커버스토리/NNG+]/SS+구로구/NNP
개봉3동	개봉3동/NNP
‘이심전심	‘/SS+이심전심/NNG
마을’은	마을/NNG+’/SS+은/JX
몇년	몇/NR+년/NNB
전만	전/NNG+만/JX
해도	하/VV+아도/EC
레이더기지가	레이더/NNG+기지/NNG+가/JKS
있었던	있/VA+었/EP+던/ETM
개웅산	개웅산/NNG
아래	아래/NNG
작은	작/VA+은/ETM
마을이었다.	마을/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000056.233.2.2
낙후를 거듭하면서 오래된 흉가, 어두운 골목길, 위험한 계단 등 산적한 문제에 주민들은 손을 놓았다.

낙후를	낙후/NNG+를/JKO
거듭하면서	거듭/MAG+하/XSV+면서/EC
오래된	오래/MAG+되/XSA+ㄴ/ETM
흉가,	흉가/NNG+,/SP
어두운	어둡/VA+ㄴ/ETM
골목길,	골목길/NNG+,/SP
위험한	위험/NNG+하/XSA+ㄴ/ETM
계단	계단/NNG
등	등/NNB
산적한	산적/NNG+하/XSA+ㄴ/ETM
문제에	문제/NNG+에/JKB
주민들은	주민/NNG+들/XSN+은/JX
손을	손/NNG+을/JKO
놓았다.	놓/VV+았/EP+다/EF+./SF


# id : NWRW1800000056.233.2.3
성균관대 학생들이 8개월 동안 마을 기초조사, 주민 의견 수렴을 거쳐 내놓은 ‘이심전심 개봉3동 이야기’ 프로젝트가 2012년 서울시 ‘살기 좋은 마을 만들기 학생공모전’에서 대상을 받으면서 변화가 일어나기 시작했다.

성균관대	성균관대/NNP
학생들이	학생/NNG+들/XSN+이/JKS
8개월	8/SN+개월/NNB
동안	동안/NNG
마을	마을/NNG
기초조사,	기초/NNG+조사/NNG+,/SP
주민	주민/NNG
의견	의견/NNG
수렴을	수렴/NNG+을/JKO
거쳐	거치/VV+어/EC
내놓은	내놓/VV+은/ETM
‘이심전심	‘/SS+이심전심/NNG
개봉3동	개봉3동/NNP
이야기’	이야기/NNG+’/SS
프로젝트가	프로젝트/NNG+가/JKS
2012년	2012/SN+년/NNB
서울시	서울시/NNP
‘살기	‘/SS+살/VV+기/ETN
좋은	좋/VA+은/ETM
만들기	만들/VV+기/ETN
학생공모전’에서	학생/NNG+공모전/NNG+’/SS+에서/JKB
대상을	대상/NNG+을/JKO
받으면서	받/VV+으면서/EC
변화가	변화/NNG+가/JKS
일어나기	일어나/VV+기/ETN
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.233.2.4
주민들도 마을을 바꿔보자며 힘을 합치기 시작한 것이다.

주민들도	주민/NNG+들/XSN+도/JX
마을을	마을/NNG+을/JKO
바꿔보자며	바꾸/VV+어/EC+보/VX+자며/EC
힘을	힘/NNG+을/JKO
합치기	합치/VV+기/ETN
시작한	시작/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000056.233.3.1
먼저 통반장, 동대표 등이 임시추진위원회를 만들어 집집이 방문해 생활에서 느끼는 불편 사항 등 의견을 수렴하고 기초자료 수집에 나섰다.

먼저	먼저/MAG
통반장,	통반장/NNG+,/SP
동대표	동/NNG+대표/NNG
등이	등/NNB+이/JKS
임시추진위원회를	임시/NNG+추진/NNG+위원회/NNG+를/JKO
만들어	만들/VV+어/EC
집집이	집집이/MAG
방문해	방문/NNG+하/XSV+아/EC
생활에서	생활/NNG+에서/JKB
느끼는	느끼/VV+는/ETM
불편	불편/NNG
사항	사항/NNG
등	등/NNB
의견을	의견/NNG+을/JKO
수렴하고	수렴/NNG+하/XSV+고/EC
기초자료	기초/NNG+자료/NNG
수집에	수집/NNG+에/JKB
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.233.3.2
사업을 반대하는 일부 주민의 동의를 구하기 위해 여러 차례 설득 작업을 했다.

사업을	사업/NNG+을/JKO
반대하는	반대/NNG+하/XSV+는/ETM
일부	일부/NNG
주민의	주민/NNG+의/JKG
동의를	동의/NNG+를/JKO
구하기	구하/VV+기/ETN
위해	위하/VV+아/EC
여러	여러/MMN
차례	차례/NNG
설득	설득/NNG
작업을	작업/NNG+을/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000056.233.3.3
설문조사 결과를 바탕으로 마을의 우선 과제를 선정하고, 체계적인 사업 추진을 위해 주민공동체 운영위원회도 만들었다.

설문조사	설문/NNG+조사/NNG
결과를	결과/NNG+를/JKO
바탕으로	바탕/NNG+으로/JKB
마을의	마을/NNG+의/JKG
우선	우선/MAG
과제를	과제/NNG+를/JKO
선정하고,	선정/NNG+하/XSV+고/EC+,/SP
체계적인	체계/NNG+적/XSN+이/VCP+ㄴ/ETM
사업	사업/NNG
추진을	추진/NNG+을/JKO
위해	위하/VV+아/EC
주민공동체	주민/NNG+공동체/NNG
운영위원회도	운영/NNG+위원회/NNG+도/JX
만들었다.	만들/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.233.4.1
2013년 8월 이심전심 마을의 주민참여형 도시재생사업을 확정한 서울시와 구로구는 예산 15억600만원을 들여 1년 동안 도로·보도, 담장 벽화, 디자인 펜스, 폐회로텔레비전(CCTV) 등 기반시설을 정비했다.

2013년	2013/SN+년/NNB
8월	8/SN+월/NNB
이심전심	이심전심/NNG
마을의	마을/NNG+의/JKG
주민참여형	주민/NNG+참여/NNG+형/XSN
도시재생사업을	도시/NNG+재생/NNG+사업/NNG+을/JKO
확정한	확정/NNG+하/XSV+ㄴ/ETM
서울시와	서울시/NNP+와/JC
구로구는	구로구/NNP+는/JX
예산	예산/NNG
15억600만원을	15/SN+억/NR+600/SN+만/NR+원/NNB+을/JKO
들여	들이/VV+어/EC
1년	1/SN+년/NNB
동안	동안/NNG
도로·보도,	도로/NNG+·/SP+보도/NNG+,/SP
담장	담장/NNG
벽화,	벽화/NNG+,/SP
디자인	디자인/NNG
펜스,	펜스/NNG+,/SP
폐회로텔레비전(CCTV)	폐회로/NNG+텔레비전/NNG+(/SS+CCTV/SL+)/SS
등	등/NNB
기반시설을	기반/NNG+시설/NNG+을/JKO
정비했다.	정비/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.233.4.2
2015년 10월에는 재생사업의 마지막 단계로 주민공동체가 활동할 핵심 공간인 ‘이심전심 마을회관’(사진)이 문을 열었다.

2015년	2015/SN+년/NNB
10월에는	10/SN+월/NNB+에/JKB+는/JX
재생사업의	재생/NNG+사업/NNG+의/JKG
마지막	마지막/NNG
단계로	단계/NNG+로/JKB
주민공동체가	주민/NNG+공동체/NNG+가/JKS
활동할	활동/NNG+하/XSV+ㄹ/ETM
핵심	핵심/NNG
공간인	공간/NNG+이/VCP+ㄴ/ETM
‘이심전심	‘/SS+이심전심/NNG
마을회관’(사진)이	마을/NNG+회관/NNG+’/SS+(/SS+사진/NNG+)/SS+이/JKS
문을	문/NNG+을/JKO
열었다.	열/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.233.4.3
흉가가 있던 자리에 들어선 마을회관에서는 공유 주방, 공동육아 모임, 수공예 모임, 어르신 운동 교실, 어린이 율동 연습 등 다양한 프로그램이 운영되고 있다.

흉가가	흉가/NNG+가/JKS
있던	있/VA+던/ETM
자리에	자리/NNG+에/JKB
들어선	들어서/VV+ㄴ/ETM
마을회관에서는	마을/NNG+회관/NNG+에서/JKB+는/JX
공유	공유/NNG
주방,	주방/NNG+,/SP
공동육아	공동육아/NNG
모임,	모임/NNG+,/SP
수공예	수공예/NNG
어르신	어르신/NNG
운동	운동/NNG
교실,	교실/NNG+,/SP
어린이	어린이/NNG
율동	율동/NNG
연습	연습/NNG
등	등/NNB
다양한	다양/NNG+하/XSA+ㄴ/ETM
프로그램이	프로그램/NNG+이/JKS
운영되고	운영/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000056.233.4.4
진희선 서울시 도시재생본부장은 “이심전심 마을은 학생공모전에서 발굴된 지역에서 주민, 학생, 전문가들이 함께 참여해 마을계획까지 끌어낸 첫 사례”라고 말했다.

진희선	진희선/NNP
서울시	서울시/NNP
도시재생본부장은	도시/NNG+재생/NNG+본부장/NNG+은/JX
“이심전심	“/SS+이심전심/NNG
마을은	마을/NNG+은/JX
학생공모전에서	학생/NNG+공모전/NNG+에서/JKB
발굴된	발굴/NNG+되/XSV+ㄴ/ETM
지역에서	지역/NNG+에서/JKB
주민,	주민/NNG+,/SP
학생,	학생/NNG+,/SP
전문가들이	전문가/NNG+들/XSN+이/JKS
함께	함께/MAG
참여해	참여/NNG+하/XSV+아/EC
마을계획까지	마을/NNG+계획/NNG+까지/JX
끌어낸	끌어내/VV+ㄴ/ETM
첫	첫/MMN
사례”라고	사례/NNG+”/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.233.5.1
‘살기 좋은 마을 만들기 학생공모전’은 서울시가 주거지 재생에 대한 대학생의 참신한 아이디어를 발굴하기 위해 2009년 시작했다.

‘살기	‘/SS+살/VV+기/ETN
좋은	좋/VA+은/ETM
마을	마을/NNG
만들기	만들/VV+기/ETN
학생공모전’은	학생/NNG+공모전/NNG+’/SS+은/JX
서울시가	서울시/NNP+가/JKS
주거지	주거지/NNG
재생에	재생/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
대학생의	대학/NNG+생/XSN+의/JKG
참신한	참신하/VA+ㄴ/ETM
아이디어를	아이디어/NNG+를/JKO
발굴하기	발굴/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
2009년	2009/SN+년/NNB
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.233.5.2
2012년 3회부터는 해마다 1~2개의 수상작이 실제 사업으로 이어지고 있다.

2012년	2012/SN+년/NNB
3회부터는	3/SN+회/NNB+부터/JX+는/JX
해마다	해마다/MAG
1~2개의	1/SN+~/SO+2/SN+개/NNB+의/JKG
수상작이	수상작/NNG+이/JKS
실제	실제/NNG
사업으로	사업/NNG+으로/JKB
이어지고	이어지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000056.233.5.3
3회 금상을 받은 동작구 상도3동 성대골마을은 서울시 도시계획위원회의 정비계획 심의가 완료돼 공공부문 사업이 이뤄지고 있다.

3회	3/SN+회/NNB
금상을	금상/NNG+을/JKO
받은	받/VV+은/ETM
동작구	동작구/NNP
상도3동	상도3동/NNP
성대골마을은	성대골마을/NNP+은/JX
서울시	서울시/NNP
도시계획위원회의	도시/NNG+계획/NNG+위원회/NNG+의/JKG
정비계획	정비/NNG+계획/NNG
심의가	심의/NNG+가/JKS
완료돼	완료/NNG+되/XSV+어/EC
공공부문	공공/NNG+부문/NNG
사업이	사업/NNG+이/JKS
이뤄지고	이뤄지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000056.233.5.4
성북구 삼선동 천사마을(4회 은상)은 정비계획 수립을 위한 용역이 진행 중이다.

성북구	성북구/NNP
삼선동	삼선동/NNP
천사마을(4회	천사마을/NNP+(/SS+4/SN+회/NNB
은상)은	은상/NNG+)/SS+은/JX
정비계획	정비/NNG+계획/NNG
수립을	수립/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
용역이	용역/NNG+이/JKS
진행	진행/NNG
중이다.	중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000056.233.6.1
서울시는 올해도 8회 ‘살기 좋은 마을 만들기 학생공모전'을 연다.

서울시는	서울시/NNP+는/JX
올해도	올해/NNG+도/JX
8회	8/SN+회/NNB
‘살기	‘/SS+살/VV+기/ETN
좋은	좋/VA+은/ETM
마을	마을/NNG
만들기	만들/VV+기/ETN
학생공모전'을	학생/NNG+공모전/NNG+'/SS+을/JKO
연다.	열/VV+ㄴ다/EF+./SF


# id : NWRW1800000056.233.6.2
오는 24~25일 이틀 동안 신청받아 모두 15개 작품을 수상작으로 선정하고, 사업 실현 가능성과 지역 특성 등을 고려해 1~2곳은 주거환경관리사업으로 이어나갈 계획이다.

오는	오/VV+는/ETM
24~25일	24/SN+~/SO+25/SN+일/NNB
이틀	이틀/NNG
동안	동안/NNG
신청받아	신청/NNG+받/XSV+아/EC
모두	모두/MAG
15개	15/SN+개/NNB
작품을	작품/NNG+을/JKO
수상작으로	수상작/NNG+으로/JKB
선정하고,	선정/NNG+하/XSV+고/EC+,/SP
사업	사업/NNG
실현	실현/NNG
가능성과	가능/NNG+성/XSN+과/JC
지역	지역/NNG
특성	특성/NNG
등을	등/NNB+을/JKO
고려해	고려/NNG+하/XSV+아/EC
1~2곳은	1/SN+~/SO+2/SN+곳/NNG+은/JX
주거환경관리사업으로	주거/NNG+환경/NNG+관리/NNG+사업/NNG+으로/JKB
이어나갈	잇/VV+어/EC+나가/VX+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000056.233.6.3
진 본부장은 “지금까지 학생공모전이 계속될 수 있었던 것은 대학생의 다양한 아이디어에서 매력적인 서울의 모습을 발견했기 때문”이라며 “공모전이 끝난 뒤에도 본인이 발굴한 마을에 마을활동가로 정착해 주민과 함께하는 마을이 늘어나길 바란다”고 말했다.

진	진/NNP
본부장은	본부장/NNG+은/JX
“지금까지	“/SS+지금/NNG+까지/JX
학생공모전이	학생/NNG+공모전/NNG+이/JKS
계속될	계속/NNG+되/XSV+ㄹ/ETM
수	수/NNB
있었던	있/VA+었/EP+던/ETM
것은	것/NNB+은/JX
대학생의	대학/NNG+생/XSN+의/JKG
다양한	다양/NNG+하/XSA+ㄴ/ETM
아이디어에서	아이디어/NNG+에서/JKB
매력적인	매력/NNG+적/XSN+이/VCP+ㄴ/ETM
서울의	서울/NNP+의/JKG
모습을	모습/NNG+을/JKO
발견했기	발견/NNG+하/XSV+았/EP+기/ETN
때문”이라며	때문/NNB+”/SS+이/VCP+라며/EC
“공모전이	“/SS+공모전/NNG+이/JKS
끝난	끝나/VV+ㄴ/ETM
뒤에도	뒤/NNG+에/JKB+도/JX
본인이	본인/NNG+이/JKS
발굴한	발굴/NNG+하/XSV+ㄴ/ETM
마을에	마을/NNG+에/JKB
마을활동가로	마을/NNG+활동가/NNG+로/JKB
정착해	정착/NNG+하/XSV+아/EC
주민과	주민/NNG+과/JKB
함께하는	함께/MAG+하/XSV+는/ETM
마을이	마을/NNG+이/JKS
늘어나길	늘어나/VV+기/ETN+ㄹ/JKO
바란다”고	바라/VV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


