# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.414
metadata : {}


# id : NWRW1800000022.414.1.1
[호남] 광주 우체국보험회관 문 열어

[호남]	[/SS+호남/NNP+]/SS
광주	광주/NNP
우체국보험회관	우체국/NNG+보험/NNG+회관/NNG
문	문/NNG
열어	열/VV+어/EF


# id : NWRW1800000022.414.2.1
우체국보험 계약자들이 편리하게 보험 업무를 처리하고 문화생활도 즐길 수 있는 우체국보험회관이 서울·부산·대구에 이어 광주에 문을 열었다.

우체국보험	우체국/NNG+보험/NNG
계약자들이	계약자/NNG+들/XSN+이/JKS
편리하게	편리/NNG+하/XSA+게/EC
보험	보험/NNG
업무를	업무/NNG+를/JKO
처리하고	처리/NNG+하/XSV+고/EC
문화생활도	문화생활/NNG+도/JX
즐길	즐기/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
우체국보험회관이	우체국/NNG+보험/NNG+회관/NNG+이/JKS
서울·부산·대구에	서울/NNP+·/SP+부산/NNP+·/SP+대구/NNP+에/JKB
이어	잇/VV+어/EC
광주에	광주/NNP+에/JKB
문을	문/NNG+을/JKO
열었다.	열/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.414.3.1
전남체신청은 26일 오전 광주 서구 치평동 우체국보험 광주회관에서 남궁민 지식경제부 우정사업본부장 등 관계자와 고객 대표자 등이 참석한 가운데 개관식을 가졌다.

전남체신청은	전남체신청/NNP+은/JX
26일	26/SN+일/NNB
오전	오전/NNG
광주	광주/NNP
서구	서구/NNP
치평동	치평동/NNP
우체국보험	우체국/NNG+보험/NNG
광주회관에서	광주/NNP+회관/NNG+에서/JKB
남궁민	남궁민/NNP
지식경제부	지식/NNG+경제부/NNG
우정사업본부장	우정/NNG+사업/NNG+본부장/NNG
등	등/NNB
관계자와	관계자/NNG+와/JC
고객	고객/NNG
대표자	대표자/NNG
등이	등/NNB+이/JKS
참석한	참석/NNG+하/XSV+ㄴ/ETM
가운데	가운데/NNG
개관식을	개관식/NNG+을/JKO
가졌다.	가지/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.414.4.1
지난 2007년 7월 기공, 2년여 만에 완공된 광주보험회관은 지상 16층, 지하 3층, 연면적 3만1456㎡ 규모.

지난	지나/VV+ㄴ/ETM
2007년	2007/SN+년/NNB
7월	7/SN+월/NNB
기공,	기공/NNG+,/SP
2년여	2/SN+년/NNB+여/XSN
만에	만/NNB+에/JKB
완공된	완공/NNG+되/XSV+ㄴ/ETM
광주보험회관은	광주/NNP+보험/NNG+회관/NNG+은/JX
지상	지상/NNG
16층,	16/SN+층/NNG+,/SP
지하	지하/NNG
3층,	3/SN+층/NNG+,/SP
연면적	연면적/NNG
3만1456㎡	3/SN+만/NR+1456/SN+㎡/SW
규모.	규모/NNG+./SF


# id : NWRW1800000022.414.4.2
획일적이고 딱딱한 관공서 이미지를 벗어나 건물 앞쪽 한 모서리가 밖으로 튀어나오게 하는 등 독창적 디자인으로 지어졌다.

획일적이고	획일적/NNG+이/VCP+고/EC
딱딱한	딱딱하/VA+ㄴ/ETM
관공서	관공서/NNG
이미지를	이미지/NNG+를/JKO
벗어나	벗어나/VV+아/EC
건물	건물/NNG
앞쪽	앞쪽/NNG
한	한/MMN
모서리가	모서리/NNG+가/JKS
밖으로	밖/NNG+으로/JKB
튀어나오게	튀어나오/VV+게/EC
하는	하/VX+는/ETM
등	등/NNB
독창적	독창/NNG+적/XSN
디자인으로	디자인/NNG+으로/JKB
지어졌다.	짓/VV+어/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000022.414.5.1
최첨단 인텔리전트 빌딩이자, 지열·태양광 발전시스템을 적용한 친환경 빌딩으로, 우체국 관련 업무 공간과 보험아카데미 교육시설, 문화센터, 스포츠시설 등을 갖췄다.

최첨단	최/XPN+첨단/NNG
인텔리전트	인텔리전트/NNG
빌딩이자,	빌딩/NNG+이/VCP+자/EC+,/SP
지열·태양광	지열/NNG+·/SP+태양광/NNG
발전시스템을	발전/NNG+시스템/NNG+을/JKO
적용한	적용/NNG+하/XSV+ㄴ/ETM
친환경	친/XPN+환경/NNG
빌딩으로,	빌딩/NNG+으로/JKB+,/SP
우체국	우체국/NNG
관련	관련/NNG
업무	업무/NNG
공간과	공간/NNG+과/JC
보험아카데미	보험/NNG+아카데미/NNG
교육시설,	교육/NNG+시설/NNG+,/SP
문화센터,	문화/NNG+센터/NNG+,/SP
스포츠시설	스포츠/NNG+시설/NNG
등을	등/NNB+을/JKO
갖췄다.	갖추/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.414.6.1
전남체신청은 "광주보험회관은 일반 보험서비스와 함께 헬스·공연·어학 등 다양한 사회·문화 서비스를 제공, 광주의 문화생활 중심으로 자리 잡을 것"라고 말했다.

전남체신청은	전남체신청/NNP+은/JX
"광주보험회관은	"/SS+광주/NNP+보험/NNG+회관/NNG+은/JX
일반	일반/NNG
보험서비스와	보험/NNG+서비스/NNG+와/JKB
함께	함께/MAG
헬스·공연·어학	헬스/NNG+·/SP+공연/NNG+·/SP+어학/NNG
등	등/NNB
다양한	다양/NNG+하/XSA+ㄴ/ETM
사회·문화	사회/NNG+·/SP+문화/NNG
서비스를	서비스/NNG+를/JKO
제공,	제공/NNG+,/SP
광주의	광주/NNP+의/JKG
문화생활	문화생활/NNG
중심으로	중심/NNG+으로/JKB
자리	자리/NNG
잡을	잡/VV+을/ETM
것"라고	것/NNB+"/SS+라고/JKQ
