# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.104
metadata : {}


# id : NWRW1800000056.104.1.1
1억년 전 공룡시대 한반도에 캥거루처럼 뛴 포유류 살았다

1억년	1/SN+억/NR+년/NNB
전	전/NNG
공룡시대	공룡/NNG+시대/NNG
한반도에	한반도/NNP+에/JKB
캥거루처럼	캥거루/NNG+처럼/JKB
뛴	뛰/VV+ㄴ/ETM
포유류	포유/NNG+류/XSN
살았다	살/VV+았/EP+다/EF


# id : NWRW1800000056.104.2.1
[한겨레] 백악기 뜀박질 포유류 뒷발자국 화석 세계 최초로 확인돼

[한겨레]	[/SS+한겨레/NNP+]/SS
백악기	백악기/NNG
뜀박질	뜀박질/NNG
포유류	포유/NNG+류/XSN
뒷발자국	뒷발/NNG+자국/NNG
화석	화석/NNG
세계	세계/NNG
최초로	최초/NNG+로/JKB
확인돼	확인/NNG+되/XSV+어/EF


# id : NWRW1800000056.104.3.1
진주에서 발견…공룡시대 포유류 흔적은 국내 첫 사례

진주에서	진주/NNP+에서/JKB
발견…공룡시대	발견/NNG+…/SE+공룡/NNG+시대/NNG
포유류	포유/NNG+류/XSN
흔적은	흔적/NNG+은/JX
국내	국내/NNG
첫	첫/MMN
사례	사례/NNG


# id : NWRW1800000056.104.4.1
오늘날 캥거루쥐와 비슷 ‘코리아살티페스 진주엔시스’ 명명

오늘날	오늘날/NNG
캥거루쥐와	캥거루쥐/NNG+와/JKB
비슷	비슷/XR
‘코리아살티페스	‘/SS+코리아살티페스/NNG
진주엔시스’	진주엔시스/NNG+’/SS
명명	명명/NNG


# id : NWRW1800000056.104.5.1
공룡이 지구를 누비고 다녔던 1억여년 전 한반도에 캥거루처럼 두 개의 뒷발로만 깡충깡충 뛰어다니는 작은 포유류가 살았던 것으로 밝혀졌다.

공룡이	공룡/NNG+이/JKS
지구를	지구/NNG+를/JKO
누비고	누비/VV+고/EC
다녔던	다니/VV+었/EP+던/ETM
1억여년	1/SN+억/NR+여/XSN+년/NNB
전	전/NNG
한반도에	한반도/NNP+에/JKB
캥거루처럼	캥거루/NNG+처럼/JKB
두	두/MMN
개의	개/NNB+의/JKG
뒷발로만	뒷발/NNG+로/JKB+만/JX
깡충깡충	깡충깡충/MAG
뛰어다니는	뛰어다니/VV+는/ETM
작은	작/VA+은/ETM
포유류가	포유/NNG+류/XSN+가/JKS
살았던	살/VV+았/EP+던/ETM
것으로	것/NNB+으로/JKB
밝혀졌다.	밝혀지/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.104.6.1
국립문화재연구소는 경남 진주에 있는 1억1천만 년 전 지층인 '진주층'에서 백악기 시대(1억4500만년 전~6500만년 전)의 뜀걸음형 포유류의 발자국 화석이 세계 처음 발견됐다고 21일 발표했다.

국립문화재연구소는	국립문화재연구소/NNP+는/JX
경남	경남/NNP
진주에	진주/NNP+에/JKB
있는	있/VV+는/ETM
1억1천만	1/SN+억/NR+1/SN+천만/NR
년	년/NNB
전	전/NNG
지층인	지층/NNG+이/VCP+ㄴ/ETM
'진주층'에서	'/SS+진주/NNP+층/XSN+'/SS+에서/JKB
백악기	백악기/NNG
시대(1억4500만년	시대/NNG+(/SS+1/SN+억/NR+4500/SN+만/NR+년/NNB
전~6500만년	전/NNG+~/SO+6500/SN+만/NR+년/NNB
전)의	전/NNG+)/SS+의/JKG
뜀걸음형	뜀걸음/NNG+형/XSN
포유류의	포유/NNG+류/XSN+의/JKG
발자국	발자국/NNG
화석이	화석/NNG+이/JKS
세계	세계/NNG
처음	처음/NNG
발견됐다고	발견/NNG+되/XSV+었/EP+다고/EC
21일	21/SN+일/NNB
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.104.6.2
한반도에서 공룡시대 포유류의 흔적이 처음 나온 것이다.

한반도에서	한반도/NNP+에서/JKB
공룡시대	공룡/NNG+시대/NNG
포유류의	포유/NNG+류/XSN+의/JKG
흔적이	흔적/NNG+이/JKS
처음	처음/NNG
나온	나오/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000056.104.6.3
새로 발견된 포유류 학명은 한국 진주(진주층)에서 발견된 새로운 종류의 뜀걸음 형태 발자국을 뜻하는 '코리아살티페스 진주엔시스'(Koreasaltipes Jinjuensis)로 이름붙여졌다.

새로	새로/MAG
발견된	발견/NNG+되/XSV+ㄴ/ETM
포유류	포유/NNG+류/XSN
학명은	학명/NNG+은/JX
한국	한국/NNP
진주(진주층)에서	진주/NNP+(/SS+진주/NNP+층/XSN+)/SS+에서/JKB
새로운	새롭/VA+ㄴ/ETM
종류의	종류/NNG+의/JKG
뜀걸음	뜀걸음/NNG
형태	형태/NNG
발자국을	발자국/NNG+을/JKO
뜻하는	뜻/NNG+하/XSV+는/ETM
'코리아살티페스	'/SS+코리아살티페스/NNG
진주엔시스'(Koreasaltipes	진주엔시스/NNG+'/SS+(/SS+Koreasaltipes/SL
Jinjuensis)로	Jinjuensis/SL+)/SS+로/JKB
이름붙여졌다.	이름/NNG+붙이/VV+어/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000056.104.7.1
화석이 나온 곳은 진주시 호탄동의 익룡, 새, 공룡 발자국 화석 산지(천연기념물)에서 약 200m떨어진 지점이다.

화석이	화석/NNG+이/JKS
나온	나오/VV+ㄴ/ETM
곳은	곳/NNG+은/JX
진주시	진주시/NNP
호탄동의	호탄동/NNP+의/JKG
익룡,	익룡/NNG+,/SP
새,	새/NNG+,/SP
공룡	공룡/NNG
발자국	발자국/NNG
화석	화석/NNG
산지(천연기념물)에서	산지/NNG+(/SS+천연기념물/NNG+)/SS+에서/JKB
약	약/MMA
200m떨어진	200/SN+m/SW+떨어지/VV+ㄴ/ETM
지점이다.	지점/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000056.104.7.2
이곳 지층 안에서는 뒷발자국 화석 9쌍이 한꺼번에 확인됐다.

이곳	이곳/NP
지층	지층/NNG
안에서는	안/NNG+에서/JKB+는/JX
뒷발자국	뒷발/NNG+자국/NNG
화석	화석/NNG
9쌍이	9/SN+쌍/NNG+이/JKS
한꺼번에	한꺼번에/MAG
확인됐다.	확인/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000056.104.7.3
연구소 쪽은 “지난해 1월 김경수 진주교대 연구팀의 최연기 교사가 화석을 처음 발견했고, 이후 한국·미국·중국 학자들이 공동 연구를 통해 분석한 결과 공룡시대의 뜀걸음형 포유류라는 결론을 내렸다”고 밝혔다.

연구소	연구소/NNG
쪽은	쪽/NNB+은/JX
“지난해	“/SS+지난해/NNG
1월	1/SN+월/NNB
김경수	김경수/NNP
진주교대	진주교대/NNP
연구팀의	연구/NNG+팀/NNG+의/JKG
최연기	최연기/NNP
교사가	교사/NNG+가/JKS
화석을	화석/NNG+을/JKO
처음	처음/NNG
발견했고,	발견/NNG+하/XSV+았/EP+고/EC+,/SP
이후	이후/NNG
한국·미국·중국	한국/NNP+·/SP+미국/NNP+·/SP+중국/NNP
학자들이	학자/NNG+들/XSN+이/JKS
공동	공동/NNG
연구를	연구/NNG+를/JKO
통해	통하/VV+아/EC
분석한	분석/NNG+하/XSV+ㄴ/ETM
결과	결과/NNG
공룡시대의	공룡/NNG+시대/NNG+의/JKG
뜀걸음형	뜀걸음/NNG+형/XSN
포유류라는	포유/NNG+류/XSN+이/VCP+라는/ETM
결론을	결론/NNG+을/JKO
내렸다”고	내리/VV+었/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.104.8.1
연구소가 낸 보도자료를 보면, 발자국 화석 9쌍의 총 길이는 32.1㎝, 보폭의 평균은 약 4.1㎝에 달한다.

연구소가	연구소/NNG+가/JKS
낸	내/VV+ㄴ/ETM
보도자료를	보도/NNG+자료/NNG+를/JKO
보면,	보/VV+면/EC+,/SP
발자국	발자국/NNG
화석	화석/NNG
9쌍의	9/SN+쌍/NNG+의/JKG
총	총/MMA
길이는	길이/NNG+는/JX
32.1㎝,	32/SN+./SP+1/SN+㎝/SW+,/SP
보폭의	보폭/NNG+의/JKG
평균은	평균/NNG+은/JX
약	약/MMA
4.1㎝에	4/SN+./SP+1/SN+㎝/SW+에/JKB
달한다.	달하/VV+ㄴ다/EF+./SF


# id : NWRW1800000056.104.8.2
뒷발자국 흔적에서 가운뎃 발가락이 가장 길고, 발가락 사이의 간격은 좁고 비슷하며, 발가락들의 크기와 모양이 비슷하다.

뒷발자국	뒷발/NNG+자국/NNG
흔적에서	흔적/NNG+에서/JKB
가운뎃	가운뎃/NNG
발가락이	발가락/NNG+이/JKS
가장	가장/MAG
길고,	길/VA+고/EC+,/SP
발가락	발가락/NNG
사이의	사이/NNG+의/JKG
간격은	간격/NNG+은/JX
좁고	좁/VA+고/EC
비슷하며,	비슷하/VA+며/EC+,/SP
발가락들의	발가락/NNG+들/XSN+의/JKG
크기와	크기/NNG+와/JC
모양이	모양/NNG+이/JKS
비슷하다.	비슷하/VA+다/EF+./SF


# id : NWRW1800000056.104.8.3
이런 점에서 명백한 포유류의 발자국이며, 뜀걸음질한 모양새도 도드라지게 관찰된다고 한다.

이런	이런/MMD
점에서	점/NNG+에서/JKB
명백한	명백하/VA+ㄴ/ETM
포유류의	포유/NNG+류/XSN+의/JKG
발자국이며,	발자국/NNG+이/VCP+며/EC+,/SP
뜀걸음질한	뜀걸음/NNG+질/XSN+하/XSV+ㄴ/ETM
모양새도	모양새/NNG+도/JX
도드라지게	도드라지/VV+게/EC
관찰된다고	관찰/NNG+되/XSV+ㄴ다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000056.104.8.4
발자국 하나의 지름(발길이)이 평균 1㎝, 왼발부터 오른발까지 너비는 2.1㎝로 몸집 크기가 10cm에 불과했던 것으로 추정된다.

발자국	발자국/NNG
하나의	하나/NR+의/JKG
지름(발길이)이	지름/NNG+(/SS+발/NNG+길이/NNG+)/SS+이/JKS
평균	평균/NNG
1㎝,	1/SN+㎝/SW+,/SP
왼발부터	왼발/NNG+부터/JX
오른발까지	오른발/NNG+까지/JX
너비는	너비/NNG+는/JX
2.1㎝로	2/SN+./SP+1/SN+㎝/SW+로/JKB
몸집	몸집/NNG
크기가	크기/NNG+가/JKS
10cm에	10/SN+cm/SW+에/JKB
불과했던	불과/MAG+하/XSA+았/EP+던/ETM
것으로	것/NNB+으로/JKB
추정된다.	추정/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000056.104.8.5
임종덕 국립문화재연구소 학예연구관은 "오늘날 사막과 초원에 사는 캥거루쥐와 닮았으며 뒷다리가 길고 강력했던 것으로 생각된다"고 말했다.

임종덕	임종덕/NNP
국립문화재연구소	국립문화재연구소/NNP
학예연구관은	학예/NNG+연구관/NNG+은/JX
"오늘날	"/SS+오늘날/NNG
사막과	사막/NNG+과/JC
초원에	초원/NNG+에/JKB
사는	살/VV+는/ETM
캥거루쥐와	캥거루쥐/NNG+와/JKB
닮았으며	닮/VV+았/EP+으며/EC
뒷다리가	뒷다리/NNG+가/JKS
길고	길/VA+고/EC
강력했던	강력/NNG+하/XSA+았/EP+던/ETM
것으로	것/NNB+으로/JKB
생각된다"고	생각/NNG+되/XSV+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.104.9.1
공룡시대 살았던 작은 포유류들은 나무 위나 땅속에서 살며 주로 밤에 활동하는 야행성 동물들이었다.

공룡시대	공룡/NNG+시대/NNG
살았던	살/VV+았/EP+던/ETM
작은	작/VA+은/ETM
포유류들은	포유/NNG+류/XSN+들/XSN+은/JX
나무	나무/NNG
위나	위/NNG+나/JC
땅속에서	땅속/NNG+에서/JKB
살며	살/VV+며/EC
주로	주로/MAG
밤에	밤/NNG+에/JKB
활동하는	활동/NNG+하/XSV+는/ETM
야행성	야행/NNG+성/XSN
동물들이었다.	동물/NNG+들/XSN+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000056.104.9.2
이번에 발견된 `진주엔시스‘도 대형 육식공룡과 악어, 익룡 같은 포식자들의 공격을 신속하게 피할 수 있도록 주로 두 발을 써서 다녔던 것으로 보고 있다.

이번에	이번/NNG+에/JKB
발견된	발견/NNG+되/XSV+ㄴ/ETM
`진주엔시스‘도	`/SS+진주엔시스/NNG+‘/SS+도/JX
대형	대형/NNG
육식공룡과	육식/NNG+공룡/NNG+과/JC
악어,	악어/NNG+,/SP
익룡	익룡/NNG
같은	같/VA+은/ETM
포식자들의	포식자/NNG+들/XSN+의/JKG
공격을	공격/NNG+을/JKO
신속하게	신속/NNG+하/XSA+게/EC
피할	피하/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
주로	주로/MAG
두	두/MMN
발을	발/NNG+을/JKO
써서	쓰/VV+어서/EC
다녔던	다니/VV+었/EP+던/ETM
것으로	것/NNB+으로/JKB
보고	보/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000056.104.10.1
지금까지 뜀걸음형 포유류의 발자국 화석으로는 아르헨티나에서 나온 중생대 쥐라기(2억1천만년 전∼1억4천500만년 전)의 '아메기니크누스'(Ameghinichnus)와 미국에서 발견된 신생대 마이오세기 (2천303만년 전∼533만년 전)의 '무살티페스'(Musaltipes)가 보고된 바 있다.

지금까지	지금/NNG+까지/JX
뜀걸음형	뜀걸음/NNG+형/XSN
포유류의	포유/NNG+류/XSN+의/JKG
발자국	발자국/NNG
화석으로는	화석/NNG+으로/JKB+는/JX
아르헨티나에서	아르헨티나/NNP+에서/JKB
나온	나오/VV+ㄴ/ETM
중생대	중생대/NNG
쥐라기(2억1천만년	쥐라기/NNG+(/SS+2/SN+억/NR+1/SN+천만/NR+년/NNB
전∼1억4천500만년	전/NNG+∼/SO+1/SN+억/NR+4/SN+천/NR+500/SN+만/NR+년/NNB
전)의	전/NNG+)/SS+의/JKG
'아메기니크누스'(Ameghinichnus)와	'/SS+아메기니크누스/NNG+'/SS+(/SS+Ameghinichnus/SL+)/SS+와/JC
미국에서	미국/NNP+에서/JKB
발견된	발견/NNG+되/XSV+ㄴ/ETM
신생대	신생대/NNG
마이오세기	마이오세기/NNG
(2천303만년	(/SS+2/SN+천/NR+303/SN+만/NR+년/NNB
전∼533만년	전/NNG+∼/SO+533/SN+만/NR+년/NNB
'무살티페스'(Musaltipes)가	'/SS+무살티페스/NNG+'/SS+(/SS+Musaltipes/SL+)/SS+가/JKS
보고된	보고/NNG+되/XSV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000056.104.10.2
연구소 쪽은 “이번에 나온 진주엔시스 화석은 아르헨티나와 미국의 기존 화석과 발가락 형태와 각도, 걸음의 형태 등 여러 면에서 차이가 나며 뜀걸음 형태가 가장 명확하게 남아있는 게 특징"이라면서 ”한반도 남부가 종 다양성이 풍부한 지역이었다는 사실도 알 수 있게 됐다“고 설명했다.

연구소	연구소/NNG
쪽은	쪽/NNB+은/JX
“이번에	“/SS+이번/NNG+에/JKB
나온	나오/VV+ㄴ/ETM
진주엔시스	진주엔시스/NNG
화석은	화석/NNG+은/JX
아르헨티나와	아르헨티나/NNP+와/JC
미국의	미국/NNP+의/JKG
기존	기존/NNG
화석과	화석/NNG+과/JC
발가락	발가락/NNG
