# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.48
metadata : {}


# id : NWRW1800000026.48.1.1
[강원] "살아 있는 명태와 만날 수 있을까";시범 조업 2차도 실패 2월 중 수차례 추가 시도 명태축제 앞두고 위기감

[강원]	[/SS+강원/NNP+]/SS
"살아	"/SS+살/VV+아/EC
있는	있/VX+는/ETM
명태와	명태/NNG+와/JKB
만날	만나/VV+ㄹ/ETM
수	수/NNB
있을까";시범	있/VA+을까/EF+"/SS+;/SP+시범/NNG
조업	조업/NNG
2차도	2/SN+차/NNB+도/JX
실패	실패/NNG
2월	2/SN+월/NNB
중	중/NNB
수차례	수차례/NNG
추가	추가/NNG
시도	시도/NNG
명태축제	명태/NNG+축제/NNG
앞두고	앞두/VV+고/EC
위기감	위기감/NNG


# id : NWRW1800000026.48.2.1
살아 있는 명태 확보가 난항을 겪고 있다.

살아	살/VV+아/EC
있는	있/VX+는/ETM
명태	명태/NNG
확보가	확보/NNG+가/JKS
난항을	난항/NNG+을/JKO
겪고	겪/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.48.2.2
고성군 수협과 동해수산연구소 등이 명태 자원 회복을 위해 시범 조업을 벌이고 있지만 아직 성과가 없다.

고성군	고성군/NNP
수협과	수협/NNP+과/JC
동해수산연구소	동해수산연구소/NNP
등이	등/NNB+이/JKS
명태	명태/NNG
자원	자원/NNG
회복을	회복/NNG+을/JKO
위해	위하/VV+아/EC
시범	시범/NNG
조업을	조업/NNG+을/JKO
벌이고	벌이/VV+고/EC
있지만	있/VX+지만/EC
아직	아직/MAG
성과가	성과/NNG+가/JKS
없다.	없/VA+다/EF+./SF


# id : NWRW1800000026.48.2.3
수협은 희망을 놓지 않고 몇 차례 더 시도한다는 계획이다.

수협은	수협/NNP+은/JX
희망을	희망/NNG+을/JKO
놓지	놓/VV+지/EC
않고	않/VX+고/EC
몇	몇/NR
차례	차례/NNG
더	더/MAG
