# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.187
metadata : {}


# id : NWRW1800000033.187.1.1
‘색동옷’ 갈아입는 숭례문

‘색동옷’	‘/SS+색동옷/NNG+’/SS
갈아입는	갈아입/VV+는/ETM
숭례문	숭례문/NNP


# id : NWRW1800000033.187.2.1
기와 잇기 - 단청작업 착수… 조선 전기 방식 화려함 줄어

기와	기와/NNG
잇기	잇/VV+기/ETN
-	-/SO
단청작업	단청/NNG+작업/NNG
착수…	착수/NNG+…/SE
조선	조선/NNP
전기	전기/NNG
방식	방식/NNG
화려함	화려하/VA+ㅁ/ETN
줄어	줄/VV+어/EF


# id : NWRW1800000033.187.3.1
안료 일본산 사용 아쉬움

안료	안료/NNG
일본산	일본/NNP+산/XSN
사용	사용/NNG
아쉬움	아쉬움/NNG


# id : NWRW1800000033.187.4.1
올해 말 완공을 목표로 복원 중인 국보 1호 숭례문의 목공사가 끝나고 기와 잇기와 단청 공사가 시작됐다.

올해	올해/NNG
말	말/NNB
완공을	완공/NNG+을/JKO
목표로	목표/NNG+로/JKB
복원	복원/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
국보	국보/NNG
1호	1/SN+호/NNB
숭례문의	숭례문/NNP+의/JKG
목공사가	목공사/NNG+가/JKS
끝나고	끝나/VV+고/EC
기와	기와/NNG
잇기와	잇/VV+기/ETN+와/JC
단청	단청/NNG
공사가	공사/NNG+가/JKS
시작됐다.	시작/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000033.187.5.1
문화재청은 12일 오전 숭례문 복원 현장에서 설명회를 열고 “기와 잇기는 11일 시작해 8월 초순에, 단청 공사는 18일 시작해 10월 초순에 완료할 예정”이라고 밝혔다.

문화재청은	문화재청/NNG+은/JX
12일	12/SN+일/NNB
오전	오전/NNG
숭례문	숭례문/NNP
복원	복원/NNG
현장에서	현장/NNG+에서/JKB
설명회를	설명회/NNG+를/JKO
열고	열/VV+고/EC
“기와	“/SS+기와/NNG
잇기는	잇/VV+기/ETN+는/JX
11일	11/SN+일/NNB
시작해	시작/NNG+하/XSV+아/EC
8월	8/SN+월/NNB
초순에,	초순/NNG+에/JKB+,/SP
단청	단청/NNG
공사는	공사/NNG+는/JX
18일	18/SN+일/NNB
10월	10/SN+월/NNB
초순에	초순/NNG+에/JKB
완료할	완료/NNG+하/XSV+ㄹ/ETM
예정”이라고	예정/NNG+”/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.187.6.1
문화재청은 이날 설명회에서 기와 잇기 시범을 보이고 단청 공사에 쓰이는 안료와 아교를 소개했다.

문화재청은	문화재청/NNG+은/JX
이날	이날/NNG
설명회에서	설명회/NNG+에서/JKB
기와	기와/NNG
잇기	잇/VV+기/ETN
시범을	시범/NNG+을/JKO
보이고	보이/VV+고/EC
단청	단청/NNG
공사에	공사/NNG+에/JKB
쓰이는	쓰이/VV+는/ETM
안료와	안료/NNG+와/JC
아교를	아교/NNG+를/JKO
소개했다.	소개/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.187.6.2
숭례문 지붕에는 이근복 번와장이 주도해 전통기법으로 제작한 기와 2만2000여 장을 얹게 된다.

숭례문	숭례문/NNP
지붕에는	지붕/NNG+에/JKB+는/JX
이근복	이근복/NNP
번와장이	번와장/NNG+이/JKS
주도해	주도/NNG+하/XSV+아/EC
전통기법으로	전통/NNG+기법/NNG+으로/JKB
제작한	제작/NNG+하/XSV+ㄴ/ETM
기와	기와/NNG
2만2000여	2/SN+만/NR+2000/SN+여/XSN
장을	장/NNB+을/JKO
얹게	얹/VV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.187.6.3
이 번와장은 “숭례문이 지진으로 흔들리는 일이 있더라도 기와는 흘러내리지 않도록 전통 쇠못과 구리줄로 기와를 잇고 있다”고 설명했다.

이	이/NNP
번와장은	번와장/NNG+은/JX
“숭례문이	“/SS+숭례문/NNP+이/JKS
지진으로	지진/NNG+으로/JKB
흔들리는	흔들리/VV+는/ETM
일이	일/NNG+이/JKS
있더라도	있/VA+더라도/EC
기와는	기와/NNG+는/JX
흘러내리지	흘러내리/VV+지/EC
않도록	않/VX+도록/EC
전통	전통/NNG
쇠못과	쇠못/NNG+과/JC
구리줄로	구리줄/NNG+로/JKB
기와를	기와/NNG+를/JKO
잇고	잇/VV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.187.7.1
최종덕 숭례문 복구단장은 기와 잇기 전의 지붕 공사에 대해 “석회를 섞어 시멘트처럼 단단하게 만드는 강회다짐층은 만들지 않고, 조금 더 두껍게 보토(補土)하는 전통방식으로 완료했다”고 밝혔다.

최종덕	최종덕/NNP
숭례문	숭례문/NNP
복구단장은	복구단장/NNG+은/JX
기와	기와/NNG
잇기	잇/VV+기/ETN
전의	전/NNG+의/JKG
지붕	지붕/NNG
공사에	공사/NNG+에/JKB
대해	대하/VV+아/EC
“석회를	“/SS+석회/NNG+를/JKO
섞어	섞/VV+어/EC
시멘트처럼	시멘트/NNG+처럼/JKB
단단하게	단단하/VA+게/EC
만드는	만들/VV+는/ETM
강회다짐층은	강회/NNG+다짐/NNG+층/XSN+은/JX
만들지	만들/VV+지/EC
않고,	않/VX+고/EC+,/SP
조금	조금/MAG
더	더/MAG
두껍게	두껍/VA+게/EC
보토(補土)하는	보토/NNG+(/SS+補土/SH+)/SS+하/VV+는/ETM
전통방식으로	전통/NNG+방식/NNG+으로/JKB
완료했다”고	완료/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.187.8.1
단청은 1963년 중수공사 당시의 조선 전기 문양을 기본으로 조선 전기의 색조를 살려 칠할 예정이다.

단청은	단청/NNG+은/JX
1963년	1963/SN+년/NNB
중수공사	중수/NNG+공사/NNG
