# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.242
metadata : {}


# id : NWRW1800000054.242.1.1
수학·탐구가 당락 좌우… "의대 합격선(정시모집) 서울대 396점, 고대 392점"

수학·탐구가	수학/NNG+·/SP+탐구/NNG+가/JKS
당락	당락/NNG
좌우…	좌우/NNG+…/SE
"의대	"/SS+의대/NNG
합격선(정시모집)	합격선/NNG+(/SS+정시/NNG+모집/NNG+)/SS
서울대	서울대/NNP
396점,	396/SN+점/NNB+,/SP
고대	고대/NNP
392점"	392/SN+점/NNB+"/SS


# id : NWRW1800000054.242.2.1
상위권 점수 분포 촘촘해져… 만점자 재학·졸업생 7명씩

상위권	상위/NNG+권/XSN
점수	점수/NNG
분포	분포/NNG
촘촘해져…	촘촘하/VA+아/EC+지/VX+어/EC+…/SE
만점자	만점자/NNG
재학·졸업생	재학/NNG+·/SP+졸업/NNG+생/XSN
7명씩	7/SN+명/NNB+씩/XSN


# id : NWRW1800000054.242.3.1
포항 지역 지진 여파로 1주일 연기된 2018학년도 대학수학능력시험 성적 채점 결과가 11일 공개됐다.

포항	포항/NNP
지역	지역/NNG
지진	지진/NNG
여파로	여파/NNG+로/JKB
1주일	1/SN+주일/NNB
연기된	연기/NNG+되/XSV+ㄴ/ETM
2018학년도	2018/SN+학년도/NNG
대학수학능력시험	대학/NNG+수학/NNG+능력/NNG+시험/NNG
성적	성적/NNG
채점	채점/NNG
결과가	결과/NNG+가/JKS
11일	11/SN+일/NNB
공개됐다.	공개/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000054.242.3.2
올해 수능은 매우 어렵게 출제된 지난해보다 전반적으로 비슷하거나 쉽게 출제된 것으로 분석된다.

올해	올해/NNG
수능은	수능/NNG+은/JX
매우	매우/MAG
어렵게	어렵/VA+게/EC
출제된	출제/NNG+되/XSV+ㄴ/ETM
지난해보다	지난해/NNG+보다/JKB
전반적으로	전반/NNG+적/XSN+으로/JKB
비슷하거나	비슷하/VA+거나/EC
쉽게	쉽/VA+게/EC
것으로	것/NNB+으로/JKB
분석된다.	분석/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000054.242.3.3
특히 국어와 영어가 비교적 쉽게 출제돼 문·이과 학생 모두 수학과 탐구 영역이 당락을 결정할 것으로 전문가들은 예상했다.

특히	특히/MAG
국어와	국어/NNG+와/JC
영어가	영어/NNP+가/JKS
비교적	비교/NNG+적/XSN
쉽게	쉽/VA+게/EC
출제돼	출제/NNG+되/XSV+어/EC
문·이과	문/NNG+·/SP+이과/NNG
학생	학생/NNG
모두	모두/MAG
수학과	수학/NNG+과/JC
탐구	탐구/NNG
영역이	영역/NNG+이/JKS
당락을	당락/NNG+을/JKO
결정할	결정/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
전문가들은	전문가/NNG+들/XSN+은/JX
예상했다.	예상/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.242.3.4
◇국어·수학 지난해보다 쉬워

◇국어·수학	◇/SW+국어/NNG+·/SP+수학/NNG
지난해보다	지난해/NNG+보다/JKB
쉬워	쉽/VA+어/EF


# id : NWRW1800000054.242.4.1
국어 영역은 만점자가 받는 표준점수 최고점이 지난해보다 5점 떨어진 134점이었다.

국어	국어/NNG
영역은	영역/NNG+은/JX
만점자가	만점자/NNG+가/JKS
받는	받/VV+는/ETM
표준점수	표준/NNG+점수/NNG
최고점이	최고점/NNG+이/JKS
지난해보다	지난해/NNG+보다/JKB
5점	5/SN+점/NNB
떨어진	떨어지/VV+ㄴ/ETM
134점이었다.	134/SN+점/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000054.242.4.2
표준점수 최고점은 시험이 어려울수록 올라간다.

표준점수	표준/NNG+점수/NNG
최고점은	최고점/NNG+은/JX
시험이	시험/NNG+이/JKS
어려울수록	어렵/VA+ㄹ수록/EC
올라간다.	올라가/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.242.4.3
원점수 기준으로는 등급별 커트라인이 1등급(4%) 94점, 2등급(7%) 89점으로, 지난해 92점, 86점보다 2점, 3점씩 높아졌다.

원점수	원점수/NNG
기준으로는	기준/NNG+으로/JKB+는/JX
등급별	등급/NNG+별/XSN
커트라인이	커트라인/NNG+이/JKS
1등급(4%)	1/SN+등급/NNG+(/SS+4/SN+%/SW+)/SS
94점,	94/SN+점/NNB+,/SP
2등급(7%)	2/SN+등급/NNG+(/SS+7/SN+%/SW+)/SS
89점으로,	89/SN+점/NNB+으로/JKB+,/SP
지난해	지난해/NNG
92점,	92/SN+점/NNB+,/SP
86점보다	86/SN+점/NNB+보다/JKB
2점,	2/SN+점/NNB+,/SP
3점씩	3/SN+점/NNB+씩/XSN
높아졌다.	높아지/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.242.4.4
만점자 비율 역시 지난해 0.23%보다 높은 0.61%였다.

만점자	만점자/NNG
비율	비율/NNG
역시	역시/MAG
지난해	지난해/NNG
0.23%보다	0/SN+./SP+23/SN+%/SW+보다/JKB
높은	높/VA+은/ETM
0.61%였다.	0/SN+./SP+61/SN+%/SW+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000054.242.4.5
김용진 동국대부속여고 국어 교사는 "상위권 학생의 점수 간격이 촘촘해 변별력이 많이 떨어질 것"이라고 말했다.

김용진	김용진/NNP
동국대부속여고	동국대부속여고/NNP
국어	국어/NNG
교사는	교사/NNG+는/JX
"상위권	"/SS+상위/NNG+권/XSN
학생의	학생/NNG+의/JKG
점수	점수/NNG
간격이	간격/NNG+이/JKS
촘촘해	촘촘하/VA+아/EC
변별력이	변별력/NNG+이/JKS
많이	많이/MAG
떨어질	떨어지/VV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.242.4.6
이과생이 주로 보는 수학 가형은 전년과 비슷하게 출제된 것으로 분석된다.

이과생이	이과/NNG+생/XSN+이/JKS
주로	주로/MAG
보는	보/VV+는/ETM
수학	수학/NNG
가형은	가형/NNG+은/JX
전년과	전년/NNG+과/JKB
비슷하게	비슷하/VA+게/EC
출제된	출제/NNG+되/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
분석된다.	분석/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000054.242.4.7
표준점수 최고점이 지난해와 같은 130점이었고, 1·2등급 커트라인(원점수 기준)도 지난해와 같은 92점, 88점이었다.

표준점수	표준/NNG+점수/NNG
최고점이	최고점/NNG+이/JKS
지난해와	지난해/NNG+와/JKB
같은	같/VA+은/ETM
130점이었고,	130/SN+점/NNB+이/VCP+었/EP+고/EC+,/SP
1·2등급	1/SN+·/SP+2/SN+등급/NNG
커트라인(원점수	커트라인/NNG+(/SS+원점수/NNG
기준)도	기준/NNG+)/SS+도/JX
92점,	92/SN+점/NNB+,/SP
88점이었다.	88/SN+점/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000054.242.4.8
문과생들이 주로 보는 수학 나형은 표준점수 최고점이 지난해보다 2점 떨어진 135점이었다.

문과생들이	문과/NNG+생/XSN+들/XSN+이/JKS
주로	주로/MAG
보는	보/VV+는/ETM
수학	수학/NNG
나형은	나형/NNG+은/JX
표준점수	표준/NNG+점수/NNG
최고점이	최고점/NNG+이/JKS
지난해보다	지난해/NNG+보다/JKB
2점	2/SN+점/NNB
떨어진	떨어지/VV+ㄴ/ETM
135점이었다.	135/SN+점/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000054.242.4.9
1등급 비율은 지난해보다 크게 오른 7.68%였지만, 만점자 비율은 지난해 0.15%에서 올해 0.11%로 약간 줄었다.

1등급	1/SN+등급/NNG
비율은	비율/NNG+은/JX
지난해보다	지난해/NNG+보다/JKB
크게	크/VA+게/EC
오른	오르/VV+ㄴ/ETM
7.68%였지만,	7/SN+./SP+68/SN+%/SW+이/VCP+었/EP+지만/EC+,/SP
만점자	만점자/NNG
지난해	지난해/NNG
0.15%에서	0/SN+./SP+15/SN+%/SW+에서/JKB
올해	올해/NNG
0.11%로	0/SN+./SP+11/SN+%/SW+로/JKB
약간	약간/MAG
줄었다.	줄/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.242.4.10
이영덕 대성학력개발연구소장은 "전반적으로 지난해와 비슷한 난도로 출제됐지만, 한두 개 문제를 매우 어렵게 출제해 만점을 받은 학생이 감소한 것으로 보인다"고 밝혔다.

이영덕	이영덕/NNP
대성학력개발연구소장은	대성학력개발연구소장/NNG+은/JX
"전반적으로	"/SS+전반/NNG+적/XSN+으로/JKB
지난해와	지난해/NNG+와/JKB
비슷한	비슷하/VA+ㄴ/ETM
난도로	난도/NNG+로/JKB
출제됐지만,	출제/NNG+되/XSV+었/EP+지만/EC+,/SP
한두	한두/MMN
개	개/NNB
문제를	문제/NNG+를/JKO
매우	매우/MAG
어렵게	어렵/VA+게/EC
출제해	출제/NNG+하/XSV+아/EC
만점을	만점/NNG+을/JKO
받은	받/VV+은/ETM
학생이	학생/NNG+이/JKS
감소한	감소/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
보인다"고	보이/VV+ㄴ다/EF+"/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.242.5.1
만점자 비율이 1%를 넘으면 비교적 쉬운 수능이라고 평가받는 것을 감안하면, 올해 수능이 예년에 비해 쉬웠다고 할 수 없다는 분석도 나온다.

만점자	만점자/NNG
비율이	비율/NNG+이/JKS
1%를	1/SN+%/SW+를/JKO
넘으면	넘/VV+으면/EC
비교적	비교/NNG+적/XSN
쉬운	쉽/VA+ㄴ/ETM
수능이라고	수능/NNG+이/VCP+라고/EC
평가받는	평가/NNG+받/XSV+는/ETM
것을	것/NNB+을/JKO
감안하면,	감안/NNG+하/XSV+면/EC+,/SP
올해	올해/NNG
수능이	수능/NNG+이/JKS
예년에	예년/NNG+에/JKB
비해	비/NNG+하/XSV+아/EC
쉬웠다고	쉽/VA+었/EP+다고/EC
할	하/VV+ㄹ/ETM
수	수/NNB
없다는	없/VA+다는/ETM
분석도	분석/NNG+도/JX
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.242.5.2
역대 가장 쉬웠다고 평가받는 2015학년도 수능에선 영역별 만점자 비율이 수학B(문과)에서 4.3%를 기록하는 등 국영수 가운데 국어B(문과)를 제외한 나머지 영역 모두 1%를 크게 웃돌았다.

역대	역대/NNG
가장	가장/MAG
쉬웠다고	쉽/VA+었/EP+다고/EC
평가받는	평가/NNG+받/XSV+는/ETM
2015학년도	2015/SN+학년도/NNG
수능에선	수능/NNG+에서/JKB+ㄴ/JX
영역별	영역/NNG+별/XSN
만점자	만점자/NNG
비율이	비율/NNG+이/JKS
수학B(문과)에서	수학/NNG+B/SL+(/SS+문과/NNG+)/SS+에서/JKB
4.3%를	4/SN+./SP+3/SN+%/SW+를/JKO
기록하는	기록/NNG+하/XSV+는/ETM
등	등/NNB
국영수	국영수/NNG
가운데	가운데/NNG
국어B(문과)를	국어/NNG+B/SL+(/SS+문과/NNG+)/SS+를/JKO
제외한	제외/NNG+하/XSV+ㄴ/ETM
나머지	나머지/NNG
영역	영역/NNG
모두	모두/MAG
1%를	1/SN+%/SW+를/JKO
크게	크/VA+게/EC
웃돌았다.	웃돌/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.242.6.1
탐구 영역은 표준점수 최고점이 과목에 따라 5~6점 차이가 났지만, 올해 과목별 난이도 차이가 크지 않았다고 전문가들은 분석했다.

탐구	탐구/NNG
영역은	영역/NNG+은/JX
표준점수	표준/NNG+점수/NNG
최고점이	최고점/NNG+이/JKS
과목에	과목/NNG+에/JKB
따라	따르/VV+아/EC
5~6점	5/SN+~/SO+6/SN+점/NNB
차이가	차이/NNG+가/JKS
났지만,	나/VV+았/EP+지만/EC+,/SP
올해	올해/NNG
과목별	과목/NNG+별/XSN
난이도	난이도/NNG
크지	크/VA+지/EC
않았다고	않/VX+았/EP+다고/EC
전문가들은	전문가/NNG+들/XSN+은/JX
