# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.61
metadata : {}


# id : NWRW1800000036.61.1.1
수입차에 내수시장 뺏길라… 현대차, 가격동결 정면승부

수입차에	수입차/NNG+에/JKB
내수시장	내수/NNG+시장/NNG
뺏길라…	뺏기/VV+ㄹ라/EF+…/SE
현대차,	현대차/NNP+,/SP
가격동결	가격/NNG+동결/NNG
정면승부	정면/NNG+승부/NNG


# id : NWRW1800000036.61.2.1
[한겨레] 2013년형 그랜저 가격 안 올려

[한겨레]	[/SS+한겨레/NNP+]/SS
2013년형	2013/SN+년/NNB+형/XSN
그랜저	그랜저/NNP
가격	가격/NNG
안	안/MAG
올려	올리/VV+어/EF


# id : NWRW1800000036.61.3.1
27년 고수해온 가격정책 변경

27년	27/SN+년/NNB
고수해온	고수/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
가격정책	가격/NNG+정책/NNG
변경	변경/NNG


# id : NWRW1800000036.61.4.1
닛산등 신차 값 인하에 위기감

닛산등	닛산/NNP+등/NNB
신차	신차/NNG
값	값/NNG
인하에	인하/NNG+에/JKB
위기감	위기감/NNG


# id : NWRW1800000036.61.5.1
현대자동차의 그랜저는 1986년 첫 모델이 나온 이래 한 차례도 빠짐없이 가격이 올랐다.

현대자동차의	현대자동차/NNP+의/JKG
그랜저는	그랜저/NNP+는/JX
1986년	1986/SN+년/NNB
첫	첫/MMN
모델이	모델/NNG+이/JKS
나온	나오/VV+ㄴ/ETM
이래	이래/NNB
한	한/MMN
차례도	차례/NNG+도/JX
빠짐없이	빠짐없이/MAG
가격이	가격/NNG+이/JKS
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000036.61.5.2
디자인만 살짝 바뀌는 연식 변경 모델도 종전 모델보다 수십만원씩 올랐다.

디자인만	디자인/NNG+만/JX
살짝	살짝/MAG
바뀌는	바뀌/VV+는/ETM
연식	연식/NNG
변경	변경/NNG
모델도	모델/NNG+도/JX
종전	종전/NNG
모델보다	모델/NNG+보다/JKB
수십만원씩	수십만/NR+원/NNB+씩/XSN
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000036.61.5.3
이는 그랜저 뿐만 아니라 쏘나타 등 다른 모델도 크게 다르지 않다.

이는	이/NP+는/JX
그랜저	그랜저/NNP
뿐만	뿐/JX+만/JX
아니라	아니/VCN+라/EC
쏘나타	쏘나타/NNG
등	등/NNB
다른	다른/MMD
모델도	모델/NNG+도/JX
크게	크/VA+게/EC
다르지	다르/VA+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000036.61.5.4
27년간 고수해오던 이러한 가격 정책이 올해 처음으로 바뀌었다.

27년간	27/SN+년/NNB+간/XSN
고수해오던	고수/NNG+하/XSV+아/EC+오/VX+던/ETM
이러한	이러하/VA+ㄴ/ETM
가격	가격/NNG
정책이	정책/NNG+이/JKS
올해	올해/NNG
처음으로	처음/NNG+으로/JKB
바뀌었다.	바뀌/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.61.6.1
현대차는 3일 2013년형 그랜저를 공개하면서 가격을 종전 모델에 견줘 동결 내지 인하했다.

현대차는	현대차/NNP+는/JX
3일	3/SN+일/NNB
2013년형	2013/SN+년/NNB+형/XSN
그랜저를	그랜저/NNP+를/JKO
공개하면서	공개/NNG+하/XSV+면서/EC
가격을	가격/NNG+을/JKO
종전	종전/NNG
모델에	모델/NNG+에/JKB
