# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.238
metadata : {}


# id : NWRW1800000022.238.1.1
[대구·경북] EXCO '전시&이벤트 기획 공모전' 수상자 발표

[대구·경북]	[/SS+대구/NNP+·/SP+경북/NNP+]/SS
EXCO	EXCO/SL
'전시&이벤트	'/SS+전시/NNG+&/SW+이벤트/NNG
기획	기획/NNG
공모전'	공모전/NNG+'/SS
수상자	수상자/NNG
발표	발표/NNG


# id : NWRW1800000022.238.2.1
2011년 EXCO 확장 및 대구세계육상선수권대회를 기념해 열린 전시&이벤트 공모전의 수상자가 모두 가려졌다.

2011년	2011/SN+년/NNB
EXCO	EXCO/SL
확장	확장/NNG
및	및/MAG
대구세계육상선수권대회를	대구/NNP+세계/NNG+육상/NNG+선수/NNG+권/XSN+대회/NNG+를/JKO
기념해	기념/NNG+하/XSV+아/EC
열린	열리/VV+ㄴ/ETM
전시&이벤트	전시/NNG+&/SW+이벤트/NNG
공모전의	공모전/NNG+의/JKG
수상자가	수상자/NNG+가/JKS
모두	모두/MAG
가려졌다.	가리/VV+어/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000022.238.3.1
2일 엑스코에 따르면, 지난달 30일 끝난 '엑스코 전시&이벤트 기획 공모전'에서 병원, 보험회사 등 암 관련 기관들의 참여로 꾸며질 '국제암산업박람회'를 제안한 한양대학교 재학생 김광범, 김태형씨(팀명:알바트로스)가 최우수상인 대구시장상을 수상했다.

2일	2/SN+일/NNB
엑스코에	엑스코/NNP+에/JKB
따르면,	따르/VV+면/EC+,/SP
지난달	지난달/NNG
30일	30/SN+일/NNB
끝난	끝나/VV+ㄴ/ETM
'엑스코	'/SS+엑스코/NNP
전시&이벤트	전시/NNG+&/SW+이벤트/NNG
기획	기획/NNG
공모전'에서	공모전/NNG+'/SS+에서/JKB
병원,	병원/NNG+,/SP
보험회사	보험/NNG+회사/NNG
등	등/NNB
암	암/NNG
관련	관련/NNG
기관들의	기관/NNG+들/XSN+의/JKG
참여로	참여/NNG+로/JKB
꾸며질	꾸미/VV+어/EC+지/VX+ㄹ/ETM
'국제암산업박람회'를	'/SS+국제/NNG+암/NNG+산업/NNG+박람회/NNG+'/SS+를/JKO
제안한	제안/NNG+하/XSV+ㄴ/ETM
한양대학교	한양대학교/NNP
재학생	재학/NNG+생/XSN
김광범,	김광범/NNP+,/SP
김태형씨(팀명:알바트로스)가	김태형/NNP+씨/NNB+(/SS+팀/NNG+명/NNG+:/SP+알바트로스/NNP+)/SS+가/JKS
최우수상인	최우수상/NNG+이/VCP+ㄴ/ETM
대구시장상을	대구시장/NNG+상/NNG+을/JKO
수상했다.	수상/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.238.4.1
우수상 2팀으로는 '국제의료관광전시회'를 기획한 가천의과대학교 설총명씨 등 4명과 '국제기능성게임전시회'를 기획한 충남대학교 국제무역대학원 박미나씨 등 2명이 각각 뽑혔다.

우수상	우수상/NNG
2팀으로는	2/SN+팀/NNG+으로/JKB+는/JX
'국제의료관광전시회'를	'/SS+국제/NNG+의료/NNG+관광/NNG+전시회/NNG+'/SS+를/JKO
기획한	기획/NNG+하/XSV+ㄴ/ETM
가천의과대학교	가천의과대학교/NNP
설총명씨	설총명/NNP+씨/NNB
등	등/NNB
4명과	4/SN+명/NNB+과/JC
'국제기능성게임전시회'를	'/SS+국제/NNG+기능/NNG+성/XSN+게임/NNG+전시회/NNG+'/SS+를/JKO
충남대학교	충남대학교/NNP
국제무역대학원	국제/NNG+무역/NNG+대학원/NNG
박미나씨	박미나/NNP+씨/NNB
2명이	2/SN+명/NNB+이/JKS
각각	각각/MAG
뽑혔다.	뽑히/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.238.4.2
또 장려상에는 '대구매운음식박람회'(계명대 이주영씨 등 4명), '대구국제육상대전'(계명대 송정준씨 등 2명), '컬러풀 국제뮤지컬박람회'(계명대 김인철씨 등 4명), '국제공정무역박람회'(경북대 우진아씨 등 4명), '스마트soc페어'(충남대 임소선씨 등 3명) 등 5작품이 선정됐다.

또	또/MAG
장려상에는	장려상/NNG+에/JKB+는/JX
'대구매운음식박람회'(계명대	'/SS+대구/NNP+맵/VA+ㄴ/ETM+음식/NNG+박람회/NNG+'/SS+(/SS+계명대/NNP
이주영씨	이주영/NNP+씨/NNB
등	등/NNB
4명),	4/SN+명/NNB+)/SS+,/SP
'대구국제육상대전'(계명대	'/SS+대구/NNP+국제/NNG+육상/NNG+대전/NNG+'/SS+(/SS+계명대/NNP
송정준씨	송정준/NNP+씨/NNB
2명),	2/SN+명/NNB+)/SS+,/SP
'컬러풀	'/SS+컬러풀/NNG
국제뮤지컬박람회'(계명대	국제/NNG+뮤지컬/NNG+박람회/NNG+'/SS+(/SS+계명대/NNP
김인철씨	김인철/NNP+씨/NNB
'국제공정무역박람회'(경북대	'/SS+국제/NNG+공정/NNG+무역/NNG+박람회/NNG+'/SS+(/SS+경북대/NNP
우진아씨	우진아/NNP+씨/NNB
'스마트soc페어'(충남대	'/SS+스마트/NNG+soc/SL+페어/NNG+'/SS+(/SS+충남대/NNP
임소선씨	임소선/NNP+씨/NNB
3명)	3/SN+명/NNB+)/SS
5작품이	5/SN+작품/NNG+이/JKS
선정됐다.	선정/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000022.238.5.1
행사 마지막 날에 열린 시상식에서 최우수상을 수상한 팀엔 상금 200만원이, 우수상 2팀과 장려상 5팀엔 각각 100만원·50만원의 상금이 주어졌다.

행사	행사/NNG
마지막	마지막/NNG
날에	날/NNG+에/JKB
열린	열리/VV+ㄴ/ETM
시상식에서	시상식/NNG+에서/JKB
최우수상을	최우수상/NNG+을/JKO
수상한	수상/NNG+하/XSV+ㄴ/ETM
팀엔	팀/NNG+에/JKB+ㄴ/JX
상금	상금/NNG
200만원이,	200/SN+만/NR+원/NNB+이/JKS+,/SP
우수상	우수상/NNG
2팀과	2/SN+팀/NNG+과/JC
장려상	장려상/NNG
5팀엔	5/SN+팀/NNG+에/JKB+ㄴ/JX
각각	각각/MAG
100만원·50만원의	100/SN+만/NR+원/NNB+·/SP+50/SN+만/NR+원/NNB+의/JKG
상금이	상금/NNG+이/JKS
주어졌다.	주어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.238.6.1
