# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.108
metadata : {}


# id : NWRW1800000049.108.1.1
“내 앨범 ‘The Epic’… 내년중 그래픽 노블로 낼겁니다”

“내	“/SS+나/NP+의/JKG
앨범	앨범/NNG
‘The	‘/SS+The/SL
Epic’…	Epic/SL+’/SS+…/SE
내년중	내년/NNG+중/NNB
그래픽	그래픽/NNG
노블로	노블/NNG+로/JKB
낼겁니다”	내/VV+ㄹ/ETM+거/NNB+이/VCP+ㅂ니다/EF+”/SS


# id : NWRW1800000049.108.2.1
재즈 색소포니스트 카마시 워싱턴

재즈	재즈/NNG
색소포니스트	색소포니스트/NNG
카마시	카마시/NNP
워싱턴	워싱턴/NNP


# id : NWRW1800000049.108.3.1
미국 재즈 색소포니스트 카마시 워싱턴(35)의 앨범 ‘The Epic(서사시)’(2015년)은 재즈뿐 아니라 세계 대중음악 역사를 통틀어 봐도 충격적인 데뷔작이다.

미국	미국/NNP
재즈	재즈/NNG
색소포니스트	색소포니스트/NNG
카마시	카마시/NNP
워싱턴(35)의	워싱턴/NNP+(/SS+35/SN+)/SS+의/JKG
앨범	앨범/NNG
‘The	‘/SS+The/SL
Epic(서사시)’(2015년)은	Epic/SL+(/SS+서사시/NNG+)/SS+’/SS+(/SS+2015/SN+년/NNB+)/SS+은/JX
재즈뿐	재즈/NNG+뿐/JX
아니라	아니/VCN+라/EC
세계	세계/NNG
대중음악	대중음악/NNG
역사를	역사/NNG+를/JKO
통틀어	통틀/VV+어/EC
봐도	보/VV+아도/EC
충격적인	충격/NNG+적/XSN+이/VCP+ㄴ/ETM
데뷔작이다.	데뷔작/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.108.4.1
17곡, 173분 36초 분량의 음악을 세 장의 음반에 이어 담은 대작.

17곡,	17/SN+곡/NNG+,/SP
173분	173/SN+분/NNB
36초	36/SN+초/NNB
분량의	분량/NNG+의/JKG
음악을	음악/NNG+을/JKO
세	세/MMN
장의	장/NNB+의/JKG
음반에	음반/NNG+에/JKB
이어	잇/VV+어/EC
담은	담/VV+은/ETM
대작.	대작/NNG+./SF


# id : NWRW1800000049.108.4.2
‘계획’-‘영광의 이야기’-‘역사적 반복’이란 세 주제를 재즈 밴드에 현악단, 합창단까지 동원해 표현했다.

‘계획’-‘영광의	‘/SS+계획/NNG+’/SS+-/SO+‘/SS+영광/NNG+의/JKG
이야기’-‘역사적	이야기/NNG+’/SS+-/SO+‘/SS+역사/NNG+적/XSN
반복’이란	반복/NNG+’/SS+이/VCP+란/ETM
세	세/MMN
주제를	주제/NNG+를/JKO
재즈	재즈/NNG
밴드에	밴드/NNG+에/JKB
현악단,	현악/NNG+단/NNG+,/SP
합창단까지	합창단/NNG+까지/JX
동원해	동원/NNG+하/XSV+아/EC
표현했다.	표현/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.108.4.3
해외 여러 매체는 이 음반을 장르 불문 2015년 최고의 앨범으로 꼽았다.

해외	해외/NNG
여러	여러/MMN
매체는	매체/NNG+는/JX
이	이/MMD
음반을	음반/NNG+을/JKO
장르	장르/NNG
불문	불문/NNG
2015년	2015/SN+년/NNB
최고의	최고/NNG+의/JKG
앨범으로	앨범/NNG+으로/JKB
꼽았다.	꼽/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.108.4.4
‘21세기 존 콜트레인’이란 상찬도 나온다.

‘21세기	‘/SS+21/SN+세기/NNG
존	존/NNP
콜트레인’이란	콜트레인/NNP+’/SS+이/VCP+란/ETM
상찬도	상찬/NNG+도/JX
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.108.5.1
지난달 24일 미국 캘리포니아 주 인디오에서 열린 코첼라 밸리 뮤직 앤드 아츠 페스티벌(이하 코첼라)에서 워싱턴을 만났다.

지난달	지난달/NNG
24일	24/SN+일/NNB
미국	미국/NNP
캘리포니아	캘리포니아/NNP
주	주/NNG
인디오에서	인디오/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
코첼라	코첼라/NNP
밸리	밸리/NNP
뮤직	뮤직/NNG
앤드	앤드/NNG
아츠	아츠/NNG
페스티벌(이하	페스티벌/NNG+(/SS+이하/NNG
코첼라)에서	코첼라/NNP+)/SS+에서/JKB
워싱턴을	워싱턴/NNP+을/JKO
만났다.	만나/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.108.5.2
그는 “‘The Epic’ 앨범을 그래픽 노블로 만들어 내년 중 내놓을 계획”이라고 했다.

그는	그/NP+는/JX
“‘The	“/SS+‘/SS+The/SL
Epic’	Epic/SL+’/SS
앨범을	앨범/NNG+을/JKO
그래픽	그래픽/NNG
노블로	노블/NNG+로/JKB
만들어	만들/VV+어/EC
내년	내년/NNG
중	중/NNB
내놓을	내놓/VV+을/ETM
계획”이라고	계획/NNG+”/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.108.5.3
“말로만 설명해도 두 시간은 걸리는 긴 스토리죠.

“말로만	“/SS+말/NNG+로/JKB+만/JX
설명해도	설명/NNG+하/XSV+아도/EC
두	두/MMN
시간은	시간/NNB+은/JX
걸리는	걸리/VV+는/ETM
긴	길/VA+ㄴ/ETM
스토리죠.	스토리/NNG+이/VCP+죠/EF+./SF


# id : NWRW1800000049.108.5.4
음악을 그림과 이야기로 제대로 표현해 줄 작가를 찾는 중입니다.”

음악을	음악/NNG+을/JKO
그림과	그림/NNG+과/JC
이야기로	이야기/NNG+로/JKB
제대로	제대로/MAG
표현해	표현/NNG+하/XSV+아/EC
줄	주/VX+ㄹ/ETM
작가를	작가/NNG+를/JKO
찾는	찾/VV+는/ETM
중입니다.”	중/NNB+이/VCP+ㅂ니다/EF+./SF+”/SS


# id : NWRW1800000049.108.6.1
워싱턴은 대작인 ‘The Epic’ 구상에 거의 10년이 걸렸다고 했다.

워싱턴은	워싱턴/NNP+은/JX
대작인	대작/NNG+이/VCP+ㄴ/ETM
‘The	‘/SS+The/SL
Epic’	Epic/SL+’/SS
구상에	구상/NNG+에/JKB
거의	거의/MAG
10년이	10/SN+년/NNB+이/JKS
걸렸다고	걸리/VV+었/EP+다고/EC
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.108.6.2
“함께 연주해 온 음악인들을 규합해 집단적 자유즉흥과 계산된 작곡을 결합한 작품을 만들고 싶었어요.”

“함께	“/SS+함께/MAG
연주해	연주/NNG+하/XSV+아/EC
온	오/VX+ㄴ/ETM
음악인들을	음악인/NNG+들/XSN+을/JKO
규합해	규합/NNG+하/XSV+아/EC
집단적	집단/NNG+적/XSN
자유즉흥과	자유/NNG+즉흥/NNG+과/JC
계산된	계산/NNG+되/XSV+ㄴ/ETM
작곡을	작곡/NNG+을/JKO
결합한	결합/NNG+하/XSV+ㄴ/ETM
작품을	작품/NNG+을/JKO
만들고	만들/VV+고/EC
싶었어요.”	싶/VX+었/EP+어요/EF+./SF+”/SS


# id : NWRW1800000049.108.6.3
그는 “재즈, R&B, 가스펠, 클래식, 힙합, 현대 클래식의 영향이 두루 녹아들었다.

그는	그/NP+는/JX
“재즈,	“/SS+재즈/NNG+,/SP
R&B,	R/SL+&/SW+B/SL+,/SP
가스펠,	가스펠/NNG+,/SP
클래식,	클래식/NNG+,/SP
힙합,	힙합/NNG+,/SP
현대	현대/NNG
클래식의	클래식/NNG+의/JKG
영향이	영향/NNG+이/JKS
두루	두루/MAG
녹아들었다.	녹아들/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.108.6.4
스트라빈스키의 밀도 높은 화성, 라벨의 낭만성도 많은 도움을 줬다”고 했다.

스트라빈스키의	스트라빈스키/NNP+의/JKG
밀도	밀도/NNG
높은	높/VA+은/ETM
화성,	화성/NNG+,/SP
라벨의	라벨/NNP+의/JKG
낭만성도	낭만/NNG+성/XSN+도/JX
많은	많/VA+은/ETM
도움을	도움/NNG+을/JKO
줬다”고	주/VV+었/EP+다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.108.6.5
그는 ‘The Epic’에 드뷔시의 ‘월광’을 재해석해 담기도 했다.

그는	그/NP+는/JX
‘The	‘/SS+The/SL
Epic’에	Epic/SL+’/SS+에/JKB
드뷔시의	드뷔시/NNP+의/JKG
‘월광’을	‘/SS+월광/NNG+’/SS+을/JKO
재해석해	재/XPN+해석/NNG+하/XSV+아/EC
담기도	담/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000049.108.7.1
‘워싱턴 신드롬’은 그가 지난해 켄드릭 라마의 명반 ‘To Pimp a Butterfly’에 연주자, 편곡자로 참여한 게 알려지며 증폭됐다.

‘워싱턴	‘/SS+워싱턴/NNP
신드롬’은	신드롬/NNG+’/SS+은/JX
그가	그/NP+가/JKS
지난해	지난해/NNG
켄드릭	켄드릭/NNP
라마의	라마/NNP+의/JKG
명반	명반/NNG
‘To	‘/SS+To/SL
Pimp	Pimp/SL
a	a/SL
Butterfly’에	Butterfly/SL+’/SS+에/JKB
연주자,	연주자/NNG+,/SP
편곡자로	편곡자/NNG+로/JKB
참여한	참여/NNG+하/XSV+ㄴ/ETM
게	거/NNB+이/JKS
알려지며	알려지/VV+며/EC
증폭됐다.	증폭/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000049.108.7.2
