# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.368
metadata : {}


# id : NWRW1800000040.368.1.1
정홍원, 부인 명의 땅 재산신고 9년간 누락남매간 경매 통한 소유권 이전…탈세 의혹도

정홍원,	정홍원/NNP+,/SP
부인	부인/NNG
명의	명의/NNG
땅	땅/NNG
재산신고	재산/NNG+신고/NNG
9년간	9/SN+년/NNB+간/XSN
누락남매간	누락/NNG+남매/NNG+간/XSN
경매	경매/NNG
통한	통하/VV+ㄴ/ETM
소유권	소유/NNG+권/XSN
이전…탈세	이전/NNG+…/SE+탈세/NNG
의혹도	의혹/NNG+도/JX


# id : NWRW1800000040.368.2.1
86년 상속 김해땅 중 절반만 신고

86년	86/SN+년/NNB
상속	상속/NNG
김해땅	김해/NNP+땅/NNG
중	중/NNB
절반만	절반/NNG+만/JX
신고	신고/NNG


# id : NWRW1800000040.368.3.1
증여·양도세 깎으려는 의도 의심

증여·양도세	증여/NNG+·/SP+양도세/NNG
깎으려는	깎/VV+으려는/ETM
의도	의도/NNG
의심	의심/NNG


# id : NWRW1800000040.368.4.1
총리실 “상속 포기분 정리 늦어져”

총리실	총리실/NNG
“상속	“/SS+상속/NNG
포기분	포기/NNG+분/XSN
정리	정리/NNG
늦어져”	늦어지/VV+어/EF+”/SS


# id : NWRW1800000040.368.5.1
정홍원(69) 국무총리 후보자가 부인이 부모로부터 상속받아 보유하고 있던 땅을 고위 공직자 재산신고에 누락한 것으로 드러났다.

정홍원(69)	정홍원/NNP+(/SS+69/SN+)/SS
국무총리	국무총리/NNG
후보자가	후보자/NNG+가/JKS
부인이	부인/NNG+이/JKS
부모로부터	부모/NNG+로부터/JKB
상속받아	상속/NNG+받/XSV+아/EC
보유하고	보유/NNG+하/XSV+고/EC
있던	있/VX+던/ETM
땅을	땅/NNG+을/JKO
고위	고위/NNG
공직자	공직자/NNG
재산신고에	재산/NNG+신고/NNG+에/JKB
누락한	누락/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
드러났다.	드러나/VV+았/EP+다/EF+./SF


# id : NWRW1800000040.368.6.1
17일 최민희 민주통합당 의원이 공개한 자료 등을 종합하면, 정 후보자의 부인 최아무개씨는 1986년 다른 남매 8명과 함께 경남 김해시 진영읍 설창리와 한림면 병동리 일대 임야·대지·논·밭 등 모두 14필지 4만7318㎡를 부모로부터 상속받았다.

17일	17/SN+일/NNB
최민희	최민희/NNP
민주통합당	민주통합당/NNP
의원이	의원/NNG+이/JKS
공개한	공개/NNG+하/XSV+ㄴ/ETM
자료	자료/NNG
등을	등/NNB+을/JKO
종합하면,	종합/NNG+하/XSV+면/EC+,/SP
정	정/NNP
후보자의	후보자/NNG+의/JKG
부인	부인/NNG
최아무개씨는	최/NNP+아무개/NP+씨/NNB+는/JX
1986년	1986/SN+년/NNB
다른	다른/MMD
남매	남매/NNG
8명과	8/SN+명/NNB+과/JKB
함께	함께/MAG
경남	경남/NNP
김해시	김해시/NNP
진영읍	진영읍/NNP
설창리와	설창리/NNP+와/JC
한림면	한림면/NNP
병동리	병동리/NNP
일대	일대/NNG
임야·대지·논·밭	임야/NNG+·/SP+대지/NNG+·/SP+논/NNG+·/SP+밭/NNG
등	등/NNB
모두	모두/MAG
14필지	14/SN+필지/NNB
4만7318㎡를	4/SN+만/NR+7318/SN+㎡/SW+를/JKO
부모로부터	부모/NNG+로부터/JKB
상속받았다.	상속/NNG+받/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.368.6.2
최씨는 이 가운데 30분의 1의 지분을 보유하고 있었다.

최씨는	최/NNP+씨/NNB+는/JX
이	이/MMD
가운데	가운데/NNG
30분의	30/SN+분/XSN+의/JKG
1의	1/SN+의/JKG
지분을	지분/NNG+을/JKO
보유하고	보유/NNG+하/XSV+고/EC
