# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.216
metadata : {}


# id : NWRW1800000032.216.1.1
경기·강원교육청 “평준화 무산 법적대응”

경기·강원교육청	경기/NNP+·/SP+강원교육청/NNP
“평준화	“/SS+평준/NNG+화/XSN
무산	무산/NNG
법적대응”	법/NNG+적/XSN+대응/NNG+”/SS


# id : NWRW1800000032.216.2.1
‘학군·학생배정방법 준비 부족’ 교과부 지적에

‘학군·학생배정방법	‘/SS+학군/NNG+·/SP+학생/NNG+배정/NNG+방법/NNG
준비	준비/NNG
부족’	부족/NNG+’/SS
교과부	교과부/NNG
지적에	지적/NNG+에/JKB


# id : NWRW1800000032.216.3.1
“평준화로 법령 개정돼야 확정 가능” 강력반발

“평준화로	“/SS+평준/NNG+화/XSN+로/JKB
법령	법령/NNG
개정돼야	개정/NNG+되/XSV+어야/EC
확정	확정/NNG
가능”	가능/NNG+”/SS
강력반발	강력/NNG+반발/NNG


# id : NWRW1800000032.216.4.1
교육과학기술부가 25일 경기·강원 일부 지역의 고교 평준화 시행을 위한 법령 개정 요구를 반려하자, 경기·강원교육청이 즉각 법적 대응 방침을 밝히는 등 강하게 반발하고 나섰다.

교육과학기술부가	교육/NNG+과학/NNG+기술부/NNG+가/JKS
25일	25/SN+일/NNB
경기·강원	경기/NNP+·/SP+강원/NNP
일부	일부/NNG
지역의	지역/NNG+의/JKG
고교	고교/NNG
평준화	평준/NNG+화/XSN
시행을	시행/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
법령	법령/NNG
개정	개정/NNG
요구를	요구/NNG+를/JKO
반려하자,	반려/NNG+하/XSV+자/EC+,/SP
경기·강원교육청이	경기/NNP+·/SP+강원교육청/NNP+이/JKS
즉각	즉각/MAG
법적	법/NNG+적/XSN
대응	대응/NNG
방침을	방침/NNG+을/JKO
밝히는	밝히/VV+는/ETM
등	등/NNB
강하게	강하/VA+게/EC
반발하고	반발/NNG+하/XSV+고/EC
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.216.5.1
두 교육청은 경기 광명·안산·의정부시와 강원 춘천·원주·강릉시에서 2012학년도부터 고교 평준화(신입생 추첨 배정) 제도를 시행하겠다며, 지난해 말 이들 6곳을 평준화 시행 지역에 포함하도록 교과부령을 개정할 것을 요구한 상태다.

두	두/MMN
교육청은	교육청/NNG+은/JX
