# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.404
metadata : {}


# id : NWRW1800000038.404.1.1
41년전 납북된 오대양號 선원, 이달초 탈북

41년전	41/SN+년/NNB+전/NNG
납북된	납북/NNG+되/XSV+ㄴ/ETM
오대양號	오대양號/NNP
선원,	선원/NNG+,/SP
이달초	이달/NNG+초/NNB
탈북	탈북/NNG


# id : NWRW1800000038.404.2.1
전욱표씨 조만간 한국行… 朴대통령에 "도와달라" 탄원서

전욱표씨	전욱표/NNP+씨/NNB
조만간	조만간/MAG
한국行…	한국/NNP+行/SH+…/SE
朴대통령에	朴/SH+대통령/NNG+에/JKB
"도와달라"	"/SS+돕/VV+아/EC+달/VX+라/EF+"/SS
탄원서	탄원서/NNG


# id : NWRW1800000038.404.3.1
41년 전 납북된 오대양호 선원 전욱표(68·사진)씨가 이달 초 압록강을 건너 탈북, 조만간 한국에 입국할 예정이다.

41년	41/SN+년/NNB
전	전/NNG
납북된	납북/NNG+되/XSV+ㄴ/ETM
오대양호	오대양호/NNP
선원	선원/NNG
전욱표(68·사진)씨가	전욱표/NNP+(/SS+68/SN+·/SP+사진/NNG+)/SS+씨/NNB+가/JKS
이달	이달/NNG
초	초/NNB
압록강을	압록강/NNP+을/JKO
건너	건너/VV+어/EC
탈북,	탈북/NNG+,/SP
조만간	조만간/MAG
한국에	한국/NNP+에/JKB
입국할	입국/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.404.4.1
1972년 납북된 오대양61·62호 선원 25명 중 탈북에 성공한 사람은 전씨가 처음이다.

1972년	1972/SN+년/NNB
납북된	납북/NNG+되/XSV+ㄴ/ETM
오대양61·62호	오대양/NNP+61/SN+·/SP+62호/NNG
선원	선원/NNG
25명	25/SN+명/NNB
중	중/NNB
탈북에	탈북/NNG+에/JKB
성공한	성공/NNG+하/XSV+ㄴ/ETM
사람은	사람/NNG+은/JX
전씨가	전/NNP+씨/NNB+가/JKS
처음이다.	처음/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.404.4.2
납북자가 탈북에 성공한 것은 2009년 귀환한 천왕호 선원 윤종수(71)씨 이후 4년 만이다.

납북자가	납북자/NNG+가/JKS
탈북에	탈북/NNG+에/JKB
성공한	성공/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
2009년	2009/SN+년/NNB
귀환한	귀환/NNG+하/XSV+ㄴ/ETM
천왕호	천왕호/NNP
선원	선원/NNG
윤종수(71)씨	윤종수/NNP+(/SS+71/SN+)/SS+씨/NNB
이후	이후/NNG
4년	4/SN+년/NNB
만이다.	만/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.404.5.1
전씨가 1974년 북한 묘향산에서 납북 어부 35명과 함께 사상 교육을 받으며 찍은 단체 사진은 2005년 최성용(61) 납북자가족모임 대표가 공개했다.

전씨가	전/NNP+씨/NNB+가/JKS
1974년	1974/SN+년/NNB
북한	북한/NNP
묘향산에서	묘향산/NNP+에서/JKB
납북	납북/NNG
어부	어부/NNG
35명과	35/SN+명/NNB+과/JKB
함께	함께/MAG
사상	사상/NNG
교육을	교육/NNG+을/JKO
받으며	받/VV+으며/EC
찍은	찍/VV+은/ETM
단체	단체/NNG
사진은	사진/NNG+은/JX
2005년	2005/SN+년/NNB
최성용(61)	최성용/NNP+(/SS+61/SN+)/SS
납북자가족모임	납북자가족모임/NNP
대표가	대표/NNG+가/JKS
공개했다.	공개/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.404.6.1
전씨는 이 단체 사진이 공개되기 전까지 정부의 전후(戰後) 납북자 명단에 포함되지 않았다.

전씨는	전/NNP+씨/NNB+는/JX
이	이/MMD
단체	단체/NNG
사진이	사진/NNG+이/JKS
공개되기	공개/NNG+되/XSV+기/ETN
전까지	전/NNG+까지/JX
정부의	정부/NNG+의/JKG
전후(戰後)	전후/NNG+(/SS+戰後/SH+)/SS
납북자	납북자/NNG
명단에	명단/NNG+에/JKB
포함되지	포함/NNG+되/XSV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000038.404.6.2
정부 기록에는 오대양 61·62호 납북 선원이 전씨를 제외한 24명뿐이었다.

정부	정부/NNG
기록에는	기록/NNG+에/JKB+는/JX
오대양	오대양/NNP
61·62호	61/SN+·/SP+62호/NNG
납북	납북/NNG
선원이	선원/NNG+이/JKS
전씨를	전/NNP+씨/NNB+를/JKO
제외한	제외/NNG+하/XSV+ㄴ/ETM
24명뿐이었다.	24/SN+명/NNB+뿐/JX+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000038.404.6.3
전씨는 단체 사진이 공개된 후 2010년 3월 납북 사실이 인정됐다.

전씨는	전/NNP+씨/NNB+는/JX
단체	단체/NNG
사진이	사진/NNG+이/JKS
공개된	공개/NNG+되/XSV+ㄴ/ETM
후	후/NNG
2010년	2010/SN+년/NNB
3월	3/SN+월/NNB
납북	납북/NNG
사실이	사실/NNG+이/JKS
