# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.189
metadata : {}


# id : NWRW1800000041.189.1.1
34년을 건너… ‘코스모스’ 美 사로잡다

34년을	34/SN+년/NNB+을/JKO
건너…	건너/VV+어/EC+…/SE
‘코스모스’	‘/SS+코스모스/NNP+’/SS
美	美/SH
사로잡다	사로잡/VV+다/EF


# id : NWRW1800000041.189.2.1
아빠와 보던 칼 세이건의 우주다큐, 이젠 자녀와 함께 美TV 13부작 후속편 방영

아빠와	아빠/NNG+와/JKB
보던	보/VV+던/ETM
칼	칼/NNP
세이건의	세이건/NNP+의/JKG
우주다큐,	우주/NNG+다큐/NNG+,/SP
이젠	이제/NNG+ㄴ/JX
자녀와	자녀/NNG+와/JKB
함께	함께/MAG
美TV	美/SH+TV/SL
13부작	13/SN+부작/NNB
후속편	후속/NNG+편/NNB
방영	방영/NNG


# id : NWRW1800000041.189.3.1
미국에서 서머타임(일광절약시간제)이 시작돼 전날보다 한 시간 앞당겨진 9일 오후 9시(동부 시간·한국 시간 10일 오전 10시).

미국에서	미국/NNP+에서/JKB
서머타임(일광절약시간제)이	서머타임/NNG+(/SS+일광/NNG+절약/NNG+시간/NNG+제/XSN+)/SS+이/JKS
시작돼	시작/NNG+되/XSV+어/EC
전날보다	전날/NNG+보다/JKB
한	한/MMN
시간	시간/NNG
앞당겨진	앞당기/VV+어/EC+지/VX+ㄴ/ETM
9일	9/SN+일/NNB
오후	오후/NNG
9시(동부	9/SN+시/NNB+(/SS+동부/NNG
시간·한국	시간/NNG+·/SP+한국/NNP
10일	10/SN+일/NNB
오전	오전/NNG
10시).	10/SN+시/NNB+)/SS+./SF


# id : NWRW1800000041.189.3.2
미국 전역에서 부모들이 자녀들과 TV 앞에 앉았다.

미국	미국/NNP
전역에서	전역/NNG+에서/JKB
부모들이	부모/NNG+들/XSN+이/JKS
자녀들과	자녀/NNG+들/XSN+과/JKB
TV	TV/SL
앞에	앞/NNG+에/JKB
앉았다.	앉/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.189.3.3
34년 전인 1980년 가을 자신들의 부모와 함께 떠났던 TV 우주여행의 즐거움과 감동을 자신의 아이들에게도 안겨주고 싶었기 때문이다.

34년	34/SN+년/NNB
전인	전/NNG+이/VCP+ㄴ/ETM
1980년	1980/SN+년/NNB
가을	가을/NNG
자신들의	자신/NNG+들/XSN+의/JKG
부모와	부모/NNG+와/JKB
함께	함께/MAG
떠났던	떠나/VV+았/EP+던/ETM
TV	TV/SL
우주여행의	우주여행/NNG+의/JKG
즐거움과	즐거움/NNG+과/JC
감동을	감동/NNG+을/JKO
자신의	자신/NNG+의/JKG
아이들에게도	아이/NNG+들/XSN+에게/JKB+도/JX
안겨주고	안기/VV+어/EC+주/VX+고/EC
싶었기	싶/VX+었/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000041.189.4.1
34년 전 세계 7억5000만 명의 시청자들을 우주의 신비 속으로 끌어들였던 우주과학 다큐멘터리 ‘코스모스’가 ‘코스모스: 시공 오디세이’라는 후속편으로 다시 시청자를 찾아왔다.

34년	34/SN+년/NNB
전	전/NNG
세계	세계/NNG
7억5000만	7/SN+억/NR+5000/SN+만/NR
명의	명/NNB+의/JKG
시청자들을	시청자/NNG+들/XSN+을/JKO
우주의	우주/NNG+의/JKG
신비	신비/NNG
속으로	속/NNG+으로/JKB
끌어들였던	끌어들이/VV+었/EP+던/ETM
우주과학	우주/NNG+과학/NNG
다큐멘터리	다큐멘터리/NNG
‘코스모스’가	‘/SS+코스모스/NNP+’/SS+가/JKS
‘코스모스:	‘/SS+코스모스/NNP+:/SP
시공	시공/NNG
오디세이’라는	오디세이/NNG+’/SS+이/VCP+라는/ETM
후속편으로	후속/NNG+편/NNB+으로/JKB
다시	다시/MAG
시청자를	시청자/NNG+를/JKO
찾아왔다.	찾아오/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.189.4.2
같은 13부작이지만 미국 공영방송(PBS)이 제작·방송했던 원작과 달리 이번 후속편은 상업방송인 폭스TV를 통해 전파를 탔다.

같은	같/VA+은/ETM
13부작이지만	13/SN+부작/NNB+이/VCP+지만/EC
미국	미국/NNP
공영방송(PBS)이	공영/NNG+방송/NNG+(/SS+PBS/SL+)/SS+이/JKS
제작·방송했던	제작/NNG+·/SP+방송/NNG+하/XSV+았/EP+던/ETM
원작과	원작/NNG+과/JKB
달리	달리/MAG
이번	이번/NNG
후속편은	후속/NNG+편/NNB+은/JX
상업방송인	상업/NNG+방송/NNG+이/VCP+ㄴ/ETM
폭스TV를	폭스TV/NNP+를/JKO
통해	통하/VV+아/EC
전파를	전파/NNG+를/JKO
탔다.	타/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.189.5.1
원작에서 우주여행 안내자였던 칼 세이건 코넬대 교수는 1996년 세상을 떠나 우주로 돌아갔지만 그의 후배인 천체물리학 박사 닐 더그래스 타이슨 미 자연사박물관 헤이든 플라네타륨(뉴욕 소재) 소장이 바통을 넘겨받았다.

원작에서	원작/NNG+에서/JKB
우주여행	우주여행/NNG
안내자였던	안내자/NNG+이/VCP+었/EP+던/ETM
칼	칼/NNP
