# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.114
metadata : {}


# id : NWRW1800000025.114.1.1
추신수, 첫 AL 주간 최우수선수 뽑혀

추신수,	추신수/NNP+,/SP
첫	첫/MMN
AL	AL/SL
주간	주간/NNG
최우수선수	최/XPN+우수/NNG+선수/NNG
뽑혀	뽑히/VV+어/EF


# id : NWRW1800000025.114.2.1
연일 불꽃타를 터뜨리며 팀의 연승을 이끌고 있는 추신수(28·클리블랜드)가 미국프로야구 아메리칸리그 주간 최우수선수(MVP)에 뽑혔다.

연일	연일/MAG
불꽃타를	불꽃타/NNG+를/JKO
터뜨리며	터뜨리/VV+며/EC
팀의	팀/NNG+의/JKG
연승을	연승/NNG+을/JKO
이끌고	이끌/VV+고/EC
있는	있/VX+는/ETM
추신수(28·클리블랜드)가	추신수/NNP+(/SS+28/SN+·/SP+클리블랜드/NNP+)/SS+가/JKS
미국프로야구	미국/NNP+프로/NNG+야구/NNG
아메리칸리그	아메리칸/NNP+리그/NNG
주간	주간/NNG
최우수선수(MVP)에	최/XPN+우수/NNG+선수/NNG+(/SS+MVP/SL+)/SS+에/JKB
뽑혔다.	뽑히/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.114.2.2
2005년 메이저리그에 데뷔한 추신수는 2008년 월간 MVP에 한 차례 선정된 적이 있지만 주간 MVP는 이번이 처음이다.

2005년	2005/SN+년/NNB
메이저리그에	메이저리그/NNG+에/JKB
데뷔한	데뷔/NNG+하/XSV+ㄴ/ETM
추신수는	추신수/NNP+는/JX
2008년	2008/SN+년/NNB
월간	월간/NNG
MVP에	MVP/SL+에/JKB
한	한/MMN
차례	차례/NNG
선정된	선정/NNG+되/XSV+ㄴ/ETM
적이	적/NNB+이/JKS
있지만	있/VA+지만/EC
주간	주간/NNG
MVP는	MVP/SL+는/JX
이번이	이번/NNG+이/JKS
처음이다.	처음/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.114.2.3
추신수는 최근 6경기에서 타율 0.579(19타수 11안타), 3홈런, 11타점, 장타율 1.211, 출루율 0.680의 눈부신 활약을 펼쳤다.

추신수는	추신수/NNP+는/JX
최근	최근/MAG
6경기에서	6/SN+경기/NNG+에서/JKB
타율	타율/NNG
0.579(19타수	0/SN+./SP+579/SN+(/SS+19/SN+타수/NNG
11안타),	11/SN+안타/NNG+)/SS+,/SP
3홈런,	3/SN+홈런/NNG+,/SP
11타점,	11/SN+타점/NNG+,/SP
장타율	장타/NNG+율/XSN
1.211,	1/SN+./SP+211/SN+,/SP
출루율	출루/NNG+율/XSN
0.680의	0/SN+./SP+680/SN+의/JKG
눈부신	눈부시/VA+ㄴ/ETM
활약을	활약/NNG+을/JKO
펼쳤다.	펼치/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.114.2.4
16일 텍사스전에서 역전 3점 홈런으로 5연패를 끊고 18, 19일 시카고 화이트삭스와의 경기에서는 각각 2루타와 만루 홈런으로 결승타를 기록했다.

16일	16/SN+일/NNB
텍사스전에서	텍사스전/NNG+에서/JKB
역전	역전/NNG
3점	3/SN+점/NNB
홈런으로	홈런/NNG+으로/JKB
5연패를	5/SN+연패/NNG+를/JKO
끊고	끊/VV+고/EC
18,	18/SN+,/SP
19일	19/SN+일/NNB
시카고	시카고/NNP
화이트삭스와의	화이트삭스/NNP+와/JKB+의/JKG
경기에서는	경기/NNG+에서/JKB+는/JX
각각	각각/MAG
2루타와	2루타/NNG+와/JC
만루	만루/NNG
결승타를	결승타/NNG+를/JKO
기록했다.	기록/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.114.3.1
내셔널리그에서는 18일 애틀랜타와의 경기에 선발 등판해 노히트 노런을 달성한 오른손 투수 우발도 히메네스(콜로라도)가 MVP로 뽑혔다.

내셔널리그에서는	내셔널리그/NNG+에서/JKB+는/JX
18일	18/SN+일/NNB
애틀랜타와의	애틀랜타/NNP+와/JKB+의/JKG
경기에	경기/NNG+에/JKB
선발	선발/NNG
등판해	등판/NNG+하/XSV+아/EC
노히트	노히트/NNG
노런을	노런/NNG+을/JKO
달성한	달성/NNG+하/XSV+ㄴ/ETM
오른손	오른손/NNG
투수	투수/NNG
우발도	우발도/NNP
히메네스(콜로라도)가	히메네스/NNP+(/SS+콜로라도/NNP+)/SS+가/JKS
MVP로	MVP/SL+로/JKB
뽑혔다.	뽑히/VV+었/EP+다/EF+./SF


