# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.152
metadata : {}


# id : NWRW1800000040.152.1.1
공연 한류 이끌던 ‘점프’ 추락 왜?

공연	공연/NNG
한류	한류/NNG
이끌던	이끌/VV+던/ETM
‘점프’	‘/SS+점프/NNP+’/SS
추락	추락/NNG
왜?	왜/MAG+?/SF


# id : NWRW1800000040.152.2.1
울림과 스밈

울림과	울림/NNG+과/JKB
스밈	스미/VV+ㅁ/ETN


# id : NWRW1800000040.152.3.1
‘제2의 난타’로 불리며 지난 10년 동안 한국 공연관광 시장을 이끌어온 논버벌 퍼포먼스(비언어 공연) <점프>가 지난주 공연이 중단되는 초유의 사태가 벌어졌다.

‘제2의	‘/SS+제/XPN+2/SN+의/JKG
난타’로	난타/NNP+’/SS+로/JKB
불리며	불리/VV+며/EC
지난	지나/VV+ㄴ/ETM
10년	10/SN+년/NNB
동안	동안/NNG
한국	한국/NNP
공연관광	공연/NNG+관광/NNG
시장을	시장/NNG+을/JKO
이끌어온	이끌/VV+어/EC+오/VX+ㄴ/ETM
논버벌	논버벌/NNG
퍼포먼스(비언어	퍼포먼스/NNG+(/SS+비/XPN+언어/NNG
공연)	공연/NNG+)/SS
<점프>가	</SS+점프/NNP+>/SS+가/JKS
지난주	지난주/NNG
공연이	공연/NNG+이/JKS
중단되는	중단/NNG+되/XSV+는/ETM
초유의	초유/NNG+의/JKG
사태가	사태/NNG+가/JKS
벌어졌다.	벌어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.152.3.2
제작사 스태프와 직원들이 지난 5일 공연을 갑자기 보이콧하면서 오후 4시 공연이 갑자기 중단됐고, 표를 산 관객들은 공연시작 시각 15분이 지날 때까지 안내방송조차 받지 못했다.

제작사	제작사/NNG
스태프와	스태프/NNG+와/JC
직원들이	직원/NNG+들/XSN+이/JKS
지난	지나/VV+ㄴ/ETM
5일	5/SN+일/NNB
공연을	공연/NNG+을/JKO
갑자기	갑자기/MAG
보이콧하면서	보이콧/NNG+하/XSV+면서/EC
오후	오후/NNG
4시	4/SN+시/NNB
공연이	공연/NNG+이/JKS
중단됐고,	중단/NNG+되/XSV+었/EP+고/EC+,/SP
표를	표/NNG+를/JKO
산	사/VV+ㄴ/ETM
관객들은	관객/NNG+들/XSN+은/JX
공연시작	공연/NNG+시작/NNG
시각	시각/NNG
15분이	15/SN+분/NNB+이/JKS
지날	지나/VV+ㄹ/ETM
때까지	때/NNG+까지/JX
안내방송조차	안내/NNG+방송/NNG+조차/JX
받지	받/VV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000040.152.3.3
잘나가던 <점프>에 무슨 일이 생긴 걸까?

잘나가던	잘나가/VV+던/ETM
<점프>에	</SS+점프/NNP+>/SS+에/JKB
무슨	무슨/MMD
일이	일/NNG+이/JKS
생긴	생기/VV+ㄴ/ETM
걸까?	거/NNB+이/VCP+ㄹ까/EF+?/SF


# id : NWRW1800000040.152.4.1
<점프>는 택견 등 전통무술이 결합된 코믹극으로, 2003년 초연 이후 스페인·그리스·이스라엘·홍콩 등 세계 각지로 진출해 공연을 펼쳐왔다.

<점프>는	</SS+점프/NNP+>/SS+는/JX
택견	택견/NNG
등	등/NNB
전통무술이	전통/NNG+무술/NNG+이/JKS
결합된	결합/NNG+되/XSV+ㄴ/ETM
코믹극으로,	코믹극/NNG+으로/JKB+,/SP
2003년	2003/SN+년/NNB
초연	초연/NNG
이후	이후/NNG
스페인·그리스·이스라엘·홍콩	스페인/NNP+·/SP+그리스/NNP+·/SP+이스라엘/NNP+·/SP+홍콩/NNP
세계	세계/NNG
각지로	각지/NNG+로/JKB
진출해	진출/NNG+하/XSV+아/EC
공연을	공연/NNG+을/JKO
펼쳐왔다.	펼치/VV+어/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000040.152.4.2
특히 한국을 찾는 외국인 관광객을 대상으로 한 상설공연이 큰 인기를 끌며 한때 연간 매출액이 100억원을 넘기도 했다.

특히	특히/MAG
한국을	한국/NNP+을/JKO
찾는	찾/VV+는/ETM
외국인	외국인/NNG
관광객을	관광객/NNG+을/JKO
대상으로	대상/NNG+으로/JKB
한	하/VV+ㄴ/ETM
상설공연이	상설/NNG+공연/NNG+이/JKS
큰	크/VA+ㄴ/ETM
인기를	인기/NNG+를/JKO
끌며	끌/VV+며/EC
한때	한때/NNG
연간	연간/NNG
매출액이	매출액/NNG+이/JKS
100억원을	100/SN+억/NR+원/NNB+을/JKO
넘기도	넘/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000040.152.5.1
하지만 최근 몇년 수익이 악화되면서 제작사 ㈜예감은 미지급 임금 20억원을 포함해 90억원에 가까운 부채를 지는 등 어려움을 겪어왔고, 최근 대표를 교체한 뒤 법정관리 계획까지 발표했다.

하지만	하지만/MAJ
최근	최근/MAG
몇년	몇/NR+년/NNB
수익이	수익/NNG+이/JKS
악화되면서	악화/NNG+되/XSV+면서/EC
제작사	제작사/NNG
㈜예감은	㈜/SW+예감/NNP+은/JX
미지급	미/XPN+지급/NNG
임금	임금/NNG
20억원을	20/SN+억/NR+원/NNB+을/JKO
포함해	포함/NNG+하/XSV+아/EC
90억원에	90/SN+억/NR+원/NNB+에/JKB
가까운	가깝/VA+ㄴ/ETM
부채를	부채/NNG+를/JKO
지는	지/VV+는/ETM
등	등/NNB
어려움을	어려움/NNG+을/JKO
겪어왔고,	겪/VV+어/EC+오/VX+았/EP+고/EC+,/SP
대표를	대표/NNG+를/JKO
교체한	교체/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
법정관리	법정/NNG+관리/NNG
계획까지	계획/NNG+까지/JX
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.152.5.2
이에 그동안 회생을 위해 임금 삭감 등 고통을 분담해온 직원들과 스태프가 법정관리에 반발하면서 공연을 중단하기에 이른 것이다.

이에	이/NP+에/JKB
그동안	그동안/NNG
회생을	회생/NNG+을/JKO
위해	위하/VV+아/EC
임금	임금/NNG
삭감	삭감/NNG
등	등/NNB
고통을	고통/NNG+을/JKO
분담해온	분담/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
직원들과	직원/NNG+들/XSN+과/JC
스태프가	스태프/NNG+가/JKS
법정관리에	법정/NNG+관리/NNG+에/JKB
반발하면서	반발/NNG+하/XSV+면서/EC
공연을	공연/NNG+을/JKO
중단하기에	중단/NNG+하/XSV+기에/EC
이른	이르/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000040.152.6.1
<점프> 사태는 이처럼 표면적으로는 법정관리를 둘러싼 노사갈등 때문으로 보인다.

<점프>	</SS+점프/NNP+>/SS
사태는	사태/NNG+는/JX
이처럼	이/NP+처럼/JKB
표면적으로는	표면/NNG+적/XSN+으로/JKB+는/JX
법정관리를	법정/NNG+관리/NNG+를/JKO
둘러싼	둘러싸/VV+ㄴ/ETM
노사갈등	노사/NNG+갈등/NNG
때문으로	때문/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000040.152.6.2
