# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.149
metadata : {}


# id : NWRW1800000046.149.1.1
대법원장 "불합리한 法제정은 권력의 지배"

대법원장	대법원장/NNG
"불합리한	"/SS+불/XPN+합리/NNG+하/XSA+ㄴ/ETM
法제정은	法/SH+제정/NNG+은/JX
권력의	권력/NNG+의/JKG
지배"	지배/NNG+"/SS


# id : NWRW1800000046.149.2.1
어제 '법의 날' 기념식

어제	어제/NNG
'법의	'/SS+법/NNG+의/JKG
날'	날/NNG+'/SS
기념식	기념식/NNG


# id : NWRW1800000046.149.3.1
법무부와 대한변협은 24일 오전 서울 서초동 대검찰청 회의실에서 법조계 인사 350여명이 참석한 가운데 제52회 '법의 날' 기념식을 가졌다.

법무부와	법무부/NNG+와/JC
대한변협은	대한변협/NNP+은/JX
24일	24/SN+일/NNB
오전	오전/NNG
서울	서울/NNP
서초동	서초동/NNP
대검찰청	대/XPN+검찰청/NNG
회의실에서	회의실/NNG+에서/JKB
법조계	법조/NNG+계/XSN
인사	인사/NNG
350여명이	350/SN+여/XSN+명/NNB+이/JKS
참석한	참석/NNG+하/XSV+ㄴ/ETM
가운데	가운데/NNG
제52회	제/XPN+52/SN+회/NNB
'법의	'/SS+법/NNG+의/JKG
날'	날/NNG+'/SS
기념식을	기념식/NNG+을/JKO
가졌다.	가지/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.149.4.1
양승태 대법원장은 "법이 불합리하게 제정되고 자의적으로 적용·집행된다면 권력의 지배일 뿐 법의 지배라 할 수 없다"며 "법률가가 외면하는 법을 신뢰하고 따르려는 사람은 아무도 없을 것이기 때문에 법조인들이 솔선수범해 법을 철저히 준수해야 한다"고 말했다.

양승태	양승태/NNP
대법원장은	대법원장/NNG+은/JX
"법이	"/SS+법/NNG+이/JKS
불합리하게	불/XPN+합리/NNG+하/XSA+게/EC
제정되고	제정/NNG+되/XSV+고/EC
자의적으로	자의/NNG+적/XSN+으로/JKB
적용·집행된다면	적용/NNG+·/SP+집행/NNG+되/XSV+ㄴ다면/EC
권력의	권력/NNG+의/JKG
지배일	지배/NNG+이/VCP+ㄹ/ETM
뿐	뿐/NNB
법의	법/NNG+의/JKG
지배라	지배/NNG+이/VCP+라/EC
할	하/VV+ㄹ/ETM
수	수/NNB
없다"며	없/VA+다/EF+"/SS+며/EC
"법률가가	"/SS+법률가/NNG+가/JKS
외면하는	외면/NNG+하/XSV+는/ETM
법을	법/NNG+을/JKO
신뢰하고	신뢰/NNG+하/XSV+고/EC
따르려는	따르/VV+려는/ETM
사람은	사람/NNG+은/JX
아무도	아무/NP+도/JX
없을	없/VA+을/ETM
것이기	것/NNB+이/VCP+기/ETN
때문에	때문/NNB+에/JKB
법조인들이	법조인/NNG+들/XSN+이/JKS
솔선수범해	솔선수범/NNG+하/XSV+아/EC
철저히	철저히/MAG
준수해야	준수/NNG+하/XSV+아야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.149.4.2
양 대법원장은 또 "법조인 수가 급격하게 증가하고 있는데 이로 인한 치열한 경쟁의 결과가 상호 간의 불신과 불화로 이어진다면 이는 매우 불행하고 실망스러운 일이 될 것"이라며 "법조인 각자가 자신의 자리에서 최선을 다하면서 협력해야 한다"고 강조했다.

양	양/NNP
대법원장은	대법원장/NNG+은/JX
또	또/MAG
"법조인	"/SS+법조인/NNG
수가	수/NNG+가/JKS
급격하게	급격하/VA+게/EC
증가하고	증가/NNG+하/XSV+고/EC
있는데	있/VX+는데/EC
이로	이/NP+로/JKB
인한	인/NNG+하/XSV+ㄴ/ETM
치열한	치열/NNG+하/XSA+ㄴ/ETM
경쟁의	경쟁/NNG+의/JKG
결과가	결과/NNG+가/JKS
상호	상호/NNG
간의	간/NNB+의/JKG
불신과	불신/NNG+과/JC
불화로	불화/NNG+로/JKB
이어진다면	이어지/VV+ㄴ다면/EC
이는	이/NP+는/JX
매우	매우/MAG
불행하고	불행/NNG+하/XSA+고/EC
실망스러운	실망/NNG+스럽/XSA+ㄴ/ETM
일이	일/NNG+이/JKC
될	되/VV+ㄹ/ETM
것"이라며	것/NNB+"/SS+이/VCP+라며/EC
각자가	각자/NNG+가/JKS
자신의	자신/NNG+의/JKG
자리에서	자리/NNG+에서/JKB
최선을	최선/NNG+을/JKO
다하면서	다/MAG+하/XSV+면서/EC
협력해야	협력/NNG+하/XSV+아야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.149.4.3
박한철 헌법재판소장은 "법조계 모든 구성원은 법의 적용·집행이 시대 변화를 따르는지, 국민 눈높이에 맞는지 거듭 스스로 돌아봐야 한다"고 했다.

박한철	박한철/NNP
헌법재판소장은	헌법재판소장/NNG+은/JX
"법조계	"/SS+법조/NNG+계/XSN
모든	모든/MMN
구성원은	구성원/NNG+은/JX
법의	법/NNG+의/JKG
적용·집행이	적용/NNG+·/SP+집행/NNG+이/JKS
시대	시대/NNG
변화를	변화/NNG+를/JKO
따르는지,	따르/VV+는지/EF+,/SP
국민	국민/NNG
눈높이에	눈높이/NNG+에/JKB
맞는지	맞/VV+는지/EC
거듭	거듭/MAG
스스로	스스로/MAG
돌아봐야	돌아보/VV+아야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.149.4.4
황교안 법무부 장관은 "우리 사회 일각에선 아직 '법대로 하면 손해를 본다'는 그릇된 인식이 남아 있다"며 "법을 다루는 사람들이 법을 지키는 모습을 보여야 법치주의가 확립된다"고 말했다.

황교안	황교안/NNP
법무부	법무부/NNG
장관은	장관/NNG+은/JX
"우리	"/SS+우리/NP
사회	사회/NNG
일각에선	일각/NNG+에서/JKB+ㄴ/JX
아직	아직/MAG
'법대로	'/SS+법/NNG+대로/JX
하면	하/VV+면/EC
손해를	손해/NNG+를/JKO
본다'는	보/VV+ㄴ다/EF+'/SS+는/ETM
그릇된	그릇/MAG+되/XSV+ㄴ/ETM
인식이	인식/NNG+이/JKS
남아	남/VV+아/EC
있다"며	있/VX+다/EF+"/SS+며/EC
"법을	"/SS+법/NNG+을/JKO
다루는	다루/VV+는/ETM
사람들이	사람/NNG+들/XSN+이/JKS
법을	법/NNG+을/JKO
지키는	지키/VV+는/ETM
모습을	모습/NNG+을/JKO
보여야	보이/VV+어야/EC
법치주의가	법치주의/NNG+가/JKS
확립된다"고	확립/NNG+되/XSV+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.149.5.1
하창우 변협회장은 "오늘날 우리 국민은 우리 사회가 법이 아닌 힘과 금력이 지배하는 사회라는 의구심을 버리지 못하고 있다"며 "정권은 청렴성을, 수사기관은 정치적 중립성을 유지해야 하고, 법원은 헌법과 법률에 따라 국민의 재판받을 권리를 진정으로 보장하는 길이 어떤 것인지 진지하게 고민해야 한다"고 말했다.

하창우	하창우/NNP
변협회장은	변협회장/NNG+은/JX
"오늘날	"/SS+오늘날/NNG
우리	우리/NP
국민은	국민/NNG+은/JX
사회가	사회/NNG+가/JKS
법이	법/NNG+이/JKC
아닌	아니/VCN+ㄴ/ETM
힘과	힘/NNG+과/JC
금력이	금력/NNG+이/JKS
지배하는	지배/NNG+하/XSV+는/ETM
사회라는	사회/NNG+이/VCP+라는/ETM
의구심을	의구심/NNG+을/JKO
버리지	버리/VV+지/EC
못하고	못하/VX+고/EC
있다"며	있/VX+다/EF+"/SS+며/EC
"정권은	"/SS+정권/NNG+은/JX
청렴성을,	청렴/NNG+성/XSN+을/JKO+,/SP
수사기관은	수사/NNG+기관/NNG+은/JX
정치적	정치/NNG+적/XSN
중립성을	중립/NNG+성/XSN+을/JKO
유지해야	유지/NNG+하/XSV+아야/EC
하고,	하/VX+고/EC+,/SP
법원은	법원/NNG+은/JX
헌법과	헌법/NNG+과/JC
법률에	법률/NNG+에/JKB
따라	따르/VV+아/EC
국민의	국민/NNG+의/JKG
재판받을	재판/NNG+받/XSV+을/ETM
권리를	권리/NNG+를/JKO
진정으로	진정/NNG+으로/JKB
보장하는	보장/NNG+하/XSV+는/ETM
길이	길/NNG+이/JKS
어떤	어떤/MMD
것인지	것/NNB+이/VCP+ㄴ지/EC
진지하게	진지하/VA+게/EC
고민해야	고민/NNG+하/XSV+아야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


