# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.28
metadata : {}


# id : NWRW1800000054.28.1.1
"코미 대화 녹음테이프 없다" 말바꾼 트럼프

"코미	"/SS+코미/NNP
대화	대화/NNG
녹음테이프	녹음테이프/NNG
없다"	없/VA+다/EF+"/SS
말바꾼	말/NNG+바꾸/VV+ㄴ/ETM
트럼프	트럼프/NNP


# id : NWRW1800000054.28.2.1
러시아 스캔들 수사 미궁 빠질듯… 테이프 존재 가능성은 부인 안해

러시아	러시아/NNP
스캔들	스캔들/NNG
수사	수사/NNG
미궁	미궁/NNG
빠질듯…	빠지/VV+ㄹ/ETM+듯/NNB+…/SE
테이프	테이프/NNG
존재	존재/NNG
가능성은	가능/NNG+성/XSN+은/JX
부인	부인/NNG
안해	안/MAG+하/VV+아/EF


# id : NWRW1800000054.28.3.1
도널드 트럼프 미국 대통령이 22일(현지 시각) "제임스 코미 전 연방수사국(FBI) 국장과의 대화를 녹음한 테이프가 없다"고 공개적으로 밝혔다.

도널드	도널드/NNP
트럼프	트럼프/NNP
미국	미국/NNP
대통령이	대통령/NNG+이/JKS
22일(현지	22/SN+일/NNB+(/SS+현지/NNG
시각)	시각/NNG+)/SS
"제임스	"/SS+제임스/NNP
코미	코미/NNP
전	전/MMD
연방수사국(FBI)	연방수사국/NNP+(/SS+FBI/SL+)/SS
국장과의	국장/NNG+과/JKB+의/JKG
대화를	대화/NNG+를/JKO
녹음한	녹음/NNG+하/XSV+ㄴ/ETM
테이프가	테이프/NNG+가/JKS
없다"고	없/VA+다/EF+"/SS+고/JKQ
공개적으로	공개/NNG+적/XSN+으로/JKB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.28.3.2
이 녹음테이프는 트럼프 대통령이 '러시아 스캔들' 수사 중단을 요청하고 자신에게 충성 맹세를 요구했다는 코미 전 국장의 증언과 이를 부인하는 트럼프 대통령 간의 진실 공방에 결정적 역할을 할 증거로 여겨져왔다.

이	이/MMD
녹음테이프는	녹음테이프/NNG+는/JX
트럼프	트럼프/NNP
대통령이	대통령/NNG+이/JKS
'러시아	'/SS+러시아/NNP
스캔들'	스캔들/NNG+'/SS
수사	수사/NNG
중단을	중단/NNG+을/JKO
요청하고	요청/NNG+하/XSV+고/EC
자신에게	자신/NNG+에게/JKB
충성	충성/NNG
맹세를	맹세/NNG+를/JKO
요구했다는	요구/NNG+하/XSV+았/EP+다는/ETM
코미	코미/NNP
전	전/MMD
국장의	국장/NNG+의/JKG
증언과	증언/NNG+과/JC
이를	이/NP+를/JKO
부인하는	부인/NNG+하/XSV+는/ETM
대통령	대통령/NNG
간의	간/NNB+의/JKG
진실	진실/NNG
공방에	공방/NNG+에/JKB
결정적	결정/NNG+적/XSN
역할을	역할/NNG+을/JKO
할	하/VV+ㄹ/ETM
증거로	증거/NNG+로/JKB
여겨져왔다.	여기/VV+어/EC+지/VX+어/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000054.28.4.1
트럼프 대통령은 이날 트위터에 "나는 그런 녹취를 만들지 않았고 가지고 있지도 않다"고 썼다.

트럼프	트럼프/NNP
대통령은	대통령/NNG+은/JX
이날	이날/NNG
트위터에	트위터/NNP+에/JKB
"나는	"/SS+나/NP+는/JX
그런	그런/MMD
녹취를	녹취/NNG+를/JKO
만들지	만들/VV+지/EC
않았고	않/VX+았/EP+고/EC
가지고	가지/VV+고/EC
있지도	있/VX+지/EC+도/JX
않다"고	않/VX+다/EF+"/SS+고/JKQ
썼다.	쓰/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.28.4.2
이에 따라 로버트 뮬러 특검의 '러시아 스캔들' 수사가 미궁에 빠질 수 있다는 관측이 나온다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
로버트	로버트/NNP
뮬러	뮬러/NNP
특검의	특검/NNG+의/JKG
'러시아	'/SS+러시아/NNP
스캔들'	스캔들/NNG+'/SS
수사가	수사/NNG+가/JKS
미궁에	미궁/NNG+에/JKB
빠질	빠지/VV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
관측이	관측/NNG+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.28.5.1
다만 "최근 보도된 모든 정보의 불법 유출과 폭로, 가로채기, 전자기기 감시 등과 관련해 제임스 코미와 나의 대화를 녹음한 녹취 또는 테이프가 있는지 여부에 대해서는 모른다"고 말해 자신이 아닌 다른 누군가가 녹음테이프를 만들었을 가능성은 부인하지 않았다.

다만	다만/MAG
"최근	"/SS+최근/NNG
보도된	보도/NNG+되/XSV+ㄴ/ETM
모든	모든/MMN
정보의	정보/NNG+의/JKG
불법	불법/NNG
유출과	유출/NNG+과/JC
폭로,	폭로/NNG+,/SP
가로채기,	가로채기/NNG+,/SP
전자기기	전자/NNG+기기/NNG
감시	감시/NNG
등과	등/NNB+과/JKB
관련해	관련/NNG+하/XSV+아/EC
제임스	제임스/NNP
코미와	코미/NNP+와/JC
나의	나/NP+의/JKG
대화를	대화/NNG+를/JKO
녹음한	녹음/NNG+하/XSV+ㄴ/ETM
녹취	녹취/NNG
또는	또는/MAG
테이프가	테이프/NNG+가/JKS
있는지	있/VA+는지/EF
여부에	여부/NNG+에/JKB
대해서는	대하/VV+아서/EC+는/JX
모른다"고	모르/VV+ㄴ다/EF+"/SS+고/JKQ
말해	말/NNG+하/XSV+아/EC
자신이	자신/NNG+이/JKC
아닌	아니/VCN+ㄴ/ETM
다른	다른/MMD
누군가가	누구/NP+이/VCP+ㄴ가/EF+가/JKS
녹음테이프를	녹음테이프/NNG+를/JKO
만들었을	만들/VV+었/EP+을/ETM
가능성은	가능/NNG+성/XSN+은/JX
부인하지	부인/NNG+하/XSV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000054.28.5.2
앞으로 녹음 테이프가 나오더라도 자신과 무관하다고 미리 선을 그은 것이라는 분석이 나온다.

앞으로	앞/NNG+으로/JKB
녹음	녹음/NNG
테이프가	테이프/NNG+가/JKS
나오더라도	나오/VV+더라도/EC
자신과	자신/NNG+과/JKB
무관하다고	무관하/VA+다고/EC
미리	미리/MAG
선을	선/NNG+을/JKO
그은	긋/VV+은/ETM
것이라는	것/NNB+이/VCP+라는/ETM
분석이	분석/NNG+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.28.6.1
앞서 코미 전 국장은 지난 5월 해임 직후 "트럼프 대통령이 러시아와 내통한 혐의를 받고 있는 마이클 플린 전 국가안보보좌관에 대한 수사 중단을 요구했다"고 폭로했고, 트럼프 대통령은 코미와의 대화를 녹음한 테이프의 존재를 시사하며 그를 압박했다.

앞서	앞서/MAG
코미	코미/NNP
전	전/MMD
국장은	국장/NNG+은/JX
지난	지나/VV+ㄴ/ETM
5월	5/SN+월/NNB
해임	해임/NNG
직후	직후/NNG
"트럼프	"/SS+트럼프/NNP
대통령이	대통령/NNG+이/JKS
러시아와	러시아/NNP+와/JKB
내통한	내통/NNG+하/XSV+ㄴ/ETM
혐의를	혐의/NNG+를/JKO
받고	받/VV+고/EC
있는	있/VX+는/ETM
마이클	마이클/NNP
플린	플린/NNP
국가안보보좌관에	국가/NNG+안보/NNG+보좌관/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
수사	수사/NNG
중단을	중단/NNG+을/JKO
요구했다"고	요구/NNG+하/XSV+았/EP+다/EF+"/SS+고/JKQ
폭로했고,	폭로/NNG+하/XSV+았/EP+고/EC+,/SP
트럼프	트럼프/NNP
대통령은	대통령/NNG+은/JX
코미와의	코미/NNP+와/JKB+의/JKG
대화를	대화/NNG+를/JKO
녹음한	녹음/NNG+하/XSV+ㄴ/ETM
테이프의	테이프/NNG+의/JKG
존재를	존재/NNG+를/JKO
시사하며	시사/NNG+하/XSV+며/EC
그를	그/NP+를/JKO
압박했다.	압박/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.28.7.1
코미 전 국장의 주장대로 수사 중단 압력이 사실이라면 대통령 탄핵 사유인 '사법방해죄'에 해당될 수 있어 그동안 녹음 테이프 존재 여부에 관심이 쏠렸다.

코미	코미/NNP
전	전/MMD
국장의	국장/NNG+의/JKG
주장대로	주장/NNG+대로/JX
수사	수사/NNG
중단	중단/NNG
압력이	압력/NNG+이/JKS
사실이라면	사실/NNG+이/VCP+라면/EC
대통령	대통령/NNG
탄핵	탄핵/NNG
사유인	사유/NNG+이/VCP+ㄴ/ETM
'사법방해죄'에	'/SS+사법/NNG+방해죄/NNG+'/SS+에/JKB
해당될	해당/NNG+되/XSV+ㄹ/ETM
수	수/NNB
있어	있/VA+어/EC
그동안	그동안/NNG
녹음	녹음/NNG
테이프	테이프/NNG
존재	존재/NNG
여부에	여부/NNG+에/JKB
관심이	관심/NNG+이/JKS
쏠렸다.	쏠리/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.28.7.2
CNN은 트럼프 대통령이 말을 바꾼 것에 대해 "대통령 발언의 신뢰성이 타격을 입었다"고 했다.

CNN은	CNN/SL+은/JX
트럼프	트럼프/NNP
대통령이	대통령/NNG+이/JKS
말을	말/NNG+을/JKO
바꾼	바꾸/VV+ㄴ/ETM
것에	것/NNB+에/JKB
대해	대하/VV+아/EC
"대통령	"/SS+대통령/NNG
발언의	발언/NNG+의/JKG
신뢰성이	신뢰/NNG+성/XSN+이/JKS
타격을	타격/NNG+을/JKO
입었다"고	입/VV+었/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.28.7.3
트럼프 대통령이 테이프의 존재를 부인함에 따라 아직 공개되지 않은 코미의 대화 내용 메모가 양측 주장의 진위를 가릴 유일한 증거가 될 것으로 보인다.

트럼프	트럼프/NNP
대통령이	대통령/NNG+이/JKS
테이프의	테이프/NNG+의/JKG
존재를	존재/NNG+를/JKO
부인함에	부인/NNG+하/XSV+ㅁ/ETN+에/JKB
따라	따르/VV+아/EC
아직	아직/MAG
공개되지	공개/NNG+되/XSV+지/EC
않은	않/VX+은/ETM
코미의	코미/NNP+의/JKG
대화	대화/NNG
내용	내용/NNG
메모가	메모/NNG+가/JKS
양측	양측/NNG
주장의	주장/NNG+의/JKG
진위를	진위/NNG+를/JKO
가릴	가리/VV+ㄹ/ETM
유일한	유일/NNG+하/XSA+ㄴ/ETM
증거가	증거/NNG+가/JKC
될	되/VV+ㄹ/ETM
