# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.380
metadata : {}


# id : NWRW1800000033.380.1.1
[대선 D-20]文 靑수석때 부인 빌라 매입 다운계약 의혹

[대선	[/SS+대선/NNG
D-20]文	D/SL+-/SO+20/SN+]/SS+文/SH
靑수석때	靑/SH+수석/NNG+때/NNG
부인	부인/NNG
빌라	빌라/NNG
매입	매입/NNG
다운계약	다운/NNG+계약/NNG
의혹	의혹/NNG


# id : NWRW1800000033.380.2.1
신동아 보도 2004년 1억6000만원→1년뒤 재산신고땐 2억9800만원 文측 “법무사가 시가표준액 신고… 세금탈루 목적 아니다”

신동아	신동아/NNP
보도	보도/NNG
2004년	2004/SN+년/NNB
1억6000만원→1년뒤	1/SN+억/NR+6000/SN+만/NR+원/NNB+→/SW+1/SN+년/NNB+뒤/NNG
재산신고땐	재산/NNG+신고/NNG+때/NNG+ㄴ/JX
2억9800만원	2/SN+억/NR+9800/SN+만/NR+원/NNB
文측	文/SH+측/NNB
“법무사가	“/SS+법무사/NNG+가/JKS
시가표준액	시가/NNG+표준액/NNG
신고…	신고/NNG+…/SE
세금탈루	세금/NNG+탈루/NNG
목적	목적/NNG
아니다”	아니/VCN+다/EF+”/SS


# id : NWRW1800000033.380.3.1
민주통합당 문재인 대선후보의 부인 김정숙 씨가 부동산을 매입하면서 다운계약서를 작성했다는 의혹이 제기됐다.

민주통합당	민주통합당/NNP
문재인	문재인/NNP
대선후보의	대선/NNG+후보/NNG+의/JKG
부인	부인/NNG
김정숙	김정숙/NNP
씨가	씨/NNB+가/JKS
부동산을	부동산/NNG+을/JKO
매입하면서	매입/NNG+하/XSV+면서/EC
다운계약서를	다운/NNG+계약서/NNG+를/JKO
작성했다는	작성/NNG+하/XSV+았/EP+다는/ETM
의혹이	의혹/NNG+이/JKS
제기됐다.	제기/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000033.380.4.1
