# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.437
metadata : {}


# id : NWRW1800000022.437.1.1
[수도권Ⅰ] 평택시 성실납세땐 대출금리 인하

[수도권Ⅰ]	[/SS+수도/NNG+권/XSN+Ⅰ/SL+]/SS
평택시	평택시/NNP
성실납세땐	성실/NNG+납세/NNG+때/NNG+ㄴ/JX
대출금리	대출/NNG+금리/NNG
인하	인하/NNG


# id : NWRW1800000022.437.2.1
평택시가 우수·성실 납세자에 대해 대출금리 인하 등 각종 인센티브를 제공한다.

평택시가	평택시/NNP+가/JKS
우수·성실	우수/NNG+·/SP+성실/NNG
납세자에	납세자/NNG+에/JKB
대해	대하/VV+아/EC
대출금리	대출/NNG+금리/NNG
인하	인하/NNG
등	등/NNB
각종	각종/NNG
인센티브를	인센티브/NNG+를/JKO
제공한다.	제공/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000022.437.3.1
평택시는 이 같은 내용을 담은 조례안을 제정, 내년 중 시행한다고 밝혔다.

평택시는	평택시/NNP+는/JX
이	이/NP
같은	같/VA+은/ETM
내용을	내용/NNG+을/JKO
담은	담/VV+은/ETM
조례안을	조례안/NNG+을/JKO
제정,	제정/NNG+,/SP
내년	내년/NNG
중	중/NNB
시행한다고	시행/NNG+하/XSV+ㄴ다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.437.3.2
평택시의회 김성환 의원 등이 발의한 '평택시 성실납세자 등 지원조례안'은 일부 내용이 조정돼 현재 본회의에 상정돼 있으며, 내년 지방선거 이후에 시행될 예정이다.

평택시의회	평택시의회/NNP
김성환	김성환/NNP
의원	의원/NNG
등이	등/NNB+이/JKS
발의한	발의/NNG+하/XSV+ㄴ/ETM
'평택시	'/SS+평택시/NNP
성실납세자	성실/NNG+납세자/NNG
등	등/NNB
지원조례안'은	지원/NNG+조례안/NNG+'/SS+은/JX
일부	일부/NNG
내용이	내용/NNG+이/JKS
조정돼	조정/NNG+되/XSV+어/EC
현재	현재/MAG
본회의에	본회의/NNG+에/JKB
상정돼	상정/NNG+되/XSV+어/EC
있으며,	있/VX+으며/EC+,/SP
내년	내년/NNG
지방선거	지방/NNG+선거/NNG
이후에	이후/NNG+에/JKB
시행될	시행/NNG+되/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.437.4.1
조례안은 우수·성실 납세자 중 100분의 2 범위에서 추천, 시 금고인 농협을 통해 대출금리를 3.1∼4.5% 인하해 주고, 전자결재 시 수수료를 감면해 주는 내용을 담고 있다.

조례안은	조례안/NNG+은/JX
우수·성실	우수/NNG+·/SP+성실/NNG
납세자	납세자/NNG
중	중/NNB
100분의	100/SN+분/XSN+의/JKG
2	2/SN
범위에서	범위/NNG+에서/JKB
추천,	추천/NNG+,/SP
시	시/NNB
금고인	금고/NNG+이/VCP+ㄴ/ETM
농협을	농협/NNP+을/JKO
통해	통하/VV+아/EC
대출금리를	대출/NNG+금리/NNG+를/JKO
3.1∼4.5%	3/SN+./SP+1/SN+∼/SO+4/SN+./SP+5/SN+%/SW
인하해	인하/NNG+하/XSV+아/EC
주고,	주/VX+고/EC+,/SP
전자결재	전자/NNG+결재/NNG
수수료를	수수료/NNG+를/JKO
감면해	감면/NNG+하/XSV+아/EC
주는	주/VX+는/ETM
내용을	내용/NNG+을/JKO
담고	담/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.437.5.1
또 세무조사를 3년간 면제하고 1년간 시와 시 산하 부설주차장과 공영주차장의 무료 이용, 교통상해보험 가입 등의 각종 혜택을 준다.

또	또/MAG
세무조사를	세무/NNG+조사/NNG+를/JKO
3년간	3/SN+년/NNB+간/XSN
면제하고	면제/NNG+하/XSV+고/EC
1년간	1/SN+년/NNB+간/XSN
시와	시/NNG+와/JC
시	시/NNG
산하	산하/NNG
부설주차장과	부설/NNG+주차장/NNG+과/JC
공영주차장의	공영/NNG+주차장/NNG+의/JKG
무료	무료/NNG
이용,	이용/NNG+,/SP
교통상해보험	교통/NNG+상해/NNG+보험/NNG
가입	가입/NNG
등의	등/NNB+의/JKG
각종	각종/NNG
혜택을	혜택/NNG+을/JKO
준다.	주/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.437.6.1
우수 납세자는 최근 3년간 매년 시세 납부액이 법인 5000만원, 개인·단체는 1000만원 이상을 내고 체납사실이 없어야 하며, 성실 납세자는 최근 3년간의 시세를 연간 3건 이상 납부기한 내 모두 낸 경우가 해당된다.

우수	우수/NNG
납세자는	납세자/NNG+는/JX
최근	최근/MAG
3년간	3/SN+년/NNB+간/XSN
매년	매년/MAG
시세	시세/NNG
납부액이	납부액/NNG+이/JKS
법인	법인/NNG
5000만원,	5000/SN+만/NR+원/NNB+,/SP
개인·단체는	개인/NNG+·/SP+단체/NNG+는/JX
1000만원	1000/SN+만/NR+원/NNB
이상을	이상/NNG+을/JKO
내고	내/VV+고/EC
체납사실이	체납/NNG+사실/NNG+이/JKS
없어야	없/VA+어야/EC
하며,	하/VX+며/EC+,/SP
성실	성실/NNG
3년간의	3/SN+년/NNB+간/XSN+의/JKG
시세를	시세/NNG+를/JKO
연간	연간/NNG
3건	3/SN+건/NNB
이상	이상/NNG
납부기한	납부/NNG+기한/NNG
내	내/NNB
모두	모두/MAG
낸	내/VV+ㄴ/ETM
경우가	경우/NNG+가/JKS
해당된다.	해당/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000022.437.7.1
김성환 의원은 "지방세를 성실히 내고 지방세수 증대에 기여한 납세자를 지원해 납세의무자의 자진납부 의식을 고취하고 안정적인 재원 확보를 위해 조례안을 발의하게 됐다"고 말했다.

김성환	김성환/NNP
의원은	의원/NNG+은/JX
"지방세를	"/SS+지방세/NNG+를/JKO
성실히	성실히/MAG
내고	내/VV+고/EC
지방세수	지방/NNG+세수/NNG
증대에	증대/NNG+에/JKB
기여한	기여/NNG+하/XSV+ㄴ/ETM
납세자를	납세자/NNG+를/JKO
지원해	지원/NNG+하/XSV+아/EC
납세의무자의	납세/NNG+의무자/NNG+의/JKG
자진납부	자진/NNG+납부/NNG
의식을	의식/NNG+을/JKO
고취하고	고취/NNG+하/XSV+고/EC
안정적인	안정/NNG+적/XSN+이/VCP+ㄴ/ETM
재원	재원/NNG
확보를	확보/NNG+를/JKO
위해	위하/VV+아/EC
조례안을	조례안/NNG+을/JKO
발의하게	발의/NNG+하/XSV+게/EC
됐다"고	되/VV+었/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


