# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.385
metadata : {}


# id : NWRW1800000024.385.1.1
본인 자서전 회삿돈 구입·기자간담회에 5천만원 사용 드러나도 /임인배 “나중에 사장 해봐라” 뻔뻔 답변

본인	본인/NNG
자서전	자서전/NNG
회삿돈	회삿돈/NNG
구입·기자간담회에	구입/NNG+·/SP+기자/NNG+간담회/NNG+에/JKB
5천만원	5/SN+천만/NR+원/NNB
사용	사용/NNG
드러나도	드러나/VV+아도/EC
/임인배	//SP+임인배/NNP
“나중에	“/SS+나중/NNG+에/JKB
사장	사장/NNG
해봐라”	하/VV+아/EC+보/VX+아라/EF+”/SS
뻔뻔	뻔뻔/XR
답변	답변/NNG


# id : NWRW1800000024.385.2.1
임인배 한국전기안전공사 사장이 취임 뒤 10개월 동안 무려 143차례나 기자간담회를 열면서 5천만원에 가까운 예산을 쓴 것으로 드러났다.

임인배	임인배/NNP
한국전기안전공사	한국전기안전공사/NNP
사장이	사장/NNG+이/JKS
취임	취임/NNG
뒤	뒤/NNG
10개월	10/SN+개월/NNB
동안	동안/NNG
무려	무려/MAG
143차례나	143/SN+차례/NNG+나/JX
기자간담회를	기자/NNG+간담회/NNG+를/JKO
열면서	열/VV+면서/EC
5천만원에	5/SN+천만/NR+원/NNB+에/JKB
가까운	가깝/VA+ㄴ/ETM
예산을	예산/NNG+을/JKO
쓴	쓰/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
드러났다.	드러나/VV+았/EP+다/EF+./SF


# id : NWRW1800000024.385.2.2
임 사장은 또 공사 예산으로 자신의 자서전 500만원어치를 사게 한 것으로 밝혀졌다.

임	임/NNP
사장은	사장/NNG+은/JX
또	또/MAG
공사	공사/NNG
예산으로	예산/NNG+으로/JKB
자신의	자신/NNG+의/JKG
자서전	자서전/NNG
500만원어치를	500/SN+만/NR+원/NNB+어치/XSN+를/JKO
사게	사/VV+게/EC
한	하/VX+ㄴ/ETM
것으로	것/NNB+으로/JKB
밝혀졌다.	밝혀지/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.385.2.3
임 사장은 지난해 한나라당 지역구 공천에서 탈락한 이후 공사 사장으로 임명된 전형적 낙하산 인사로, 기업 홍보를 앞세워 자신을 위한 정치활동을 한 것 아니냐는 의혹을 사고 있다.

임	임/NNP
사장은	사장/NNG+은/JX
지난해	지난해/NNG
한나라당	한나라당/NNP
지역구	지역구/NNG
공천에서	공천/NNG+에서/JKB
탈락한	탈락/NNG+하/XSV+ㄴ/ETM
이후	이후/NNG
공사	공사/NNG
사장으로	사장/NNG+으로/JKB
임명된	임명/NNG+되/XSV+ㄴ/ETM
전형적	전형/NNG+적/XSN
낙하산	낙하산/NNG
인사로,	인사/NNG+로/JKB+,/SP
기업	기업/NNG
홍보를	홍보/NNG+를/JKO
앞세워	앞세우/VV+어/EC
자신을	자신/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
정치활동을	정치/NNG+활동/NNG+을/JKO
한	하/VV+ㄴ/ETM
것	것/NNB
아니냐는	아니/VCN+냐는/ETM
의혹을	의혹/NNG+을/JKO
사고	사/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.385.3.1
최철국 의원(민주당)은 20일 전기안전공사에 대한 국정감사에 앞서 배포한 자료에서 “지난해 10월 취임 이후 올해 7월까지 임인배 사장이 개최한 기자간담회가 무려 143차례”라며 “홍보비 및 업무추진비 명목으로 쓴 기자간담회 비용이 4800만원에 이른다”고 밝혔다.

최철국	최철국/NNP
의원(민주당)은	의원/NNG+(/SS+민주당/NNP+)/SS+은/JX
20일	20/SN+일/NNB
전기안전공사에	전기/NNG+안전/NNG+공사/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
국정감사에	국정/NNG+감사/NNG+에/JKB
앞서	앞서/VV+어/EC
배포한	배포/NNG+하/XSV+ㄴ/ETM
자료에서	자료/NNG+에서/JKB
“지난해	“/SS+지난해/NNG
10월	10/SN+월/NNB
취임	취임/NNG
이후	이후/NNG
올해	올해/NNG
7월까지	7/SN+월/NNB+까지/JX
임인배	임인배/NNP
사장이	사장/NNG+이/JKS
개최한	개최/NNG+하/XSV+ㄴ/ETM
기자간담회가	기자/NNG+간담회/NNG+가/JKS
무려	무려/MAG
143차례”라며	143/SN+차례/NNG+”/SS+이/VCP+라며/EC
“홍보비	“/SS+홍보비/NNG
및	및/MAG
업무추진비	업무/NNG+추진비/NNG
명목으로	명목/NNG+으로/JKB
쓴	쓰/VV+ㄴ/ETM
기자간담회	기자/NNG+간담회/NNG
비용이	비용/NNG+이/JKS
4800만원에	4800/SN+만/NR+원/NNB+에/JKB
이른다”고	이르/VV+ㄴ다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.385.3.2
월평균 14차례, 하루 걸러 한번 꼴로 기자간담회를 연 셈이다.

월평균	월평균/NNG
14차례,	14/SN+차례/NNG+,/SP
하루	하루/NNG
걸러	거르/VV+어/EC
한번	한/MMN+번/NNB
꼴로	꼴/XSN+로/JKB
기자간담회를	기자/NNG+간담회/NNG+를/JKO
연	열/VV+ㄴ/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000024.385.3.3
특히 지난 3월 한달동안에 연 기자간담회만 22차례나 되고, ‘해빙기 전기사용요령 보도 의뢰’를 목적으로 연 기자간담회 횟수는 2월5일부터 3월31일까지 무려 46차례였다.

특히	특히/MAG
지난	지나/VV+ㄴ/ETM
3월	3/SN+월/NNB
한달동안에	한/MMN+달/NNB+동안/NNG+에/JKB
연	열/VV+ㄴ/ETM
기자간담회만	기자/NNG+간담회/NNG+만/JX
22차례나	22/SN+차례/NNG+나/JX
되고,	되/VV+고/EC+,/SP
‘해빙기	‘/SS+해빙기/NNG
전기사용요령	전기/NNG+사용/NNG+요령/NNG
보도	보도/NNG
의뢰’를	의뢰/NNG+’/SS+를/JKO
목적으로	목적/NNG+으로/JKB
기자간담회	기자/NNG+간담회/NNG
횟수는	횟수/NNG+는/JX
2월5일부터	2/SN+월/NNB+5/SN+일/NNB+부터/JX
3월31일까지	3/SN+월/NNB+31/SN+일/NNB+까지/JX
무려	무려/MAG
46차례였다.	46/SN+차례/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000024.385.3.4
임 사장은 <위기때는 1초 경영을 펼쳐라>라는 자서전을 낸 뒤, ‘시이오(CEO) 1초 경영소개 보도 의뢰’를 위해 5월~6월 사이에 모두 22차례나 기자간담회를 갖기도 했다.

임	임/NNP
사장은	사장/NNG+은/JX
<위기때는	</SS+위기/NNG+때/NNG+는/JX
1초	1/SN+초/NNB
경영을	경영/NNG+을/JKO
