# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.393
metadata : {}


# id : NWRW1800000056.393.1.1
말바꾼 정호영 전 특검, ‘MB 다스 면죄부’ 의혹 키웠다

말바꾼	말/NNG+바꾸/VV+ㄴ/ETM
정호영	정호영/NNP
전	전/MMD
특검,	특검/NNG+,/SP
‘MB	‘/SS+MB/SL
다스	다스/NNP
면죄부’	면죄부/NNG+’/SS
의혹	의혹/NNG
키웠다	키우/VV+었/EP+다/EF


# id : NWRW1800000056.393.2.1
검찰 다스 비자금 수사 착수하자

검찰	검찰/NNG
다스	다스/NNP
비자금	비자금/NNG
수사	수사/NNG
착수하자	착수/NNG+하/XSV+자/EC


# id : NWRW1800000056.393.3.1
함구했던 “직원 횡령” 털어놔

함구했던	함구/NNG+하/XSV+았/EP+던/ETM
“직원	“/SS+직원/NNG
횡령”	횡령/NNG+”/SS
털어놔	털/VV+어/EC+놓/VX+아/EF


# id : NWRW1800000056.393.4.1
검찰 이첩조차 안해 직무유기 자인

검찰	검찰/NNG
이첩조차	이첩/NNG+조차/JX
안해	안/MAG+하/VV+아/EC
직무유기	직무/NNG+유기/NNG
자인	자인/NNG


# id : NWRW1800000056.393.5.1
2008년엔 “MB 개입 사실 없어”

2008년엔	2008/SN+년/NNB+에/JKB+ㄴ/JX
“MB	“/SS+MB/SL
개입	개입/NNG
사실	사실/NNG
없어”	없/VA+어/EF+”/SS


# id : NWRW1800000056.393.6.1
2017년 “실소유자 증거 못찾아”

2017년	2017/SN+년/NNB
“실소유자	“/SS+실소유자/NNG
증거	증거/NNG
못찾아”	못/MAG+찾/VV+아/EF+”/SS


# id : NWRW1800000056.393.7.1
달라진 표현, 봐주기 수사 방증

달라진	달라지/VV+ㄴ/ETM
표현,	표현/NNG+,/SP
봐주기	봐주/VV+기/ETN
수사	수사/NNG
방증	방증/NNG


# id : NWRW1800000056.393.8.1
‘다스 비자금’을 수사했던 정호영 전 특별검사가 10년 전 수사결과 발표 때와는 판이한 해명을 내놓아 의혹을 더욱 증폭시켰다는 지적을 받고 있다.

‘다스	‘/SS+다스/NNP
비자금’을	비자금/NNG+’/SS+을/JKO
수사했던	수사/NNG+하/XSV+았/EP+던/ETM
정호영	정호영/NNP
전	전/NNG
특별검사가	특별/NNG+검사/NNG+가/JKS
10년	10/SN+년/NNB
수사결과	수사/NNG+결과/NNG
발표	발표/NNG
때와는	때/NNG+와/JKB+는/JX
판이한	판이하/VA+ㄴ/ETM
해명을	해명/NNG+을/JKO
내놓아	내놓/VV+아/EC
의혹을	의혹/NNG+을/JKO
더욱	더욱/MAG
증폭시켰다는	증폭/NNG+시키/XSV+었/EP+다는/ETM
지적을	지적/NNG+을/JKO
받고	받/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000056.393.9.1
검찰이 다스 비자금 특별수사팀 구성을 발표한 지난 22일 정 전 특검은 ‘보도자료’를 내어 ‘봐주기 의혹’을 전면 부인했다.

검찰이	검찰/NNG+이/JKS
다스	다스/NNP
비자금	비자금/NNG
특별수사팀	특별/NNG+수사/NNG+팀/NNG
구성을	구성/NNG+을/JKO
발표한	발표/NNG+하/XSV+ㄴ/ETM
지난	지나/VV+ㄴ/ETM
22일	22/SN+일/NNB
정	정/NNP
전	전/MMD
특검은	특검/NNG+은/JX
‘보도자료’를	‘/SS+보도/NNG+자료/NNG+’/SS+를/JKO
내어	내/VV+어/EC
‘봐주기	‘/SS+봐주/VV+기/ETN
의혹’을	의혹/NNG+’/SS+을/JKO
전면	전면/NNG
부인했다.	부인/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.393.9.2
그러나 검찰 안팎에선 2008년 특검 수사를 끝내면서 비밀에 부쳤던 ‘직원 횡령’ 사실을 정 전 특검이 새삼 언급하면서 자신의 특수직무유기 혐의를 자인한 게 아니냐는 지적이 나온다.

그러나	그러나/MAJ
검찰	검찰/NNG
안팎에선	안팎/NNG+에서/JKB+ㄴ/JX
2008년	2008/SN+년/NNB
특검	특검/NNG
수사를	수사/NNG+를/JKO
끝내면서	끝내/VV+면서/EC
비밀에	비밀/NNG+에/JKB
부쳤던	부치/VV+었/EP+던/ETM
‘직원	‘/SS+직원/NNG
횡령’	횡령/NNG+’/SS
사실을	사실/NNG+을/JKO
정	정/NNP
전	전/MMD
특검이	특검/NNG+이/JKS
새삼	새삼/MAG
언급하면서	언급/NNG+하/XSV+면서/EC
자신의	자신/NNG+의/JKG
특수직무유기	특수/NNG+직무/NNG+유기/NNG
혐의를	혐의/NNG+를/JKO
자인한	자인/NNG+하/XSV+ㄴ/ETM
게	거/NNB+이/JKC
아니냐는	아니/VCN+냐는/ETM
지적이	지적/NNG+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000056.393.9.3
또 당시 ‘이명박 전 대통령과 다스는 무관한 것으로 확인됐다’던 발표 내용과 달리 이번엔 ‘증거를 찾지 못했다’고 말을 바꿨다.

또	또/MAG
당시	당시/NNG
‘이명박	‘/SS+이명박/NNP
전	전/MMD
대통령과	대통령/NNG+과/JKB
다스는	다스/NNP+는/JX
무관한	무관하/VA+ㄴ/ETM
것으로	것/NNB+으로/JKB
확인됐다’던	확인/NNG+되/XSV+었/EP+다/EF+’/SS+던/ETM
발표	발표/NNG
내용과	내용/NNG+과/JKB
달리	달리/MAG
이번엔	이번/NNG+에/JKB+ㄴ/JX
‘증거를	‘/SS+증거/NNG+를/JKO
찾지	찾/VV+지/EC
못했다’고	못하/VX+았/EP+다/EF+’/SS+고/JKQ
말을	말/NNG+을/JKO
바꿨다.	바꾸/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.393.10.1
■ 직무유기 자인한 “직원 횡령 확인” 정 전 특검은 보도자료에서 10년간 함구했던 사실을 털어놨다.

■	■/SW
직무유기	직무/NNG+유기/NNG
자인한	자인/NNG+하/XSV+ㄴ/ETM
“직원	“/SS+직원/NNG
횡령	횡령/NNG
확인”	확인/NNG+”/SS
정	정/NNP
전	전/MMD
특검은	특검/NNG+은/JX
보도자료에서	보도/NNG+자료/NNG+에서/JKB
10년간	10/SN+년/NNB+간/XSN
함구했던	함구/NNG+하/XSV+았/EP+던/ETM
사실을	사실/NNG+을/JKO
털어놨다.	털어놓/VV+았/EP+다/EF+./SF


# id : NWRW1800000056.393.10.2
“수사 결과 ㈜다스 직원의 횡령은 다스 경영진이 개입된 비자금이 아닌 직원 개인의 횡령이라는 사실을 확인하였다.”

“수사	“/SS+수사/NNG
결과	결과/NNG
㈜다스	㈜/SW+다스/NNP
직원의	직원/NNG+의/JKG
횡령은	횡령/NNG+은/JX
다스	다스/NNP
경영진이	경영진/NNG+이/JKS
개입된	개입/NNG+되/XSV+ㄴ/ETM
비자금이	비자금/NNG+이/JKC
아닌	아니/VCN+ㄴ/ETM
직원	직원/NNG
개인의	개인/NNG+의/JKG
횡령이라는	횡령/NNG+이/VCP+라는/ETM
사실을	사실/NNG+을/JKO
확인하였다.”	확인/NNG+하/XSV+았/EP+다/EF+./SF+”/SS


# id : NWRW1800000056.393.10.3
다스의 회삿돈을 빼돌린 ‘범죄’ 자체를 ‘인지’했었다는 뜻이다.

다스의	다스/NNP+의/JKG
회삿돈을	회삿돈/NNG+을/JKO
빼돌린	빼돌리/VV+ㄴ/ETM
‘범죄’	‘/SS+범죄/NNG+’/SS
자체를	자체/NNG+를/JKO
‘인지’했었다는	‘/SS+인지/NNG+’/SS+하/XSV+았었/EP+다는/ETM
뜻이다.	뜻/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000056.393.10.4
그럼에도 정 전 특검은 그 직원을 기소하지 않았고, 검찰에 이첩하지도 않았다.

그럼에도	그렇/VA+ㅁ/ETN+에/JKB+도/JX
정	정/NNP
전	전/MMD
특검은	특검/NNG+은/JX
그	그/MMD
직원을	직원/NNG+을/JKO
기소하지	기소/NNG+하/XSV+지/EC
않았고,	않/VX+았/EP+고/EC+,/SP
검찰에	검찰/NNG+에/JKB
이첩하지도	이첩/NNG+하/XSV+지/EC+도/JX
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000056.393.10.5
당시 특검법을 보면 “수사기간 이내에 수사를 완료하지 못하거나 기소 여부를 결정하지 못한 경우 수사기간 만료일 3일 이내”(제9조 5항)에 관할 검찰청에 사건을 인계하도록 규정돼 있다.

당시	당시/NNG
특검법을	특검법/NNG+을/JKO
보면	보/VV+면/EC
“수사기간	“/SS+수사/NNG+기간/NNG
이내에	이내/NNG+에/JKB
수사를	수사/NNG+를/JKO
완료하지	완료/NNG+하/XSV+지/EC
못하거나	못하/VX+거나/EC
기소	기소/NNG
여부를	여부/NNG+를/JKO
결정하지	결정/NNG+하/XSV+지/EC
못한	못하/VX+ㄴ/ETM
경우	경우/NNG
수사기간	수사/NNG+기간/NNG
만료일	만료일/NNG
3일	3/SN+일/NNB
이내”(제9조	이내/NNG+”/SS+(/SS+제/XPN+9/SN+조/NNB
5항)에	5/SN+항/NNG+)/SS+에/JKB
관할	관할/NNG
검찰청에	검찰청/NNG+에/JKB
사건을	사건/NNG+을/JKO
인계하도록	인계/NNG+하/XSV+도록/EC
규정돼	규정/NNG+되/XSV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000056.393.10.6
정 전 특검 스스로 특검법을 위반한 것이다.

정	정/NNP
전	전/MMD
특검	특검/NNG
스스로	스스로/MAG
특검법을	특검법/NNG+을/JKO
위반한	위반/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000056.393.11.1
정 전 특검은 2008년 2월21일 수사 종결 이후 이런 사실을 철저히 비밀에 부쳤다.

정	정/NNP
전	전/MMD
특검은	특검/NNG+은/JX
2008년	2008/SN+년/NNB
2월21일	2/SN+월/NNB+21/SN+일/NNB
수사	수사/NNG
종결	종결/NNG
이후	이후/NNG
이런	이런/MMD
사실을	사실/NNG+을/JKO
철저히	철저히/MAG
비밀에	비밀/NNG+에/JKB
부쳤다.	부치/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.393.11.2
이것도 특검법 위반에 해당한다.

이것도	이것/NP+도/JX
특검법	특검법/NNG
위반에	위반/NNG+에/JKB
해당한다.	해당/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000056.393.11.3
특검법에는 “사건에 대해 기소하지 않는 결정(불기소 결정)을 하였을 경우, 기소하였을 경우… (중략) 10일 이내에 이를 대통령과 국회에 서면으로 보고하여야 한다”(제11조)고 돼 있다.

특검법에는	특검법/NNG+에/JKB+는/JX
“사건에	“/SS+사건/NNG+에/JKB
대해	대하/VV+아/EC
기소하지	기소/NNG+하/XSV+지/EC
않는	않/VX+는/ETM
결정(불기소	결정/NNG+(/SS+불/XPN+기소/NNG
결정)을	결정/NNG+)/SS+을/JKO
하였을	하/VV+았/EP+을/ETM
경우,	경우/NNG+,/SP
기소하였을	기소/NNG+하/XSV+았/EP+을/ETM
경우…	경우/NNG+…/SE
(중략)	(/SS+중략/NNG+)/SS
10일	10/SN+일/NNB
이내에	이내/NNG+에/JKB
이를	이/NP+를/JKO
대통령과	대통령/NNG+과/JC
국회에	국회/NNG+에/JKB
서면으로	서면/NNG+으로/JKB
보고하여야	보고/NNG+하/XSV+아야/EC
한다”(제11조)고	하/VX+ㄴ다/EF+”/SS+(/SS+제/XPN+11/SN+조/NNB+)/SS+고/JKQ
돼	되/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000056.393.12.1
검찰 관계자는 “설령 다스 직원 개인의 횡령이 맞다 해도 정 전 특검은 기소를 하든지, 검찰에 이첩을 하든지 둘 중 하나는 했어야 하는데 그 ‘직원’을 자기 맘대로 입건유예하고, 심지어 국세청에 과세 통보도 하지 않아 법인세 탈루를 눈감아줬다”며 “기소하거나 이첩하면 다스 비자금의 단서가 드러날까봐 특검팀 차원에서 적극적으로 은폐를 한 것이 아닌가 의심스럽다”고 말했다.

검찰	검찰/NNG
관계자는	관계자/NNG+는/JX
“설령	“/SS+설령/MAG
다스	다스/NNP
직원	직원/NNG
