# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.284
metadata : {}


# id : NWRW1800000052.284.1.1
‘고춧가루’ kt 위즈

‘고춧가루’	‘/SS+고춧가루/NNG+’/SS
kt	kt/SL
위즈	위즈/NNP


# id : NWRW1800000052.284.2.1
프로야구 4위싸움 바쁜 기아 이겨

프로야구	프로/NNG+야구/NNG
4위싸움	4/SN+위/NNB+싸움/NNG
바쁜	바쁘/VA+ㄴ/ETM
기아	기아/NNP
이겨	이기/VV+어/EC


# id : NWRW1800000052.284.3.1
기아(KIA)의 2016 시즌 프로야구 수도권 마지막 경기가 열린 25일 수원 케이티(kt) 위즈파크.

기아(KIA)의	기아/NNP+(/SS+KIA/SL+)/SS+의/JKG
2016	2016/SN
시즌	시즌/NNG
프로야구	프로/NNG+야구/NNG
수도권	수도/NNG+권/XSN
마지막	마지막/NNG
경기가	경기/NNG+가/JKS
열린	열리/VV+ㄴ/ETM
25일	25/SN+일/NNB
수원	수원/NNP
케이티(kt)	케이티/NNP+(/SS+kt/SL+)/SS
위즈파크.	위즈파크/NNP+./SF


# id : NWRW1800000052.284.3.2
올 시즌 3번째 매진을 기록한 위즈파크 외야에 케이티 팬들이 ‘고춧가루’라고 적힌 플래카드를 들고 안방팀을 응원했다.

올	올/NNG
시즌	시즌/NNG
3번째	3/SN+번/NNB+째/XSN
매진을	매진/NNG+을/JKO
기록한	기록/NNG+하/XSV+ㄴ/ETM
위즈파크	위즈파크/NNP
외야에	외야/NNG+에/JKB
케이티	케이티/NNP
팬들이	팬/NNG+들/XSN+이/JKS
‘고춧가루’라고	‘/SS+고춧가루/NNG+’/SS+라고/JKQ
적힌	적히/VV+ㄴ/ETM
플래카드를	플래카드/NNG+를/JKO
들고	들/VV+고/EC
안방팀을	안방/NNG+팀/NNG+을/JKO
응원했다.	응원/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.284.3.3
케이티는 이미 2년 연속 최하위를 확정지은 상황.

케이티는	케이티/NNP+는/JX
이미	이미/MAG
2년	2/SN+년/NNB
연속	연속/NNG
최하위를	최/XPN+하위/NNG+를/JKO
확정지은	확정/NNG+짓/VV+은/ETM
상황.	상황/NNG+./SF


# id : NWRW1800000052.284.3.4
쫓기는 건 오히려 기아였다.

쫓기는	쫓기/VV+는/ETM
건	거/NNB+ㄴ/JX
오히려	오히려/MAG
기아였다.	기아/NNP+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000052.284.4.1
1경기 반 차로 엘지(LG)에 밀려 5위를 기록 중인 기아는 이날 케이티를 잡은 뒤 27일 안방에서 열리는 엘지와의 대결에서 승리해 4위로 도약한다는 계획이었다.

1경기	1/SN+경기/NNG
반	반/NNG
차로	차/NNG+로/JKB
엘지(LG)에	엘지/NNP+(/SS+LG/SL+)/SS+에/JKB
밀려	밀리/VV+어/EC
5위를	5/SN+위/NNB+를/JKO
기록	기록/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
기아는	기아/NNP+는/JX
이날	이날/NNG
케이티를	케이티/NNP+를/JKO
잡은	잡/VV+은/ETM
뒤	뒤/NNG
27일	27/SN+일/NNB
안방에서	안방/NNG+에서/JKB
열리는	열리/VV+는/ETM
엘지와의	엘지/NNP+와/JKB+의/JKG
대결에서	대결/NNG+에서/JKB
승리해	승리/NNG+하/XSV+아/EC
4위로	4/SN+위/NNB+로/JKB
도약한다는	도약/NNG+하/XSV+ㄴ다는/ETM
계획이었다.	계획/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000052.284.4.2
정규리그 4위는 와일드카드 결정전에서 1승과 안방경기라는 이점을 얻고 시작하기 때문에 3전2선승제에서 절대적으로 유리하다.

정규리그	정규/NNG+리그/NNG
4위는	4/SN+위/NNB+는/JX
와일드카드	와일드카드/NNG
결정전에서	결정전/NNG+에서/JKB
1승과	1/SN+승/NNB+과/JC
안방경기라는	안방/NNG+경기/NNG+이/VCP+라는/ETM
이점을	이점/NNG+을/JKO
얻고	얻/VV+고/EC
시작하기	시작/NNG+하/XSV+기/ETN
때문에	때문/NNB+에/JKB
3전2선승제에서	3/SN+전/NNB+2/SN+선승/NNG+제/XSN+에서/JKB
절대적으로	절대/NNG+적/XSN+으로/JKB
유리하다.	유리/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000052.284.5.1
그러나 갈 길 바쁜 기아를 상대로 막내 케이티는 쉽게 물러서지 않았다.

그러나	그러나/MAJ
갈	가/VV+ㄹ/ETM
길	길/NNG
바쁜	바쁘/VA+ㄴ/ETM
기아를	기아/NNP+를/JKO
상대로	상대/NNG+로/JKB
막내	막내/NNG
케이티는	케이티/NNP+는/JX
쉽게	쉽/VA+게/EC
물러서지	물러서/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000052.284.5.2
지난 23일에는 5강행을 향한 실낱같은 희망을 키워가던 에스케이(SK)를 잡고 가을야구 꿈을 접게 하기도 했다.

지난	지나/VV+ㄴ/ETM
23일에는	23/SN+일/NNB+에/JKB+는/JX
5강행을	5강행/NNG+을/JKO
향한	향하/VV+ㄴ/ETM
실낱같은	실낱같/VA+은/ETM
희망을	희망/NNG+을/JKO
키워가던	키우/VV+어/EC+가/VX+던/ETM
에스케이(SK)를	에스케이/NNP+(/SS+SK/SL+)/SS+를/JKO
잡고	잡/VV+고/EC
가을야구	가을/NNG+야구/NNG
꿈을	꿈/NNG+을/JKO
접게	접/VV+게/EC
하기도	하/VX+기/ETN+도/JX
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000052.284.5.3
당시 에스케이는 에이스 메릴 켈리를 내세우며 총력전을 펼쳤지만, 연장 접전 끝에 케이티에 10회말 끝내기패를 당했다.

당시	당시/NNG
에스케이는	에스케이/NNP+는/JX
에이스	에이스/NNG
메릴	메릴/NNP
켈리를	켈리/NNP+를/JKO
내세우며	내세우/VV+며/EC
총력전을	총력전/NNG+을/JKO
펼쳤지만,	펼치/VV+었/EP+지만/EC+,/SP
연장	연장/NNG
접전	접전/NNG
끝에	끝/NNG+에/JKB
케이티에	케이티/NNP+에/JKB
10회말	10/SN+회/NNB+말/NNB
끝내기패를	끝내기/NNG+패/NNG+를/JKO
당했다.	당하/VV+았/EP+다/EF+./SF


# id : NWRW1800000052.284.6.1
케이티는 이날 선발로 나온 정대현이 5이닝 2피안타 4볼넷 5탈삼진 2실점으로 안정감 있는 투구를 선보이며 시즌 3승을 챙겼고, 타선에선 테이블세터 이대형과 박용근이 4타점을 합작했다.

케이티는	케이티/NNP+는/JX
이날	이날/NNG
선발로	선발/NNG+로/JKB
나온	나오/VV+ㄴ/ETM
정대현이	정대현/NNP+이/JKS
5이닝	5/SN+이닝/NNG
2피안타	2/SN+피/XPN+안타/NNG
4볼넷	4/SN+볼넷/NNG
5탈삼진	5/SN+탈삼진/NNG
2실점으로	2/SN+실점/NNG+으로/JKB
안정감	안정감/NNG
있는	있/VA+는/ETM
투구를	투구/NNG+를/JKO
선보이며	선보이/VV+며/EC
시즌	시즌/NNG
3승을	3/SN+승/NNB+을/JKO
챙겼고,	챙기/VV+었/EP+고/EC+,/SP
타선에선	타선/NNG+에서/JKB+ㄴ/JX
테이블세터	테이블/NNG+세터/NNG
이대형과	이대형/NNP+과/JC
박용근이	박용근/NNP+이/JKS
4타점을	4/SN+타점/NNG+을/JKO
합작했다.	합작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.284.6.2
케이티의 8-7승.

케이티의	케이티/NNP+의/JKG
8-7승.	8/SN+-/SO+7/SN+승/NNG+./SF


# id : NWRW1800000052.284.7.1
창원에선 롯데가 엔씨(NC)에 0-1로 패하며 엔씨 상대 시즌 12연패에 빠졌다.

창원에선	창원/NNP+에서/JKB+ㄴ/JX
롯데가	롯데/NNP+가/JKS
엔씨(NC)에	엔씨/NNP+(/SS+NC/SL+)/SS+에/JKB
0-1로	0/SN+-/SO+1/SN+로/JKB
패하며	패/NNG+하/XSV+며/EC
엔씨	엔씨/NNP
상대	상대/NNG
시즌	시즌/NNG
12연패에	12/SN+연패/NNG+에/JKB
빠졌다.	빠지/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.284.7.2
올해 두번째 대결이던 지난 4월17일 마산 경기 이후 롯데는 엔씨를 단 한번도 이기지 못했다.

올해	올해/NNG
두번째	두/MMN+번/NNB+째/XSN
대결이던	대결/NNG+이/VCP+던/ETM
지난	지나/VV+ㄴ/ETM
4월17일	4/SN+월/NNB+17/SN+일/NNB
마산	마산/NNP
경기	경기/NNG
이후	이후/NNG
롯데는	롯데/NNP+는/JX
엔씨를	엔씨/NNP+를/JKO
단	단/MMA
한번도	한/MMN+번/NNB+도/JX
이기지	이기/VV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000052.284.7.3
시즌 전적 1승13패.

시즌	시즌/NNG
전적	전적/NNG
1승13패.	1/SN+승/NNB+13/SN+패/NNB+./SF


# id : NWRW1800000052.284.7.4
마산(엔씨)과 부산(롯데)을 연고로 둬 지역 라이벌이라 불리지만 상대전적만 놓고 보면 엔씨의 전력이 월등하다.

마산(엔씨)과	마산/NNP+(/SS+엔씨/NNP+)/SS+과/JC
부산(롯데)을	부산/NNP+(/SS+롯데/NNP+)/SS+을/JKO
연고로	연고/NNG+로/JKB
둬	두/VV+어/EC
지역	지역/NNG
라이벌이라	라이벌/NNG+이/VCP+라/EC
불리지만	불리/VV+지만/EC
상대전적만	상대/NNG+전적/NNG+만/JX
놓고	놓/VV+고/EC
보면	보/VX+면/EC
엔씨의	엔씨/NNP+의/JKG
전력이	전력/NNG+이/JKS
월등하다.	월등/MAG+하/XSA+다/EF+./SF


# id : NWRW1800000052.284.8.1
이날은 팽팽한 투수전이 벌어졌다.

이날은	이날/NNG+은/JX
팽팽한	팽팽하/VA+ㄴ/ETM
투수전이	투수전/NNG+이/JKS
벌어졌다.	벌어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.284.8.2
엔씨의 신예 구창모는 5이닝 3피안타 8탈삼진 무실점으로 시즌 4승을 기록했다.

엔씨의	엔씨/NNP+의/JKG
신예	신예/NNG
구창모는	구창모/NNP+는/JX
5이닝	5/SN+이닝/NNG
3피안타	3/SN+피/XPN+안타/NNG
8탈삼진	8/SN+탈삼진/NNG
무실점으로	무/XPN+실점/NNG+으로/JKB
시즌	시즌/NNG
4승을	4/SN+승/NNB+을/JKO
기록했다.	기록/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.284.8.3
롯데 선발 브룩스 레일리도 7이닝 3피안타 4탈삼진 1실점으로 역투했지만 수비 판단 미스로 내준 안타가 실점으로 연결돼 시즌 9패째를 떠안게 됐다.

롯데	롯데/NNP
선발	선발/NNG
브룩스	브룩스/NNP
레일리도	레일리/NNP+도/JX
7이닝	7/SN+이닝/NNG
3피안타	3/SN+피/XPN+안타/NNG
4탈삼진	4/SN+탈삼진/NNG
1실점으로	1/SN+실점/NNG+으로/JKB
역투했지만	역투/NNG+하/XSV+았/EP+지만/EC
수비	수비/NNG
판단	판단/NNG
미스로	미스/NNG+로/JKB
내준	내주/VV+ㄴ/ETM
안타가	안타/NNG+가/JKS
실점으로	실점/NNG+으로/JKB
연결돼	연결/NNG+되/XSV+어/EC
시즌	시즌/NNG
9패째를	9/SN+패/NNB+째/XSN+를/JKO
떠안게	떠안/VV+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


