# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.56
metadata : {}


# id : NWRW1800000021.56.1.1
“인천자유구역 신축주택도 분양가상한제 적용 말아야”

“인천자유구역	“/SS+인천/NNP+자유/NNG+구역/NNG
신축주택도	신축/NNG+주택/NNG+도/JX
분양가상한제	분양/NNG+가/XSN+상한/NNG+제/XSN
적용	적용/NNG
말아야”	말/VV+아야/EC+”/SS


# id : NWRW1800000021.56.2.1
정부가 민간택지에 분양가상한제를 적용하지 않기로 법개정을 추진하는 가운데 인천시가 공공택지 성격을 띠는 경제자유구역 안에 신축하는 주택에도 분양가상한제 적용을 배제해 달라고 건의해 주목된다.

정부가	정부/NNG+가/JKS
민간택지에	민간/NNG+택지/NNG+에/JKB
분양가상한제를	분양/NNG+가/XSN+상한/NNG+제/XSN+를/JKO
적용하지	적용/NNG+하/XSV+지/EC
않기로	않/VX+기/ETN+로/JKB
법개정을	법/NNG+개정/NNG+을/JKO
추진하는	추진/NNG+하/XSV+는/ETM
가운데	가운데/NNG
인천시가	인천시/NNP+가/JKS
공공택지	공공/NNG+택지/NNG
성격을	성격/NNG+을/JKO
띠는	띠/VV+는/ETM
경제자유구역	경제/NNG+자유/NNG+구역/NNG
안에	안/NNG+에/JKB
신축하는	신축/NNG+하/XSV+는/ETM
주택에도	주택/NNG+에/JKB+도/JX
분양가상한제	분양/NNG+가/XSN+상한/NNG+제/XSN
적용을	적용/NNG+을/JKO
배제해	배제/NNG+하/XSV+아/EC
달라고	달/VX+라고/EC
건의해	건의/NNG+하/XSV+아/EC
주목된다.	주목/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000021.56.3.1
인천시는 최근 송도국제도시 청라지구 영종지구 등 경제자유구역 내 공동주택을 분양가상한제 적용 대상에서 제외해 달라고 국무총리실과 국토해양부 기획재정부에 건의했다고 20일 밝혔다.

인천시는	인천시/NNP+는/JX
최근	최근/MAG
송도국제도시	송도국제도시/NNP
청라지구	청라지구/NNP
영종지구	영종지구/NNP
등	등/NNB
경제자유구역	경제/NNG+자유/NNG+구역/NNG
내	내/NNB
공동주택을	공동/NNG+주택/NNG+을/JKO
분양가상한제	분양/NNG+가/XSN+상한/NNG+제/XSN
적용	적용/NNG
대상에서	대상/NNG+에서/JKB
제외해	제외/NNG+하/XSV+아/EC
달라고	달/VX+라고/EC
국무총리실과	국무총리실/NNG+과/JC
국토해양부	국토/NNG+해양부/NNG
기획재정부에	기획/NNG+재정부/NNG+에/JKB
건의했다고	건의/NNG+하/XSV+았/EP+다고/EC
20일	20/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.56.4.1
