# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.333
metadata : {}


# id : NWRW1800000048.333.1.1
문선재로 시작해 문선재가 끝냈다

문선재로	문선재/NNP+로/JKB
시작해	시작/NNG+하/XSV+아/EC
문선재가	문선재/NNP+가/JKS
끝냈다	끝내/VV+었/EP+다/EF


# id : NWRW1800000048.333.2.1
선취점 등 2안타 3타점 맹타

선취점	선취점/NNG
등	등/NNB
2안타	2/SN+안타/NNG
3타점	3/SN+타점/NNG
맹타	맹타/NNG


# id : NWRW1800000048.333.3.1
엘지, 넥센에 전날 패배 설욕

엘지,	엘지/NNP+,/SP
넥센에	넥센/NNP+에/JKB
전날	전날/NNG
패배	패배/NNG
설욕	설욕/NNG


# id : NWRW1800000048.333.4.1
엘지가 혼자서 3타점을 쓸어담은 문선재의 활약으로 넥센을 5-3으로 꺾고 전날 패배를 설욕했다.

엘지가	엘지/NNP+가/JKS
혼자서	혼자/NNG+서/JKS
3타점을	3/SN+타점/NNG+을/JKO
쓸어담은	쓸/VV+어/EC+담/VV+은/ETM
문선재의	문선재/NNP+의/JKG
활약으로	활약/NNG+으로/JKB
넥센을	넥센/NNP+을/JKO
5-3으로	5/SN+-/SO+3/SN+으로/JKB
꺾고	꺾/VV+고/EC
전날	전날/NNG
패배를	패배/NNG+를/JKO
설욕했다.	설욕/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.333.5.1
22일 서울 잠실경기장에서 열린 엘지와 넥센의 경기에서 문선재가 기회에 강한 면모를 보이며 팀 승리를 이끌었다.

22일	22/SN+일/NNB
서울	서울/NNP
잠실경기장에서	잠실경기장/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
엘지와	엘지/NNP+와/JC
넥센의	넥센/NNP+의/JKG
경기에서	경기/NNG+에서/JKB
문선재가	문선재/NNP+가/JKS
기회에	기회/NNG+에/JKB
강한	강하/VA+ㄴ/ETM
면모를	면모/NNG+를/JKO
보이며	보이/VV+며/EC
팀	팀/NNG
승리를	승리/NNG+를/JKO
이끌었다.	이끌/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.333.5.2
이날 한현희의 대체 선발로 출전한 넥센의 문성현은 비교적 호투했으나, 6회에 무너지며 올 시즌 승리 없이 시즌 4패째를 기록했다.

이날	이날/NNG
한현희의	한현희/NNP+의/JKG
대체	대체/NNG
선발로	선발/NNG+로/JKB
출전한	출전/NNG+하/XSV+ㄴ/ETM
넥센의	넥센/NNP+의/JKG
문성현은	문성현/NNP+은/JX
비교적	비교/NNG+적/XSN
호투했으나,	호투/NNG+하/XSV+았/EP+으나/EC+,/SP
6회에	6/SN+회/NNB+에/JKB
무너지며	무너지/VV+며/EC
올	올/NNG
시즌	시즌/NNG
승리	승리/NNG
없이	없이/MAG
4패째를	4/SN+패/NNB+째/XSN+를/JKO
기록했다.	기록/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.333.6.1
양 팀은 전날에 이어 선발들이 좋은 모습을 보였다.

양	양/MMN
팀은	팀/NNG+은/JX
전날에	전날/NNG+에/JKB
이어	잇/VV+어/EC
선발들이	선발/NNG+들/XSN+이/JKS
