# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.208
metadata : {}


# id : NWRW1800000046.208.1.1
윤석민 '컴백홈'

윤석민	윤석민/NNP
'컴백홈'	'/SS+컴백홈/NNG+'/SS


# id : NWRW1800000046.208.2.1
MLB 꿈 접고 1년만에 KIA로, 4년간 90억… FA 역대 최대

MLB	MLB/SL
꿈	꿈/NNG
접고	접/VV+고/EC
1년만에	1/SN+년/NNB+만/NNB+에/JKB
KIA로,	KIA/SL+로/JKB+,/SP
4년간	4/SN+년/NNB+간/XSN
90억…	90/SN+억/NR+…/SE
FA	FA/SL
역대	역대/NNG
최대	최대/NNG


# id : NWRW1800000046.208.3.1
미국 프로야구 무대에 도전했던 윤석민(29)이 '친정팀'으로 돌아왔다.

미국	미국/NNP
프로야구	프로/NNG+야구/NNG
무대에	무대/NNG+에/JKB
도전했던	도전/NNG+하/XSV+았/EP+던/ETM
윤석민(29)이	윤석민/NNP+(/SS+29/SN+)/SS+이/JKS
'친정팀'으로	'/SS+친정/NNG+팀/NNG+'/SS+으로/JKB
돌아왔다.	돌아오/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.208.4.1
KIA는 6일 윤석민에게 4년간 90억원(계약금 40억원·연봉 12억5000만원)을 주는 조건으로 FA(자유계약선수) 계약을 맺었다고 밝혔다.

KIA는	KIA/SL+는/JX
6일	6/SN+일/NNB
윤석민에게	윤석민/NNP+에게/JKB
4년간	4/SN+년/NNB+간/XSN
90억원(계약금	90/SN+억/NR+원/NNB+(/SS+계약금/NNG
40억원·연봉	40/SN+억/NR+원/NNB+·/SP+연봉/NNG
12억5000만원)을	12/SN+억/NR+5000/SN+만/NR+원/NNB+)/SS+을/JKO
주는	주/VV+는/ETM
조건으로	조건/NNG+으로/JKB
FA(자유계약선수)	FA/SL+(/SS+자유/NNG+계약/NNG+선수/NNG+)/SS
계약을	계약/NNG+을/JKO
맺었다고	맺/VV+었/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.208.4.2
4년 총액 90억원은 역대 최고 FA 몸값이다.

4년	4/SN+년/NNB
총액	총액/NNG
90억원은	90/SN+억/NR+원/NNB+은/JX
역대	역대/NNG
최고	최고/NNG
FA	FA/SL
몸값이다.	몸값/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.208.4.3
최정(28)이 올해부터 4년간 더 SK 유니폼을 입기로 하면서 받을 4년 총액 86억원(계약금 42억원·연봉 11억원)보다 4억원이 많다.

최정(28)이	최정/NNP+(/SS+28/SN+)/SS+이/JKS
올해부터	올해/NNG+부터/JX
4년간	4/SN+년/NNB+간/XSN
더	더/MAG
SK	SK/SL
유니폼을	유니폼/NNG+을/JKO
입기로	입/VV+기/ETN+로/JKB
하면서	하/VV+면서/EC
받을	받/VV+을/ETM
4년	4/SN+년/NNB
총액	총액/NNG
86억원(계약금	86/SN+억/NR+원/NNB+(/SS+계약금/NNG
42억원·연봉	42/SN+억/NR+원/NNB+·/SP+연봉/NNG
11억원)보다	11/SN+억/NR+원/NNB+)/SS+보다/JKB
