# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.254
metadata : {}


# id : NWRW1800000032.254.1.1
서울·파주서 ‘묻지마 흉기 난동’

서울·파주서	서울/NNP+·/SP+파주/NNP+서/JKB
‘묻지마	‘/SS+묻/VV+지/EC+말/VX+아/EF
흉기	흉기/NNG
난동’	난동/NNG+’/SS


# id : NWRW1800000032.254.2.1
도서관 출입 못하자 칼 휘두르고…“죽고싶다”며 8살 아이 찌르고…

도서관	도서관/NNG
출입	출입/NNG
못하자	못/MAG+하/VV+자/EC
칼	칼/NNG
휘두르고…“죽고싶다”며	휘두르/VV+고/EC+…/SE+“/SS+죽/VV+고/EC+싶/VX+다/EF+”/SS+며/EC
8살	8/SN+살/NNB
아이	아이/NNG
찌르고…	찌르/VV+고/EC+…/SE


# id : NWRW1800000032.254.3.1
휴일 대낮에 흉기를 들고 난동을 부리다 사람을 찔러 다치게 한 사건이 서울과 경기도 파주에서 각각 발생했다.

휴일	휴일/NNG
대낮에	대낮/NNG+에/JKB
흉기를	흉기/NNG+를/JKO
들고	들/VV+고/EC
난동을	난동/NNG+을/JKO
부리다	부리/VV+다/EC
사람을	사람/NNG+을/JKO
찔러	찌르/VV+어/EC
다치게	다치/VV+게/EC
한	하/VX+ㄴ/ETM
사건이	사건/NNG+이/JKS
서울과	서울/NNP+과/JC
경기도	경기도/NNP
파주에서	파주/NNP+에서/JKB
각각	각각/MAG
발생했다.	발생/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.254.4.1
서울 방배경찰서는 30일 서초구 반포동 국립디지털도서관에서 흉기를 들고 난동을 부리다 출동한 경찰을 칼로 찌른 혐의(특수공무집행방해치상 등)로 서아무개(49)씨에 대해 구속영장을 신청했다고 밝혔다.

서울	서울/NNP
방배경찰서는	방배경찰서/NNP+는/JX
30일	30/SN+일/NNB
서초구	서초구/NNP
반포동	반포동/NNP
국립디지털도서관에서	국립디지털도서관/NNP+에서/JKB
흉기를	흉기/NNG+를/JKO
들고	들/VV+고/EC
난동을	난동/NNG+을/JKO
부리다	부리/VV+다/EC
출동한	출동/NNG+하/XSV+ㄴ/ETM
경찰을	경찰/NNG+을/JKO
칼로	칼/NNG+로/JKB
찌른	찌르/VV+ㄴ/ETM
혐의(특수공무집행방해치상	혐의/NNG+(/SS+특수/NNG+공무/NNG+집행/NNG+방해/NNG+치상/NNG
등)로	등/NNB+)/SS+로/JKB
