# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.271
metadata : {}


# id : NWRW1800000032.271.1.1
“반성 안하는 원전족 일 시민들 탈핵 열망 선거변화 ‘핵’ 될 수도”

“반성	“/SS+반성/NNG
안하는	안/MAG+하/VV+는/ETM
원전족	원전족/NNG
일	일/NNP
시민들	시민/NNG+들/XSN
탈핵	탈핵/NNG
열망	열망/NNG
선거변화	선거/NNG+변화/NNG
‘핵’	‘/SS+핵/NNG+’/SS
될	되/VV+ㄹ/ETM
수도”	수/NNB+도/JX+”/SS


# id : NWRW1800000032.271.2.1
2011 한겨레 -종 부 산합 국제심포지엄

2011	2011/SN
한겨레	한겨레/NNP
-종	-/SO+종/NA
부	부/NA
산합	산합/NA
국제심포지엄	국제/NNG+심포지엄/NNG


# id : NWRW1800000032.271.3.1
인터뷰 요시이 히데카쓰 일본 중의원

인터뷰	인터뷰/NNG
요시이	요시이/NNP
히데카쓰	히데카쓰/NNP
일본	일본/NNP
중의원	중의원/NNG


# id : NWRW1800000032.271.4.1
한겨레-부산 국제심포지엄의 제3세션 ‘동북아판 자연에너지 협력’ 토론회에 발표자로 참석한 요시이 히데카쓰(69·사진) 중의원은 22일 <한겨레>와 따로 만난 자리에서 “후쿠시마 원자력발전소 사고 직후 일본과 한국 정부 모두 반성을 하지 않고 있다”며 “시민들을 중심으로 탈핵을 위한 열망이 높아지고 있어 선거를 통해 변화를 몰고 올 수 있을 것”이라고 말했다.

한겨레-부산	한겨레/NNP+-/SO+부산/NNP
국제심포지엄의	국제/NNG+심포지엄/NNG+의/JKG
제3세션	제/XPN+3/SN+세션/NNG
‘동북아판	‘/SS+동북아/NNP+판/NNG
자연에너지	자연/NNG+에너지/NNG
협력’	협력/NNG+’/SS
토론회에	토론회/NNG+에/JKB
발표자로	발표자/NNG+로/JKB
참석한	참석/NNG+하/XSV+ㄴ/ETM
요시이	요시이/NNP
