# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.293
metadata : {}


# id : NWRW1800000022.293.1.1
뻣뻣한 육참총장 손보려다 망신만 당한 英의원들;"연회 즐긴다" 비방했으나 판공비 따져보니 超알뜰

뻣뻣한	뻣뻣하/VA+ㄴ/ETM
육참총장	육참/NNG+총장/NNG
손보려다	손보/VV+려다/EC
망신만	망신/NNG+만/JX
당한	당하/VV+ㄴ/ETM
英의원들;"연회	英/SH+의원/NNG+들/XSN+;/SW+"/SS+연회/NNG
즐긴다"	즐기/VV+ㄴ다/EF+"/SS
비방했으나	비방/NNG+하/XSV+았/EP+으나/EC
판공비	판공비/NNG
따져보니	따지/VV+어/EC+보/VX+니/EC
超알뜰	超/SH+알뜰/NNG


# id : NWRW1800000022.293.2.1
영국 정부에 직언(直言)을 서슴지 않는 육군참모총장을 해코지하려던 여당 의원들이 그의 판공비 내용을 시비 삼았다가 망신을 당했다.

영국	영국/NNP
정부에	정부/NNG+에/JKB
직언(直言)을	직언/NNG+(/SS+直言/SH+)/SS+을/JKO
서슴지	서슴/VV+지/EC
않는	않/VX+는/ETM
육군참모총장을	육군/NNG+참모/NNG+총장/NNG+을/JKO
해코지하려던	해코지/NNG+하/XSV+려던/ETM
여당	여당/NNG
의원들이	의원/NNG+들/XSN+이/JKS
그의	그/NP+의/JKG
판공비	판공비/NNG
내용을	내용/NNG+을/JKO
시비	시비/NNG
삼았다가	삼/VV+았/EP+다가/EC
망신을	망신/NNG+을/JKO
당했다.	당하/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.293.2.2
그가 지독한 자린고비인 줄을 몰랐던 것이다.

그가	그/NP+가/JKS
지독한	지독하/VA+ㄴ/ETM
자린고비인	자린고비/NNG+이/VCP+ㄴ/ETM
줄을	줄/NNB+을/JKO
몰랐던	모르/VV+았/EP+던/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000022.293.3.1
23일 영국 타블로이드 신문 '뉴스오브더월드'가 정보공개법을 통해 입수한 리처드 다냇(Dannatt) 육군참모총장의 판공비 청구 명세를 보면 다냇 총장은 직무상 국내외 외빈을 접대할 일이 허다했지만, 지출비용은 참석자 1인당 5파운드(약 1만원) 수준이었다.

23일	23/SN+일/NNB
영국	영국/NNP
타블로이드	타블로이드/NNG
신문	신문/NNG
'뉴스오브더월드'가	'/SS+뉴스오브더월드/NNP+'/SS+가/JKS
정보공개법을	정보/NNG+공개법/NNG+을/JKO
통해	통하/VV+아/EC
입수한	입수/NNG+하/XSV+ㄴ/ETM
리처드	리처드/NNP
다냇(Dannatt)	다냇/NNP+(/SS+Dannatt/SL+)/SS
육군참모총장의	육군/NNG+참모/NNG+총장/NNG+의/JKG
판공비	판공비/NNG
청구	청구/NNG
