# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.113
metadata : {}


# id : NWRW1800000054.113.1.1
"기부가 홈런보다 짜릿하네요"

"기부가	"/SS+기부/NNG+가/JKS
홈런보다	홈런/NNG+보다/JKB
짜릿하네요"	짜릿하/VA+네요/EF+"/SS


# id : NWRW1800000054.113.2.1
이만수 前 야구 감독

이만수	이만수/NNP
前	前/SH
야구	야구/NNG
감독	감독/NNG


# id : NWRW1800000054.113.3.1
"홈런 치고 기록 세우면 기분 좋죠.

"홈런	"/SS+홈런/NNG
치고	치/VV+고/EC
기록	기록/NNG
세우면	세우/VV+면/EC
기분	기분/NNG
좋죠.	좋/VA+죠/EF+./SF


# id : NWRW1800000054.113.3.2
근데 길어야 2~3일을 못 가더라고요.

근데	근데/MAJ
길어야	길/VA+어야/EC
2~3일을	2/SN+~/SO+3/SN+일/NNB+을/JKO
못	못/MAG
가더라고요.	가/VV+더라고/EF+요/JX+./SF


# id : NWRW1800000054.113.3.3
기부에 나선 후론 하루하루가 행복합니다."

기부에	기부/NNG+에/JKB
나선	나서/VV+ㄴ/ETM
후론	후/NNG+로/JKB+ㄴ/JX
하루하루가	하루하루/NNG+가/JKS
행복합니다."	행복/NNG+하/XSA+ㅂ니다/EF+./SF+"/SS


# id : NWRW1800000054.113.4.1
이만수(59) 전 SK 와이번스 감독은 1982년 출범한 프로야구 '1호' 안타·타점·홈런 기록을 모두 가진 인물이다.

이만수(59)	이만수/NNP+(/SS+59/SN+)/SS
전	전/MMD
SK	SK/SL
와이번스	와이번스/NNP
감독은	감독/NNG+은/JX
1982년	1982/SN+년/NNB
출범한	출범/NNG+하/XSV+ㄴ/ETM
프로야구	프로/NNG+야구/NNG
'1호'	'/SS+1/SN+호/NNB+'/SS
안타·타점·홈런	안타/NNG+·/SP+타점/NNG+·/SP+홈런/NNG
기록을	기록/NNG+을/JKO
모두	모두/MAG
가진	가지/VV+ㄴ/ETM
인물이다.	인물/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.113.4.2
1997년 은퇴할 때까지 16시즌 동안 252홈런을 때린 그는 대한민국 포수 '계보'를 논할 때, 단연 1번으로 꼽힌다.

1997년	1997/SN+년/NNB
은퇴할	은퇴/NNG+하/XSV+ㄹ/ETM
때까지	때/NNG+까지/JX
16시즌	16/SN+시즌/NNG
동안	동안/NNG
252홈런을	252/SN+홈런/NNG+을/JKO
때린	때리/VV+ㄴ/ETM
그는	그/NP+는/JX
대한민국	대한민국/NNP
포수	포수/NNG
'계보'를	'/SS+계보/NNG+'/SS+를/JKO
논할	논하/VV+ㄹ/ETM
때,	때/NNG+,/SP
단연	단연/MAG
1번으로	1/SN+번/NNB+으로/JKB
꼽힌다.	꼽히/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.113.4.3
47년 그라운드를 누볐던 이 전 감독은 이제 야구장 대신 고속도로에서 보내는 시간이 훨씬 길다.

47년	47/SN+년/NNB
그라운드를	그라운드/NNG+를/JKO
누볐던	누비/VV+었/EP+던/ETM
이	이/NNP
전	전/MMD
감독은	감독/NNG+은/JX
이제	이제/MAG
야구장	야구장/NNG
대신	대신/NNG
고속도로에서	고속/NNG+도로/NNG+에서/JKB
보내는	보내/VV+는/ETM
시간이	시간/NNG+이/JKS
훨씬	훨씬/MAG
길다.	길/VA+다/EF+./SF


# id : NWRW1800000054.113.4.4
14일 인천 자택 근처에서 만난 그는 막 경북 안동에서 올라오는 길이었다.

14일	14/SN+일/NNB
인천	인천/NNP
자택	자택/NNG
근처에서	근처/NNG+에서/JKB
만난	만나/VV+ㄴ/ETM
그는	그/NP+는/JX
막	막/MAG
경북	경북/NNP
안동에서	안동/NNP+에서/JKB
