# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.451
metadata : {}


# id : NWRW1800000028.451.1.1
하천준설 오염기준 /4대강 끝낸뒤 ‘입안’

하천준설	하천/NNG+준설/NNG
오염기준	오염/NNG+기준/NNG
/4대강	//SP+4/SN+대/NNG+강/NNG
끝낸뒤	끝내/VV+ㄴ/ETM+뒤/NNG
‘입안’	‘/SS+입안/NNG+’/SS


# id : NWRW1800000028.451.2.1
정부가 4대강 준설 과정에서 필요한 하천 퇴적물의 관리기준을 준설 공사를 모두 마무리한 다음에야 마련하기로 해, 또다른 ‘졸속 추진’ 논란이 일고 있다.

정부가	정부/NNG+가/JKS
4대강	4/SN+대/NNG+강/NNG
준설	준설/NNG
과정에서	과정/NNG+에서/JKB
필요한	필요/NNG+하/XSA+ㄴ/ETM
하천	하천/NNG
퇴적물의	퇴적물/NNG+의/JKG
관리기준을	관리/NNG+기준/NNG+을/JKO
공사를	공사/NNG+를/JKO
모두	모두/MAG
마무리한	마무리/NNG+하/XSV+ㄴ/ETM
다음에야	다음/NNG+에/JKB+야/JX
마련하기로	마련/NNG+하/XSV+기/ETN+로/JKB
해,	하/VV+아/EC+,/SP
또다른	또/MAG+다른/MMD
‘졸속	‘/SS+졸속/NNG
추진’	추진/NNG+’/SS
논란이	논란/NNG+이/JKS
일고	일/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000028.451.3.1
22일 국토해양부와 환경부 관계자들의 말을 종합하면, 국토부는 4대강 준설 완료 시기를 내년 상반기로 잡았지만 환경부가 추진중인 ‘하천 퇴적물 관리기준’ 마련은 2012년 이후에나 가능한 것으로 나타났다.

22일	22/SN+일/NNB
국토해양부와	국토/NNG+해양부/NNG+와/JC
환경부	환경부/NNG
관계자들의	관계자/NNG+들/XSN+의/JKG
말을	말/NNG+을/JKO
종합하면,	종합/NNG+하/XSV+면/EC+,/SP
국토부는	국토부/NNG+는/JX
4대강	4/SN+대/NNG+강/NNG
준설	준설/NNG
완료	완료/NNG
시기를	시기/NNG+를/JKO
내년	내년/NNG
상반기로	상반기/NNG+로/JKB
잡았지만	잡/VV+았/EP+지만/EC
환경부가	환경부/NNG+가/JKS
추진중인	추진/NNG+중/NNB+이/VCP+ㄴ/ETM
‘하천	‘/SS+하천/NNG
퇴적물	퇴적물/NNG
관리기준’	관리/NNG+기준/NNG+’/SS
마련은	마련/NNG+은/JX
2012년	2012/SN+년/NNB
이후에나	이후/NNG+에/JKB+나/JX
가능한	가능/NNG+하/XSA+ㄴ/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.451.4.1
환경부 물환경정책국 관계자는 “하천 퇴적물 관리기준 마련 작업은 올해 모니터링 사업을 했고 내년에 연구용역 사업이 잡혀 있다”며 “내년도 연구로 어느 정도 초안이 나오더라도 전문가 의견 수렴 등을 거쳐야 해서 2012년 이후에나 확정안이 나오게 될 것”이라고 밝혔다.

환경부	환경부/NNG
물환경정책국	물/NNG+환경/NNG+정책국/NNG
관계자는	관계자/NNG+는/JX
“하천	“/SS+하천/NNG
퇴적물	퇴적물/NNG
관리기준	관리/NNG+기준/NNG
마련	마련/NNG
작업은	작업/NNG+은/JX
올해	올해/NNG
모니터링	모니터링/NNG
사업을	사업/NNG+을/JKO
했고	하/VV+았/EP+고/EC
내년에	내년/NNG+에/JKB
연구용역	연구/NNG+용역/NNG
사업이	사업/NNG+이/JKS
잡혀	잡히/VV+어/EC
있다”며	있/VX+다/EF+”/SS+며/EC
“내년도	“/SS+내년도/NNG
연구로	연구/NNG+로/JKB
어느	어느/MMD
정도	정도/NNG
초안이	초안/NNG+이/JKS
나오더라도	나오/VV+더라도/EC
전문가	전문가/NNG
의견	의견/NNG
수렴	수렴/NNG
등을	등/NNB+을/JKO
거쳐야	거치/VV+어야/EC
해서	하/VX+아서/EC
2012년	2012/SN+년/NNB
이후에나	이후/NNG+에/JKB+나/JX
확정안이	확정안/NNG+이/JKS
나오게	나오/VV+게/EC
될	되/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.451.4.2
이는 정부가 ‘2011년 경제정책 방향과 과제’ 발표를 통해 4대강 사업의 핵심 공정인 준설과 보 건설을 내년도 상반기까지 마치겠다고 한 점을 고려하면, 4대강 사업이 다 끝난 뒤에야 환경 기준을 갖추는 셈이다.

이는	이/NP+는/JX
정부가	정부/NNG+가/JKS
‘2011년	‘/SS+2011/SN+년/NNB
경제정책	경제/NNG+정책/NNG
방향과	방향/NNG+과/JC
과제’	과제/NNG+’/SS
발표를	발표/NNG+를/JKO
통해	통하/VV+아/EC
4대강	4/SN+대/NNG+강/NNG
사업의	사업/NNG+의/JKG
핵심	핵심/NNG
공정인	공정/NNG+이/VCP+ㄴ/ETM
준설과	준설/NNG+과/JC
