# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.57
metadata : {}


# id : NWRW1800000028.57.1.1
한나라 보좌진 “우리가 ‘사노’냐”

한나라	한나라/NNP
보좌진	보좌진/NNG
“우리가	“/SS+우리/NP+가/JKS
‘사노’냐”	‘/SS+사노/NNG+’/SS+이/VCP+냐/EF+”/SS


# id : NWRW1800000028.57.2.1
“급할 땐 몸싸움 동원하더니 이제 와서는 입 씻는 거냐!”, “우리가 사노(私奴)냐.”

“급할	“/SS+급하/VA+ㄹ/ETM
땐	때/NNG+ㄴ/JX
몸싸움	몸싸움/NNG
동원하더니	동원/NNG+하/XSV+더니/EC
이제	이제/MAG
와서는	오/VV+아서/EC+는/JX
입	입/NNG
씻는	씻/VV+는/ETM
거냐!”,	거/NNB+이/VCP+냐/EF+!/SF+”/SS+,/SP
“우리가	“/SS+우리/NP+가/JKS
사노(私奴)냐.”	사노/NNG+(/SS+私奴/SH+)/SS+이/VCP+냐/EF+./SF+”/SS


# id : NWRW1800000028.57.3.1
11일 국회에서 열린 한나라당 보좌진 협의회(한보협) 긴급 운영진 회의에서는 당 지도부를 향한 거친 불만이 쏟아졌다.

11일	11/SN+일/NNB
국회에서	국회/NNG+에서/JKB
열린	열리/VV+ㄴ/ETM
한나라당	한나라당/NNP
보좌진	보좌진/NNG
협의회(한보협)	협의회/NNG+(/SS+한보협/NNG+)/SS
긴급	긴급/NNG
운영진	운영진/NNG
회의에서는	회의/NNG+에서/JKB+는/JX
당	당/NNG
지도부를	지도부/NNG+를/JKO
향한	향하/VV+ㄴ/ETM
거친	거칠/VA+ㄴ/ETM
불만이	불만/NNG+이/JKS
쏟아졌다.	쏟아지/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.57.4.1
불만의 뿌리는 여야가 언론관계법을 두고 날카롭게 대치하던 지난해 7월22일로 거슬러 올라간다.

불만의	불만/NNG+의/JKG
뿌리는	뿌리/NNG+는/JX
여야가	여야/NNG+가/JKS
언론관계법을	언론/NNG+관계법/NNG+을/JKO
두고	두/VV+고/EC
날카롭게	날카롭/VA+게/EC
대치하던	대치/NNG+하/XSV+던/ETM
지난해	지난해/NNG
7월22일로	7/SN+월/NNB+22/SN+일/NNB+로/JKB
거슬러	거스르/VV+어/EC
올라간다.	올라가/VV+ㄴ다/EF+./SF


# id : NWRW1800000028.57.4.2
한나라당 보좌진들은 언론관계법 강행처리 때 자의반 타의 반으로 몸싸움 부대로 차출됐다.

한나라당	한나라당/NNP
보좌진들은	보좌진/NNG+들/XSN+은/JX
언론관계법	언론/NNG+관계법/NNG
강행처리	강행/NNG+처리/NNG
때	때/NNG
자의반	자의/NNG+반/NNG
타의	타의/NNG
반으로	반/NNG+으로/JKB
몸싸움	몸싸움/NNG
부대로	부대/NNG+로/JKB
차출됐다.	차출/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000028.57.4.3
의원실마다 2~3명씩의 보좌진이 ‘날치기 부역’에 참여했다.

의원실마다	의원실/NNG+마다/JX
2~3명씩의	2/SN+~/SO+3/SN+명/NNB+씩/XSN+의/JKG
보좌진이	보좌진/NNG+이/JKS
‘날치기	‘/SS+날치기/NNG
부역’에	부역/NNG+’/SS+에/JKB
참여했다.	참여/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.57.4.4
국회 본회의장 중앙홀에서 날치기 통과를 막으려는 야당 의원, 보좌진들과 격한 몸싸움과 말싸움을 벌였다.

국회	국회/NNG
본회의장	본회의장/NNG
중앙홀에서	중앙/NNG+홀/NNG+에서/JKB
날치기	날치기/NNG
통과를	통과/NNG+를/JKO
막으려는	막/VV+으려는/ETM
야당	야당/NNG
의원,	의원/NNG+,/SP
보좌진들과	보좌진/NNG+들/XSN+과/JKB
격한	격하/VA+ㄴ/ETM
몸싸움과	몸싸움/NNG+과/JC
말싸움을	말싸움/NNG+을/JKO
벌였다.	벌이/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.57.4.5
당 지도부는 이들의 ‘노고’를 고려해 당헌·당규를 고쳐 이들에게 일정 몫의 ‘당연직 대의원직’을 주겠노라고 약속했다.

당	당/NNG
지도부는	지도부/NNG+는/JX
이들의	이/NP+들/XSN+의/JKG
‘노고’를	‘/SS+노고/NNG+’/SS+를/JKO
고려해	고려/NNG+하/XSV+아/EC
당헌·당규를	당헌/NNG+·/SP+당규/NNG+를/JKO
고쳐	고치/VV+어/EC
이들에게	이/NP+들/XSN+에게/JKB
일정	일정/NNG
몫의	몫/NNG+의/JKG
‘당연직	‘/SS+당연직/NNG
대의원직’을	대의원/NNG+직/NNG+’/SS+을/JKO
주겠노라고	주/VV+겠/EP+노라고/EC
약속했다.	약속/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.57.4.6
당연직 대의원은 전당대회, 대선 경선 등 주요 당내 선거에서 투표권을 행사할 수 있다.

당연직	당연직/NNG
대의원은	대의원/NNG+은/JX
전당대회,	전당/NNG+대회/NNG+,/SP
대선	대선/NNG
경선	경선/NNG
등	등/NNB
주요	주요/NNG
당내	당내/NNG
선거에서	선거/NNG+에서/JKB
투표권을	투표/NNG+권/XSN+을/JKO
