# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.416
metadata : {}


# id : NWRW1800000048.416.1.1
주한미군, 살아있는 ‘양성세균’ 실험 계획했나

주한미군,	주한/NNG+미군/NNG+,/SP
살아있는	살/VV+아/EC+있/VX+는/ETM
‘양성세균’	‘/SS+양성/NNG+세균/NNG+’/SS
실험	실험/NNG
계획했나	계획/NNG+하/XSV+았/EP+나/EF


# id : NWRW1800000048.416.2.1
의료단체 관계자, 국회서 공개

의료단체	의료/NNG+단체/NNG
관계자,	관계자/NNG+,/SP
국회서	국회/NNG+서/JKB
공개	공개/NNG


# id : NWRW1800000048.416.3.1
“탄저균 포함 여부 확인 필요”

“탄저균	“/SS+탄저균/NNG
포함	포함/NNG
여부	여부/NNG
확인	확인/NNG
필요”	필요/NNG+”/SS


# id : NWRW1800000048.416.4.1
미 육군 공보 “본토 양성세균 실험

미	미/NNP
육군	육군/NNG
공보	공보/NNG
“본토	“/SS+본토/NNG
양성세균	양성/NNG+세균/NNG
실험	실험/NNG


# id : NWRW1800000048.416.5.1
한국서 재현 위해 전자 기록” 보도

한국서	한국/NNP+서/JKB
재현	재현/NNG
위해	위하/VV+아/EC
전자	전자/NNG
기록”	기록/NNG+”/SS
보도	보도/NNG


# id : NWRW1800000048.416.6.1
주한미군이 한국에서 야외에 살아있는 ‘양성 세균’을 살포하고 탐지하는 실험을 하려 했다는 분석이 나왔다.

주한미군이	주한/NNG+미군/NNG+이/JKS
한국에서	한국/NNP+에서/JKB
야외에	야외/NNG+에/JKB
살아있는	살/VV+아/EC+있/VX+는/ETM
‘양성	‘/SS+양성/NNG
세균’을	세균/NNG+’/SS+을/JKO
살포하고	살포/NNG+하/XSV+고/EC
탐지하는	탐지/NNG+하/XSV+는/ETM
실험을	실험/NNG+을/JKO
하려	하/VV+려/EC
했다는	하/VX+았/EP+다는/ETM
분석이	분석/NNG+이/JKS
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000048.416.6.2
양성 세균은 사람 몸 속에서 공생하는 미생물이지만, 주한미군이 이후 탄저균 등 맹독성 세균으로 야외 실험 대상을 확대할 계획은 없었는지 분명히 밝혀야 한다는 목소리가 나온다.

양성	양성/NNG
세균은	세균/NNG+은/JX
사람	사람/NNG
몸	몸/NNG
속에서	속/NNG+에서/JKB
공생하는	공생/NNG+하/XSV+는/ETM
미생물이지만,	미생물/NNG+이/VCP+지만/EC+,/SP
주한미군이	주한/NNG+미군/NNG+이/JKS
이후	이후/NNG
탄저균	탄저균/NNG
등	등/NNB
맹독성	맹독/NNG+성/XSN
세균으로	세균/NNG+으로/JKB
야외	야외/NNG
실험	실험/NNG
대상을	대상/NNG+을/JKO
확대할	확대/NNG+하/XSV+ㄹ/ETM
계획은	계획/NNG+은/JX
없었는지	없/VA+었/EP+는지/EC
분명히	분명히/MAG
밝혀야	밝히/VV+어야/EC
한다는	하/VX+ㄴ다는/ETM
목소리가	목소리/NNG+가/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000048.416.7.1
김형성 보건의료단체연합 정책실장은 30일 국회에서 열린 ‘주한미군 탄저균 반입의 문제점과 해결방안’ 토론회에서 미군의 야외 실험 계획을 공개하며 “미군이 야외 양성세균 살포 실험에서 비활성 탄저균도 사용하려고 했던 것이 아닌지 반드시 확인해야 한다”고 요구했다.

김형성	김형성/NNP
보건의료단체연합	보건/NNG+의료/NNG+단체/NNG+연합/NNG
정책실장은	정책실장/NNG+은/JX
30일	30/SN+일/NNB
국회에서	국회/NNG+에서/JKB
열린	열리/VV+ㄴ/ETM
‘주한미군	‘/SS+주한/NNG+미군/NNG
탄저균	탄저균/NNG
반입의	반입/NNG+의/JKG
문제점과	문제점/NNG+과/JC
해결방안’	해결/NNG+방안/NNG+’/SS
토론회에서	토론회/NNG+에서/JKB
미군의	미군/NNG+의/JKG
야외	야외/NNG
실험	실험/NNG
계획을	계획/NNG+을/JKO
공개하며	공개/NNG+하/XSV+며/EC
“미군이	“/SS+미군/NNG+이/JKS
양성세균	양성/NNG+세균/NNG
살포	살포/NNG
실험에서	실험/NNG+에서/JKB
비활성	비/XPN+활성/NNG
탄저균도	탄저균/NNG+도/JX
사용하려고	사용/NNG+하/XSV+려고/EC
했던	하/VX+았/EP+던/ETM
것이	것/NNB+이/JKC
아닌지	아니/VCN+ㄴ지/EC
반드시	반드시/MAG
확인해야	확인/NNG+하/XSV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
요구했다.	요구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.416.8.1
김 실장이 공개한 미 육군 <공보> 4월16일치는 “최근 (미 유타주) 더그웨이병기훈련장에 있는 대규모 야외 실험장 중 한 곳에서 한국에 배치된 것과 동일하게 주피터의 센서들을 설치했다”면서 “생물작용제와 동일한 특성을 가진 양성 세균(benign microbes)들이 생물무기 공격과 유사한 여러 시나리오에 따라 살포됐다.

김	김/NNP
실장이	실장/NNG+이/JKS
공개한	공개/NNG+하/XSV+ㄴ/ETM
미	미/NNP
육군	육군/NNG
<공보>	</SS+공보/NNG+>/SS
4월16일치는	4/SN+월/NNB+16/SN+일/NNB+치/NNB+는/JX
“최근	“/SS+최근/MAG
(미	(/SS+미/NNP
유타주)	유타주/NNP+)/SS
더그웨이병기훈련장에	더그웨이병기훈련장/NNP+에/JKB
있는	있/VA+는/ETM
대규모	대/XPN+규모/NNG
야외	야외/NNG
실험장	실험장/NNG
중	중/NNB
한	한/MMN
곳에서	곳/NNG+에서/JKB
