# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.10
metadata : {}


# id : NWRW1800000036.10.1.1
중국성장률 1%p 하락때 한국은 0.4%p↓

중국성장률	중국/NNP+성장/NNG+률/XSN
1%p	1/SN+%p/SW
하락때	하락/NNG+때/NNG
한국은	한국/NNP+은/JX
0.4%p↓	0/SN+./SP+4/SN+%p/SW+↓/SW


# id : NWRW1800000036.10.2.1
[한겨레] 현경연, 차이나 리스크 우려

[한겨레]	[/SS+한겨레/NNP+]/SS
현경연,	현경연/NNP+,/SP
차이나	차이나/NNP
리스크	리스크/NNG
우려	우려/NNG


# id : NWRW1800000036.10.3.1
중국 경제성장률이 1%포인트 떨어지면 한국 성장률은 0.4%포인트 떨어진다는 분석이 나왔다.

중국	중국/NNP
경제성장률이	경제/NNG+성장/NNG+률/XSN+이/JKS
1%포인트	1/SN+%포인트/NNG
떨어지면	떨어지/VV+면/EC
한국	한국/NNP
성장률은	성장/NNG+률/XSN+은/JX
0.4%포인트	0/SN+./SP+4/SN+%포인트/NNG
떨어진다는	떨어지/VV+ㄴ다는/ETM
분석이	분석/NNG+이/JKS
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000036.10.4.1
21일 현대경제연구원은 ‘양날의 칼, 중국 경제’ 보고서를 통해 “최근 중국의 성장률 둔화가 한국의 성장률 하락으로 귀결되는 등 차이나 리스크가 가시화하고 있다”며 “중국의 경제성장률이 1%포인트 하락하면 한국의 수출증가율과 경제성장률은 각각 1.7%포인트, 0.4%포인트 떨어진다”고 밝혔다.

21일	21/SN+일/NNB
현대경제연구원은	현대경제연구원/NNP+은/JX
‘양날의	‘/SS+양날/NNG+의/JKG
칼,	칼/NNG+,/SP
중국	중국/NNP
경제’	경제/NNG+’/SS
보고서를	보고서/NNG+를/JKO
통해	통하/VV+아/EC
“최근	“/SS+최근/MAG
중국의	중국/NNP+의/JKG
성장률	성장/NNG+률/XSN
둔화가	둔화/NNG+가/JKS
한국의	한국/NNP+의/JKG
하락으로	하락/NNG+으로/JKB
귀결되는	귀결/NNG+되/XSV+는/ETM
등	등/NNB
차이나	차이나/NNP
리스크가	리스크/NNG+가/JKS
가시화하고	가시/NNG+화/XSN+하/XSV+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
“중국의	“/SS+중국/NNP+의/JKG
경제성장률이	경제/NNG+성장/NNG+률/XSN+이/JKS
1%포인트	1/SN+%포인트/NNG
하락하면	하락/NNG+하/XSV+면/EC
수출증가율과	수출/NNG+증가/NNG+율/XSN+과/JC
경제성장률은	경제/NNG+성장/NNG+률/XSN+은/JX
각각	각각/MAG
1.7%포인트,	1/SN+./SP+7/SN+%포인트/NNG+,/SP
0.4%포인트	0/SN+./SP+4/SN+%포인트/NNG
떨어진다”고	떨어지/VV+ㄴ다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.10.5.1
보고서를 보면, 중국 경제는 이미 지난 1월 수출 부문을 중심으로 주요 지표가 나빠지고 있다.

보고서를	보고서/NNG+를/JKO
보면,	보/VV+면/EC+,/SP
중국	중국/NNP
경제는	경제/NNG+는/JX
이미	이미/MAG
지난	지나/VV+ㄴ/ETM
1월	1/SN+월/NNB
수출	수출/NNG
부문을	부문/NNG+을/JKO
중심으로	중심/NNG+으로/JKB
주요	주요/NNG
지표가	지표/NNG+가/JKS
나빠지고	나빠지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000036.10.5.2
중국의 수출증가율은 지난해 연간 20.7% 성장했지만, 지난 1월엔 전년 동월 대비 0.5% 감소했다.

중국의	중국/NNP+의/JKG
수출증가율은	수출/NNG+증가/NNG+율/XSN+은/JX
지난해	지난해/NNG
연간	연간/NNG
20.7%	20/SN+./SP+7/SN+%/SW
성장했지만,	성장/NNG+하/XSV+았/EP+지만/EC+,/SP
지난	지나/VV+ㄴ/ETM
1월엔	1/SN+월/NNB+에/JKB+ㄴ/JX
전년	전년/NNG
동월	동월/NNG
대비	대비/NNG
0.5%	0/SN+./SP+5/SN+%/SW
감소했다.	감소/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.10.5.3
지난해 25.3% 증가했던 수입도 지난 1월 전년 동월 대비 15.3% 감소했다.

지난해	지난해/NNG
25.3%	25/SN+./SP+3/SN+%/SW
증가했던	증가/NNG+하/XSV+았/EP+던/ETM
수입도	수입/NNG+도/JX
지난	지나/VV+ㄴ/ETM
1월	1/SN+월/NNB
전년	전년/NNG
동월	동월/NNG
대비	대비/NNG
15.3%	15/SN+./SP+3/SN+%/SW
감소했다.	감소/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.10.5.4
수출·수입의 동반 부진으로 경제성장률은 지난해 1분기 9.7%를 찍은 이후 내리막길을 이어가고 있다.

수출·수입의	수출/NNG+·/SP+수입/NNG+의/JKG
동반	동반/NNG
부진으로	부진/NNG+으로/JKB
경제성장률은	경제/NNG+성장/NNG+률/XSN+은/JX
지난해	지난해/NNG
1분기	1/SN+분기/NNG
9.7%를	9/SN+./SP+7/SN+%/SW+를/JKO
찍은	찍/VV+은/ETM
이후	이후/NNG
내리막길을	내리막길/NNG+을/JKO
이어가고	잇/VV+어/EC+가/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000036.10.6.1
중국 경제가 주춤하면서 한국의 대중국 수출도 마이너스로 돌아섰다.

중국	중국/NNP
경제가	경제/NNG+가/JKS
주춤하면서	주춤/MAG+하/XSV+면서/EC
한국의	한국/NNP+의/JKG
대중국	대중국/NNG
수출도	수출/NNG+도/JX
마이너스로	마이너스/NNG+로/JKB
돌아섰다.	돌아서/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.10.6.2
지난 1월 대중국 수출증가율이 전년 동월 대비 2.3% 줄었고, 철강·기계·자동차·가전 등 주력제품의 수출증가율은 14.7~31.7% 줄었다.

지난	지나/VV+ㄴ/ETM
1월	1/SN+월/NNB
대중국	대중국/NNG
수출증가율이	수출/NNG+증가/NNG+율/XSN+이/JKS
전년	전년/NNG
동월	동월/NNG
대비	대비/NNG
2.3%	2/SN+./SP+3/SN+%/SW
줄었고,	줄/VV+었/EP+고/EC+,/SP
철강·기계·자동차·가전	철강/NNG+·/SP+기계/NNG+·/SP+자동차/NNG+·/SP+가전/NNG
등	등/NNB
주력제품의	주력/NNG+제품/NNG+의/JKG
수출증가율은	수출/NNG+증가/NNG+율/XSN+은/JX
14.7~31.7%	14/SN+./SP+7/SN+~/SO+31/SN+./SP+7/SN+%/SW
줄었다.	줄/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.10.6.3
대중국 수출은 2010년 기준 한국 총수출의 25.1%, 국내총생산의 11.5%를 차지할 정도로 비중이 크다.

대중국	대중국/NNG
수출은	수출/NNG+은/JX
2010년	2010/SN+년/NNB
기준	기준/NNG
한국	한국/NNP
총수출의	총수출/NNG+의/JKG
25.1%,	25/SN+./SP+1/SN+%/SW+,/SP
국내총생산의	국내/NNG+총생산/NNG+의/JKG
11.5%를	11/SN+./SP+5/SN+%/SW+를/JKO
차지할	차지/NNG+하/XSV+ㄹ/ETM
정도로	정도/NNG+로/JKB
비중이	비중/NNG+이/JKS
크다.	크/VA+다/EF+./SF


# id : NWRW1800000036.10.7.1
연구원은 “상대적으로 호조를 보일 것으로 예상되는 중국 내수시장에 대한 공략을 강화하고 중국을 대체할 수 있는 신흥시장을 발굴해야 한다”고 강조했다.

연구원은	연구원/NNG+은/JX
“상대적으로	“/SS+상대/NNG+적/XSN+으로/JKB
호조를	호조/NNG+를/JKO
보일	보이/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
예상되는	예상/NNG+되/XSV+는/ETM
중국	중국/NNP
내수시장에	내수/NNG+시장/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
공략을	공략/NNG+을/JKO
강화하고	강화/NNG+하/XSV+고/EC
중국을	중국/NNP+을/JKO
대체할	대체/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
신흥시장을	신흥/NNG+시장/NNG+을/JKO
발굴해야	발굴/NNG+하/XSV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


