# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.46
metadata : {}


# id : NWRW1800000052.46.1.1
기업 접대비 10조원 육박…유흥업소에서만 1조원 ‘펑펑’

기업	기업/NNG
접대비	접대비/NNG
10조원	10/SN+조/NR+원/NNB
육박…유흥업소에서만	육박/NNG+…/SE+유흥업소/NNG+에서/JKB+만/JX
1조원	1/SN+조/NR+원/NNB
‘펑펑’	‘/SS+펑펑/MAG+’/SS


# id : NWRW1800000052.46.2.1
작년 9조9685억…전년보다 6.8%↑

작년	작년/NNG
9조9685억…전년보다	9/SN+조/NR+9685/SN+억/NR+…/SE+전년/NNG+보다/JKB
6.8%↑	6/SN+./SP+8/SN+%/SW+↑/SW


# id : NWRW1800000052.46.3.1
상위 1% 대기업이 총액의 34% 차지

상위	상위/NNG
1%	1/SN+%/SW
대기업이	대/XPN+기업/NNG+이/JKS
총액의	총액/NNG+의/JKG
34%	34/SN+%/SW
차지	차지/NNG


# id : NWRW1800000052.46.4.1
기업이 접대비 명목으로 지출하는 금액이 여전히 수조원에 이르는 것으로 나타났다.

기업이	기업/NNG+이/JKS
접대비	접대비/NNG
명목으로	명목/NNG+으로/JKB
지출하는	지출/NNG+하/XSV+는/ETM
금액이	금액/NNG+이/JKS
여전히	여전히/MAG
수조원에	수조/NR+원/NNB+에/JKB
이르는	이르/VV+는/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000052.46.4.2
‘김영란법’ 시행을 앞두고 관심이 쏠린다.

‘김영란법’	‘/SS+김영란법/NNG+’/SS
시행을	시행/NNG+을/JKO
앞두고	앞두/VV+고/EC
관심이	관심/NNG+이/JKS
쏠린다.	쏠리/VV+ㄴ다/EF+./SF


# id : NWRW1800000052.46.4.3
27일 국회 기획재정위원회 소속 더불어민주당 김종민 의원이 국세청에서 제출받은 ‘최근 5년간 법인의 접대비 지출 현황’ 등 자료를 보면 기업들은 지난해 접대비 명목으로 9조9685억원(잠정)을 지출해 2014년과 비교해 6.8% 늘어난 것으로 나타났다.

27일	27/SN+일/NNB
국회	국회/NNG
기획재정위원회	기획/NNG+재정/NNG+위원회/NNG
소속	소속/NNG
더불어민주당	더불어민주당/NNP
김종민	김종민/NNP
의원이	의원/NNG+이/JKS
국세청에서	국세청/NNG+에서/JKB
제출받은	제출/NNG+받/XSV+은/ETM
‘최근	‘/SS+최근/NNG
5년간	5/SN+년/NNB+간/XSN
법인의	법인/NNG+의/JKG
접대비	접대비/NNG
지출	지출/NNG
현황’	현황/NNG+’/SS
등	등/NNB
자료를	자료/NNG+를/JKO
보면	보/VV+면/EC
기업들은	기업/NNG+들/XSN+은/JX
지난해	지난해/NNG
명목으로	명목/NNG+으로/JKB
9조9685억원(잠정)을	9/SN+조/NR+9685/SN+억/NR+원/NNB+(/SS+잠정/NNG+)/SS+을/JKO
지출해	지출/NNG+하/XSV+아/EC
2014년과	2014/SN+년/NNB+과/JKB
비교해	비교/NNG+하/XSV+아/EC
6.8%	6/SN+./SP+8/SN+%/SW
늘어난	늘어나/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000052.46.4.4
접대비 지출을 신고한 법인 59만1684곳은 1곳당 평균 1685만원을 접대비로 지출한 꼴이었다.

접대비	접대비/NNG
지출을	지출/NNG+을/JKO
신고한	신고/NNG+하/XSV+ㄴ/ETM
법인	법인/NNG
59만1684곳은	59/SN+만/NR+1684/SN+곳/NNG+은/JX
1곳당	1/SN+곳/NNG+당/XSN
평균	평균/NNG
1685만원을	1685/SN+만/NR+원/NNB+을/JKO
접대비로	접대비/NNG+로/JKB
지출한	지출/NNG+하/XSV+ㄴ/ETM
꼴이었다.	꼴/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000052.46.4.5
전체 법인 매출 가운데 상위 1%에 해당하는 대기업들의 접대비 총액은 3조3423억원으로 전체 접대비 총액의 33.5%였다.

전체	전체/NNG
법인	법인/NNG
매출	매출/NNG
가운데	가운데/NNG
상위	상위/NNG
1%에	1/SN+%/SW+에/JKB
해당하는	해당/NNG+하/XSV+는/ETM
대기업들의	대/XPN+기업/NNG+들/XSN+의/JKG
접대비	접대비/NNG
총액은	총액/NNG+은/JX
3조3423억원으로	3/SN+조/NR+3423/SN+억/NR+원/NNB+으로/JKB
총액의	총액/NNG+의/JKG
33.5%였다.	33/SN+./SP+5/SN+%/SW+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000052.46.4.6
평균 지출액은 5억6000만원에 달했다.

평균	평균/NNG
지출액은	지출액/NNG+은/JX
5억6000만원에	5/SN+억/NR+6000/SN+만/NR+원/NNB+에/JKB
달했다.	달하/VV+았/EP+다/EF+./SF


# id : NWRW1800000052.46.4.7
매출 상위 10% 법인의 접대비 지출은 6조479억으로 전체의 60.7% 비율이었다.

매출	매출/NNG
상위	상위/NNG
10%	10/SN+%/SW
법인의	법인/NNG+의/JKG
접대비	접대비/NNG
지출은	지출/NNG+은/JX
6조479억으로	6/SN+조/NR+479/SN+억/NR+으로/JKB
전체의	전체/NNG+의/JKG
60.7%	60/SN+./SP+7/SN+%/SW
비율이었다.	비율/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000052.46.4.8
접대비 가운데는 유흥업소에서 사용된 금액도 많았는데, 지난해 법인카드 사용실적 가운데 유흥업소 실적은 1조1418억원으로 집계됐다.

접대비	접대비/NNG
가운데는	가운데/NNG+는/JX
유흥업소에서	유흥업소/NNG+에서/JKB
사용된	사용/NNG+되/XSV+ㄴ/ETM
금액도	금액/NNG+도/JX
많았는데,	많/VA+았/EP+는데/EC+,/SP
지난해	지난해/NNG
법인카드	법인/NNG+카드/NNG
사용실적	사용/NNG+실적/NNG
가운데	가운데/NNG
유흥업소	유흥업소/NNG
실적은	실적/NNG+은/JX
1조1418억원으로	1/SN+조/NR+1418/SN+억/NR+원/NNB+으로/JKB
집계됐다.	집계/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000052.46.4.9
2011년 1조4137억원에서 조금씩 줄어들고 있지만, 여전히 1조원 이상 고액이 유흥업소에서 사용되고 있는 셈이다.

2011년	2011/SN+년/NNB
1조4137억원에서	1/SN+조/NR+4137/SN+억/NR+원/NNB+에서/JKB
조금씩	조금/NNG+씩/XSN
줄어들고	줄어들/VV+고/EC
있지만,	있/VX+지만/EC+,/SP
여전히	여전히/MAG
1조원	1/SN+조/NR+원/NNB
이상	이상/NNG
고액이	고액/NNG+이/JKS
유흥업소에서	유흥업소/NNG+에서/JKB
사용되고	사용/NNG+되/XSV+고/EC
있는	있/VX+는/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000052.46.4.10
유흥업소 유형별로는 룸살롱에서 6772억원이 결제돼 전체의 59.0%를 차지했다.

유흥업소	유흥업소/NNG
유형별로는	유형/NNG+별/XSN+로/JKB+는/JX
룸살롱에서	룸살롱/NNG+에서/JKB
6772억원이	6772/SN+억/NR+원/NNB+이/JKS
결제돼	결제/NNG+되/XSV+어/EC
전체의	전체/NNG+의/JKG
59.0%를	59/SN+./SP+0/SN+%/SW+를/JKO
차지했다.	차지/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.46.4.11
이어 단란주점이 2천13억원, 극장식 식당(1천232억원)·요정(1032억원)·나이트클럽(369억원) 등이 뒤를 이었다.

이어	이어/MAG
단란주점이	단란/XR+주점/NNG+이/JKS
2천13억원,	2/SN+천/NR+13/SN+억/NR+원/NNB+,/SP
극장식	극장식/NNG
식당(1천232억원)·요정(1032억원)·나이트클럽(369억원)	식당/NNG+(/SS+1/SN+천/NR+232/SN+억/NR+원/NNB+)/SS+·/SP+요정/NNG+(/SS+1032/SN+억/NR+원/NNB+)/SS+·/SP+나이트클럽/NNG+(/SS+369/SN+억/NR+원/NNB+)/SS
등이	등/NNB+이/JKS
뒤를	뒤/NNG+를/JKO
이었다.	잇/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.46.5.1
김 의원은 “업무 관련성이 적고 비생산적인 유흥업소에서 접대비 지출이 큰 것은 어떤 측면에서건 바람직하지 않다”며 “김영란법(청탁금지법) 시행으로 공공부문에 대한 접대비 지출이 감소할 것으로 보이는데, 이를 사내 인센티브나 기업활동 촉진 등 생산적인 방향으로 사용해야 한다”고 말했다.

김	김/NNP
의원은	의원/NNG+은/JX
“업무	“/SS+업무/NNG
관련성이	관련/NNG+성/XSN+이/JKS
적고	적/VA+고/EC
비생산적인	비/XPN+생산/NNG+적/XSN+이/VCP+ㄴ/ETM
유흥업소에서	유흥업소/NNG+에서/JKB
접대비	접대비/NNG
지출이	지출/NNG+이/JKS
큰	크/VA+ㄴ/ETM
것은	것/NNB+은/JX
어떤	어떤/MMD
측면에서건	측면/NNG+에서/JKB+이/VCP+건/EC
바람직하지	바람직하/VA+지/EC
않다”며	않/VX+다/EF+”/SS+며/EC
“김영란법(청탁금지법)	“/SS+김영란법/NNG+(/SS+청탁/NNG+금지법/NNG+)/SS
시행으로	시행/NNG+으로/JKB
공공부문에	공공/NNG+부문/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
감소할	감소/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보이는데,	보이/VV+는데/EC+,/SP
이를	이/NP+를/JKO
사내	사내/NNG
인센티브나	인센티브/NNG+나/JC
기업활동	기업/NNG+활동/NNG
촉진	촉진/NNG
등	등/NNB
생산적인	생산/NNG+적/XSN+이/VCP+ㄴ/ETM
방향으로	방향/NNG+으로/JKB
사용해야	사용/NNG+하/XSV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


