# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.230
metadata : {}


# id : NWRW1800000024.230.1.1
‘한국적 발레’ 세계무대 선보이는 꿈

‘한국적	‘/SS+한국/NNP+적/XSN
발레’	발레/NNG+’/SS
세계무대	세계/NNG+무대/NNG
선보이는	선보이/VV+는/ETM
꿈	꿈/NNG


# id : NWRW1800000024.230.2.1
“무용수로서 은퇴하는 것은 아닙니다.

“무용수로서	“/SS+무용수/NNG+로서/JKB
은퇴하는	은퇴/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
아닙니다.	아니/VCN+ㅂ니다/EF+./SF


# id : NWRW1800000024.230.2.2
다만 파리오페라발레단을 떠나오는 것입니다.

다만	다만/MAG
파리오페라발레단을	파리오페라발레단/NNP+을/JKO
떠나오는	떠나오/VV+는/ETM
것입니다.	것/NNB+이/VCP+ㅂ니다/EF+./SF


# id : NWRW1800000024.230.2.3
몇 해 전부터 제가 그동안 파리에서 보고 느끼고 배운 많은 것들을 후배들에게 지혜롭게 나누어줄 준비를 해야 한다고 생각해왔습니다.

몇	몇/NR
해	해/NNB
전부터	전/NNG+부터/JX
제가	제/NP+가/JKS
그동안	그동안/NNG
파리에서	파리/NNP+에서/JKB
보고	보/VV+고/EC
느끼고	느끼/VV+고/EC
배운	배우/VV+ㄴ/ETM
많은	많/VA+은/ETM
것들을	것/NNB+들/XSN+을/JKO
후배들에게	후배/NNG+들/XSN+에게/JKB
지혜롭게	지혜/NNG+롭/XSA+게/EC
나누어줄	나누/VV+어/EC+주/VX+ㄹ/ETM
준비를	준비/NNG+를/JKO
해야	하/VV+아야/EC
한다고	하/VX+ㄴ다고/EC
생각해왔습니다.	생각/NNG+하/XSV+아/EC+오/VX+았/EP+습니다/EF+./SF


# id : NWRW1800000024.230.2.4
이제 그때가 온 것뿐입니다.”

이제	이제/MAG
그때가	그때/NNG+가/JKS
온	오/VV+ㄴ/ETM
