# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.80
metadata : {}


# id : NWRW1800000026.80.1.1
우즈, 꽃피는 4월엔 돌아온다?

우즈,	우즈/NNP+,/SP
꽃피는	꽃피/VV+는/ETM
4월엔	4/SN+월/NNB+에/JKB+ㄴ/JX
돌아온다?	돌아오/VV+ㄴ다/EF+?/SF


# id : NWRW1800000026.80.1.2
곧 골프복귀 예상 봇물

곧	곧/MAG
골프복귀	골프/NNG+복귀/NNG
예상	예상/NNG
봇물	봇물/NNG


# id : NWRW1800000026.80.2.1
'불륜 스캔들'로 추락한 타이거 우즈(35)가 곧 골프에 복귀할 것이라는 예상들이 쏟아지고 있다.

'불륜	'/SS+불륜/NNG
스캔들'로	스캔들/NNG+'/SS+로/JKB
추락한	추락/NNG+하/XSV+ㄴ/ETM
타이거	타이거/NNP
우즈(35)가	우즈/NNP+(/SS+35/SN+)/SS+가/JKS
곧	곧/MAG
골프에	골프/NNG+에/JKB
복귀할	복귀/NNG+하/XSV+ㄹ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
예상들이	예상/NNG+들/XSN+이/JKS
쏟아지고	쏟아지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.80.2.2
우즈는 불륜 사실이 본격적으로 폭로되기 시작한 지난해 12월 12일 '골프 무기한 중단(indefinite break)'을 선언했었다.

우즈는	우즈/NNP+는/JX
불륜	불륜/NNG
사실이	사실/NNG+이/JKS
본격적으로	본격/NNG+적/XSN+으로/JKB
폭로되기	폭로/NNG+되/XSV+기/ETN
시작한	시작/NNG+하/XSV+ㄴ/ETM
지난해	지난해/NNG
12월	12/SN+월/NNB
12일	12/SN+일/NNB
'골프	'/SS+골프/NNG
무기한	무/XPN+기한/NNG
중단(indefinite	중단/NNG+(/SS+indefinite/SL
break)'을	break/SL+)/SS+'/SS+을/JKO
선언했었다.	선언/NNG+하/XSV+았었/EP+다/EF+./SF


# id : NWRW1800000026.80.3.1
메이저대회 역대 최다승(18회) 기록을 보유한 잭 니클라우스(70)는 4일 AP통신과의 인터뷰에서 "우즈가 마스터스에 출전하지 않는 것은 상상도 할 수 없는 일"이라고 말했다.

메이저대회	메이저/NNG+대회/NNG
역대	역대/NNG
최다승(18회)	최/XPN+다승/NNG+(/SS+18/SN+회/NNB+)/SS
기록을	기록/NNG+을/JKO
보유한	보유/NNG+하/XSV+ㄴ/ETM
잭	잭/NNP
니클라우스(70)는	니클라우스/NNP+(/SS+70/SN+)/SS+는/JX
4일	4/SN+일/NNB
AP통신과의	AP통신/NNP+과/JKB+의/JKG
인터뷰에서	인터뷰/NNG+에서/JKB
"우즈가	"/SS+우즈/NNP+가/JKS
마스터스에	마스터스/NNG+에/JKB
출전하지	출전/NNG+하/XSV+지/EC
않는	않/VX+는/ETM
것은	것/NNB+은/JX
상상도	상상/NNG+도/JX
할	하/VV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
일"이라고	일/NNG+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.80.3.2
니클라우스는 "우즈는 마스터스에 앞서 한두 대회에 참가할 가능성이 크다"며 "우즈가 이미 골프연습을 재개한 것으로 알고 있다"고 말했다.

니클라우스는	니클라우스/NNP+는/JX
"우즈는	"/SS+우즈/NNP+는/JX
마스터스에	마스터스/NNG+에/JKB
앞서	앞서/VV+어/EC
한두	한두/MMN
대회에	대회/NNG+에/JKB
참가할	참가/NNG+하/XSV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
