# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.367
metadata : {}


# id : NWRW1800000041.367.1.1
朴경정 “檢조사 당당하게 임할 것”

朴경정	朴/SH+경정/NNG
“檢조사	“/SS+檢/SH+조사/NNG
당당하게	당당/MAG+하/XSA+게/EC
임할	임하/VV+ㄹ/ETM
것”	것/NNB+”/SS


# id : NWRW1800000041.367.2.1
[‘정윤회 문건’ 파문] 자택 빠져나와 변호사와 대책 숙의… “유출한 제3자 짚이는 데 있어”

[‘정윤회	[/SS+‘/SS+정윤회/NNP
문건’	문건/NNG+’/SS
파문]	파문/NNG+]/SS
자택	자택/NNG
빠져나와	빠져나오/VV+아/EC
변호사와	변호사/NNG+와/JKB
대책	대책/NNG
숙의…	숙의/NNG+…/SE
“유출한	“/SS+유출/NNG+하/XSV+ㄴ/ETM
제3자	제3자/NNG
짚이는	짚이/VV+는/ETM
데	데/NNB
있어”	있/VV+어/EF+”/SS


# id : NWRW1800000041.367.3.1
‘정윤회 동향’ 문건의 작성자인 박모 경정(48)은 검찰의 압수수색이 시작되기 7시간여 전인 3일 오전 2시경 취재진을 따돌리고 급히 자택을 빠져나갔다.

‘정윤회	‘/SS+정윤회/NNP
동향’	동향/NNG+’/SS
문건의	문건/NNG+의/JKG
작성자인	작성자/NNG+이/VCP+ㄴ/ETM
박모	박/NNP+모/NP
경정(48)은	경정/NNG+(/SS+48/SN+)/SS+은/JX
검찰의	검찰/NNG+의/JKG
압수수색이	압수/NNG+수색/NNG+이/JKS
시작되기	시작/NNG+되/XSV+기/ETN
7시간여	7/SN+시간/NNB+여/XSN
전인	전/NNG+이/VCP+ㄴ/ETM
3일	3/SN+일/NNB
오전	오전/NNG
2시경	2/SN+시/NNB+경/XSN
취재진을	취재진/NNG+을/JKO
따돌리고	따돌리/VV+고/EC
급히	급히/MAG
자택을	자택/NNG+을/JKO
빠져나갔다.	빠져나가/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.367.3.2
서울 노원구 하계동 자택에 머물러 있던 박 경정은 부인과 함께 엘리베이터를 타고 1층으로 내려간 뒤 미리 불러놓은 콜택시를 타고 홀로 나갔다.

서울	서울/NNP
노원구	노원구/NNP
하계동	하계동/NNP
자택에	자택/NNG+에/JKB
머물러	머무르/VV+어/EC
있던	있/VX+던/ETM
박	박/NNP
경정은	경정/NNG+은/JX
부인과	부인/NNG+과/JKB
함께	함께/MAG
엘리베이터를	엘리베이터/NNG+를/JKO
타고	타/VV+고/EC
1층으로	1/SN+층/NNG+으로/JKB
내려간	내려가/VV+ㄴ/ETM
뒤	뒤/NNG
미리	미리/MAG
불러놓은	부르/VV+어/EC+놓/VX+은/ETM
콜택시를	콜택시/NNG+를/JKO
홀로	홀로/MAG
나갔다.	나가/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.367.3.3
검은 정장 차림에 서류 가방 하나를 든 상태로 뛰어가 택시에 올라탔다.

검은	검/VA+은/ETM
정장	정장/NNG
차림에	차림/NNG+에/JKB
서류	서류/NNG
가방	가방/NNG
하나를	하나/NR+를/JKO
든	들/VV+ㄴ/ETM
상태로	상태/NNG+로/JKB
뛰어가	뛰어가/VV+아/EC
택시에	택시/NNG+에/JKB
올라탔다.	올라타/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.367.3.4
택시 문이 채 닫히기 전에 그의 부인이 집 앞에서 대기하고 있던 취재진을 가로막아 박 경정은 취재진의 추적을 따돌릴 수 있었다.

택시	택시/NNG
문이	문/NNG+이/JKS
채	채/MAG
닫히기	닫히/VV+기/ETN
전에	전/NNG+에/JKB
그의	그/NP+의/JKG
부인이	부인/NNG+이/JKS
집	집/NNG
앞에서	앞/NNG+에서/JKB
대기하고	대기/NNG+하/XSV+고/EC
있던	있/VX+던/ETM
취재진을	취재진/NNG+을/JKO
가로막아	가로막/VV+아/EC
박	박/NNP
경정은	경정/NNG+은/JX
취재진의	취재진/NNG+의/JKG
추적을	추적/NNG+을/JKO
따돌릴	따돌리/VV+ㄹ/ETM
수	수/NNB
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000041.367.4.1
박 경정은 이날 취재진에게 문자메시지를 보내 “수많은 취재 차량과 기자들 때문에 다른 주민들에게 피해를 끼치고 싶지 않다. 이해해 달라”는 뜻을 전했다.

박	박/NNP
경정은	경정/NNG+은/JX
이날	이날/NNG
취재진에게	취재진/NNG+에게/JKB
문자메시지를	문자/NNG+메시지/NNG+를/JKO
보내	보내/VV+어/EC
“수많은	“/SS+수많/VA+은/ETM
취재	취재/NNG
차량과	차량/NNG+과/JC
기자들	기자/NNG+들/XSN
때문에	때문/NNB+에/JKB
다른	다른/MMD
주민들에게	주민/NNG+들/XSN+에게/JKB
피해를	피해/NNG+를/JKO
끼치고	끼치/VV+고/EC
싶지	싶/VX+지/EC
않다.	않/VX+다/EF+./SF
이해해	이해/NNG+하/XSV+아/EC
달라”는	달/VX+라/EF+”/SS+는/ETM
뜻을	뜻/NNG+을/JKO
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.367.5.1
박 경정은 집을 빠져나간 뒤 검찰 조사에 대비해 변호사를 만나 대책을 숙의한 것으로 알려졌다.

박	박/NNP
경정은	경정/NNG+은/JX
집을	집/NNG+을/JKO
빠져나간	빠져나가/VV+ㄴ/ETM
뒤	뒤/NNG
검찰	검찰/NNG
조사에	조사/NNG+에/JKB
대비해	대비/NNG+하/XSV+아/EC
변호사를	변호사/NNG+를/JKO
만나	만나/VV+아/EC
대책을	대책/NNG+을/JKO
숙의한	숙의/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.367.5.2
박 경정의 변호인으로는 대검찰청 강력과장과 전주지검 차장을 지낸 정윤기 변호사(56)가 선임됐다.

박	박/NNP
경정의	경정/NNG+의/JKG
변호인으로는	변호인/NNG+으로/JKB+는/JX
대검찰청	대/XPN+검찰청/NNG
강력과장과	강력과장/NNG+과/JC
전주지검	전주지검/NNP
차장을	차장/NNG+을/JKO
지낸	지내/VV+ㄴ/ETM
