# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.354
metadata : {}


# id : NWRW1800000046.354.1.1
[기자수첩] 오얏나무 아래서 갓끈 고쳐매는 야당

[기자수첩]	[/SS+기자/NNG+수첩/NNG+]/SS
오얏나무	오얏나무/NNG
아래서	아래/NNG+서/JKB
갓끈	갓끈/NNG
고쳐매는	고치/VV+어/EC+매/VV+는/ETM
야당	야당/NNG


# id : NWRW1800000046.354.2.1
박상옥 대법관 임명되면 한명숙 상고심 판결 진행… "인준거부 이유 아니냐" 의혹

박상옥	박상옥/NNP
대법관	대/XPN+법관/NNG
임명되면	임명/NNG+되/XSV+면/EC
한명숙	한명숙/NNP
상고심	상고심/NNG
판결	판결/NNG
진행…	진행/NNG+…/SE
"인준거부	"/SS+인준/NNG+거부/NNG
이유	이유/NNG
아니냐"	아니/VCN+냐/EF+"/SS
의혹	의혹/NNG


# id : NWRW1800000046.354.3.1
새정치민주연합은 6일 예정된 국회 본회의에서 박상옥 대법관 후보자 임명동의안 처리에 대해 반대 입장을 분명히 하고 있다.

새정치민주연합은	새정치민주연합/NNP+은/JX
6일	6/SN+일/NNB
예정된	예정/NNG+되/XSV+ㄴ/ETM
국회	국회/NNG
본회의에서	본회의/NNG+에서/JKB
박상옥	박상옥/NNP
대법관	대/XPN+법관/NNG
후보자	후보자/NNG
임명동의안	임명/NNG+동의안/NNG
처리에	처리/NNG+에/JKB
대해	대하/VV+아/EC
반대	반대/NNG
입장을	입장/NNG+을/JKO
분명히	분명히/MAG
하고	하/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.354.3.2
정의화 국회의장이 직권 상정 가능성을 시사하자 "절대 반대한다. 표결에 보이콧할 수도 있다"고 했다.

정의화	정의화/NNP
국회의장이	국회/NNG+의장/NNG+이/JKS
직권	직권/NNG
상정	상정/NNG
가능성을	가능/NNG+성/XSN+을/JKO
시사하자	시사/NNG+하/XSV+자/EC
"절대	"/SS+절대/MAG
반대한다.	반대/NNG+하/XSV+ㄴ다/EF+./SF
표결에	표결/NNG+에/JKB
보이콧할	보이콧/NNG+하/XSV+ㄹ/ETM
수도	수/NNB+도/JX
있다"고	있/VA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.354.4.1
새정치연합 고위 관계자는 "정략적으로 반대하는 게 아니라 대법관에 대해서는 국민의 절대적 신뢰가 담보돼야 하기 때문"이라며 "박종철 사건은 역사적인 사건으로, 여당이 인준을 강행한다면 역사적 의미를 잊는 것"이라고 했다.

새정치연합	새정치연합/NNP
고위	고위/NNG
관계자는	관계자/NNG+는/JX
"정략적으로	"/SS+정략/NNG+적/XSN+으로/JKB
반대하는	반대/NNG+하/XSV+는/ETM
게	거/NNB+이/JKC
아니라	아니/VCN+라/EC
대법관에	대/XPN+법관/NNG+에/JKB
대해서는	대하/VV+아서/EC+는/JX
국민의	국민/NNG+의/JKG
절대적	절대/NNG+적/XSN
신뢰가	신뢰/NNG+가/JKS
담보돼야	담보/NNG+되/XSV+어야/EC
하기	하/VX+기/ETN
때문"이라며	때문/NNB+"/SS+이/VCP+라며/EC
"박종철	"/SS+박종철/NNP
사건은	사건/NNG+은/JX
역사적인	역사/NNG+적/XSN+이/VCP+ㄴ/ETM
