# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.9
metadata : {}


# id : NWRW1800000024.9.1.1
프랑스도 ‘방송장악’ 논란

프랑스도	프랑스/NNP+도/JX
‘방송장악’	‘/SS+방송/NNG+장악/NNG+’/SS
논란	논란/NNG


# id : NWRW1800000024.9.2.1
니콜라 사르코지 프랑스 대통령의 공영방송 광고 금지 조처가 5일 저녁 시작되자 공영방송 노조가 정부의 방송장악 의도를 비판하며 파업에 돌입했다.

니콜라	니콜라/NNP
사르코지	사르코지/NNP
프랑스	프랑스/NNP
대통령의	대통령/NNG+의/JKG
공영방송	공영/NNG+방송/NNG
광고	광고/NNG
금지	금지/NNG
조처가	조처/NNG+가/JKS
5일	5/SN+일/NNB
저녁	저녁/NNG
시작되자	시작/NNG+되/XSV+자/EC
노조가	노조/NNG+가/JKS
정부의	정부/NNG+의/JKG
방송장악	방송/NNG+장악/NNG
의도를	의도/NNG+를/JKO
비판하며	비판/NNG+하/XSV+며/EC
파업에	파업/NNG+에/JKB
돌입했다.	돌입/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.9.3.1
프랑스 정부는 공영방송 채널에서 황금 시간대(저녁 8시~오전 6시) 광고를 금지하는 조처를 이날부터 시작했다고 <비비시>(BBC) 방송이 보도했다.

프랑스	프랑스/NNP
정부는	정부/NNG+는/JX
공영방송	공영/NNG+방송/NNG
채널에서	채널/NNG+에서/JKB
황금	황금/NNG
시간대(저녁	시간대/NNG+(/SS+저녁/NNG
8시~오전	8/SN+시/NNB+~/SO+오전/NNG
6시)	6/SN+시/NNB+)/SS
광고를	광고/NNG+를/JKO
금지하는	금지/NNG+하/XSV+는/ETM
조처를	조처/NNG+를/JKO
이날부터	이날/NNG+부터/JX
시작했다고	시작/NNG+하/XSV+았/EP+다고/EC
<비비시>(BBC)	</SS+비비시/NNP+>/SS+(/SS+BBC/SL+)/SS
방송이	방송/NNG+이/JKS
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.9.3.2
사르코지 대통령은 공영방송 사장을 대통령이 직접 임명하는 방송 개혁안을 함께 추진하고 있어, 정부가 방송 통제 강화에 나섰다는 논란이 일고 있다.

사르코지	사르코지/NNP
대통령은	대통령/NNG+은/JX
공영방송	공영/NNG+방송/NNG
사장을	사장/NNG+을/JKO
대통령이	대통령/NNG+이/JKS
직접	직접/MAG
임명하는	임명/NNG+하/XSV+는/ETM
방송	방송/NNG
개혁안을	개혁안/NNG+을/JKO
함께	함께/MAG
추진하고	추진/NNG+하/XSV+고/EC
있어,	있/VX+어/EC+,/SP
정부가	정부/NNG+가/JKS
통제	통제/NNG
강화에	강화/NNG+에/JKB
나섰다는	나서/VV+었/EP+다는/ETM
논란이	논란/NNG+이/JKS
일고	일/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.9.4.1
공영방송의 광고 금지 조처는 단계적으로 확대돼 2011년께는 공영방송에서 완전히 광고가 사라지게 될 전망이다.

공영방송의	공영/NNG+방송/NNG+의/JKG
광고	광고/NNG
금지	금지/NNG
조처는	조처/NNG+는/JX
단계적으로	단계/NNG+적/XSN+으로/JKB
확대돼	확대/NNG+되/XSV+어/EC
2011년께는	2011/SN+년/NNB+께/XSN+는/JX
공영방송에서	공영/NNG+방송/NNG+에서/JKB
완전히	완전히/MAG
광고가	광고/NNG+가/JKS
사라지게	사라지/VV+게/EC
될	되/VV+ㄹ/ETM
전망이다.	전망/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000024.9.4.2
사르코지 대통령은 광고 폐지로 공영방송이 시청률 경쟁에서 벗어나게 돼 방송의 질이 향상될 것이라고 공언하고 있다.

사르코지	사르코지/NNP
대통령은	대통령/NNG+은/JX
광고	광고/NNG
폐지로	폐지/NNG+로/JKB
공영방송이	공영/NNG+방송/NNG+이/JKS
시청률	시청/NNG+률/XSN
경쟁에서	경쟁/NNG+에서/JKB
벗어나게	벗어나/VV+게/EC
돼	되/VV+어/EC
방송의	방송/NNG+의/JKG
질이	질/NNG+이/JKS
향상될	향상/NNG+되/XSV+ㄹ/ETM
것이라고	것/NNB+이/VCP+라고/EC
공언하고	공언/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.9.4.3
광고 폐지로 부족해진 재원은 민영방송 광고료에 대한 세금 인상과 인터넷·휴대전화 사업자 등에 대한 신규 세금 부과를 통해 충당한다는 방침이다.

광고	광고/NNG
폐지로	폐지/NNG+로/JKB
부족해진	부족/NNG+하/XSA+아/EC+지/VX+ㄴ/ETM
재원은	재원/NNG+은/JX
민영방송	민영/NNG+방송/NNG
광고료에	광고료/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
세금	세금/NNG
인상과	인상/NNG+과/JC
인터넷·휴대전화	인터넷/NNG+·/SP+휴대/NNG+전화/NNG
사업자	사업자/NNG
등에	등/NNB+에/JKB
신규	신규/NNG
부과를	부과/NNG+를/JKO
통해	통하/VV+아/EC
충당한다는	충당/NNG+하/XSV+ㄴ다는/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000024.9.5.1
하지만 공영방송 노조는 광고 폐지로 민영방송만 혜택을 보고, 정부의 공영방송에 대한 영향력이 강화될 것이라고 크게 반발하고 있다.

하지만	하지만/MAJ
공영방송	공영/NNG+방송/NNG
노조는	노조/NNG+는/JX
광고	광고/NNG
폐지로	폐지/NNG+로/JKB
민영방송만	민영/NNG+방송/NNG+만/JX
혜택을	혜택/NNG+을/JKO
보고,	보/VV+고/EC+,/SP
정부의	정부/NNG+의/JKG
공영방송에	공영/NNG+방송/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
영향력이	영향력/NNG+이/JKS
강화될	강화/NNG+되/XSV+ㄹ/ETM
것이라고	것/NNB+이/VCP+라고/EC
크게	크/VA+게/EC
반발하고	반발/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.9.5.2
<프랑스3>의 노조원 네 명 중 한 명이 이날 파업을 시작했고, <프랑스2> 직원들도 7일부터 파업에 들어간다.

<프랑스3>의	</SS+프랑스3/NNP+>/SS+의/JKG
노조원	노조원/NNG
네	네/MMN
명	명/NNB
중	중/NNB
한	한/MMN
명이	명/NNB+이/JKS
이날	이날/NNG
파업을	파업/NNG+을/JKO
시작했고,	시작/NNG+하/XSV+았/EP+고/EC+,/SP
<프랑스2>	</SS+프랑스2/NNP+>/SS
직원들도	직원/NNG+들/XSN+도/JX
7일부터	7/SN+일/NNB+부터/JX
파업에	파업/NNG+에/JKB
들어간다.	들어가/VV+ㄴ다/EF+./SF


# id : NWRW1800000024.9.5.3
이들은 특히 친 사르코지 성향의 최대 민영방송 <테에프1>(TF1)이 황금 시간대 광고를 독점하는 결과를 가져올 것이라고 비판했다.

이들은	이/NP+들/XSN+은/JX
특히	특히/MAG
친	친/XPN
사르코지	사르코지/NNP
성향의	성향/NNG+의/JKG
최대	최대/NNG
민영방송	민영/NNG+방송/NNG
<테에프1>(TF1)이	</SS+테에프1/NNP+>/SS+(/SS+TF/SL+1/SN+)/SS+이/JKS
황금	황금/NNG
시간대	시간대/NNG
광고를	광고/NNG+를/JKO
