# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.177
metadata : {}


# id : NWRW1800000026.177.1.1
[6·2 국민의 선택] 화제의 기초단체장_황주홍 강진군수 당선자;정당공천 폐지 주장… 민주당 텃밭서 승전보

[6·2	[/SS+6/SN+·/SP+2/SN
국민의	국민/NNG+의/JKG
선택]	선택/NNG+]/SS
화제의	화제/NNG+의/JKG
기초단체장_황주홍	기초/NNG+단체장/NNG+_/SW+황주홍/NNP
강진군수	강진군수/NNG
당선자;정당공천	당선자/NNG+;/SW+정당/NNG+공천/NNG
폐지	폐지/NNG
주장…	주장/NNG+…/SE
민주당	민주당/NNP
텃밭서	텃밭/NNG+서/JKB
승전보	승전보/NNG


# id : NWRW1800000026.177.2.1
정당의 당리당략에 얽매이지 않고 오직 주민만 바라보고 섬기는 참 일꾼이 되겠습니다.

정당의	정당/NNG+의/JKG
당리당략에	당리당략/NNG+에/JKB
얽매이지	얽매이/VV+지/EC
않고	않/VX+고/EC
오직	오직/MAG
주민만	주민/NNG+만/JX
바라보고	바라보/VV+고/EC
섬기는	섬기/VV+는/ETM
참	참/NNG
일꾼이	일/NNG+꾼/XSN+이/JKC
되겠습니다.	되/VV+겠/EP+습니다/EF+./SF


# id : NWRW1800000026.177.3.1
'기초자치단체장 정당 공천 폐지'를 주장하며 당적을 버리고 무소속으로 출마한 전남 강진의 황주홍 후보가 민주당 텃밭에서 승전보를 울렸다.

'기초자치단체장	'/SS+기초/NNG+자치/NNG+단체장/NNG
정당	정당/NNG
공천	공천/NNG
폐지'를	폐지/NNG+'/SS+를/JKO
주장하며	주장/NNG+하/XSV+며/EC
당적을	당적/NNG+을/JKO
버리고	버리/VV+고/EC
무소속으로	무/XPN+소속/NNG+으로/JKB
출마한	출마/NNG+하/XSV+ㄴ/ETM
전남	전남/NNP
강진의	강진/NNP+의/JKG
황주홍	황주홍/NNP
후보가	후보/NNG+가/JKS
민주당	민주당/NNP
텃밭에서	텃밭/NNG+에서/JKB
승전보를	승전보/NNG+를/JKO
울렸다.	울리/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.177.3.2
황주홍(黃柱洪·58) 강진군수 당선자는 정치학자로, 10여년의 정당활동을 거쳐 건국대 교수가 됐다가, 자치단체장으로 변신한 이채로운 경력을 가졌다.

황주홍(黃柱洪·58)	황주홍/NNP+(/SS+黃柱洪/SH+·/SP+58/SN+)/SS
강진군수	강진군수/NNG
당선자는	당선자/NNG+는/JX
정치학자로,	정치학자/NNG+로/JKB+,/SP
10여년의	10/SN+여/XSN+년/NNB+의/JKG
정당활동을	정당/NNG+활동/NNG+을/JKO
거쳐	거치/VV+어/EC
건국대	건국대/NNP
교수가	교수/NNG+가/JKC
됐다가,	되/VV+었/EP+다가/EC+,/SP
자치단체장으로	자치/NNG+단체장/NNG+으로/JKB
변신한	변신/NNG+하/XSV+ㄴ/ETM
이채로운	이채/NNG+롭/XSA+ㄴ/ETM
경력을	경력/NNG+을/JKO
가졌다.	가지/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.177.4.1
2004년 보궐선거로 군수에 당선된 이후 인사청탁 배격, 성과 중심의 '팀제' 실시 등으로 군정에 새로운 바람을 불어넣었다는 평가를 받았다.

2004년	2004/SN+년/NNB
보궐선거로	보궐/NNG+선거/NNG+로/JKB
군수에	군수/NNG+에/JKB
당선된	당선/NNG+되/XSV+ㄴ/ETM
이후	이후/NNG
인사청탁	인사/NNG+청탁/NNG
배격,	배격/NNG+,/SP
성과	성과/NNG
중심의	중심/NNG+의/JKG
'팀제'	'/SS+팀/NNG+제/XSN+'/SS
실시	실시/NNG
등으로	등/NNB+으로/JKB
군정에	군정/NNG+에/JKB
