# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.33
metadata : {}


# id : NWRW1800000021.33.1.1
美 GDP 성장률 26년만에 최악기록

美	美/SH
GDP	GDP/SL
성장률	성장/NNG+률/XSN
26년만에	26/SN+년/NNB+만/NNB+에/JKB
최악기록	최악/NNG+기록/NNG


# id : NWRW1800000021.33.2.1
미국의 지난해 4분기 국내총생산(GDP) 성장률이 ―3.8%를 기록했다고 미 상무부가 30일 밝혔다.

미국의	미국/NNP+의/JKG
지난해	지난해/NNG
4분기	4/SN+분기/NNG
국내총생산(GDP)	국내/NNG+총생산/NNG+(/SS+GDP/SL+)/SS
성장률이	성장/NNG+률/XSN+이/JKS
―3.8%를	―/SS+3/SN+./SP+8/SN+%/SW+를/JKO
기록했다고	기록/NNG+하/XSV+았/EP+다고/EC
미	미/NNP
상무부가	상무부/NNG+가/JKS
30일	30/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.33.3.1
당초 전문가들이 ―5.5% 성장할 것으로 예상했던 것보다는 나은 수치이지만 ―6.4%를 기록했던 1982년 4분기 이후 최악의 성장률이라고 블룸버그통신이 전했다.

당초	당초/NNG
전문가들이	전문가/NNG+들/XSN+이/JKS
―5.5%	―/SS+5/SN+./SP+5/SN+%/SW
성장할	성장/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
예상했던	예상/NNG+하/XSV+았/EP+던/ETM
것보다는	것/NNB+보다/JKB+는/JX
나은	낫/VA+은/ETM
수치이지만	수치/NNG+이/VCP+지만/EC
―6.4%를	―/SS+6/SN+./SP+4/SN+%/SW+를/JKO
기록했던	기록/NNG+하/XSV+았/EP+던/ETM
1982년	1982/SN+년/NNB
4분기	4/SN+분기/NNG
이후	이후/NNG
최악의	최악/NNG+의/JKG
성장률이라고	성장/NNG+률/XSN+이/VCP+라고/EC
블룸버그통신이	블룸버그통신/NNP+이/JKS
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000021.33.4.1
또 미국 경제는 지난해 3분기 ―0.5% 성장에 이어 2분기 연속 마이너스 성장을 기록했는데, 이는 1991년 이후 17년 만이다.

또	또/MAG
미국	미국/NNP
경제는	경제/NNG+는/JX
지난해	지난해/NNG
3분기	3/SN+분기/NNG
―0.5%	―/SS+0/SN+./SP+5/SN+%/SW
성장에	성장/NNG+에/JKB
이어	잇/VV+어/EC
2분기	2/SN+분기/NNG
연속	연속/NNG
마이너스	마이너스/NNG
성장을	성장/NNG+을/JKO
기록했는데,	기록/NNG+하/XSV+았/EP+는데/EC+,/SP
이는	이/NP+는/JX
1991년	1991/SN+년/NNB
이후	이후/NNG
17년	17/SN+년/NNB
만이다.	만/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000021.33.5.1
2008년 전체 미국의 GDP 성장률은 1.3% 성장한 것으로 나타나 2007년 2.0%에 비해 0.7%포인트 낮아졌다.

2008년	2008/SN+년/NNB
전체	전체/NNG
미국의	미국/NNP+의/JKG
GDP	GDP/SL
성장률은	성장/NNG+률/XSN+은/JX
1.3%	1/SN+./SP+3/SN+%/SW
성장한	성장/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
나타나	나타나/VV+아/EC
2007년	2007/SN+년/NNB
2.0%에	2/SN+./SP+0/SN+%/SW+에/JKB
비해	비/NNG+하/XSV+아/EC
0.7%포인트	0/SN+./SP+7/SN+%포인트/NNG
낮아졌다.	낮/VA+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000021.33.5.2
GDP에서 가장 큰 비중을 차지하는 소비지출이 지난해 4분기 3.5% 감소한 것이 성장률 감소의 주 원인으로 꼽힌다.

GDP에서	GDP/SL+에서/JKB
가장	가장/MAG
큰	크/VA+ㄴ/ETM
비중을	비중/NNG+을/JKO
차지하는	차지/NNG+하/XSV+는/ETM
소비지출이	소비/NNG+지출/NNG+이/JKS
지난해	지난해/NNG
4분기	4/SN+분기/NNG
3.5%	3/SN+./SP+5/SN+%/SW
감소한	감소/NNG+하/XSV+ㄴ/ETM
것이	것/NNB+이/JKS
성장률	성장/NNG+률/XSN
감소의	감소/NNG+의/JKG
주	주/MMA
원인으로	원인/NNG+으로/JKB
꼽힌다.	꼽히/VV+ㄴ다/EF+./SF


# id : NWRW1800000021.33.6.1
또 미 노동부는 지난해 고용비용 상승률이 2.6%를 기록해 1982년 관련 통계를 작성한 이후 가장 낮았다고 밝혔다.

또	또/MAG
미	미/NNP
노동부는	노동부/NNG+는/JX
지난해	지난해/NNG
고용비용	고용/NNG+비용/NNG
상승률이	상승/NNG+률/XSN+이/JKS
2.6%를	2/SN+./SP+6/SN+%/SW+를/JKO
기록해	기록/NNG+하/XSV+아/EC
1982년	1982/SN+년/NNB
관련	관련/NNG
통계를	통계/NNG+를/JKO
작성한	작성/NNG+하/XSV+ㄴ/ETM
이후	이후/NNG
가장	가장/MAG
낮았다고	낮/VA+았/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.33.7.1
AP통신은 “이런 지표들은 주택, 신용, 금융 분야의 부실과 맞물려 미국 경제가 급속히 악화하고 있다는 뚜렷한 증거”라고 분석했다.

AP통신은	AP통신/NNP+은/JX
“이런	“/SS+이런/MMD
지표들은	지표/NNG+들/XSN+은/JX
주택,	주택/NNG+,/SP
신용,	신용/NNG+,/SP
금융	금융/NNG
분야의	분야/NNG+의/JKG
부실과	부실/NNG+과/JKB
맞물려	맞물리/VV+어/EC
미국	미국/NNP
경제가	경제/NNG+가/JKS
급속히	급속히/MAG
악화하고	악화/NNG+하/XSV+고/EC
있다는	있/VX+다는/ETM
뚜렷한	뚜렷하/VA+ㄴ/ETM
증거”라고	증거/NNG+”/SS+라고/JKQ
분석했다.	분석/NNG+하/XSV+았/EP+다/EF+./SF


