# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.167
metadata : {}


# id : NWRW1800000054.167.1.1
백악관 홈피까지 번진 '탄핵 댓글 전쟁'

백악관	백악관/NNP
홈피까지	홈피/NNG+까지/JX
번진	번지/VV+ㄴ/ETM
'탄핵	'/SS+탄핵/NNG
댓글	댓글/NNG
전쟁'	전쟁/NNG+'/SS


# id : NWRW1800000054.167.2.1
한국 네티즌들, 외신 사이트서 '진흙탕 싸움'… "나라 망신" 비난

한국	한국/NNP
네티즌들,	네티즌/NNG+들/XSN+,/SP
외신	외신/NNG
사이트서	사이트/NNG+서/JKB
'진흙탕	'/SS+진흙탕/NNG
싸움'…	싸움/NNG+'/SS+…/SE
"나라	"/SS+나라/NNG
망신"	망신/NNG+"/SS
비난	비난/NNG


# id : NWRW1800000054.167.3.1
박근혜 전 대통령에 대한 탄핵심판 선고일이었던 지난 10일.

박근혜	박근혜/NNP
전	전/MMD
대통령에	대통령/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
탄핵심판	탄핵/NNG+심판/NNG
선고일이었던	선고일/NNG+이/VCP+었/EP+던/ETM
지난	지나/VV+ㄴ/ETM
10일.	10/SN+일/NNB+./SF


# id : NWRW1800000054.167.3.2
미국 CNN 페이스북 계정에서 한국 네티즌들의 댓글 전쟁이 벌어졌다.

미국	미국/NNP
CNN	CNN/SL
페이스북	페이스북/NNP
계정에서	계정/NNG+에서/JKB
한국	한국/NNP
네티즌들의	네티즌/NNG+들/XSN+의/JKG
댓글	댓글/NNG
전쟁이	전쟁/NNG+이/JKS
벌어졌다.	벌어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.167.3.3
탄핵에 찬성하는 네티즌들이 '박 전 대통령 파면'이란 CNN 속보에 '민주주의의 승리다' '자랑스럽다'는 영어 댓글을 달자, 탄핵에 반대하는 네티즌이 한국어로 '자랑스럽다고 하지 마라.

탄핵에	탄핵/NNG+에/JKB
찬성하는	찬성/NNG+하/XSV+는/ETM
네티즌들이	네티즌/NNG+들/XSN+이/JKS
'박	'/SS+박/NNP
전	전/MMD
대통령	대통령/NNG
파면'이란	파면/NNG+'/SS+이/VCP+란/ETM
CNN	CNN/SL
속보에	속보/NNG+에/JKB
'민주주의의	'/SS+민주주의/NNG+의/JKG
승리다'	승리/NNG+이/VCP+다/EF+'/SS
'자랑스럽다'는	'/SS+자랑/NNG+스럽/XSA+다/EF+'/SS+는/ETM
영어	영어/NNP
댓글을	댓글/NNG+을/JKO
달자,	달/VV+자/EC+,/SP
반대하는	반대/NNG+하/XSV+는/ETM
네티즌이	네티즌/NNG+이/JKS
한국어로	한국어/NNP+로/JKB
'자랑스럽다고	'/SS+자랑/NNG+스럽/XSA+다고/EC
