# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.315
metadata : {}


# id : NWRW1800000056.315.1.1
[유레카] ‘베를린 구상’의 성공 조건 / 고명섭

[유레카]	[/SS+유레카/NNG+]/SS
‘베를린	‘/SS+베를린/NNP
구상’의	구상/NNG+’/SS+의/JKG
성공	성공/NNG
조건	조건/NNG
/	//SP
고명섭	고명섭/NNP


# id : NWRW1800000056.315.2.1
2000년 3월 독일을 방문한 김대중 당시 대통령은 베를린자유대학에서 역사적인 선언을 했다.

2000년	2000/SN+년/NNB
3월	3/SN+월/NNB
독일을	독일/NNP+을/JKO
방문한	방문/NNG+하/XSV+ㄴ/ETM
김대중	김대중/NNP
당시	당시/NNG
대통령은	대통령/NNG+은/JX
베를린자유대학에서	베를린자유대학/NNP+에서/JKB
역사적인	역사/NNG+적/XSN+이/VCP+ㄴ/ETM
선언을	선언/NNG+을/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000056.315.2.2
‘베를린 선언’은 한반도 냉전 종식, 북한 경제난 극복 지원, 이산가족 상봉을 주요 의제로 제시하고, 이 모든 문제를 해결하기 위한 남북 당국의 만남을 요구했다.

‘베를린	‘/SS+베를린/NNP
선언’은	선언/NNG+’/SS+은/JX
한반도	한반도/NNP
냉전	냉전/NNG
종식,	종식/NNG+,/SP
북한	북한/NNP
경제난	경제난/NNG
극복	극복/NNG
지원,	지원/NNG+,/SP
이산가족	이산가족/NNG
상봉을	상봉/NNG+을/JKO
주요	주요/NNG
의제로	의제/NNG+로/JKB
제시하고,	제시/NNG+하/XSV+고/EC+,/SP
이	이/MMD
모든	모든/MMN
문제를	문제/NNG+를/JKO
해결하기	해결/NNG+하/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
남북	남북/NNP
당국의	당국/NNG+의/JKG
만남을	만남/NNG+을/JKO
요구했다.	요구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.315.2.3
지난달 문재인 대통령이 발표한 ‘베를린 구상’은 형식과 내용으로 보아 17년 전 김대중의 베를린 선언에 이은 제2차 베를린 선언이라고 할 만하다.

지난달	지난달/NNG
문재인	문재인/NNP
대통령이	대통령/NNG+이/JKS
