# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.301
metadata : {}


# id : NWRW1800000030.301.1.1
[국정원 잠입 파문] "별일 아닌데…" 진화 나선 한국과 인도네시아 왜?

[국정원	[/SS+국정원/NNG
잠입	잠입/NNG
파문]	파문/NNG+]/SS
"별일	"/SS+별일/NNG
아닌데…"	아니/VCN+ㄴ데/EC+…/SE+"/SS
진화	진화/NNG
나선	나서/VV+ㄴ/ETM
한국과	한국/NNP+과/JC
인도네시아	인도네시아/NNP
왜?	왜/MAG+?/SF


# id : NWRW1800000030.301.2.1
•"판 깨느니 덮는 게 상책" 이심전심?

•"판	•/SW+"/SS+판/NNG
깨느니	깨/VV+느니/EC
덮는	덮/VV+는/ETM
게	거/NNB+이/JKS
상책"	상책/NNG+"/SS
이심전심?	이심전심/NNG+?/SF


# id : NWRW1800000030.301.2.2
경제·전략적 실익이 더 커… T-50 수출도 성사 단계

경제·전략적	경제/NNG+·/SP+전략/NNG+적/XSN
실익이	실익/NNG+이/JKS
더	더/MAG
커…	크/VA+어/EC+…/SE
T-50	T/SL+-/SO+50/SN
수출도	수출/NNG+도/JX
성사	성사/NNG
단계	단계/NNG


# id : NWRW1800000030.301.3.1
국가정보원 직원들의 인도네시아 특사단 호텔방 잠입사건에 대해 한국과 인도네시아가 동시에 진화(鎭火)에 나섰다.

국가정보원	국가/NNG+정보원/NNG
직원들의	직원/NNG+들/XSN+의/JKG
인도네시아	인도네시아/NNP
특사단	특사단/NNG
호텔방	호텔방/NNG
잠입사건에	잠입/NNG+사건/NNG+에/JKB
대해	대하/VV+아/EC
한국과	한국/NNP+과/JC
인도네시아가	인도네시아/NNP+가/JKS
동시에	동시/NNG+에/JKB
진화(鎭火)에	진화/NNG+(/SS+鎭火/SH+)/SS+에/JKB
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.301.4.1
외교부의 고위 당국자는 22일 기자실을 찾아 "이번 사건이 언론에 크게 보도되는 것이 과연 국익에 얼마나 도움이 되는지에 대한 고려를 해달라"며 '보도 자제'를 요청했다.

외교부의	외교부/NNG+의/JKG
고위	고위/NNG
당국자는	당국자/NNG+는/JX
22일	22/SN+일/NNB
기자실을	기자실/NNG+을/JKO
찾아	찾/VV+아/EC
"이번	"/SS+이번/NNG
사건이	사건/NNG+이/JKS
언론에	언론/NNG+에/JKB
크게	크/VA+게/EC
보도되는	보도/NNG+되/XSV+는/ETM
것이	것/NNB+이/JKS
과연	과연/MAG
국익에	국익/NNG+에/JKB
얼마나	얼마나/MAG
도움이	도움/NNG+이/JKC
되는지에	되/VV+는지/EF+에/JKB
대한	대하/VV+ㄴ/ETM
고려를	고려/NNG+를/JKO
해달라"며	하/VV+아/EC+달/VX+라/EF+"/SS+며/EC
'보도	'/SS+보도/NNG
자제'를	자제/NNG+'/SS+를/JKO
요청했다.	요청/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.301.5.1
인도네시아 대통령 특사단을 이끌고 방한(訪韓)했던 하타 라자사 경제조정관은 인도네시아의 영자(英字) 신문 자카르타포스트와의 인터뷰에서 이번 사건이 한국 정부와 관련이 없다는 입장을 밝혔다.

인도네시아	인도네시아/NNP
대통령	대통령/NNG
특사단을	특사단/NNG+을/JKO
이끌고	이끌/VV+고/EC
방한(訪韓)했던	방한/NNG+(/SS+訪韓/SH+)/SS+하/XSV+았/EP+던/ETM
하타	하타/NNP
라자사	라자사/NNP
경제조정관은	경제/NNG+조정관/NNG+은/JX
인도네시아의	인도네시아/NNP+의/JKG
영자(英字)	영자/NNG+(/SS+英字/SH+)/SS
신문	신문/NNG
자카르타포스트와의	자카르타포스트/NNP+와/JKB+의/JKG
인터뷰에서	인터뷰/NNG+에서/JKB
이번	이번/NNG
사건이	사건/NNG+이/JKS
한국	한국/NNP
정부와	정부/NNG+와/JKB
관련이	관련/NNG+이/JKS
없다는	없/VA+다는/ETM
입장을	입장/NNG+을/JKO
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.301.5.2
그는 "그 손님들은 자기들 방인 2061호실 대신 인도네시아 산업부 관리들이 묻던 1961호에 별생각 없이 들어갔다"고 했다.

그는	그/NP+는/JX
"그	"/SS+그/MMD
손님들은	손/NNG+님/XSN+들/XSN+은/JX
자기들	자기/NNG+들/XSN
방인	방/NNG+이/VCP+ㄴ/ETM
2061호실	2061/SN+호실/NNG
대신	대신/NNG
인도네시아	인도네시아/NNP
산업부	산업부/NNG
관리들이	관리/NNG+들/XSN+이/JKS
묻던	묻/VV+던/ETM
1961호에	1961/SN+호/NNB+에/JKB
별생각	별생각/NNG
없이	없이/MAG
들어갔다"고	들어가/VV+았/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.301.5.3
인도네시아측의 설명은 국정원이 사건 초기에 비공식적으로 밝혔던 사건 경위와 똑같다.

인도네시아측의	인도네시아/NNP+측/NNB+의/JKG
설명은	설명/NNG+은/JX
국정원이	국정원/NNG+이/JKS
사건	사건/NNG
초기에	초기/NNG+에/JKB
비공식적으로	비/XPN+공식/NNG+적/XSN+으로/JKB
밝혔던	밝히/VV+었/EP+던/ETM
경위와	경위/NNG+와/JKB
똑같다.	똑같/VA+다/EF+./SF


# id : NWRW1800000030.301.5.4
인도네시아가 크게 세 가지 이유에서 이렇게 나오는 것으로 분석된다.

인도네시아가	인도네시아/NNP+가/JKS
크게	크/VA+게/EC
세	세/MMN
가지	가지/NNB
이유에서	이유/NNG+에서/JKB
이렇게	이렇/VA+게/EC
나오는	나오/VV+는/ETM
것으로	것/NNB+으로/JKB
분석된다.	분석/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000030.301.6.1
①15일 국방장관회담 성과에 만족

①15일	①/SW+15/SN+일/NNB
