# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.152
metadata : {}


# id : NWRW1800000028.152.1.1
박지원, 민주 새 원내대표에 선출

박지원,	박지원/NNP+,/SP
민주	민주/NNP
새	새/MMA
원내대표에	원내/NNG+대표/NNG+에/JKB
선출	선출/NNG


# id : NWRW1800000028.152.2.1
민주당의 새 원내대표에 재선인 박지원 의원(전남 목포)이 선출됐다.

민주당의	민주당/NNP+의/JKG
새	새/MMA
원내대표에	원내/NNG+대표/NNG+에/JKB
재선인	재선/NNG+이/VCP+ㄴ/ETM
박지원	박지원/NNP
의원(전남	의원/NNG+(/SS+전남/NNP
목포)이	목포/NNP+)/SS+이/JKS
선출됐다.	선출/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000028.152.2.2
박 의원은 7일 국회에서 열린 민주당 원내대표 경선 결선투표에서 유효투표(81표)의 60%인 49표를 얻어 31표를 얻은 강봉균 의원을 제쳤다.

박	박/NNP
의원은	의원/NNG+은/JX
7일	7/SN+일/NNB
국회에서	국회/NNG+에서/JKB
열린	열리/VV+ㄴ/ETM
민주당	민주당/NNP
원내대표	원내/NNG+대표/NNG
경선	경선/NNG
결선투표에서	결선/NNG+투표/NNG+에서/JKB
유효투표(81표)의	유효/NNG+투표/NNG+(/SS+81/SN+표/NNG+)/SS+의/JKG
60%인	60/SN+%/SW+이/VCP+ㄴ/ETM
49표를	49/SN+표/NNG+를/JKO
얻어	얻/VV+어/EC
31표를	31/SN+표/NNG+를/JKO
얻은	얻/VV+은/ETM
강봉균	강봉균/NNP
의원을	의원/NNG+을/JKO
제쳤다.	제치/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.152.2.3
박 의원과 함께 양강으로 꼽혔던 김부겸 의원은 1차 투표에서 강 의원(17표)보다 1표 적은 16표를 얻는 데 그쳐 예선탈락의 고배를 마셨다.

박	박/NNP
의원과	의원/NNG+과/JKB
함께	함께/MAG
양강으로	양/MMN+강/NNB+으로/JKB
꼽혔던	꼽히/VV+었/EP+던/ETM
김부겸	김부겸/NNP
의원은	의원/NNG+은/JX
1차	1/SN+차/NNB
투표에서	투표/NNG+에서/JKB
강	강/NNP
의원(17표)보다	의원/NNG+(/SS+17/SN+표/NNG+)/SS+보다/JKB
1표	1/SN+표/NNG
적은	적/VA+은/ETM
16표를	16/SN+표/NNG+를/JKO
얻는	얻/VV+는/ETM
데	데/NNB
그쳐	그치/VV+어/EC
예선탈락의	예선/NNG+탈락/NNG+의/JKG
고배를	고배/NNG+를/JKO
마셨다.	마시/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.152.2.4
박 의원은 1차에서 34표를 얻었다.

박	박/NNP
의원은	의원/NNG+은/JX
1차에서	1/SN+차/NNB+에서/JKB
34표를	34/SN+표/NNG+를/JKO
얻었다.	얻/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.152.3.1
박 의원은 당선인사에서 “10년 집권경험을 가진 성숙한 민주당으로서 원내투쟁의 방법도 많은 변화가 있어야 한다”며 “투쟁과 협상을 적절히 배분하는 정치력을 발휘해 민주당을 지키고 국민에게 신뢰받는 민주당을 만들겠다”고 밝혔다.

박	박/NNP
의원은	의원/NNG+은/JX
당선인사에서	당선/NNG+인사/NNG+에서/JKB
“10년	“/SS+10/SN+년/NNB
집권경험을	집권/NNG+경험/NNG+을/JKO
가진	가지/VV+ㄴ/ETM
성숙한	성숙/NNG+하/XSA+ㄴ/ETM
민주당으로서	민주당/NNP+으로서/JKB
원내투쟁의	원내/NNG+투쟁/NNG+의/JKG
방법도	방법/NNG+도/JX
많은	많/VA+은/ETM
변화가	변화/NNG+가/JKS
있어야	있/VA+어야/EC
한다”며	하/VX+ㄴ다/EF+”/SS+며/EC
“투쟁과	“/SS+투쟁/NNG+과/JC
협상을	협상/NNG+을/JKO
적절히	적절히/MAG
배분하는	배분/NNG+하/XSV+는/ETM
정치력을	정치력/NNG+을/JKO
발휘해	발휘/NNG+하/XSV+아/EC
민주당을	민주당/NNP+을/JKO
지키고	지키/VV+고/EC
국민에게	국민/NNG+에게/JKB
신뢰받는	신뢰/NNG+받/XSV+는/ETM
만들겠다”고	만들/VV+겠/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.152.3.2
이어 “많은 의원들이 당내 소통과 지역구도 타파를 원하고 있다”며 “(집단지도체제를 도입하는) 당헌·당규 개정과 지역을 안배한 최고위원 배정으로 당내 분란 소지를 없애겠다”고 말했다.

이어	이어/MAG
“많은	“/SS+많/VA+은/ETM
의원들이	의원/NNG+들/XSN+이/JKS
당내	당내/NNG
소통과	소통/NNG+과/JC
지역구도	지역/NNG+구도/NNG
타파를	타파/NNG+를/JKO
원하고	원/NNG+하/XSV+고/EC
