# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.369
metadata : {}


# id : NWRW1800000054.369.1.1
韓·美·日, 대북 제재 '패키지 충격요법' 만든다

韓·美·日,	韓/SH+·/SP+美/SH+·/SP+日/SH+,/SP
대북	대북/NNG
제재	제재/NNG
'패키지	'/SS+패키지/NNG
충격요법'	충격/NNG+요법/NNG+'/SS
만든다	만들/VV+ㄴ다/EF


# id : NWRW1800000054.369.2.1
北 추가도발땐 원유공급 중단 등 中 협조하에 징벌적 조치 추진

北	北/SH
추가도발땐	추가/NNG+도발/NNG+때/NNG+ㄴ/JX
원유공급	원유/NNG+공급/NNG
중단	중단/NNG
등	등/NNB
中	中/SH
협조하에	협조/NNG+하/XSN+에/JKB
징벌적	징벌/NNG+적/XSN
조치	조치/NNG
추진	추진/NNG


# id : NWRW1800000054.369.3.1
한·미·일 3국은 북한이 추가 도발을 할 경우 중국의 협조하에 대북 제재·압박의 수위를 단기간에 최대한 끌어올리는 '패키지 충격요법' 조치를 마련하기로 한 것으로 24일 전해졌다.

한·미·일	한·미·일/NNP
3국은	3국/NNG+은/JX
북한이	북한/NNP+이/JKS
추가	추가/NNG
도발을	도발/NNG+을/JKO
할	하/VV+ㄹ/ETM
경우	경우/NNG
중국의	중국/NNP+의/JKG
협조하에	협조/NNG+하/XSN+에/JKB
대북	대북/NNG
제재·압박의	제재/NNG+·/SP+압박/NNG+의/JKG
수위를	수위/NNG+를/JKO
단기간에	단기간/NNG+에/JKB
최대한	최대한/MAG
끌어올리는	끌어올리/VV+는/ETM
'패키지	'/SS+패키지/NNG
충격요법'	충격/NNG+요법/NNG+'/SS
조치를	조치/NNG+를/JKO
마련하기로	마련/NNG+하/XSV+기/ETN+로/JKB
한	하/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
24일	24/SN+일/NNB
전해졌다.	전하/VV+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000054.369.4.1
북한은 인민군 창건 85주년 기념일(25일)과 유엔 안보리의 '북핵 비확산 회의'(28일) 등을 계기로 6차 핵실험이나 미사일 도발에 나설 가능성이 제기되고 있다.

